n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
32,1,256,1,1,1,1,0,15,2,0.00051,154
33,1,256,1,2,1,1,0,1,0,0.000565,118
34,1,256,1,2,1,1,0,1,1,0.000401,148
35,1,256,1,2,1,1,0,1,2,0.000401,148
36,1,256,1,2,1,1,0,2,0,0.000498,118
37,1,256,1,2,1,1,0,2,1,0.00044,140
38,1,256,1,2,1,1,0,2,2,0.00044,140
39,1,256,1,2,1,1,0,4,0,0.000455,158
40,1,256,1,2,1,1,0,4,1,0.000426,149
41,1,256,1,2,1,1,0,4,2,0.000426,149
42,1,256,1,2,1,1,0,8,0,0.000514,180
43,1,256,1,2,1,1,0,8,1,0.000471,190
44,1,256,1,2,1,1,0,8,2,0.000471,190
45,1,256,1,2,1,1,0,11,0,0.000485,253
46,1,256,1,2,1,1,0,11,1,0.00049,349
47,1,256,1,2,1,1,0,11,2,0.00049,349
48,1,256,1,4,1,1,0,1,0,0.000239,278
49,1,256,1,4,1,1,0,1,1,0.000221,288
50,1,256,1,4,1,1,0,1,2,0.000221,288
51,1,256,1,4,1,1,0,2,0,0.000206,276
52,1,256,1,4,1,1,0,2,1,0.000172,281
53,1,256,1,4,1,1,0,2,2,0.000172,281
54,1,256,1,4,1,1,0,3,0,0.00022,356
55,1,256,1,4,1,1,0,3,1,0.000211,417
56,1,256,1,4,1,1,0,3,2,0.000211,417
57,1,256,1,4,1,1,0,4,0,0.000201,308
58,1,256,1,4,1,1,0,4,1,0.000169,325
59,1,256,1,4,1,1,0,4,2,0.000169,325
60,1,256,1,4,1,1,0,7,0,0.000209,460
61,1,256,1,4,1,1,0,7,1,0.000227,543
62,1,256,1,4,1,1,0,7,2,0.000227,543
63,1,256,1,4,1,1,0,8,0,0.000235,344
64,1,256,1,4,1,1,0,8,1,0.000194,387
65,1,256,1,4,1,1,0,8,2,0.000194,387
66,1,256,1,4,1,1,0,11,0,0.000201,513
67,1,256,1,4,1,1,0,11,1,0.000213,652
68,1,256,1,4,1,1,0,11,2,0.000213,652
69,1,256,1,4,1,1,0,15,0,0.000212,608
70,1,256,1,4,1,1,0,15,1,0.00022,784
71,1,256,1,4,1,1,0,15,2,0.00022,784
72,1,256,1,8,1,1,0,1,0,0.00014,475
73,1,256,1,8,1,1,0,1,1,9.9E-05,489
74,1,256,1,8,1,1,0,1,2,9.9E-05,489
75,1,256,1,8,1,1,0,2,0,0.00011,483
76,1,256,1,8,1,1,0,2,1,8.8E-05,500
77,1,256,1,8,1,1,0,2,2,8.8E-05,500
78,1,256,1,8,1,1,0,4,0,0.000107,574
79,1,256,1,8,1,1,0,4,1,9.7E-05,554
80,1,256,1,8,1,1,0,4,2,9.7E-05,554
81,1,256,1,8,1,1,0,5,0,0.000106,757
82,1,256,1,8,1,1,0,5,1,0.000106,862
83,1,256,1,8,1,1,0,5,2,0.000106,862
84,1,256,1,8,1,1,0,7,0,0.000116,852
85,1,256,1,8,1,1,0,7,1,0.000114,969
86,1,256,1,8,1,1,0,7,2,0.000114,969
87,1,256,1,8,1,1,0,8,0,9.9E-05,587
88,1,256,1,8,1,1,0,8,1,0.000131,659
89,1,256,1,8,1,1,0,8,2,0.000131,659
90,1,256,1,8,1,1,0,13,0,0.000117,986
91,1,256,1,8,1,1,0,13,1,0.000127,1327
92,1,256,1,8,1,1,0,13,2,0.000127,1327
93,1,256,1,8,1,1,0,15,0,0.000114,1085
94,1,256,1,8,1,1,0,15,1,0.000113,1434
95,1,256,1,8,1,1,0,15,2,0.000113,1434
96,1,256,2,1,1,1,0,1,0,0.000594,32
97,1,256,2,1,1,1,0,1,1,0.000401,35
98,1,256,2,1,1,1,0,1,2,0.000401,35
99,1,256,2,1,1,1,0,2,0,0.000506,36
100,1,256,2,1,1,1,0,2,1,0.000403,43
101,1,256,2,1,1,1,0,2,2,0.000403,43
102,1,256,2,1,1,1,0,4,0,0.000459,47
103,1,256,2,1,1,1,0,4,1,0.000391,49
104,1,256,2,1,1,1,0,4,2,0.000391,49
105,1,256,2,1,1,1,0,8,0,0.000433,55
106,1,256,2,1,1,1,0,8,1,0.000421,64
107,1,256,2,1,1,1,0,8,2,0.000421,64
108,1,256,2,1,1,1,0,11,0,0.000535,100
109,1,256,2,1,1,1,0,11,1,0.000504,136
110,1,256,2,1,1,1,0,11,2,0.000504,136
111,1,256,2,2,1,1,0,1,0,0.000642,146
112,1,256,2,2,1,1,0,1,1,0.000402,150
113,1,256,2,2,1,1,0,1,2,0.000402,150
114,1,256,2,2,1,1,0,2,0,0.000538,160
115,1,256,2,2,1,1,0,2,1,0.000422,170
116,1,256,2,2,1,1,0,2,2,0.000422,170
117,1,256,2,2,1,1,0,3,0,0.000512,186
118,1,256,2,2,1,1,0,3,1,0.000466,213
119,1,256,2,2,1,1,0,3,2,0.000466,213
120,1,256,2,2,1,1,0,4,0,0.000479,179
121,1,256,2,2,1,1,0,4,1,0.000417,177
122,1,256,2,2,1,1,0,4,2,0.000428,179
123,1,256,2,2,1,1,0,7,0,0.00052,228
124,1,256,2,2,1,1,0,7,1,0.000489,292
125,1,256,2,2,1,1,0,7,2,0.000464,291
126,1,256,2,2,1,1,0,8,0,0.000531,195
127,1,256,2,2,1,1,0,8,1,0.000463,226
128,1,256,2,2,1,1,0,8,2,0.000466,230
129,1,256,2,2,1,1,0,11,0,0.000502,274
130,1,256,2,2,1,1,0,11,1,0.000493,353
131,1,256,2,2,1,1,0,11,2,0.000493,353
132,1,256,2,2,1,1,0,15,0,0.000562,358
133,1,256,2,2,1,1,0,15,1,0.000527,422
134,1,256,2,2,1,1,0,15,2,0.000527,422
135,1,256,2,4,1,1,0,1,0,0.00026,284
136,1,256,2,4,1,1,0,1,1,0.000174,289
137,1,256,2,4,1,1,0,1,2,0.000174,289
138,1,256,2,4,1,1,0,2,0,0.000219,316
139,1,256,2,4,1,1,0,2,1,0.00016,340
140,1,256,2,4,1,1,0,2,2,0.00016,340
141,1,256,2,4,1,1,0,4,0,0.000207,337
142,1,256,2,4,1,1,0,4,1,0.000188,350
143,1,256,2,4,1,1,0,4,2,0.000188,350
144,1,256,2,4,1,1,0,5,0,0.000195,445
145,1,256,2,4,1,1,0,5,1,0.000213,502
146,1,256,2,4,1,1,0,5,2,0.000213,502
147,1,256,2,4,1,1,0,7,0,0.000212,483
148,1,256,2,4,1,1,0,7,1,0.000225,573
149,1,256,2,4,1,1,0,7,2,0.000225,573
150,1,256,2,4,1,1,0,8,0,0.000209,379
151,1,256,2,4,1,1,0,8,1,0.000201,391
152,1,256,2,4,1,1,0,8,2,0.000201,391
153,1,256,2,4,1,1,0,13,0,0.000205,593
154,1,256,2,4,1,1,0,13,1,0.000224,745
155,1,256,2,4,1,1,0,13,2,0.000224,745
156,1,256,2,4,1,1,0,15,0,0.000254,671
157,1,256,2,4,1,1,0,15,1,0.00023,815
158,1,256,2,4,1,1,0,15,2,0.00023,815
159,1,256,2,8,1,1,0,1,0,0.000139,481
160,1,256,2,8,1,1,0,1,1,0.000107,512
161,1,256,2,8,1,1,0,1,2,0.000107,512
162,1,256,2,8,1,1,0,2,0,0.000128,486
163,1,256,2,8,1,1,0,2,1,1E-04,535
164,1,256,2,8,1,1,0,2,2,1E-04,535
165,1,256,2,8,1,1,0,3,0,0.000107,665
166,1,256,2,8,1,1,0,3,1,0.000124,750
167,1,256,2,8,1,1,0,3,2,0.000124,750
168,1,256,2,8,1,1,0,4,0,0.000118,601
169,1,256,2,8,1,1,0,4,1,0.000112,601
170,1,256,2,8,1,1,0,4,2,0.000112,601
171,1,256,2,8,1,1,0,5,0,0.000101,777
172,1,256,2,8,1,1,0,5,1,0.000105,919
173,1,256,2,8,1,1,0,5,2,0.000105,919
174,1,256,2,8,1,1,0,8,0,0.000111,662
175,1,256,2,8,1,1,0,8,1,9.5E-05,708
176,1,256,2,8,1,1,0,8,2,9.5E-05,708
177,1,256,2,8,1,1,0,9,0,0.00014,907
178,1,256,2,8,1,1,0,9,1,0.000133,1133
179,1,256,2,8,1,1,0,9,2,0.000133,1133
180,1,256,2,8,1,1,0,11,0,0.000115,989
181,1,256,2,8,1,1,0,11,1,0.000116,1299
182,1,256,2,8,1,1,0,11,2,0.000116,1299
183,1,256,2,8,1,1,0,15,0,0.000114,1199
184,1,256,2,8,1,1,0,15,1,0.000119,1556
185,1,256,2,8,1,1,0,15,2,0.000119,1556
186,1,256,4,1,1,1,0,1,0,0.000583,33
187,1,256,4,1,1,1,0,1,1,0.000409,39
188,1,256,4,1,1,1,0,1,2,0.000409,39
189,1,256,4,1,1,1,0,2,0,0.000509,36
190,1,256,4,1,1,1,0,2,1,0.00041,47
191,1,256,4,1,1,1,0,2,2,0.00041,47
192,1,256,4,1,1,1,0,3,0,0.00049,59
193,1,256,4,1,1,1,0,3,1,0.000407,66
194,1,256,4,1,1,1,0,3,2,0.000382,64
195,1,256,4,1,1,1,0,4,0,0.000428,46
196,1,256,4,1,1,1,0,4,1,0.000399,51
197,1,256,4,1,1,1,0,4,2,0.000399,51
198,1,256,4,1,1,1,0,7,0,0.000442,86
199,1,256,4,1,1,1,0,7,1,0.000399,101
200,1,256,4,1,1,1,0,7,2,0.000399,101
201,1,256,4,1,1,1,0,8,0,0.000434,51
202,1,256,4,1,1,1,0,8,1,0.000402,58
203,1,256,4,1,1,1,0,8,2,0.000402,58
204,1,256,4,1,1,1,0,11,0,0.000544,103
205,1,256,4,1,1,1,0,11,1,0.000559,133
206,1,256,4,1,1,1,0,11,2,0.000559,133
207,1,256,4,1,1,1,0,15,0,0.000524,129
208,1,256,4,1,1,1,0,15,1,0.000484,169
209,1,256,4,1,1,1,0,15,2,0.000484,169
210,1,256,4,2,1,1,0,1,0,0.000632,148
211,1,256,4,2,1,1,0,1,1,0.000419,148
212,1,256,4,2,1,1,0,1,2,0.000419,148
213,1,256,4,2,1,1,0,2,0,0.000539,165
214,1,256,4,2,1,1,0,2,1,0.00041,170
215,1,256,4,2,1,1,0,2,2,0.00041,170
216,1,256,4,2,1,1,0,4,0,0.000514,187
217,1,256,4,2,1,1,0,4,1,0.000447,176
218,1,256,4,2,1,1,0,4,2,0.000447,176
219,1,256,4,2,1,1,0,5,0,0.000479,209
220,1,256,4,2,1,1,0,5,1,0.000489,268
221,1,256,4,2,1,1,0,5,2,0.000489,268
222,1,256,4,2,1,1,0,7,0,0.00052,282
223,1,256,4,2,1,1,0,7,1,0.000459,297
224,1,256,4,2,1,1,0,7,2,0.000459,297
225,1,256,4,2,1,1,0,8,0,0.00054,186
226,1,256,4,2,1,1,0,8,1,0.000493,216
227,1,256,4,2,1,1,0,8,2,0.000493,216
228,1,256,4,2,1,1,0,13,0,0.000423,287
229,1,256,4,2,1,1,0,13,1,0.000475,371
230,1,256,4,2,1,1,0,13,2,0.000475,371
231,1,256,4,2,1,1,0,15,0,0.000555,354
232,1,256,4,2,1,1,0,15,1,0.000562,433
233,1,256,4,2,1,1,0,15,2,0.000562,433
234,1,256,4,4,1,1,0,1,0,0.000255,301
235,1,256,4,4,1,1,0,1,1,0.00019,294
236,1,256,4,4,1,1,0,1,2,0.00019,294
237,1,256,4,4,1,1,0,2,0,0.000209,279
238,1,256,4,4,1,1,0,2,1,0.000169,354
239,1,256,4,4,1,1,0,2,2,0.000191,352
240,1,256,4,4,1,1,0,3,0,0.000215,382
241,1,256,4,4,1,1,0,3,1,0.000197,431
242,1,256,4,4,1,1,0,3,2,0.000197,431
243,1,256,4,4,1,1,0,4,0,0.000189,386
244,1,256,4,4,1,1,0,4,1,0.000211,348
245,1,256,4,4,1,1,0,4,2,0.000211,342
246,1,256,4,4,1,1,0,5,0,0.000226,434
247,1,256,4,4,1,1,0,5,1,0.000211,518
248,1,256,4,4,1,1,0,5,2,0.000206,524
249,1,256,4,4,1,1,0,8,0,0.000226,374
250,1,256,4,4,1,1,0,8,1,0.000195,402
251,1,256,4,4,1,1,0,8,2,0.000195,402
252,1,256,4,4,1,1,0,9,0,0.000204,488
253,1,256,4,4,1,1,0,9,1,0.000219,643
254,1,256,4,4,1,1,0,9,2,0.000219,643
255,1,256,4,4,1,1,0,11,0,0.000219,560
256,1,256,4,4,1,1,0,11,1,0.000218,687
257,1,256,4,4,1,1,0,11,2,0.000218,687
258,1,256,4,4,1,1,0,15,0,0.000243,654
259,1,256,4,4,1,1,0,15,1,0.000244,819
260,1,256,4,4,1,1,0,15,2,0.000244,819
261,1,256,4,8,1,1,0,1,0,0.000131,502
262,1,256,4,8,1,1,0,1,1,0.000105,501
263,1,256,4,8,1,1,0,1,2,0.000105,501
264,1,256,4,8,1,1,0,2,0,0.000112,490
265,1,256,4,8,1,1,0,2,1,9.6E-05,571
266,1,256,4,8,1,1,0,2,2,9.6E-05,571
267,1,256,4,8,1,1,0,4,0,0.000116,576
268,1,256,4,8,1,1,0,4,1,0.00011,594
269,1,256,4,8,1,1,0,4,2,0.00011,594
270,1,256,4,8,1,1,0,7,0,0.000121,902
271,1,256,4,8,1,1,0,7,1,0.000114,1058
272,1,256,4,8,1,1,0,7,2,0.000114,1058
273,1,256,4,8,1,1,0,8,0,0.000125,653
274,1,256,4,8,1,1,0,8,1,0.00011,715
275,1,256,4,8,1,1,0,8,2,0.00011,715
276,1,256,4,8,1,1,0,9,0,0.000122,900
277,1,256,4,8,1,1,0,9,1,0.000118,1169
278,1,256,4,8,1,1,0,9,2,0.000118,1169
279,1,256,8,1,1,1,0,1,0,0.000616,39
280,1,256,8,1,1,1,0,1,1,0.000405,40
281,1,256,8,1,1,1,0,1,2,0.000405,40
282,1,256,8,1,1,1,0,2,0,0.000501,40
283,1,256,8,1,1,1,0,2,1,0.000401,41
284,1,256,8,1,1,1,0,2,2,0.000401,41
285,1,256,8,1,1,1,0,4,0,0.000469,48
286,1,256,8,1,1,1,0,4,1,0.000422,48
287,1,256,8,1,1,1,0,4,2,0.000422,48
288,1,256,8,1,1,1,0,5,0,0.000432,74
289,1,256,8,1,1,1,0,5,1,0.000474,95
290,1,256,8,1,1,1,0,5,2,0.000474,95
291,1,256,8,1,1,1,0,7,0,0.000432,84
292,1,256,8,1,1,1,0,7,1,0.000472,100
293,1,256,8,1,1,1,0,7,2,0.000472,100
294,1,256,8,1,1,1,0,8,0,0.000413,52
295,1,256,8,1,1,1,0,8,1,0.000441,61
296,1,256,8,1,1,1,0,8,2,0.000441,61
297,1,256,8,1,1,1,0,13,0,0.000482,109
298,1,256,8,1,1,1,0,13,1,0.000613,146
299,1,256,8,1,1,1,0,13,2,0.000613,146
300,1,256,8,1,1,1,0,15,0,0.000565,135
301,1,256,8,1,1,1,0,15,1,0.000545,163
302,1,256,8,1,1,1,0,15,2,0.000545,163
303,1,256,8,2,1,1,0,1,0,0.000649,148
304,1,256,8,2,1,1,0,1,1,0.000449,154
305,1,256,8,2,1,1,0,1,2,0.000449,154
306,1,256,8,2,1,1,0,2,0,0.000542,171
307,1,256,8,2,1,1,0,2,1,0.000424,164
308,1,256,8,2,1,1,0,2,2,0.000424,164
309,1,256,8,2,1,1,0,3,0,0.000518,184
310,1,256,8,2,1,1,0,3,1,0.000504,230
311,1,256,8,2,1,1,0,3,2,0.000489,229
312,1,256,8,2,1,1,0,4,0,0.000492,178
313,1,256,8,2,1,1,0,4,1,0.000443,171
314,1,256,8,2,1,1,0,4,2,0.000443,171
315,1,256,8,2,1,1,0,5,0,0.000496,228
316,1,256,8,2,1,1,0,5,1,0.000504,268
317,1,256,8,2,1,1,0,5,2,0.000504,268
318,1,256,8,2,1,1,0,8,0,0.000481,190
319,1,256,8,2,1,1,0,8,1,0.000414,217
320,1,256,8,2,1,1,0,8,2,0.000414,217
321,1,256,8,2,1,1,0,9,0,0.000478,250
322,1,256,8,2,1,1,0,9,1,0.000479,328
323,1,256,8,2,1,1,0,9,2,0.000492,324
324,1,256,8,2,1,1,0,11,0,0.000442,290
325,1,256,8,2,1,1,0,11,1,0.000517,347
326,1,256,8,2,1,1,0,11,2,0.00049,341
327,1,256,8,2,1,1,0,15,0,0.000573,357
328,1,256,8,2,1,1,0,15,1,0.0005,426
329,1,256,8,2,1,1,0,15,2,0.0005,426
330,1,256,8,4,1,1,0,1,0,0.000243,269
331,1,256,8,4,1,1,0,1,1,0.000223,302
332,1,256,8,4,1,1,0,1,2,0.000223,302
333,1,256,8,4,1,1,0,2,0,0.00024,325
334,1,256,8,4,1,1,0,2,1,0.000198,337
335,1,256,8,4,1,1,0,2,2,0.000198,337
336,1,256,8,4,1,1,0,4,0,0.000214,341
337,1,256,8,4,1,1,0,4,1,0.000193,346
338,1,256,8,4,1,1,0,4,2,0.000203,339
339,1,256,8,4,1,1,0,7,0,0.000232,491
340,1,256,8,4,1,1,0,7,1,0.000227,579
341,1,256,8,4,1,1,0,7,2,0.000227,579
342,1,256,8,4,1,1,0,8,0,0.00023,353
343,1,256,8,4,1,1,0,8,1,0.00022,404
344,1,256,8,4,1,1,0,8,2,0.00022,404
345,1,256,8,4,1,1,0,9,0,0.000244,514
346,1,256,8,4,1,1,0,9,1,0.000232,637
347,1,256,8,4,1,1,0,9,2,0.000232,637
348,1,256,8,8,1,1,0,1,0,0.000139,495
349,1,256,8,8,1,1,0,1,1,0.000114,540
350,1,256,8,8,1,1,0,1,2,0.000114,540
351,1,256,8,8,1,1,0,2,0,0.000117,494
352,1,256,8,8,1,1,0,2,1,0.000104,572
353,1,256,8,8,1,1,0,2,2,0.000104,572
354,1,256,8,8,1,1,0,3,0,0.000138,653
355,1,256,8,8,1,1,0,3,1,0.000124,771
356,1,256,8,8,1,1,0,3,2,0.000124,771
357,1,256,8,8,1,1,0,4,0,0.000124,595
358,1,256,8,8,1,1,0,4,1,0.000123,574
359,1,256,8,8,1,1,0,4,2,0.000123,574
360,1,256,8,8,1,1,0,7,0,0.000128,886
361,1,256,8,8,1,1,0,7,1,0.000136,1028
362,1,256,8,8,1,1,0,7,2,0.000136,1028
363,1,256,8,8,1,1,0,8,0,0.000125,624
364,1,256,8,8,1,1,0,8,1,0.000105,691
365,1,256,8,8,1,1,0,8,2,0.000105,691
366,1,256,8,8,1,1,0,9,0,0.000116,922
367,1,256,8,8,1,1,0,9,1,0.000146,1159
368,1,256,8,8,1,1,0,9,2,0.000146,1159
369,1,256,8,8,1,1,0,15,0,0.000133,1232
370,1,256,8,8,1,1,0,15,1,0.000147,1566
371,1,256,8,8,1,1,0,15,2,0.000147,1566
372,2,256,1,1,1,1,0,1,0,0.000315,42
373,2,256,1,1,1,1,0,1,1,0.000216,51
374,2,256,1,1,1,1,0,1,2,0.000216,51
375,2,256,1,1,1,1,0,2,0,0.000259,50
376,2,256,1,1,1,1,0,2,1,0.000192,55
377,2,256,1,1,1,1,0,2,2,0.000192,55
378,2,256,1,1,1,1,0,3,0,0.00023,55
379,2,256,1,1,1,1,0,3,1,0.0002,76
380,2,256,1,1,1,1,0,3,2,0.0002,76
381,2,256,1,1,1,1,0,4,0,0.000239,53
382,2,256,1,1,1,1,0,4,1,0.000218,75
383,2,256,1,1,1,1,0,4,2,0.000205,75
384,2,256,1,1,1,1,0,5,0,0.000247,75
385,2,256,1,1,1,1,0,5,1,0.000219,98
386,2,256,1,1,1,1,0,5,2,0.000219,98
387,2,256,1,1,1,1,0,6,0,0.000224,71
388,2,256,1,1,1,1,0,6,1,0.00021,95
389,2,256,1,1,1,1,0,6,2,0.00021,95
390,2,256,1,1,1,1,0,7,0,0.000239,91
391,2,256,1,1,1,1,0,7,1,0.000254,133
392,2,256,1,1,1,1,0,7,2,0.000254,133
393,2,256,1,1,1,1,0,8,0,0.000234,67
394,2,256,1,1,1,1,0,8,1,0.000211,79
395,2,256,1,1,1,1,0,8,2,0.000211,79
396,2,256,1,1,1,1,0,9,0,0.000228,107
397,2,256,1,1,1,1,0,9,1,0.000255,155
398,2,256,1,1,1,1,0,9,2,0.000255,155
399,2,256,1,1,1,1,0,10,0,0.000222,111
400,2,256,1,1,1,1,0,10,1,0.000261,158
401,2,256,1,1,1,1,0,10,2,0.000261,158
402,2,256,1,1,1,1,0,11,0,0.000247,145
403,2,256,1,1,1,1,0,11,1,0.00032,184
404,2,256,1,1,1,1,0,11,2,0.00032,184
405,2,256,1,1,1,1,0,12,0,0.000227,121
406,2,256,1,1,1,1,0,12,1,0.000247,165
407,2,256,1,1,1,1,0,12,2,0.000247,165
408,2,256,1,1,1,1,0,13,0,0.000259,166
409,2,256,1,1,1,1,0,13,1,0.000284,208
410,2,256,1,1,1,1,0,13,2,0.000284,208
411,2,256,1,1,1,1,0,14,0,0.000257,163
412,2,256,1,1,1,1,0,14,1,0.000296,223
413,2,256,1,1,1,1,0,14,2,0.000296,223
414,2,256,1,1,1,1,0,15,0,0.000328,196
415,2,256,1,1,1,1,0,15,1,0.000291,228
416,2,256,1,1,1,1,0,15,2,0.000291,228
417,2,256,1,2,1,1,0,1,0,0.000235,160
418,2,256,1,2,1,1,0,1,1,0.000156,159
419,2,256,1,2,1,1,0,1,2,0.000156,159
420,2,256,1,2,1,1,0,2,0,0.000201,200
421,2,256,1,2,1,1,0,2,1,0.000161,134
422,2,256,1,2,1,1,0,2,2,0.000161,134
423,2,256,1,2,1,1,0,3,0,0.000211,191
424,2,256,1,2,1,1,0,3,1,0.000191,243
425,2,256,1,2,1,1,0,3,2,0.000191,243
426,2,256,1,2,1,1,0,4,0,0.000215,245
427,2,256,1,2,1,1,0,4,1,0.000178,195
428,2,256,1,2,1,1,0,4,2,0.000179,199
429,2,256,1,2,1,1,0,5,0,0.000188,257
430,2,256,1,2,1,1,0,5,1,0.000202,271
431,2,256,1,2,1,1,0,5,2,0.000202,271
432,2,256,1,2,1,1,0,6,0,0.000189,248
433,2,256,1,2,1,1,0,6,1,0.000178,281
434,2,256,1,2,1,1,0,6,2,0.000178,281
435,2,256,1,2,1,1,0,7,0,0.00019,240
436,2,256,1,2,1,1,0,7,1,0.000219,329
437,2,256,1,2,1,1,0,7,2,0.000219,329
438,2,256,1,2,1,1,0,8,0,0.000206,214
439,2,256,1,2,1,1,0,8,1,0.000202,224
440,2,256,1,2,1,1,0,8,2,0.000202,224
441,2,256,1,2,1,1,0,9,0,0.00021,335
442,2,256,1,2,1,1,0,9,1,0.000216,371
443,2,256,1,2,1,1,0,9,2,0.000216,371
444,2,256,1,2,1,1,0,10,0,0.000222,328
445,2,256,1,2,1,1,0,10,1,0.000196,392
446,2,256,1,2,1,1,0,10,2,0.000196,392
447,2,256,1,2,1,1,0,11,0,0.00025,354
448,2,256,1,2,1,1,0,11,1,0.000209,415
449,2,256,1,2,1,1,0,11,2,0.000209,415
450,2,256,1,2,1,1,0,12,0,0.000219,336
451,2,256,1,2,1,1,0,12,1,0.000195,403
452,2,256,1,2,1,1,0,12,2,0.000195,403
453,2,256,1,2,1,1,0,13,0,0.000214,418
454,2,256,1,2,1,1,0,13,1,0.000203,483
455,2,256,1,2,1,1,0,13,2,0.000203,483
456,2,256,1,2,1,1,0,14,0,0.000218,385
457,2,256,1,2,1,1,0,14,1,0.000212,502
458,2,256,1,2,1,1,0,14,2,0.000212,502
459,2,256,1,2,1,1,0,15,0,0.000243,426
460,2,256,1,2,1,1,0,15,1,0.00025,531
461,2,256,1,2,1,1,0,15,2,0.00025,531
462,2,256,1,4,1,1,0,1,0,0.000119,291
463,2,256,1,4,1,1,0,1,1,8.1E-05,315
464,2,256,1,4,1,1,0,1,2,8.1E-05,315
465,2,256,1,4,1,1,0,2,0,9.5E-05,300
466,2,256,1,4,1,1,0,2,1,8.2E-05,342
467,2,256,1,4,1,1,0,2,2,8.2E-05,342
468,2,256,1,4,1,1,0,3,0,9E-05,351
469,2,256,1,4,1,1,0,3,1,1E-04,466
470,2,256,1,4,1,1,0,3,2,1E-04,466
471,2,256,1,4,1,1,0,4,0,8.9E-05,362
472,2,256,1,4,1,1,0,4,1,9.5E-05,374
473,2,256,1,4,1,1,0,4,2,9.5E-05,374
474,2,256,1,4,1,1,0,5,0,0.000124,478
475,2,256,1,4,1,1,0,5,1,0.000111,526
476,2,256,1,4,1,1,0,5,2,0.000111,526
477,2,256,1,4,1,1,0,6,0,8.8E-05,460
478,2,256,1,4,1,1,0,6,1,0.00011,504
479,2,256,1,4,1,1,0,6,2,0.00011,504
480,2,256,1,4,1,1,0,7,0,8.6E-05,458
481,2,256,1,4,1,1,0,7,1,0.000104,639
482,2,256,1,4,1,1,0,7,2,0.000104,639
483,2,256,1,4,1,1,0,8,0,9.7E-05,400
484,2,256,1,4,1,1,0,8,1,1E-04,441
485,2,256,1,4,1,1,0,8,2,1E-04,441
486,2,256,1,4,1,1,0,9,0,0.000107,596
487,2,256,1,4,1,1,0,9,1,0.000113,719
488,2,256,1,4,1,1,0,9,2,0.000113,719
489,2,256,1,4,1,1,0,10,0,0.00012,604
490,2,256,1,4,1,1,0,10,1,9.2E-05,687
491,2,256,1,4,1,1,0,10,2,9.2E-05,687
492,2,256,1,4,1,1,0,11,0,0.000104,708
493,2,256,1,4,1,1,0,11,1,0.000115,781
494,2,256,1,4,1,1,0,11,2,9.9E-05,777
495,2,256,1,4,1,1,0,12,0,0.000102,618
496,2,256,1,4,1,1,0,12,1,0.000112,763
497,2,256,1,4,1,1,0,12,2,0.000107,764
498,2,256,1,4,1,1,0,13,0,0.000125,786
499,2,256,1,4,1,1,0,13,1,0.000111,871
500,2,256,1,4,1,1,0,13,2,0.000111,871
501,2,256,1,4,1,1,0,14,0,0.00011,747
502,2,256,1,4,1,1,0,14,1,0.000112,962
503,2,256,1,4,1,1,0,14,2,0.000112,962
504,2,256,1,4,1,1,0,15,0,0.00011,880
