n,knob_HIST_SIZE,knob_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_UNROLL_FACTOR,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0076,256,1,4,2,0,65536,0.0016,7515
0078,256,1,4,3,0,2048,0.0015,7484
0079,256,1,4,3,0,4096,0.0016,7526
0080,256,1,4,3,0,8192,0.0014,7301
0081,256,1,4,3,0,16384,0.0015,7087
0083,256,1,4,3,0,65536,0.0015,7212
0084,256,1,5,1,0,1024,0.0014,8146
0086,256,1,5,1,0,4096,0.0014,7656
0087,256,1,5,1,0,8192,0.0013,7188
0088,256,1,5,1,0,16384,0.0014,7552
0089,256,1,5,1,0,32768,0.0013,7506
0090,256,1,5,1,0,65536,0.0014,7546
0091,256,1,5,2,0,1024,0.0016,7862
0092,256,1,5,2,0,2048,0.0016,7609
0093,256,1,5,2,0,4096,0.0016,7736
0095,256,1,5,2,0,16384,0.0017,7191
0097,256,1,5,2,0,65536,0.0016,7413
0100,256,1,5,3,0,4096,0.0017,7865
0101,256,1,5,3,0,8192,0.0016,7463
0102,256,1,5,3,0,16384,0.0018,9320
0103,256,1,5,3,0,32768,0.0018,9306
0104,256,1,5,3,0,65536,0.0016,9337
0105,256,1,6,1,0,1024,0.0014,7679
0106,256,1,6,1,0,2048,0.0014,7769
0107,256,1,6,1,0,4096,0.0013,7255
0108,256,1,6,1,0,8192,0.0013,7603
0109,256,1,6,1,0,16384,0.0012,7052
0110,256,1,6,1,0,32768,0.0013,7454
0112,256,1,6,2,0,1024,0.0009,7623
0114,256,1,6,2,0,4096,0.0010,8060
0115,256,1,6,2,0,8192,0.0010,7100
0116,256,1,6,2,0,16384,0.0010,7619
0117,256,1,6,2,0,32768,0.0009,7491
0118,256,1,6,2,0,65536,0.0009,7616
0120,256,1,6,3,0,2048,0.0017,7935
0123,256,1,6,3,0,16384,0.0018,7088
0125,256,1,6,3,0,65536,0.0016,7087
0127,256,1,7,1,0,2048,0.0015,7389
0128,256,1,7,1,0,4096,0.0016,7953
0130,256,1,7,1,0,16384,0.0015,7110
0131,256,1,7,1,0,32768,0.0015,7308
0132,256,1,7,1,0,65536,0.0014,7034
0134,256,1,7,2,0,2048,0.0010,7832
0135,256,1,7,2,0,4096,0.0010,7775
0136,256,1,7,2,0,8192,0.0010,7110
0138,256,1,7,2,0,32768,0.0009,7848
0139,256,1,7,2,0,65536,0.0009,7676
0141,256,1,7,3,0,2048,0.0017,7629
0143,256,1,7,3,0,8192,0.0018,9443
0144,256,1,7,3,0,16384,0.0015,7375
0145,256,1,7,3,0,32768,0.0015,7379
0146,256,1,7,3,0,65536,0.0015,7316
0147,256,2,1,1,0,1024,0.0023,7580
0149,256,2,1,1,0,4096,0.0024,7386
0151,256,2,1,1,0,16384,0.0025,7057
0153,256,2,1,1,0,65536,0.0023,7530
0155,256,2,1,2,0,2048,0.0021,7708
0156,256,2,1,2,0,4096,0.0019,7748
0157,256,2,1,2,0,8192,0.0021,7435
0158,256,2,1,2,0,16384,0.0021,7150
0159,256,2,1,2,0,32768,0.0020,7409
0160,256,2,1,2,0,65536,0.0021,7549
0161,256,2,1,3,0,1024,0.0018,8297
0162,256,2,1,3,0,2048,0.0020,7868
0163,256,2,1,3,0,4096,0.0019,7740
0165,256,2,1,3,0,16384,0.0019,7049
0166,256,2,1,3,0,32768,0.0020,7104
0167,256,2,1,3,0,65536,0.0019,7135
0168,256,2,2,1,0,1024,0.0019,7737
0169,256,2,2,1,0,2048,0.0021,8025
0170,256,2,2,1,0,4096,0.0021,7740
0172,256,2,2,1,0,16384,0.0020,7524
0173,256,2,2,1,0,32768,0.0020,7504
0174,256,2,2,1,0,65536,0.0020,7495
0175,256,2,2,2,0,1024,0.0017,8050
0176,256,2,2,2,0,2048,0.0017,7518
0177,256,2,2,2,0,4096,0.0018,7525
0178,256,2,2,2,0,8192,0.0018,7261
0179,256,2,2,2,0,16384,0.0017,7138
0181,256,2,2,2,0,65536,0.0016,7085
0182,256,2,2,3,0,1024,0.0016,8509
0187,256,2,2,3,0,32768,0.0016,7071
0188,256,2,2,3,0,65536,0.0016,7637
0189,256,2,3,1,0,1024,0.0013,8151
0190,256,2,3,1,0,2048,0.0014,8201
0191,256,2,3,1,0,4096,0.0014,7610
0192,256,2,3,1,0,8192,0.0013,7463
0193,256,2,3,1,0,16384,0.0013,7527
0194,256,2,3,1,0,32768,0.0013,7101
0195,256,2,3,1,0,65536,0.0013,7524
0197,256,2,3,2,0,2048,0.0019,7833
0198,256,2,3,2,0,4096,0.0018,7974
0199,256,2,3,2,0,8192,0.0018,7401
0200,256,2,3,2,0,16384,0.0018,7074
0201,256,2,3,2,0,32768,0.0017,7440
0203,256,2,3,3,0,1024,0.0017,7793
0205,256,2,3,3,0,4096,0.0017,7684
0207,256,2,3,3,0,16384,0.0017,7036
0209,256,2,3,3,0,65536,0.0016,7124
0211,256,2,4,1,0,2048,0.0014,7909
0212,256,2,4,1,0,4096,0.0014,7747
0213,256,2,4,1,0,8192,0.0014,7701
0214,256,2,4,1,0,16384,0.0013,7083
0216,256,2,4,1,0,65536,0.0014,7569
0217,256,2,4,2,0,1024,0.0017,8295
0220,256,2,4,2,0,8192,0.0017,7644
0221,256,2,4,2,0,16384,0.0019,7207
0223,256,2,4,2,0,65536,0.0016,7515
0224,256,2,4,3,0,1024,0.0015,7721
0225,256,2,4,3,0,2048,0.0015,7484
0226,256,2,4,3,0,4096,0.0016,7526
0227,256,2,4,3,0,8192,0.0014,7301
0228,256,2,4,3,0,16384,0.0015,7087
0229,256,2,4,3,0,32768,0.0015,7405
0230,256,2,4,3,0,65536,0.0015,7212
0233,256,2,5,1,0,4096,0.0014,7656
0235,256,2,5,1,0,16384,0.0014,7552
0236,256,2,5,1,0,32768,0.0013,7506
0237,256,2,5,1,0,65536,0.0014,7546
0238,256,2,5,2,0,1024,0.0016,7862
0239,256,2,5,2,0,2048,0.0017,7599
0240,256,2,5,2,0,4096,0.0016,7736
0242,256,2,5,2,0,16384,0.0017,7191
0243,256,2,5,2,0,32768,0.0016,7656
0244,256,2,5,2,0,65536,0.0016,7413
0247,256,2,5,3,0,4096,0.0017,7865
0248,256,2,5,3,0,8192,0.0016,7463
0249,256,2,5,3,0,16384,0.0018,9320
0250,256,2,5,3,0,32768,0.0018,9306
0251,256,2,5,3,0,65536,0.0016,9337
0252,256,2,6,1,0,1024,0.0014,7679
0253,256,2,6,1,0,2048,0.0014,7769
0254,256,2,6,1,0,4096,0.0013,7255
0255,256,2,6,1,0,8192,0.0013,7603
0256,256,2,6,1,0,16384,0.0012,7052
0257,256,2,6,1,0,32768,0.0013,7454
0258,256,2,6,1,0,65536,0.0013,7439
0259,256,2,6,2,0,1024,0.0009,7623
0260,256,2,6,2,0,2048,0.0010,7797
0261,256,2,6,2,0,4096,0.0010,8060
0262,256,2,6,2,0,8192,0.0010,7100
0263,256,2,6,2,0,16384,0.0010,7619
0264,256,2,6,2,0,32768,0.0009,7491
0265,256,2,6,2,0,65536,0.0009,7616
0267,256,2,6,3,0,2048,0.0017,7935
0269,256,2,6,3,0,8192,0.0017,7600
0270,256,2,6,3,0,16384,0.0018,7088
0272,256,2,6,3,0,65536,0.0016,7087
0273,256,2,7,1,0,1024,0.0015,7677
0274,256,2,7,1,0,2048,0.0015,7389
0275,256,2,7,1,0,4096,0.0015,7956
0276,256,2,7,1,0,8192,0.0015,7144
0279,256,2,7,1,0,65536,0.0014,7034
0281,256,2,7,2,0,2048,0.0010,7832
0282,256,2,7,2,0,4096,0.0010,7775
0283,256,2,7,2,0,8192,0.0010,7110
0285,256,2,7,2,0,32768,0.0009,7848
0286,256,2,7,2,0,65536,0.0009,7676
0288,256,2,7,3,0,2048,0.0017,7629
0290,256,2,7,3,0,8192,0.0018,9443
0291,256,2,7,3,0,16384,0.0015,7375
0292,256,2,7,3,0,32768,0.0015,7379
0293,256,2,7,3,0,65536,0.0015,7316
0294,256,3,1,1,0,1024,0.0023,7580
0296,256,3,1,1,0,4096,0.0024,7386
0297,256,3,1,1,0,8192,0.0024,7056
0298,256,3,1,1,0,16384,0.0025,7057
0299,256,3,1,1,0,32768,0.0023,7551
0300,256,3,1,1,0,65536,0.0023,7530
0302,256,3,1,2,0,2048,0.0021,7708
0303,256,3,1,2,0,4096,0.0019,7748
0304,256,3,1,2,0,8192,0.0021,7435
0306,256,3,1,2,0,32768,0.0020,7409
0307,256,3,1,2,0,65536,0.0021,7555
0308,256,3,1,3,0,1024,0.0018,8297
0309,256,3,1,3,0,2048,0.0020,7868
0312,256,3,1,3,0,16384,0.0019,7049
0313,256,3,1,3,0,32768,0.0020,7104
0314,256,3,1,3,0,65536,0.0019,7135
0315,256,3,2,1,0,1024,0.0019,7737
0316,256,3,2,1,0,2048,0.0021,8025
0317,256,3,2,1,0,4096,0.0021,7740
0320,256,3,2,1,0,32768,0.0020,7504
0321,256,3,2,1,0,65536,0.0020,7495
0322,256,3,2,2,0,1024,0.0017,8050
0323,256,3,2,2,0,2048,0.0017,7518
0324,256,3,2,2,0,4096,0.0018,7525
0325,256,3,2,2,0,8192,0.0018,7261
0326,256,3,2,2,0,16384,0.0017,7138
0327,256,3,2,2,0,32768,0.0016,7154
0329,256,3,2,3,0,1024,0.0016,8509
0331,256,3,2,3,0,4096,0.0016,7845
0332,256,3,2,3,0,8192,0.0016,7236
0334,256,3,2,3,0,32768,0.0016,7071
0335,256,3,2,3,0,65536,0.0016,7637
0337,256,3,3,1,0,2048,0.0014,8201
0338,256,3,3,1,0,4096,0.0014,7610
0339,256,3,3,1,0,8192,0.0013,7463
0340,256,3,3,1,0,16384,0.0013,7527
0341,256,3,3,1,0,32768,0.0013,7101
0342,256,3,3,1,0,65536,0.0013,7524
0344,256,3,3,2,0,2048,0.0019,7833
0345,256,3,3,2,0,4096,0.0018,7974
0346,256,3,3,2,0,8192,0.0018,7401
0347,256,3,3,2,0,16384,0.0018,7074
0348,256,3,3,2,0,32768,0.0017,7440
0350,256,3,3,3,0,1024,0.0017,7793
0351,256,3,3,3,0,2048,0.0017,7402
0352,256,3,3,3,0,4096,0.0017,7684
0354,256,3,3,3,0,16384,0.0017,7036
0356,256,3,3,3,0,65536,0.0016,7124
0358,256,3,4,1,0,2048,0.0014,7909
0359,256,3,4,1,0,4096,0.0014,7747
0360,256,3,4,1,0,8192,0.0014,7701
0363,256,3,4,1,0,65536,0.0014,7569
0364,256,3,4,2,0,1024,0.0017,8295
0367,256,3,4,2,0,8192,0.0017,7644
0370,256,3,4,2,0,65536,0.0016,7515
0373,256,3,4,3,0,4096,0.0016,7526
0374,256,3,4,3,0,8192,0.0014,7301
0375,256,3,4,3,0,16384,0.0015,7087
0377,256,3,4,3,0,65536,0.0015,7212
0378,256,3,5,1,0,1024,0.0014,8146
0380,256,3,5,1,0,4096,0.0014,7656
0381,256,3,5,1,0,8192,0.0013,7188
0382,256,3,5,1,0,16384,0.0014,7552
0383,256,3,5,1,0,32768,0.0013,7506
0384,256,3,5,1,0,65536,0.0014,7546
0385,256,3,5,2,0,1024,0.0016,7862
0386,256,3,5,2,0,2048,0.0016,7609
0387,256,3,5,2,0,4096,0.0016,7736
0389,256,3,5,2,0,16384,0.0017,7191
0390,256,3,5,2,0,32768,0.0016,7666
0391,256,3,5,2,0,65536,0.0016,7413
0394,256,3,5,3,0,4096,0.0017,7865
0396,256,3,5,3,0,16384,0.0018,9320
0397,256,3,5,3,0,32768,0.0018,9306
0398,256,3,5,3,0,65536,0.0016,9337
0399,256,3,6,1,0,1024,0.0014,7679
0400,256,3,6,1,0,2048,0.0014,7769
0401,256,3,6,1,0,4096,0.0013,7255
0402,256,3,6,1,0,8192,0.0013,7603
0403,256,3,6,1,0,16384,0.0012,7052
0404,256,3,6,1,0,32768,0.0013,7454
0406,256,3,6,2,0,1024,0.0009,7623
0408,256,3,6,2,0,4096,0.0010,8060
0409,256,3,6,2,0,8192,0.0010,7100
0410,256,3,6,2,0,16384,0.0010,7619
0411,256,3,6,2,0,32768,0.0009,7491
0412,256,3,6,2,0,65536,0.0009,7616
0414,256,3,6,3,0,2048,0.0017,7935
0416,256,3,6,3,0,8192,0.0017,7600
0417,256,3,6,3,0,16384,0.0018,7088
0418,256,3,6,3,0,32768,0.0018,7262
0419,256,3,6,3,0,65536,0.0016,7087
0421,256,3,7,1,0,2048,0.0015,7389
0422,256,3,7,1,0,4096,0.0016,7953
0424,256,3,7,1,0,16384,0.0015,7110
0425,256,3,7,1,0,32768,0.0015,7308
0426,256,3,7,1,0,65536,0.0014,7034
0428,256,3,7,2,0,2048,0.0010,7832
0429,256,3,7,2,0,4096,0.0010,7775
0430,256,3,7,2,0,8192,0.0010,7110
0432,256,3,7,2,0,32768,0.0009,7848
0433,256,3,7,2,0,65536,0.0009,7676
0435,256,3,7,3,0,2048,0.0017,7629
0437,256,3,7,3,0,8192,0.0018,9443
0438,256,3,7,3,0,16384,0.0015,7375
0439,256,3,7,3,0,32768,0.0015,7379
0440,256,3,7,3,0,65536,0.0015,7316
0441,256,4,1,1,0,1024,0.0023,7580
0442,256,4,1,1,0,2048,0.0022,7550
0443,256,4,1,1,0,4096,0.0024,7386
0444,256,4,1,1,0,8192,0.0024,7056
0445,256,4,1,1,0,16384,0.0025,7057
0446,256,4,1,1,0,32768,0.0023,7551
0447,256,4,1,1,0,65536,0.0023,7530
0448,256,4,1,2,0,1024,0.0020,7618
0449,256,4,1,2,0,2048,0.0021,7708
0450,256,4,1,2,0,4096,0.0019,7748
0451,256,4,1,2,0,8192,0.0021,7435
0452,256,4,1,2,0,16384,0.0021,7137
0453,256,4,1,2,0,32768,0.0020,7409
0454,256,4,1,2,0,65536,0.0021,7549
0455,256,4,1,3,0,1024,0.0018,8297
0456,256,4,1,3,0,2048,0.0020,7868
0457,256,4,1,3,0,4096,0.0019,7740
0459,256,4,1,3,0,16384,0.0019,7049
0460,256,4,1,3,0,32768,0.0020,7104
0461,256,4,1,3,0,65536,0.0019,7135
0462,256,4,2,1,0,1024,0.0019,7737
0464,256,4,2,1,0,4096,0.0021,7740
0466,256,4,2,1,0,16384,0.0020,7524
0467,256,4,2,1,0,32768,0.0020,7504
0468,256,4,2,1,0,65536,0.0020,7495
0469,256,4,2,2,0,1024,0.0017,8050
0470,256,4,2,2,0,2048,0.0017,7518
0471,256,4,2,2,0,4096,0.0018,7525
0473,256,4,2,2,0,16384,0.0017,7138
0474,256,4,2,2,0,32768,0.0016,7154
0475,256,4,2,2,0,65536,0.0016,7085
0481,256,4,2,3,0,32768,0.0016,7071
0482,256,4,2,3,0,65536,0.0016,7637
0484,256,4,3,1,0,2048,0.0014,8201
0485,256,4,3,1,0,4096,0.0014,7610
0486,256,4,3,1,0,8192,0.0013,7463
0487,256,4,3,1,0,16384,0.0013,7527
0488,256,4,3,1,0,32768,0.0013,7101
0489,256,4,3,1,0,65536,0.0013,7524
0491,256,4,3,2,0,2048,0.0019,7833
0492,256,4,3,2,0,4096,0.0018,7974
0493,256,4,3,2,0,8192,0.0018,7401
0494,256,4,3,2,0,16384,0.0018,7074
0495,256,4,3,2,0,32768,0.0017,7440
0497,256,4,3,3,0,1024,0.0017,7793
0499,256,4,3,3,0,4096,0.0017,7684
0500,256,4,3,3,0,8192,0.0018,7476
0501,256,4,3,3,0,16384,0.0017,7036
0503,256,4,3,3,0,65536,0.0016,7124
0504,256,4,4,1,0,1024,0.0014,7988
0505,256,4,4,1,0,2048,0.0014,7909
0507,256,4,4,1,0,8192,0.0014,7701
0510,256,4,4,1,0,65536,0.0014,7569
0511,256,4,4,2,0,1024,0.0017,8295
0514,256,4,4,2,0,8192,0.0017,7644
0517,256,4,4,2,0,65536,0.0016,7515
0521,256,4,4,3,0,8192,0.0014,7301
0522,256,4,4,3,0,16384,0.0015,7087
0524,256,4,4,3,0,65536,0.0015,7212
0527,256,4,5,1,0,4096,0.0014,7656
0529,256,4,5,1,0,16384,0.0014,7552
0530,256,4,5,1,0,32768,0.0013,7506
0531,256,4,5,1,0,65536,0.0014,7546
0532,256,4,5,2,0,1024,0.0016,7862
0533,256,4,5,2,0,2048,0.0016,7609
0534,256,4,5,2,0,4096,0.0016,7736
0536,256,4,5,2,0,16384,0.0017,7191
0538,256,4,5,2,0,65536,0.0016,7413
0540,256,4,5,3,0,2048,0.0015,7936
0541,256,4,5,3,0,4096,0.0017,7865
0542,256,4,5,3,0,8192,0.0016,7463
0543,256,4,5,3,0,16384,0.0018,9320
0544,256,4,5,3,0,32768,0.0018,9306
0545,256,4,5,3,0,65536,0.0016,9337
0546,256,4,6,1,0,1024,0.0014,7679
0547,256,4,6,1,0,2048,0.0014,7769
0548,256,4,6,1,0,4096,0.0013,7255
0549,256,4,6,1,0,8192,0.0013,7603
0550,256,4,6,1,0,16384,0.0012,7052
0551,256,4,6,1,0,32768,0.0013,7454
0553,256,4,6,2,0,1024,0.0009,7623
0555,256,4,6,2,0,4096,0.0010,8060
0556,256,4,6,2,0,8192,0.0010,7100
0557,256,4,6,2,0,16384,0.0010,7619
0558,256,4,6,2,0,32768,0.0009,7491
0559,256,4,6,2,0,65536,0.0009,7616
0561,256,4,6,3,0,2048,0.0017,7935
0564,256,4,6,3,0,16384,0.0018,7088
0565,256,4,6,3,0,32768,0.0018,7262
0566,256,4,6,3,0,65536,0.0016,7087
0568,256,4,7,1,0,2048,0.0015,7389
0569,256,4,7,1,0,4096,0.0016,7953
0571,256,4,7,1,0,16384,0.0015,7110
0572,256,4,7,1,0,32768,0.0015,7308
0573,256,4,7,1,0,65536,0.0014,7034
0575,256,4,7,2,0,2048,0.0010,7832
0576,256,4,7,2,0,4096,0.0010,7775
0577,256,4,7,2,0,8192,0.0010,7110
0579,256,4,7,2,0,32768,0.0009,7848
0580,256,4,7,2,0,65536,0.0009,7676
0581,256,4,7,3,0,1024,0.0018,9989
0582,256,4,7,3,0,2048,0.0017,7629
0583,256,4,7,3,0,4096,0.0015,7490
0584,256,4,7,3,0,8192,0.0018,9443
0585,256,4,7,3,0,16384,0.0015,7375
0586,256,4,7,3,0,32768,0.0015,7379
0587,256,4,7,3,0,65536,0.0015,7316
0588,256,5,1,1,0,1024,0.0023,7580
0589,256,5,1,1,0,2048,0.0022,7550
0590,256,5,1,1,0,4096,0.0024,7386
0591,256,5,1,1,0,8192,0.0024,7056
0592,256,5,1,1,0,16384,0.0025,7057
0593,256,5,1,1,0,32768,0.0023,7551
0594,256,5,1,1,0,65536,0.0023,7530
0595,256,5,1,2,0,1024,0.0019,7634
0596,256,5,1,2,0,2048,0.0021,7708
0597,256,5,1,2,0,4096,0.0019,7748
0598,256,5,1,2,0,8192,0.0021,7435
0600,256,5,1,2,0,32768,0.0020,7409
0601,256,5,1,2,0,65536,0.0021,7549
0602,256,5,1,3,0,1024,0.0018,8297
0603,256,5,1,3,0,2048,0.0020,7868
0605,256,5,1,3,0,8192,0.0019,7159
0606,256,5,1,3,0,16384,0.0019,7059
0607,256,5,1,3,0,32768,0.0020,7104
0608,256,5,1,3,0,65536,0.0019,7135
0609,256,5,2,1,0,1024,0.0019,7737
0611,256,5,2,1,0,4096,0.0021,7740
0614,256,5,2,1,0,32768,0.0020,7504
0615,256,5,2,1,0,65536,0.0020,7495
0616,256,5,2,2,0,1024,0.0017,8050
0617,256,5,2,2,0,2048,0.0017,7518
0618,256,5,2,2,0,4096,0.0018,7525
0620,256,5,2,2,0,16384,0.0017,7138
0621,256,5,2,2,0,32768,0.0016,7154
0623,256,5,2,3,0,1024,0.0016,8509
0628,256,5,2,3,0,32768,0.0016,7071
0629,256,5,2,3,0,65536,0.0016,7637
0630,256,5,3,1,0,1024,0.0013,8151
0631,256,5,3,1,0,2048,0.0014,8201
0632,256,5,3,1,0,4096,0.0014,7610
0633,256,5,3,1,0,8192,0.0013,7463
0634,256,5,3,1,0,16384,0.0013,7527
0635,256,5,3,1,0,32768,0.0013,7101
0636,256,5,3,1,0,65536,0.0014,7538
0637,256,5,3,2,0,1024,0.0018,8008
0638,256,5,3,2,0,2048,0.0019,7833
0639,256,5,3,2,0,4096,0.0018,7974
0640,256,5,3,2,0,8192,0.0018,7401
0641,256,5,3,2,0,16384,0.0018,7074
0642,256,5,3,2,0,32768,0.0017,7440
0643,256,5,3,2,0,65536,0.0018,7128
0644,256,5,3,3,0,1024,0.0017,7793
0646,256,5,3,3,0,4096,0.0017,7684
0647,256,5,3,3,0,8192,0.0018,7476
0648,256,5,3,3,0,16384,0.0017,7036
0649,256,5,3,3,0,32768,0.0018,8067
0650,256,5,3,3,0,65536,0.0016,7124
0652,256,5,4,1,0,2048,0.0014,7909
0653,256,5,4,1,0,4096,0.0014,7747
0655,256,5,4,1,0,16384,0.0013,7083
0656,256,5,4,1,0,32768,0.0014,7370
0657,256,5,4,1,0,65536,0.0014,7569
0658,256,5,4,2,0,1024,0.0017,8295
0661,256,5,4,2,0,8192,0.0017,7644
0664,256,5,4,2,0,65536,0.0016,7515
0666,256,5,4,3,0,2048,0.0015,7484
0667,256,5,4,3,0,4096,0.0016,7526
0668,256,5,4,3,0,8192,0.0014,7301
0669,256,5,4,3,0,16384,0.0015,7087
0671,256,5,4,3,0,65536,0.0015,7212
0674,256,5,5,1,0,4096,0.0014,7656
0675,256,5,5,1,0,8192,0.0013,7188
0676,256,5,5,1,0,16384,0.0014,7552
0677,256,5,5,1,0,32768,0.0013,7506
0678,256,5,5,1,0,65536,0.0014,7546
0679,256,5,5,2,0,1024,0.0016,7862
0680,256,5,5,2,0,2048,0.0016,7609
0681,256,5,5,2,0,4096,0.0016,7736
0682,256,5,5,2,0,8192,0.0017,7117
0683,256,5,5,2,0,16384,0.0017,7191
0684,256,5,5,2,0,32768,0.0016,7656
0685,256,5,5,2,0,65536,0.0016,7413
0688,256,5,5,3,0,4096,0.0017,7865
0689,256,5,5,3,0,8192,0.0016,7463
0690,256,5,5,3,0,16384,0.0018,9320
0691,256,5,5,3,0,32768,0.0018,9306
0692,256,5,5,3,0,65536,0.0016,9337
0693,256,5,6,1,0,1024,0.0014,7679
0694,256,5,6,1,0,2048,0.0014,7769
0696,256,5,6,1,0,8192,0.0013,7603
0697,256,5,6,1,0,16384,0.0012,7052
0698,256,5,6,1,0,32768,0.0013,7454
0700,256,5,6,2,0,1024,0.0009,7623
0702,256,5,6,2,0,4096,0.0010,8060
0703,256,5,6,2,0,8192,0.0010,7100
0704,256,5,6,2,0,16384,0.0010,7619
0705,256,5,6,2,0,32768,0.0009,7491
0706,256,5,6,2,0,65536,0.0009,7616
0711,256,5,6,3,0,16384,0.0018,7088
0713,256,5,6,3,0,65536,0.0017,7095
0715,256,5,7,1,0,2048,0.0015,7389
0716,256,5,7,1,0,4096,0.0016,7953
0717,256,5,7,1,0,8192,0.0015,7135
0718,256,5,7,1,0,16384,0.0015,7110
0719,256,5,7,1,0,32768,0.0015,7308
0720,256,5,7,1,0,65536,0.0014,7031
0721,256,5,7,2,0,1024,0.0009,7657
0722,256,5,7,2,0,2048,0.0010,7832
0723,256,5,7,2,0,4096,0.0010,7775
0724,256,5,7,2,0,8192,0.0010,7110
0727,256,5,7,2,0,65536,0.0009,7676
0729,256,5,7,3,0,2048,0.0017,7629
0730,256,5,7,3,0,4096,0.0015,7490
0731,256,5,7,3,0,8192,0.0018,9443
0732,256,5,7,3,0,16384,0.0015,7375
0733,256,5,7,3,0,32768,0.0015,7379
0734,256,5,7,3,0,65536,0.0015,7316
0735,256,6,1,1,0,1024,0.0023,7580
0737,256,6,1,1,0,4096,0.0024,7386
0738,256,6,1,1,0,8192,0.0024,7056
0739,256,6,1,1,0,16384,0.0025,7057
0740,256,6,1,1,0,32768,0.0023,7551
0741,256,6,1,1,0,65536,0.0023,7530
0743,256,6,1,2,0,2048,0.0021,7708
0744,256,6,1,2,0,4096,0.0019,7748
0745,256,6,1,2,0,8192,0.0021,7435
0746,256,6,1,2,0,16384,0.0021,7137
0747,256,6,1,2,0,32768,0.0020,7409
0749,256,6,1,3,0,1024,0.0018,8297
0750,256,6,1,3,0,2048,0.0020,7868
0753,256,6,1,3,0,16384,0.0019,7049
0754,256,6,1,3,0,32768,0.0020,7104
0755,256,6,1,3,0,65536,0.0020,7146
0756,256,6,2,1,0,1024,0.0019,7737
0757,256,6,2,1,0,2048,0.0021,8025
0758,256,6,2,1,0,4096,0.0021,7740
0761,256,6,2,1,0,32768,0.0020,7504
0762,256,6,2,1,0,65536,0.0020,7495
0763,256,6,2,2,0,1024,0.0017,8050
0764,256,6,2,2,0,2048,0.0017,7518
0765,256,6,2,2,0,4096,0.0018,7525
0767,256,6,2,2,0,16384,0.0017,7138
0768,256,6,2,2,0,32768,0.0016,7154
0771,256,6,2,3,0,2048,0.0018,7987
0772,256,6,2,3,0,4096,0.0016,7845
0774,256,6,2,3,0,16384,0.0016,7064
0775,256,6,2,3,0,32768,0.0016,7071
0776,256,6,2,3,0,65536,0.0016,7637
0778,256,6,3,1,0,2048,0.0014,8201
0779,256,6,3,1,0,4096,0.0014,7610
0780,256,6,3,1,0,8192,0.0013,7463
0781,256,6,3,1,0,16384,0.0013,7527
0782,256,6,3,1,0,32768,0.0013,7101
0783,256,6,3,1,0,65536,0.0013,7524
