n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2,lut,ff,dsp,bram
0104,256,1,5,3,0,65536,0.001591,9337,52920,8634,0,17.5
0105,256,1,6,1,0,1024,0.001360,7679,45471,9463,0,33.5
0106,256,1,6,1,0,2048,0.001358,7769,44331,9029,0,17.5
0107,256,1,6,1,0,4096,0.001325,7255,43299,8821,0,17.5
0108,256,1,6,1,0,8192,0.001315,7603,42976,8710,0,17.5
0109,256,1,6,1,0,16384,0.001235,7052,42771,8650,0,17.5
0110,256,1,6,1,0,32768,0.001311,7454,42742,8634,0,17.5
0112,256,1,6,2,0,1024,0.000884,7623,44656,9261,0,33.5
0114,256,1,6,2,0,4096,0.000990,8060,43179,8711,0,17.5
0115,256,1,6,2,0,8192,0.000972,7100,42951,8622,0,17.5
0116,256,1,6,2,0,16384,0.000991,7619,42852,8579,0,17.5
0117,256,1,6,2,0,32768,0.000926,7491,42764,8557,0,17.5
0118,256,1,6,2,0,65536,0.000872,7616,42768,8547,0,17.5
0120,256,1,6,3,0,2048,0.001669,7935,44468,9354,0,17.5
0123,256,1,6,3,0,16384,0.001791,7088,42993,8787,0,17.5
0125,256,1,6,3,0,65536,0.001628,7087,42901,8714,0,17.5
0127,256,1,7,1,0,2048,0.001546,7389,44236,9082,0,17.5
0128,256,1,7,1,0,4096,0.001618,7953,43860,8879,0,17.5
0130,256,1,7,1,0,16384,0.001471,7110,42926,8697,0,17.5
0131,256,1,7,1,0,32768,0.001495,7308,42860,8681,0,17.5
0132,256,1,7,1,0,65536,0.001449,7034,42808,8635,0,17.5
0134,256,1,7,2,0,2048,0.000983,7832,43928,9052,0,17.5
0135,256,1,7,2,0,4096,0.000968,7775,43689,8850,0,17.5
0136,256,1,7,2,0,8192,0.000982,7110,43069,8727,0,17.5
0138,256,1,7,2,0,32768,0.000949,7848,42875,8652,0,17.5
0139,256,1,7,2,0,65536,0.000934,7676,42831,8620,0,17.5
0141,256,1,7,3,0,2048,0.001669,7629,45698,9384,0,17.5
0143,256,1,7,3,0,8192,0.001761,9443,53335,8899,0,17.5
0144,256,1,7,3,0,16384,0.001548,7375,44296,8816,0,17.5
0145,256,1,7,3,0,32768,0.001538,7379,44218,8792,0,17.5
0146,256,1,7,3,0,65536,0.001517,7316,44129,8741,0,17.5
0147,256,2,1,1,0,1024,0.002343,7580,45457,9390,0,33.5
0149,256,2,1,1,0,4096,0.002421,7386,43747,8769,0,17.5
0151,256,2,1,1,0,16384,0.002456,7057,42837,8592,0,17.5
0153,256,2,1,1,0,65536,0.002331,7530,42680,8544,0,17.5
0155,256,2,1,2,0,2048,0.002124,7708,43723,8961,0,17.5
0156,256,2,1,2,0,4096,0.001941,7748,43229,8754,0,17.5
0157,256,2,1,2,0,8192,0.002050,7435,42921,8638,0,17.5
0158,256,2,1,2,0,16384,0.002088,7150,42850,8586,0,17.5
0159,256,2,1,2,0,32768,0.001977,7409,42759,8563,0,17.5
0160,256,2,1,2,0,65536,0.002122,7549,42729,8539,0,17.5
0161,256,2,1,3,0,1024,0.001831,8297,46241,9867,0,33.5
0162,256,2,1,3,0,2048,0.001996,7868,44499,9256,0,17.5
0163,256,2,1,3,0,4096,0.001949,7740,44030,8952,0,17.5
0165,256,2,1,3,0,16384,0.001934,7049,42980,8688,0,17.5
0166,256,2,1,3,0,32768,0.002035,7104,42875,8666,0,17.5
0167,256,2,1,3,0,65536,0.001863,7135,42822,8654,0,17.5
0168,256,2,2,1,0,1024,0.001896,7737,45512,9366,0,33.5
0169,256,2,2,1,0,2048,0.002100,8025,44310,8947,0,17.5
0170,256,2,2,1,0,4096,0.002122,7740,43469,8736,0,17.5
0172,256,2,2,1,0,16384,0.002043,7524,42804,8576,0,17.5
0173,256,2,2,1,0,32768,0.002034,7504,42764,8550,0,17.5
0174,256,2,2,1,0,65536,0.002038,7495,42735,8501,0,17.5
0175,256,2,2,2,0,1024,0.001685,8050,45236,9361,0,33.5
0176,256,2,2,2,0,2048,0.001654,7518,43897,8944,0,17.5
0177,256,2,2,2,0,4096,0.001752,7525,43303,8733,0,17.5
0178,256,2,2,2,0,8192,0.001822,7261,42954,8620,0,17.5
0179,256,2,2,2,0,16384,0.001724,7138,42858,8569,0,17.5
0181,256,2,2,2,0,65536,0.001575,7085,42700,8529,0,17.5
0182,256,2,2,3,0,1024,0.001607,8509,45946,9848,0,33.5
0187,256,2,2,3,0,32768,0.001593,7071,42887,8644,0,17.5
0188,256,2,2,3,0,65536,0.001631,7637,42926,8613,0,17.5
0189,256,2,3,1,0,1024,0.001324,8151,45148,9366,0,33.5
0190,256,2,3,1,0,2048,0.001365,8201,43746,8972,0,17.5
0191,256,2,3,1,0,4096,0.001384,7610,43240,8777,0,17.5
0192,256,2,3,1,0,8192,0.001326,7463,43134,8677,0,17.5
0193,256,2,3,1,0,16384,0.001346,7527,42877,8628,0,17.5
0194,256,2,3,1,0,32768,0.001344,7101,42820,8612,0,17.5
0195,256,2,3,1,0,65536,0.001315,7524,42775,8590,0,17.5
0197,256,2,3,2,0,2048,0.001860,7833,43729,9000,0,17.5
0198,256,2,3,2,0,4096,0.001836,7974,43224,8786,0,17.5
0199,256,2,3,2,0,8192,0.001827,7401,42985,8673,0,17.5
0200,256,2,3,2,0,16384,0.001842,7074,42891,8624,0,17.5
0201,256,2,3,2,0,32768,0.001744,7440,42794,8601,0,17.5
0203,256,2,3,3,0,1024,0.001685,7793,46304,9877,0,33.5
0205,256,2,3,3,0,4096,0.001664,7684,43672,8958,0,17.5
0207,256,2,3,3,0,16384,0.001698,7036,43036,8697,0,17.5
0209,256,2,3,3,0,65536,0.001646,7124,42951,8655,0,17.5
0211,256,2,4,1,0,2048,0.001357,7909,43948,8994,0,17.5
0212,256,2,4,1,0,4096,0.001385,7747,43678,8801,0,17.5
0213,256,2,4,1,0,8192,0.001420,7701,42942,8677,0,17.5
0214,256,2,4,1,0,16384,0.001314,7083,42721,8625,0,17.5
0216,256,2,4,1,0,65536,0.001358,7569,42687,8562,0,17.5
0217,256,2,4,2,0,1024,0.001718,8295,45033,9463,0,33.5
0220,256,2,4,2,0,8192,0.001667,7644,42998,8661,0,17.5
0221,256,2,4,2,0,16384,0.001880,7207,42884,8608,0,17.5
0223,256,2,4,2,0,65536,0.001623,7515,42749,8553,0,17.5
0224,256,2,4,3,0,1024,0.001483,7721,45985,9896,0,33.5
0225,256,2,4,3,0,2048,0.001459,7484,44564,9280,0,17.5
0226,256,2,4,3,0,4096,0.001600,7526,43681,8973,0,17.5
0227,256,2,4,3,0,8192,0.001441,7301,43214,8792,0,17.5
0228,256,2,4,3,0,16384,0.001485,7087,42973,8712,0,17.5
0229,256,2,4,3,0,32768,0.001479,7405,44000,8690,0,17.5
0230,256,2,4,3,0,65536,0.001492,7212,42885,8637,0,17.5
0233,256,2,5,1,0,4096,0.001375,7656,43488,8845,0,17.5
0235,256,2,5,1,0,16384,0.001399,7552,42905,8677,0,17.5
0236,256,2,5,1,0,32768,0.001308,7506,42785,8659,0,17.5
0237,256,2,5,1,0,65536,0.001357,7546,42755,8613,0,17.5
0238,256,2,5,2,0,1024,0.001560,7862,45603,9551,0,33.5
0239,256,2,5,2,0,2048,0.001652,7599,44080,9065,0,17.5
0240,256,2,5,2,0,4096,0.001613,7736,43398,8855,0,17.5
0242,256,2,5,2,0,16384,0.001700,7191,43041,8682,0,17.5
0243,256,2,5,2,0,32768,0.001638,7656,42887,8658,0,17.5
0244,256,2,5,2,0,65536,0.001589,7413,42800,8625,0,17.5
0247,256,2,5,3,0,4096,0.001652,7865,43871,8927,0,17.5
0248,256,2,5,3,0,8192,0.001602,7463,43781,8753,0,17.5
0249,256,2,5,3,0,16384,0.001784,9320,53099,8668,0,17.5
0250,256,2,5,3,0,32768,0.001788,9306,52931,8644,0,17.5
0251,256,2,5,3,0,65536,0.001591,9337,52920,8634,0,17.5
0252,256,2,6,1,0,1024,0.001360,7679,45471,9463,0,33.5
0253,256,2,6,1,0,2048,0.001358,7769,44331,9029,0,17.5
0254,256,2,6,1,0,4096,0.001325,7255,43299,8821,0,17.5
0255,256,2,6,1,0,8192,0.001315,7603,42976,8710,0,17.5
0256,256,2,6,1,0,16384,0.001235,7052,42771,8650,0,17.5
0257,256,2,6,1,0,32768,0.001311,7454,42742,8634,0,17.5
0258,256,2,6,1,0,65536,0.001259,7439,42745,8593,0,17.5
0259,256,2,6,2,0,1024,0.000884,7623,44656,9261,0,33.5
0260,256,2,6,2,0,2048,0.001022,7797,43662,8892,0,17.5
0261,256,2,6,2,0,4096,0.000990,8060,43179,8711,0,17.5
0262,256,2,6,2,0,8192,0.000972,7100,42951,8622,0,17.5
0263,256,2,6,2,0,16384,0.000991,7619,42852,8579,0,17.5
0264,256,2,6,2,0,32768,0.000926,7491,42764,8557,0,17.5
0265,256,2,6,2,0,65536,0.000872,7616,42768,8547,0,17.5
0267,256,2,6,3,0,2048,0.001669,7935,44468,9354,0,17.5
0269,256,2,6,3,0,8192,0.001701,7600,43664,8878,0,17.5
0270,256,2,6,3,0,16384,0.001791,7088,42993,8787,0,17.5
0272,256,2,6,3,0,65536,0.001628,7087,42901,8714,0,17.5
0273,256,2,7,1,0,1024,0.001488,7677,45933,9512,0,33.5
0274,256,2,7,1,0,2048,0.001546,7389,44236,9082,0,17.5
0275,256,2,7,1,0,4096,0.001494,7956,43859,8879,0,17.5
0276,256,2,7,1,0,8192,0.001514,7144,43156,8756,0,17.5
0279,256,2,7,1,0,65536,0.001449,7034,42808,8635,0,17.5
0281,256,2,7,2,0,2048,0.000983,7832,43928,9052,0,17.5
0282,256,2,7,2,0,4096,0.000968,7775,43689,8850,0,17.5
0283,256,2,7,2,0,8192,0.000982,7110,43069,8727,0,17.5
0285,256,2,7,2,0,32768,0.000949,7848,42875,8652,0,17.5
0286,256,2,7,2,0,65536,0.000934,7676,42831,8620,0,17.5
0288,256,2,7,3,0,2048,0.001669,7629,45698,9384,0,17.5
0290,256,2,7,3,0,8192,0.001761,9443,53335,8899,0,17.5
0291,256,2,7,3,0,16384,0.001548,7375,44296,8816,0,17.5
0292,256,2,7,3,0,32768,0.001538,7379,44218,8792,0,17.5
0293,256,2,7,3,0,65536,0.001517,7316,44129,8741,0,17.5
0294,256,3,1,1,0,1024,0.002343,7580,45457,9390,0,33.5
0296,256,3,1,1,0,4096,0.002421,7386,43747,8769,0,17.5
0297,256,3,1,1,0,8192,0.002410,7056,43019,8641,0,17.5
0298,256,3,1,1,0,16384,0.002456,7057,42837,8592,0,17.5
0299,256,3,1,1,0,32768,0.002308,7551,42730,8570,0,17.5
0300,256,3,1,1,0,65536,0.002331,7530,42680,8544,0,17.5
0302,256,3,1,2,0,2048,0.002124,7708,43723,8961,0,17.5
0303,256,3,1,2,0,4096,0.001941,7748,43229,8754,0,17.5
0304,256,3,1,2,0,8192,0.002050,7435,42921,8638,0,17.5
0306,256,3,1,2,0,32768,0.001977,7409,42759,8563,0,17.5
0307,256,3,1,2,0,65536,0.002102,7555,42728,8539,0,17.5
0308,256,3,1,3,0,1024,0.001831,8297,46241,9867,0,33.5
0309,256,3,1,3,0,2048,0.001996,7868,44499,9256,0,17.5
0312,256,3,1,3,0,16384,0.001934,7049,42980,8688,0,17.5
0313,256,3,1,3,0,32768,0.002035,7104,42875,8666,0,17.5
0314,256,3,1,3,0,65536,0.001863,7135,42822,8654,0,17.5
0315,256,3,2,1,0,1024,0.001896,7737,45512,9366,0,33.5
0316,256,3,2,1,0,2048,0.002100,8025,44310,8947,0,17.5
0317,256,3,2,1,0,4096,0.002122,7740,43469,8736,0,17.5
0320,256,3,2,1,0,32768,0.002034,7504,42764,8550,0,17.5
0321,256,3,2,1,0,65536,0.002038,7495,42735,8501,0,17.5
0322,256,3,2,2,0,1024,0.001685,8050,45236,9361,0,33.5
0323,256,3,2,2,0,2048,0.001654,7518,43897,8944,0,17.5
0324,256,3,2,2,0,4096,0.001752,7525,43303,8733,0,17.5
0325,256,3,2,2,0,8192,0.001822,7261,42954,8620,0,17.5
0326,256,3,2,2,0,16384,0.001724,7138,42858,8569,0,17.5
0327,256,3,2,2,0,32768,0.001641,7154,42757,8546,0,17.5
0329,256,3,2,3,0,1024,0.001607,8509,45946,9848,0,33.5
0331,256,3,2,3,0,4096,0.001637,7845,43768,8925,0,17.5
0332,256,3,2,3,0,8192,0.001625,7236,43619,8754,0,17.5
0334,256,3,2,3,0,32768,0.001593,7071,42887,8644,0,17.5
0335,256,3,2,3,0,65536,0.001631,7637,42926,8613,0,17.5
0337,256,3,3,1,0,2048,0.001365,8201,43746,8972,0,17.5
0338,256,3,3,1,0,4096,0.001384,7610,43240,8777,0,17.5
0339,256,3,3,1,0,8192,0.001326,7463,43134,8677,0,17.5
0340,256,3,3,1,0,16384,0.001346,7527,42877,8628,0,17.5
0341,256,3,3,1,0,32768,0.001344,7101,42820,8612,0,17.5
0342,256,3,3,1,0,65536,0.001315,7524,42775,8590,0,17.5
0344,256,3,3,2,0,2048,0.001860,7833,43729,9000,0,17.5
0345,256,3,3,2,0,4096,0.001836,7974,43224,8786,0,17.5
0346,256,3,3,2,0,8192,0.001827,7401,42985,8673,0,17.5
0347,256,3,3,2,0,16384,0.001842,7074,42891,8624,0,17.5
0348,256,3,3,2,0,32768,0.001744,7440,42794,8601,0,17.5
0350,256,3,3,3,0,1024,0.001685,7793,46304,9877,0,33.5
0351,256,3,3,3,0,2048,0.001676,7402,44976,9275,0,17.5
0352,256,3,3,3,0,4096,0.001664,7684,43672,8958,0,17.5
0354,256,3,3,3,0,16384,0.001698,7036,43036,8697,0,17.5
0356,256,3,3,3,0,65536,0.001646,7124,42951,8655,0,17.5
0358,256,3,4,1,0,2048,0.001357,7909,43948,8994,0,17.5
0359,256,3,4,1,0,4096,0.001385,7747,43678,8801,0,17.5
0360,256,3,4,1,0,8192,0.001420,7701,42942,8677,0,17.5
0363,256,3,4,1,0,65536,0.001358,7569,42687,8562,0,17.5
0364,256,3,4,2,0,1024,0.001718,8295,45033,9463,0,33.5
0367,256,3,4,2,0,8192,0.001667,7644,42998,8661,0,17.5
0370,256,3,4,2,0,65536,0.001623,7515,42749,8553,0,17.5
0373,256,3,4,3,0,4096,0.001600,7526,43681,8973,0,17.5
0374,256,3,4,3,0,8192,0.001441,7301,43214,8792,0,17.5
0375,256,3,4,3,0,16384,0.001485,7087,42973,8712,0,17.5
0377,256,3,4,3,0,65536,0.001492,7212,42885,8637,0,17.5
0378,256,3,5,1,0,1024,0.001353,8146,46093,9502,0,33.5
0380,256,3,5,1,0,4096,0.001375,7656,43488,8845,0,17.5
0381,256,3,5,1,0,8192,0.001301,7188,43144,8738,0,17.5
0382,256,3,5,1,0,16384,0.001399,7552,42905,8677,0,17.5
0383,256,3,5,1,0,32768,0.001308,7506,42785,8659,0,17.5
0384,256,3,5,1,0,65536,0.001357,7546,42755,8613,0,17.5
0385,256,3,5,2,0,1024,0.001560,7862,45603,9551,0,33.5
0386,256,3,5,2,0,2048,0.001616,7609,44082,9065,0,17.5
0387,256,3,5,2,0,4096,0.001613,7736,43398,8855,0,17.5
0389,256,3,5,2,0,16384,0.001700,7191,43041,8682,0,17.5
0390,256,3,5,2,0,32768,0.001632,7666,42887,8658,0,17.5
0391,256,3,5,2,0,65536,0.001589,7413,42800,8625,0,17.5
0394,256,3,5,3,0,4096,0.001652,7865,43871,8927,0,17.5
0396,256,3,5,3,0,16384,0.001784,9320,53099,8668,0,17.5
0397,256,3,5,3,0,32768,0.001788,9306,52931,8644,0,17.5
0398,256,3,5,3,0,65536,0.001591,9337,52920,8634,0,17.5
0399,256,3,6,1,0,1024,0.001360,7679,45471,9463,0,33.5
0400,256,3,6,1,0,2048,0.001358,7769,44331,9029,0,17.5
0401,256,3,6,1,0,4096,0.001325,7255,43299,8821,0,17.5
0402,256,3,6,1,0,8192,0.001315,7603,42976,8710,0,17.5
0403,256,3,6,1,0,16384,0.001235,7052,42771,8650,0,17.5
0404,256,3,6,1,0,32768,0.001311,7454,42742,8634,0,17.5
0406,256,3,6,2,0,1024,0.000884,7623,44656,9261,0,33.5
0408,256,3,6,2,0,4096,0.000990,8060,43179,8711,0,17.5
0409,256,3,6,2,0,8192,0.000972,7100,42951,8622,0,17.5
0410,256,3,6,2,0,16384,0.000991,7619,42852,8579,0,17.5
0411,256,3,6,2,0,32768,0.000926,7491,42764,8557,0,17.5
0412,256,3,6,2,0,65536,0.000872,7616,42768,8547,0,17.5
0414,256,3,6,3,0,2048,0.001669,7935,44468,9354,0,17.5
0416,256,3,6,3,0,8192,0.001701,7600,43664,8878,0,17.5
0417,256,3,6,3,0,16384,0.001791,7088,42993,8787,0,17.5
0418,256,3,6,3,0,32768,0.001752,7262,42924,8763,0,17.5
0419,256,3,6,3,0,65536,0.001628,7087,42901,8714,0,17.5
0421,256,3,7,1,0,2048,0.001546,7389,44236,9082,0,17.5
0422,256,3,7,1,0,4096,0.001618,7953,43860,8879,0,17.5
0424,256,3,7,1,0,16384,0.001471,7110,42926,8697,0,17.5
0425,256,3,7,1,0,32768,0.001495,7308,42860,8681,0,17.5
0426,256,3,7,1,0,65536,0.001449,7034,42808,8635,0,17.5
0428,256,3,7,2,0,2048,0.000983,7832,43928,9052,0,17.5
0429,256,3,7,2,0,4096,0.000968,7775,43689,8850,0,17.5
0430,256,3,7,2,0,8192,0.000982,7110,43069,8727,0,17.5
0432,256,3,7,2,0,32768,0.000949,7848,42875,8652,0,17.5
0433,256,3,7,2,0,65536,0.000934,7676,42831,8620,0,17.5
0435,256,3,7,3,0,2048,0.001669,7629,45698,9384,0,17.5
0437,256,3,7,3,0,8192,0.001761,9443,53335,8899,0,17.5
0438,256,3,7,3,0,16384,0.001548,7375,44296,8816,0,17.5
0439,256,3,7,3,0,32768,0.001538,7379,44218,8792,0,17.5
0440,256,3,7,3,0,65536,0.001517,7316,44129,8741,0,17.5
0441,256,4,1,1,0,1024,0.002343,7580,45457,9390,0,33.5
0442,256,4,1,1,0,2048,0.002245,7550,44285,8971,0,17.5
0443,256,4,1,1,0,4096,0.002421,7386,43747,8769,0,17.5
0444,256,4,1,1,0,8192,0.002410,7056,43019,8641,0,17.5
0445,256,4,1,1,0,16384,0.002456,7057,42837,8592,0,17.5
0446,256,4,1,1,0,32768,0.002308,7551,42730,8570,0,17.5
0447,256,4,1,1,0,65536,0.002331,7530,42680,8544,0,17.5
0448,256,4,1,2,0,1024,0.002046,7618,45009,9379,0,33.5
0449,256,4,1,2,0,2048,0.002124,7708,43723,8961,0,17.5
0450,256,4,1,2,0,4096,0.001941,7748,43229,8754,0,17.5
0451,256,4,1,2,0,8192,0.002050,7435,42921,8638,0,17.5
0452,256,4,1,2,0,16384,0.002069,7137,42849,8586,0,17.5
0453,256,4,1,2,0,32768,0.001977,7409,42759,8563,0,17.5
0454,256,4,1,2,0,65536,0.002122,7549,42729,8539,0,17.5
0455,256,4,1,3,0,1024,0.001831,8297,46241,9867,0,33.5
0456,256,4,1,3,0,2048,0.001996,7868,44499,9256,0,17.5
0457,256,4,1,3,0,4096,0.001949,7740,44030,8952,0,17.5
0459,256,4,1,3,0,16384,0.001934,7049,42980,8688,0,17.5
0460,256,4,1,3,0,32768,0.002035,7104,42875,8666,0,17.5
0461,256,4,1,3,0,65536,0.001863,7135,42822,8654,0,17.5
0462,256,4,2,1,0,1024,0.001896,7737,45512,9366,0,33.5
0464,256,4,2,1,0,4096,0.002122,7740,43469,8736,0,17.5
0466,256,4,2,1,0,16384,0.002043,7524,42804,8576,0,17.5
0467,256,4,2,1,0,32768,0.002034,7504,42764,8550,0,17.5
0468,256,4,2,1,0,65536,0.002038,7495,42735,8501,0,17.5
0469,256,4,2,2,0,1024,0.001685,8050,45236,9361,0,33.5
0470,256,4,2,2,0,2048,0.001654,7518,43897,8944,0,17.5
0471,256,4,2,2,0,4096,0.001752,7525,43303,8733,0,17.5
0473,256,4,2,2,0,16384,0.001724,7138,42858,8569,0,17.5
0474,256,4,2,2,0,32768,0.001641,7154,42757,8546,0,17.5
0475,256,4,2,2,0,65536,0.001575,7085,42700,8529,0,17.5
0481,256,4,2,3,0,32768,0.001593,7071,42887,8644,0,17.5
0482,256,4,2,3,0,65536,0.001631,7637,42926,8613,0,17.5
0484,256,4,3,1,0,2048,0.001365,8201,43746,8972,0,17.5
0485,256,4,3,1,0,4096,0.001384,7610,43240,8777,0,17.5
0486,256,4,3,1,0,8192,0.001326,7463,43134,8677,0,17.5
0487,256,4,3,1,0,16384,0.001346,7527,42877,8628,0,17.5
0488,256,4,3,1,0,32768,0.001344,7101,42820,8612,0,17.5
0489,256,4,3,1,0,65536,0.001315,7524,42775,8590,0,17.5
0491,256,4,3,2,0,2048,0.001860,7833,43729,9000,0,17.5
0492,256,4,3,2,0,4096,0.001836,7974,43224,8786,0,17.5
0493,256,4,3,2,0,8192,0.001827,7401,42985,8673,0,17.5
0494,256,4,3,2,0,16384,0.001842,7074,42891,8624,0,17.5
0495,256,4,3,2,0,32768,0.001744,7440,42794,8601,0,17.5
0497,256,4,3,3,0,1024,0.001685,7793,46304,9877,0,33.5
0499,256,4,3,3,0,4096,0.001664,7684,43672,8958,0,17.5
0500,256,4,3,3,0,8192,0.001775,7476,43269,8778,0,17.5
0501,256,4,3,3,0,16384,0.001698,7036,43036,8697,0,17.5
0503,256,4,3,3,0,65536,0.001646,7124,42951,8655,0,17.5
0504,256,4,4,1,0,1024,0.001370,7988,45541,9434,0,33.5
0505,256,4,4,1,0,2048,0.001357,7909,43948,8994,0,17.5
0507,256,4,4,1,0,8192,0.001420,7701,42942,8677,0,17.5
0510,256,4,4,1,0,65536,0.001358,7569,42687,8562,0,17.5
0511,256,4,4,2,0,1024,0.001718,8295,45033,9463,0,33.5
0514,256,4,4,2,0,8192,0.001667,7644,42998,8661,0,17.5
0517,256,4,4,2,0,65536,0.001623,7515,42749,8553,0,17.5
0521,256,4,4,3,0,8192,0.001441,7301,43214,8792,0,17.5
0522,256,4,4,3,0,16384,0.001485,7087,42973,8712,0,17.5
0524,256,4,4,3,0,65536,0.001492,7212,42885,8637,0,17.5
0527,256,4,5,1,0,4096,0.001375,7656,43488,8845,0,17.5
0529,256,4,5,1,0,16384,0.001399,7552,42905,8677,0,17.5
