n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2
52,1,1,1,8,2,1,4194304,0,0.699729,5647.446
53,1,1,1,8,2,2,2097152,0,0.701586,5724.852
54,1,1,1,8,2,4,1048576,0,0.716108,5999.364
55,1,1,1,8,2,8,524288,0,0.712224,5451.138
56,1,1,1,8,4,1,4194304,0,0.690713,5809.706
57,1,1,1,8,4,2,2097152,0,0.706415,5981.808
58,1,1,1,8,4,4,1048576,0,0.715363,5993.778
59,1,1,1,8,4,8,524288,0,0.715025,5542.642
60,1,1,1,8,8,8,524288,0,0.756691,8304.254
61,1,1,2,1,1,1,4194304,0,0.418529,4061.554
62,1,1,2,1,1,2,2097152,0,0.420745,4104.912
63,1,1,2,1,1,4,1048576,0,0.423868,4082.036
64,1,1,2,1,1,8,524288,0,0.44351,4356.548
65,1,1,2,1,2,1,4194304,0,0.711494,4501.518
66,1,1,2,1,2,2,2097152,0,0.713843,4546.206
67,1,1,2,1,2,4,1048576,0,0.705621,4407.354
68,1,1,2,1,2,8,524288,0,0.716864,4605.79
69,1,1,2,1,4,1,4194304,0,0.704713,5063.31
70,1,1,2,1,4,2,2097152,0,0.699344,5150.824
71,1,1,2,1,4,4,1048576,0,0.705552,4764.326
72,1,1,2,1,4,8,524288,0,0.711425,4834.55
73,1,1,2,1,8,1,4194304,0,0.706021,6633.508
74,1,1,2,1,8,2,2097152,0,0.713068,6869.184
75,1,1,2,1,8,4,1048576,0,0.721457,5317.606
76,1,1,2,1,8,8,524288,0,0.707531,5264.406
77,1,1,2,2,1,1,4194304,0,0.700387,4517.478
78,1,1,2,2,1,2,2097152,0,0.700219,4569.082
79,1,1,2,2,1,4,1048576,0,0.712472,4430.762
80,1,1,2,2,1,8,524288,0,0.728752,4603.928
81,1,1,2,2,2,1,4194304,0,0.686826,5114.116
82,1,1,2,2,2,2,2097152,0,0.699915,5151.09
83,1,1,2,2,2,4,1048576,0,0.72324,4709.53
84,1,1,2,2,2,8,524288,0,0.707802,4795.448
85,1,1,2,2,4,1,4194304,0,0.71176,6037.136
86,1,1,2,2,4,2,2097152,0,0.700686,6558.23
87,1,1,2,2,4,4,1048576,0,0.713773,5268.13
88,1,1,2,2,4,8,524288,0,0.718471,5150.026
89,1,1,2,2,8,1,4194304,0,0.711893,8583.288
90,1,1,2,2,8,2,2097152,0,0.731691,8695.806
91,1,1,2,2,8,4,1048576,0,0.710047,6298.082
92,1,1,2,2,8,8,524288,0,0.716926,5803.322
93,1,1,2,4,1,1,4194304,0,0.698876,5030.326
94,1,1,2,4,1,2,2097152,0,0.699883,5132.47
95,1,1,2,4,1,4,1048576,0,0.700555,4850.776
96,1,1,2,4,1,8,524288,0,0.722206,4774.168
97,1,1,2,4,2,1,4194304,0,0.691357,6125.448
98,1,1,2,4,2,2,2097152,0,0.711997,6815.186
99,1,1,2,4,2,4,1048576,0,0.713507,5631.22
100,1,1,2,4,2,8,524288,0,0.726596,5264.406
101,1,1,2,4,4,1,4194304,0,0.710585,8546.048
102,1,1,2,4,4,2,2097152,0,0.714947,8750.07
103,1,1,2,4,4,4,1048576,0,0.715451,6208.174
104,1,1,2,4,4,8,524288,0,0.719142,6041.658
105,1,1,2,4,8,1,4194304,0,0.716087,12692.456
106,1,1,2,4,8,2,2097152,0,0.729845,13172.32
107,1,1,2,4,8,4,1048576,0,0.743099,8659.63
108,1,1,2,4,8,8,524288,0,0.743771,7430.71
109,1,1,2,8,1,1,4194304,0,0.688974,5849.074
110,1,1,2,8,1,2,2097152,0,0.693338,5987.128
111,1,1,2,8,1,4,1048576,0,0.696359,5067.034
112,1,1,2,8,1,8,524288,0,0.715324,5019.952
113,1,1,2,8,2,1,4194304,0,0.704277,8820.028
114,1,1,2,8,2,2,2097152,0,0.716863,9049.586
115,1,1,2,8,2,4,1048576,0,0.707801,6739.376
116,1,1,2,8,2,8,524288,0,0.719548,6130.768
117,1,1,2,8,4,1,4194304,0,0.728706,12079.592
118,1,1,2,8,4,2,2097152,0,0.721994,12476.996
119,1,1,2,8,4,4,1048576,0,0.734243,8393.896
120,1,1,2,8,4,8,524288,0,0.728874,6920.256
121,1,1,2,8,8,8,524288,0,0.748133,10068.898
122,1,1,4,1,1,1,4194304,0,0.422247,4102.252
123,1,1,4,1,1,2,2097152,0,0.414073,4117.946
124,1,1,4,1,1,4,1048576,0,0.417462,4176.732
125,1,1,4,1,1,8,524288,0,0.423343,4457.894
126,1,1,4,1,2,1,4194304,0,0.690206,4447.254
127,1,1,4,1,2,2,2097152,0,0.693374,4355.75
128,1,1,4,1,2,4,1048576,0,0.729727,4494.336
129,1,1,4,1,2,8,524288,0,0.718054,4695.432
130,1,1,4,1,4,1,4194304,0,0.697641,4782.148
131,1,1,4,1,4,2,2097152,0,0.705478,4702.348
132,1,1,4,1,4,4,1048576,0,0.711147,4808.216
133,1,1,4,1,4,8,524288,0,0.713982,4829.23
134,1,1,4,1,8,1,4194304,0,0.70661,5128.214
135,1,1,4,1,8,2,2097152,0,0.695606,5049.212
136,1,1,4,1,8,4,1048576,0,0.709945,5790.288
137,1,1,4,1,8,8,524288,0,0.728119,5136.194
138,1,1,4,2,1,1,4194304,0,0.700515,4424.378
139,1,1,4,2,1,2,2097152,0,0.702516,4384.744
140,1,1,4,2,1,4,1048576,0,0.705852,4471.194
141,1,1,4,2,1,8,524288,0,0.742212,4678.674
142,1,1,4,2,2,1,4194304,0,0.690872,4631.858
143,1,1,4,2,2,2,2097152,0,0.689205,4619.356
144,1,1,4,2,2,4,1048576,0,0.707715,4657.394
145,1,1,4,2,2,8,524288,0,0.714218,4802.63
146,1,1,4,2,4,1,4194304,0,0.70281,5423.474
147,1,1,4,2,4,2,2097152,0,0.709979,4997.076
148,1,1,4,2,4,4,1048576,0,0.724152,5376.392
149,1,1,4,2,4,8,524288,0,0.729821,5421.08
150,1,1,4,2,8,1,4194304,0,0.720115,5667.396
151,1,1,4,2,8,2,2097152,0,0.702775,5699.316
152,1,1,4,2,8,4,1048576,0,0.705443,5859.182
153,1,1,4,2,8,8,524288,0,0.740123,5775.126
154,1,1,4,4,1,1,4194304,0,0.69451,4977.392
155,1,1,4,4,1,2,2097152,0,0.694677,4746.504
156,1,1,4,4,1,4,1048576,0,0.724866,5133.534
157,1,1,4,4,1,8,524288,0,0.726867,5150.292
158,1,1,4,4,2,1,4194304,0,0.699043,4985.904
159,1,1,4,4,2,2,2097152,0,0.690038,4990.692
160,1,1,4,4,2,4,1048576,0,0.73056,5724.054
161,1,1,4,4,2,8,524288,0,0.715719,5452.202
162,1,1,4,4,4,1,4194304,0,0.696973,5310.424
163,1,1,4,4,4,2,2097152,0,0.692805,5549.026
164,1,1,4,4,4,4,1048576,0,0.704977,5784.436
165,1,1,4,4,4,8,524288,0,0.727487,5640.264
166,1,1,4,4,8,1,4194304,0,0.703775,8120.182
167,1,1,4,4,8,2,2097152,0,0.708777,7668.514
168,1,1,4,4,8,4,1048576,0,0.720115,7849.128
169,1,1,4,4,8,8,524288,0,0.717947,6795.768
170,1,1,4,8,1,1,4194304,0,0.693176,5189.926
171,1,1,4,8,1,2,2097152,0,0.690674,5258.554
172,1,1,4,8,1,4,1048576,0,0.699514,5275.578
173,1,1,4,8,1,8,524288,0,0.729202,5478.536
174,1,1,4,8,2,1,4194304,0,0.710215,5603.29
175,1,1,4,8,2,2,2097152,0,0.705046,5700.114
176,1,1,4,8,2,4,1048576,0,0.70071,6445.978
177,1,1,4,8,2,8,524288,0,0.720054,5862.374
178,1,1,4,8,4,1,4194304,0,0.718483,6772.094
179,1,1,4,8,4,2,2097152,0,0.721651,7352.772
180,1,1,4,8,4,4,1048576,0,0.700641,7354.368
181,1,1,4,8,4,8,524288,0,0.722318,6438.796
182,1,1,8,1,1,1,4194304,0,0.365255,3904.348
183,1,1,8,1,1,2,2097152,0,0.357741,3962.07
184,1,1,8,1,1,4,1048576,0,0.361546,4027.506
185,1,1,8,1,1,8,524288,0,0.36301,4288.452
186,1,1,8,1,2,1,4194304,0,0.701614,4253.872
187,1,1,8,1,2,2,2097152,0,0.69371,4313.988
188,1,1,8,1,2,4,1048576,0,0.72269,4417.196
189,1,1,8,1,2,8,524288,0,0.728947,4576.53
190,1,1,8,1,4,1,4194304,0,0.696769,4598.076
191,1,1,8,1,4,2,2097152,0,0.70105,4620.154
192,1,1,8,1,4,4,1048576,0,0.728216,4778.956
193,1,1,8,1,4,8,524288,0,0.723112,5047.882
194,1,1,8,1,8,1,4194304,0,0.695582,5329.31
195,1,1,8,1,8,2,2097152,0,0.698546,5010.376
196,1,1,8,1,8,4,1048576,0,0.708259,5642.392
197,1,1,8,1,8,8,524288,0,0.724887,5339.95
198,1,1,8,2,1,1,4194304,0,0.692036,4249.882
199,1,1,8,2,1,2,2097152,0,0.694177,4325.16
200,1,1,8,2,1,4,1048576,0,0.715917,4426.24
201,1,1,8,2,1,8,524288,0,0.719046,4579.988
202,1,1,8,2,2,1,4194304,0,0.698485,4913.02
203,1,1,8,2,2,2,2097152,0,0.701778,4658.192
204,1,1,8,2,2,4,1048576,0,0.713963,5214.398
205,1,1,8,2,2,8,524288,0,0.71775,5036.444
206,1,1,8,2,4,1,4194304,0,0.705166,5812.632
207,1,1,8,2,4,2,2097152,0,0.69397,5346.6
208,1,1,8,2,4,4,1048576,0,0.698251,5929.14
209,1,1,8,2,4,8,524288,0,0.715374,5689.74
210,1,1,8,2,8,1,4194304,0,0.697064,6568.072
211,1,1,8,2,8,2,2097152,0,0.702826,6382.404
212,1,1,8,2,8,4,1048576,0,0.701509,6565.146
213,1,1,8,2,8,8,524288,0,0.717808,5880.994
214,1,1,8,4,1,1,4194304,0,0.70587,4997.608
215,1,1,8,4,1,2,2097152,0,0.692365,4719.904
216,1,1,8,4,1,4,1048576,0,0.716575,5334.364
217,1,1,8,4,1,8,524288,0,0.719375,5072.886
218,1,1,8,4,2,1,4194304,0,0.695356,5627.762
219,1,1,8,4,2,2,2097152,0,0.688605,5222.378
220,1,1,8,4,2,4,1048576,0,0.70573,5517.904
221,1,1,8,4,2,8,524288,0,0.724995,5570.04
222,1,1,8,4,4,1,4194304,0,0.704342,6521.256
223,1,1,8,4,4,2,2097152,0,0.703025,6310.052
224,1,1,8,4,4,4,1048576,0,0.700062,6700.008
225,1,1,8,4,4,8,524288,0,0.708788,6064.002
226,1,1,8,4,8,1,4194304,0,0.697886,8570.52
227,1,1,8,4,8,2,2097152,0,0.696405,8577.17
228,1,1,8,4,8,4,1048576,0,0.721923,8857.268
229,1,1,8,4,8,8,524288,0,0.725216,7674.898
230,1,1,8,8,1,1,4194304,0,0.701588,5749.59
231,1,1,8,8,1,2,2097152,0,0.694341,5265.204
232,1,1,8,8,1,4,1048576,0,0.696647,6104.966
233,1,1,8,8,1,8,524288,0,0.726456,5250.84
234,1,1,8,8,2,1,4194304,0,0.699308,6056.82
235,1,1,8,8,2,2,2097152,0,0.704906,6498.114
236,1,1,8,8,2,4,1048576,0,0.70787,6995.534
237,1,1,8,8,2,8,524288,0,0.708529,5904.136
238,1,1,8,8,4,1,4194304,0,0.699238,9124.864
239,1,1,8,8,4,2,2097152,0,0.698744,8789.97
240,1,1,8,8,4,4,1048576,0,0.712574,9683.996
241,1,1,8,8,4,8,524288,0,0.70994,8364.902
242,1,2,1,1,1,1,4194304,0,0.55026,4311.062
243,1,2,1,1,1,2,2097152,0,0.55811,4503.646
244,1,2,1,1,1,4,1048576,0,0.554591,4431.56
245,1,2,1,1,1,8,524288,0,0.563929,4571.476
246,1,2,1,1,2,1,4194304,0,0.685546,4324.894
247,1,2,1,1,2,2,2097152,0,0.713576,4432.89
248,1,2,1,1,2,4,1048576,0,0.701587,4455.766
249,1,2,1,1,2,8,524288,0,0.710537,4600.736
250,1,2,1,1,4,1,4194304,0,0.705234,4645.69
251,1,2,1,1,4,2,2097152,0,0.696623,4773.37
252,1,2,1,1,4,4,1048576,0,0.723975,4851.84
253,1,2,1,1,4,8,524288,0,0.733936,4851.308
254,1,2,1,1,8,1,4194304,0,0.694732,5207.482
255,1,2,1,1,8,2,2097152,0,0.69642,5375.328
256,1,2,1,1,8,4,1048576,0,0.706719,5518.17
257,1,2,1,1,8,8,524288,0,0.730693,5321.33
258,1,2,1,2,1,1,4194304,0,0.705101,4406.822
259,1,2,1,2,1,2,2097152,0,0.704932,4463.214
260,1,2,1,2,1,4,1048576,0,0.708985,4568.816
261,1,2,1,2,1,8,524288,0,0.709323,4637.444
262,1,2,1,2,2,1,4194304,0,0.696184,4624.676
263,1,2,1,2,2,2,2097152,0,0.694157,4735.864
264,1,2,1,2,2,4,1048576,0,0.718979,4853.17
265,1,2,1,2,2,8,524288,0,0.72168,4798.108
266,1,2,1,2,4,1,4194304,0,0.703038,5302.976
267,1,2,1,2,4,2,2097152,0,0.696454,5350.058
268,1,2,1,2,4,4,1048576,0,0.710129,5884.984
269,1,2,1,2,4,8,524288,0,0.724312,5361.762
270,1,2,1,2,8,1,4194304,0,0.735251,6416.186
271,1,2,1,2,8,2,2097152,0,0.698615,6682.984
272,1,2,1,2,8,4,1048576,0,0.710095,6839.126
273,1,2,1,2,8,8,524288,0,0.730355,6308.722
274,1,2,1,4,1,1,4194304,0,0.70358,4572.806
275,1,2,1,4,1,2,2097152,0,0.701047,4676.546
276,1,2,1,4,1,4,1048576,0,0.703918,4852.106
277,1,2,1,4,1,8,524288,0,0.738033,4776.03
278,1,2,1,4,2,1,4194304,0,0.705639,5098.688
279,1,2,1,4,2,2,2097152,0,0.695001,5217.058
280,1,2,1,4,2,4,1048576,0,0.70986,5511.254
281,1,2,1,4,2,8,524288,0,0.720836,5292.868
282,1,2,1,4,4,1,4194304,0,0.694765,6239.562
283,1,2,1,4,4,2,2097152,0,0.711142,6413.26
284,1,2,1,4,4,4,1048576,0,0.71722,6709.318
285,1,2,1,4,4,8,524288,0,0.721779,6184.5
286,1,2,1,4,8,1,4194304,0,0.717861,9367.456
287,1,2,1,4,8,2,2097152,0,0.737614,9414.006
288,1,2,1,4,8,4,1048576,0,0.729848,9436.084
289,1,2,1,4,8,8,524288,0,0.726978,7883.442
290,1,2,1,8,1,1,4194304,0,0.707634,4996.81
291,1,2,1,8,1,2,2097152,0,0.701047,5123.692
292,1,2,1,8,1,4,1048576,0,0.70966,5285.686
293,1,2,1,8,1,8,524288,0,0.738033,5125.288
294,1,2,1,8,2,1,4194304,0,0.70395,6213.76
295,1,2,1,8,2,2,2097152,0,0.704795,6098.05
296,1,2,1,8,2,4,1048576,0,0.711211,6743.898
297,1,2,1,8,2,8,524288,0,0.723537,6161.092
298,1,2,1,8,4,1,4194304,0,0.739338,8958.88
299,1,2,1,8,4,2,2097152,0,0.717389,9636.648
300,1,2,1,8,4,4,1048576,0,0.704895,8784.384
301,1,2,1,8,4,8,524288,0,0.744234,8750.07
302,1,2,2,1,1,1,4194304,0,0.557948,4511.626
303,1,2,2,1,1,2,2097152,0,0.561574,4676.28
304,1,2,2,1,1,4,1048576,0,0.560365,4575.732
305,1,2,2,1,1,8,524288,0,0.581179,4727.618
306,1,2,2,1,2,1,4194304,0,0.701593,4748.632
307,1,2,2,1,2,2,2097152,0,0.703104,4790.128
308,1,2,2,1,2,4,1048576,0,0.707299,4613.77
309,1,2,2,1,2,8,524288,0,0.717032,4764.326
310,1,2,2,1,4,1,4194304,0,0.692297,5259.086
311,1,2,2,1,4,2,2097152,0,0.696659,5393.15
312,1,2,2,1,4,4,1048576,0,0.702028,4955.846
313,1,2,2,1,4,8,524288,0,0.721156,4911.158
314,1,2,2,1,8,1,4194304,0,0.715584,6457.682
315,1,2,2,1,8,2,2097152,0,0.714578,6747.888
316,1,2,2,1,8,4,1048576,0,0.715249,5488.644
317,1,2,2,1,8,8,524288,0,0.731523,5185.936
318,1,2,2,2,1,1,4194304,0,0.698877,4759.272
319,1,2,2,2,1,2,2097152,0,0.715828,4804.226
320,1,2,2,2,1,4,1048576,0,0.714318,4649.68
321,1,2,2,2,1,8,524288,0,0.723549,4753.42
322,1,2,2,2,2,1,4194304,0,0.700083,5329.31
323,1,2,2,2,2,2,2097152,0,0.715521,5426.4
324,1,2,2,2,2,4,1048576,0,0.708305,4954.782
325,1,2,2,2,2,8,524288,0,0.711326,4987.5
326,1,2,2,2,4,1,4194304,0,0.718471,6527.108
327,1,2,2,2,4,2,2097152,0,0.709578,6955.634
328,1,2,2,2,4,4,1048576,0,0.714444,5585.734
329,1,2,2,2,4,8,524288,0,0.717129,5297.922
330,1,2,2,2,8,1,4194304,0,0.709711,8696.072
331,1,2,2,2,8,2,2097152,0,0.713738,8389.906
332,1,2,2,2,8,4,1048576,0,0.708705,6254.458
333,1,2,2,2,8,8,524288,0,0.733201,5999.896
334,1,2,2,4,1,1,4194304,0,0.696862,5416.292
335,1,2,2,4,1,2,2097152,0,0.698205,5521.096
336,1,2,2,4,1,4,1048576,0,0.723213,5134.332
337,1,2,2,4,1,8,524288,0,0.71952,5043.626
338,1,2,2,4,2,1,4194304,0,0.697901,6932.758
339,1,2,2,4,2,2,2097152,0,0.718541,6892.858
340,1,2,2,4,2,4,1048576,0,0.714849,6039.53
341,1,2,2,4,2,8,524288,0,0.716192,5510.722
342,1,2,2,4,4,1,4194304,0,0.710417,8790.768
343,1,2,2,4,4,2,2097152,0,0.715283,9103.318
344,1,2,2,4,4,4,1048576,0,0.709242,6721.82
345,1,2,2,4,4,8,524288,0,0.726525,6127.044
346,1,2,2,4,8,1,4194304,0,0.713402,13556.158
347,1,2,2,4,8,2,2097152,0,0.71508,14089.488
348,1,2,2,4,8,4,1048576,0,0.71206,7899.136
349,1,2,2,4,8,8,524288,0,0.734878,8354.794
350,1,2,2,8,1,1,4194304,0,0.721031,6943.398
351,1,2,2,8,1,2,2097152,0,0.71331,6942.6
352,1,2,2,8,1,4,1048576,0,0.708947,5851.202
353,1,2,2,8,1,8,524288,0,0.72422,5580.414
354,1,2,2,8,2,1,4194304,0,0.732972,9098.264
355,1,2,2,8,2,2,2097152,0,0.703774,9740.92
356,1,2,2,8,2,4,1048576,0,0.709312,6745.494
357,1,2,2,8,2,8,524288,0,0.751934,6680.324
358,1,2,2,8,4,1,4194304,0,0.722665,13282.976
359,1,2,2,8,4,2,2097152,0,0.71243,13645.8
360,1,2,2,8,4,4,1048576,0,0.71394,9555.252
361,1,2,2,8,4,8,524288,0,0.75723,8295.476
362,1,2,4,1,1,1,4194304,0,0.549328,4489.814
363,1,2,4,1,1,2,2097152,0,0.572111,4530.512
364,1,2,4,1,1,4,1048576,0,0.554524,4614.302
365,1,2,4,1,1,8,524288,0,0.574909,4729.48
366,1,2,4,1,2,1,4194304,0,0.698043,4646.754
367,1,2,4,1,2,2,2097152,0,0.692373,4613.504
368,1,2,4,1,2,4,1048576,0,0.700044,4674.418
369,1,2,4,1,2,8,524288,0,0.706214,4820.452
370,1,2,4,1,4,1,4194304,0,0.695974,4873.12
371,1,2,4,1,4,2,2097152,0,0.696474,4886.952
372,1,2,4,1,4,4,1048576,0,0.694807,5002.13
373,1,2,4,1,4,8,524288,0,0.713648,5035.114
374,1,2,4,1,8,1,4194304,0,0.681767,5354.58
375,1,2,4,1,8,2,2097152,0,0.69744,5245.254
376,1,2,4,1,8,4,1048576,0,0.709778,5536.79
377,1,2,4,1,8,8,524288,0,0.716948,5400.066
378,1,2,4,2,1,1,4194304,0,0.695845,4663.778
379,1,2,4,2,1,2,2097152,0,0.695011,4640.902
380,1,2,4,2,1,4,1048576,0,0.698847,4775.764
381,1,2,4,2,1,8,524288,0,0.711523,4873.652
382,1,2,4,2,2,1,4194304,0,0.691206,4925.788
383,1,2,4,2,2,2,2097152,0,0.696709,4893.336
384,1,2,4,2,2,4,1048576,0,0.69404,5030.858
385,1,2,4,2,2,8,524288,0,0.723723,5115.978
386,1,2,4,2,4,1,4194304,0,0.693972,5505.402
387,1,2,4,2,4,2,2097152,0,0.703143,5625.634
388,1,2,4,2,4,4,1048576,0,0.698308,5835.774
389,1,2,4,2,4,8,524288,0,0.712314,5529.608
390,1,2,4,2,8,1,4194304,0,0.72445,6322.288
391,1,2,4,2,8,2,2097152,0,0.704109,6308.19
392,1,2,4,2,8,4,1048576,0,0.706943,6682.186
393,1,2,4,2,8,8,524288,0,0.717281,6561.954
394,1,2,4,4,1,1,4194304,0,0.682335,4863.012
395,1,2,4,4,1,2,2097152,0,0.696512,4862.746
396,1,2,4,4,1,4,1048576,0,0.705018,4898.922
397,1,2,4,4,1,8,524288,0,0.71269,5040.7
398,1,2,4,4,2,1,4194304,0,0.701211,5776.988
399,1,2,4,4,2,2,2097152,0,0.703379,5701.976
400,1,2,4,4,2,4,1048576,0,0.697709,6255.256
401,1,2,4,4,2,8,524288,0,0.726391,5697.72
402,1,2,4,4,4,1,4194304,0,0.698307,6906.158
403,1,2,4,4,4,2,2097152,0,0.725986,7164.178
404,1,2,4,4,4,4,1048576,0,0.712147,7097.944
405,1,2,4,4,4,8,524288,0,0.72632,6889.666
406,1,2,4,4,8,1,4194304,0,0.689436,8537.536
407,1,2,4,4,8,2,2097152,0,0.711445,7599.354
408,1,2,4,4,8,4,1048576,0,0.709611,8622.922
409,1,2,4,4,8,8,524288,0,0.731286,8020.698
410,1,2,4,8,1,1,4194304,0,0.692509,5226.102
411,1,2,4,8,1,2,2097152,0,0.703183,5291.272
412,1,2,4,8,1,4,1048576,0,0.716193,5465.236
413,1,2,4,8,1,8,524288,0,0.725199,5438.37
414,1,2,4,8,2,1,4194304,0,0.716886,7771.19
415,1,2,4,8,2,2,2097152,0,0.728392,7242.116
416,1,2,4,8,2,4,1048576,0,0.707047,7264.194
417,1,2,4,8,2,8,524288,0,0.749737,7358.358
418,1,2,4,8,4,1,4194304,0,0.724485,9140.824
419,1,2,4,8,4,2,2097152,0,0.738825,9581.054
420,1,2,4,8,4,4,1048576,0,0.729321,9716.182
421,1,2,4,8,4,8,524288,0,0.722651,9307.074
422,1,2,8,1,1,1,4194304,0,0.553008,4393.522
423,1,2,8,1,1,2,2097152,0,0.553401,4465.874
424,1,2,8,1,1,4,1048576,0,0.550123,4548.6
425,1,2,8,1,1,8,524288,0,0.561139,4730.81
426,1,2,8,1,2,1,4194304,0,0.688112,4562.432
427,1,2,8,1,2,2,2097152,0,0.699967,4577.062
428,1,2,8,1,2,4,1048576,0,0.699967,4674.418
429,1,2,8,1,2,8,524288,0,0.72302,4783.212
430,1,2,8,1,4,1,4194304,0,0.70352,4724.426
431,1,2,8,1,4,2,2097152,0,0.694794,4787.202
432,1,2,8,1,4,4,1048576,0,0.710106,4953.186
433,1,2,8,1,4,8,524288,0,0.720972,4942.014
434,1,2,8,1,8,1,4194304,0,0.700192,5148.43
435,1,2,8,1,8,2,2097152,0,0.696735,5307.498
436,1,2,8,1,8,4,1048576,0,0.704802,5822.208
437,1,2,8,1,8,8,524288,0,0.709906,5417.622
438,1,2,8,2,1,1,4194304,0,0.69533,4453.638
439,1,2,8,2,1,2,2097152,0,0.701588,4505.774
440,1,2,8,2,1,4,1048576,0,0.709329,4672.024
441,1,2,8,2,1,8,524288,0,0.718387,4733.736
442,1,2,8,2,2,1,4194304,0,0.696674,4760.602
443,1,2,8,2,2,2,2097152,0,0.696509,4835.614
444,1,2,8,2,2,4,1048576,0,0.700955,5014.366
445,1,2,8,2,2,8,524288,0,0.719067,5006.652
446,1,2,8,2,4,1,4194304,0,0.697428,5380.648
447,1,2,8,2,4,2,2097152,0,0.694793,5453.532
448,1,2,8,2,4,4,1048576,0,0.72163,5608.078
449,1,2,8,2,4,8,524288,0,0.718996,5481.196
450,1,2,8,2,8,1,4194304,0,0.700192,6610.1
451,1,2,8,2,8,2,2097152,0,0.713033,6402.354
452,1,2,8,2,8,4,1048576,0,0.706612,6920.788
453,1,2,8,2,8,8,524288,0,0.730649,6349.154
454,1,2,8,4,1,1,4194304,0,0.690224,4473.056
455,1,2,8,4,1,2,2097152,0,0.718222,4591.426
456,1,2,8,4,1,4,1048576,0,0.706694,4613.77
457,1,2,8,4,1,8,524288,0,0.715422,4746.77
458,1,2,8,4,2,1,4194304,0,0.692886,5096.56
459,1,2,8,4,2,2,2097152,0,0.698485,5142.312
460,1,2,8,4,2,4,1048576,0,0.707047,5559.932
461,1,2,8,4,2,8,524288,0,0.709352,5268.662
462,1,2,8,4,4,1,4194304,0,0.714385,7026.656
463,1,2,8,4,4,2,2097152,0,0.699897,7417.144
464,1,2,8,4,4,4,1048576,0,0.715209,7101.668
