n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2
58,16,1,1,3,4,16,0,3.70E-05,616
59,16,1,1,4,1,1,0,5.70E-05,299
60,16,1,1,4,1,2,0,6.40E-05,477
61,16,1,1,4,1,4,0,5.60E-05,559
62,16,1,1,4,1,8,0,5.30E-05,520
63,16,1,1,4,1,16,0,5.50E-05,691
64,16,1,1,4,2,1,0,5.70E-05,288
65,16,1,1,4,2,2,0,7.00E-05,445
66,16,1,1,4,2,4,0,5.70E-05,505
67,16,1,1,4,2,8,0,5.30E-05,461
68,16,1,1,4,2,16,0,5.20E-05,654
69,16,1,1,4,3,1,0,6.10E-05,303
70,16,1,1,4,3,2,0,7.40E-05,571
71,16,1,1,4,3,4,0,6.30E-05,532
72,16,1,1,4,3,8,0,6.50E-05,482
73,16,1,1,4,3,16,0,5.50E-05,737
74,16,1,1,4,4,1,0,5.80E-05,292
75,16,1,1,4,4,2,0,6.40E-05,424
76,16,1,1,4,4,4,0,5.70E-05,442
77,16,1,1,4,4,8,0,4.90E-05,446
78,16,1,1,4,4,16,0,5.30E-05,629
79,16,1,2,1,1,1,0,3.40E-05,259
80,16,1,2,1,1,2,0,3.90E-05,415
81,16,1,2,1,1,4,0,3.80E-05,384
82,16,1,2,1,1,8,0,3.70E-05,481
83,16,1,2,1,1,16,0,2.30E-05,349
84,16,1,2,1,2,1,0,3.40E-05,292
85,16,1,2,1,2,2,0,4.20E-05,391
86,16,1,2,1,2,4,0,3.50E-05,420
87,16,1,2,1,2,8,0,3.50E-05,462
88,16,1,2,1,2,16,0,2.30E-05,292
89,16,1,2,1,3,1,0,3.70E-05,281
90,16,1,2,1,3,2,0,3.90E-05,491
91,16,1,2,1,3,4,0,3.60E-05,413
92,16,1,2,1,3,8,0,3.50E-05,465
93,16,1,2,1,3,16,0,2.40E-05,361
94,16,1,2,1,4,1,0,3.60E-05,260
95,16,1,2,1,4,2,0,3.60E-05,375
96,16,1,2,1,4,4,0,4.10E-05,445
97,16,1,2,1,4,8,0,3.60E-05,408
98,16,1,2,1,4,16,0,2.30E-05,257
99,16,1,2,2,1,1,0,5.10E-05,260
100,16,1,2,2,1,2,0,6.40E-05,439
101,16,1,2,2,1,4,0,4.90E-05,498
102,16,1,2,2,1,8,0,5.20E-05,481
103,16,1,2,2,1,16,0,4.60E-05,483
104,16,1,2,2,2,1,0,4.90E-05,240
105,16,1,2,2,2,2,0,6.60E-05,372
106,16,1,2,2,2,4,0,5.20E-05,459
107,16,1,2,2,2,8,0,5.10E-05,439
108,16,1,2,2,2,16,0,4.70E-05,427
109,16,1,2,2,3,1,0,5.30E-05,256
110,16,1,2,2,3,2,0,6.90E-05,520
111,16,1,2,2,3,4,0,4.90E-05,464
112,16,1,2,2,3,8,0,4.90E-05,468
113,16,1,2,2,3,16,0,5.00E-05,514
114,16,1,2,2,4,1,0,5.20E-05,245
115,16,1,2,2,4,2,0,6.90E-05,394
116,16,1,2,2,4,4,0,5.20E-05,385
117,16,1,2,2,4,8,0,4.90E-05,413
118,16,1,2,2,4,16,0,4.60E-05,417
119,16,1,2,3,1,1,0,8.50E-05,327
120,16,1,2,3,1,2,0,0.000103,470
121,16,1,2,3,1,4,0,0.000111,462
122,16,1,2,3,1,8,0,0.000104,533
123,16,1,2,3,1,16,0,7.30E-05,726
124,16,1,2,3,2,1,0,7.90E-05,332
125,16,1,2,3,2,2,0,0.000105,419
126,16,1,2,3,2,4,0,9.70E-05,449
127,16,1,2,3,2,8,0,9.90E-05,477
128,16,1,2,3,2,16,0,7.30E-05,637
129,16,1,2,3,3,1,0,8.60E-05,324
130,16,1,2,3,3,2,0,1.00E-04,569
131,16,1,2,3,3,4,0,0.00011,501
132,16,1,2,3,3,8,0,0.000104,501
133,16,1,2,3,3,16,0,7.50E-05,729
134,16,1,2,3,4,1,0,8.00E-05,320
135,16,1,2,3,4,2,0,0.000106,436
136,16,1,2,3,4,4,0,0.000105,439
137,16,1,2,3,4,8,0,0.00011,455
138,16,1,2,3,4,16,0,7.50E-05,589
139,16,1,2,4,1,1,0,0.000103,339
140,16,1,2,4,1,2,0,0.000133,565
141,16,1,2,4,1,4,0,0.000121,598
142,16,1,2,4,1,8,0,0.000105,590
143,16,1,2,4,1,16,0,0.000115,721
144,16,1,2,4,2,1,0,0.000111,356
145,16,1,2,4,2,2,0,0.000144,480
146,16,1,2,4,2,4,0,0.000116,601
147,16,1,2,4,2,8,0,0.000113,518
148,16,1,2,4,2,16,0,0.000109,705
149,16,1,2,4,3,1,0,0.000108,342
150,16,1,2,4,3,2,0,0.000145,577
151,16,1,2,4,3,4,0,0.000123,579
152,16,1,2,4,3,8,0,0.000117,581
153,16,1,2,4,4,1,0,0.00011,350
154,16,1,2,4,4,2,0,0.000141,490
155,16,1,2,4,4,4,0,0.000128,493
156,16,1,2,4,4,8,0,0.000111,489
157,16,1,2,4,4,16,0,0.000113,658
158,16,1,3,1,1,1,0,6.00E-05,269
159,16,1,3,1,1,2,0,5.50E-05,424
160,16,1,3,1,1,4,0,5.60E-05,422
161,16,1,3,1,1,8,0,5.80E-05,482
162,16,1,3,1,1,16,0,3.80E-05,338
163,16,1,3,1,2,1,0,5.70E-05,254
164,16,1,3,1,2,2,0,6.30E-05,381
165,16,1,3,1,2,4,0,6.50E-05,375
166,16,1,3,1,2,8,0,6.00E-05,428
167,16,1,3,1,2,16,0,4.10E-05,305
168,16,1,3,1,3,1,0,6.10E-05,262
169,16,1,3,1,3,2,0,6.50E-05,490
170,16,1,3,1,3,4,0,6.20E-05,388
171,16,1,3,1,3,8,0,6.10E-05,466
172,16,1,3,1,3,16,0,3.80E-05,427
173,16,1,3,1,4,1,0,5.70E-05,249
174,16,1,3,1,4,2,0,6.50E-05,399
175,16,1,3,1,4,4,0,6.60E-05,342
176,16,1,3,1,4,8,0,6.00E-05,419
177,16,1,3,1,4,16,0,3.60E-05,292
178,16,1,3,2,1,1,0,8.20E-05,250
179,16,1,3,2,1,2,0,0.000111,402
180,16,1,3,2,1,4,0,8.30E-05,395
181,16,1,3,2,1,8,0,8.40E-05,430
182,16,1,3,2,1,16,0,7.10E-05,465
183,16,1,3,2,2,1,0,7.90E-05,243
184,16,1,3,2,2,2,0,0.000114,361
185,16,1,3,2,2,4,0,8.70E-05,394
186,16,1,3,2,2,8,0,8.30E-05,379
187,16,1,3,2,2,16,0,6.90E-05,480
188,16,1,3,2,3,1,0,8.20E-05,263
189,16,1,3,2,3,2,0,0.000137,485
190,16,1,3,2,3,4,0,8.10E-05,415
191,16,1,3,2,3,8,0,9.60E-05,437
192,16,1,3,2,3,16,0,7.20E-05,491
193,16,1,3,2,4,1,0,8.30E-05,237
194,16,1,3,2,4,2,0,0.000106,375
195,16,1,3,2,4,4,0,8.40E-05,347
196,16,1,3,2,4,8,0,8.40E-05,367
197,16,1,3,2,4,16,0,6.80E-05,407
198,16,1,3,3,1,1,0,0.000132,313
199,16,1,3,3,1,2,0,0.000179,514
200,16,1,3,3,1,4,0,0.000176,507
201,16,1,3,3,1,8,0,0.000181,596
202,16,1,3,3,1,16,0,0.000115,693
203,16,1,3,3,2,1,0,0.000132,298
204,16,1,3,3,2,2,0,0.000195,535
205,16,1,3,3,2,4,0,0.00019,447
206,16,1,3,3,2,8,0,0.000194,519
207,16,1,3,3,2,16,0,0.000112,665
208,16,1,3,3,3,1,0,0.000141,416
209,16,1,3,3,3,2,0,0.000178,659
210,16,1,3,3,3,4,0,0.000167,469
211,16,1,3,3,3,8,0,0.000184,533
212,16,1,3,3,3,16,0,0.000111,720
213,16,1,3,3,4,1,0,0.000133,320
214,16,1,3,3,4,2,0,0.000185,566
215,16,1,3,3,4,4,0,0.000189,439
216,16,1,3,3,4,8,0,0.000202,527
217,16,1,3,3,4,16,0,0.000112,623
218,16,1,3,4,1,1,0,0.000198,398
219,16,1,3,4,1,2,0,0.000244,627
220,16,1,3,4,1,4,0,0.000198,645
221,16,1,3,4,1,8,0,0.000198,624
222,16,1,3,4,1,16,0,0.000171,770
223,16,1,3,4,2,1,0,0.000186,394
224,16,1,3,4,2,2,0,0.000238,572
225,16,1,3,4,2,4,0,0.000199,596
226,16,1,3,4,2,8,0,0.000202,568
227,16,1,3,4,2,16,0,0.000168,739
228,16,1,3,4,3,1,0,0.000194,425
229,16,1,3,4,3,2,0,0.000254,642
230,16,1,3,4,3,4,0,0.000193,598
231,16,1,3,4,3,8,0,0.000194,554
232,16,1,3,4,3,16,0,0.000181,816
233,16,1,3,4,4,1,0,0.000205,413
234,16,1,3,4,4,2,0,0.000249,566
235,16,1,3,4,4,4,0,0.000198,524
236,16,1,3,4,4,8,0,0.000197,598
237,16,1,3,4,4,16,0,0.000172,752
238,16,1,4,1,1,1,0,7.50E-05,310
239,16,1,4,1,1,2,0,7.80E-05,410
240,16,1,4,1,1,4,0,8.30E-05,448
241,16,1,4,1,1,8,0,7.00E-05,522
242,16,1,4,1,1,16,0,6.00E-05,371
243,16,1,4,1,2,1,0,8.20E-05,307
244,16,1,4,1,2,2,0,9.40E-05,404
245,16,1,4,1,2,4,0,8.40E-05,378
246,16,1,4,1,2,8,0,7.70E-05,472
247,16,1,4,1,2,16,0,6.00E-05,302
248,16,1,4,1,3,1,0,8.30E-05,307
249,16,1,4,1,3,2,0,0.000108,580
250,16,1,4,1,3,4,0,0.000103,518
251,16,1,4,1,3,8,0,9.10E-05,527
252,16,1,4,1,3,16,0,6.00E-05,379
253,16,1,4,1,4,1,0,6.20E-05,300
254,16,1,4,1,4,2,0,8.00E-05,406
255,16,1,4,1,4,4,0,7.70E-05,398
256,16,1,4,1,4,8,0,8.20E-05,438
257,16,1,4,1,4,16,0,4.60E-05,271
258,16,1,4,2,1,1,0,0.000127,334
259,16,1,4,2,1,2,0,0.000156,559
260,16,1,4,2,1,4,0,0.000123,558
261,16,1,4,2,1,8,0,0.000117,547
262,16,1,4,2,1,16,0,9.50E-05,556
263,16,1,4,2,2,1,0,0.000123,333
264,16,1,4,2,2,2,0,0.000148,513
265,16,1,4,2,2,4,0,0.000119,520
266,16,1,4,2,2,8,0,0.000127,488
267,16,1,4,2,2,16,0,0.000101,485
268,16,1,4,2,3,1,0,0.000136,344
269,16,1,4,2,3,2,0,0.000194,616
270,16,1,4,2,3,4,0,0.000126,537
271,16,1,4,2,3,8,0,0.000139,514
272,16,1,4,2,3,16,0,0.000106,543
273,16,1,4,2,4,1,0,0.00013,347
274,16,1,4,2,4,2,0,0.000156,443
275,16,1,4,2,4,4,0,0.000121,504
276,16,1,4,2,4,8,0,0.000122,434
277,16,1,4,2,4,16,0,9.80E-05,447
278,16,1,4,3,1,1,0,0.00018,517
279,16,1,4,3,1,2,0,0.000236,652
280,16,1,4,3,1,4,0,0.000247,619
281,16,1,4,3,1,8,0,0.000244,624
282,16,1,4,3,1,16,0,0.000152,858
283,16,1,4,3,2,1,0,0.00019,544
284,16,1,4,3,2,2,0,0.000237,678
285,16,1,4,3,2,4,0,0.000255,574
286,16,1,4,3,2,8,0,0.00024,585
287,16,1,4,3,2,16,0,0.000149,686
288,16,1,4,3,3,1,0,0.000207,597
289,16,1,4,3,3,2,0,0.000248,702
290,16,1,4,3,3,4,0,0.000241,599
291,16,1,4,3,3,8,0,0.000245,632
292,16,1,4,3,3,16,0,0.00015,774
293,16,1,4,3,4,1,0,0.000189,541
294,16,1,4,3,4,2,0,0.000261,627
295,16,1,4,3,4,4,0,0.000234,546
296,16,1,4,3,4,8,0,0.000243,528
297,16,1,4,3,4,16,0,0.000148,625
298,16,1,4,4,1,1,0,0.000267,556
299,16,1,4,4,1,2,0,0.000341,675
300,16,1,4,4,1,4,0,0.000289,700
301,16,1,4,4,1,8,0,0.00026,689
302,16,1,4,4,1,16,0,0.000248,884
303,16,1,4,4,2,1,0,0.000262,533
304,16,1,4,4,2,2,0,0.000347,660
305,16,1,4,4,2,4,0,0.000292,651
306,16,1,4,4,2,8,0,0.000259,615
307,16,1,4,4,2,16,0,0.000239,798
308,16,1,4,4,3,1,0,0.000244,513
309,16,1,4,4,3,2,0,0.000348,698
310,16,1,4,4,3,4,0,0.000288,668
311,16,1,4,4,3,8,0,0.000273,705
312,16,1,4,4,3,16,0,0.000244,817
313,16,1,4,4,4,1,0,0.000254,522
314,16,1,4,4,4,2,0,0.00034,681
315,16,1,4,4,4,4,0,0.000297,603
316,16,1,4,4,4,8,0,0.000254,603
317,16,1,4,4,4,16,0,0.000236,836
318,16,2,1,1,1,1,0,1.80E-05,273
319,16,2,1,1,1,2,0,1.80E-05,434
320,16,2,1,1,1,4,0,1.70E-05,488
321,16,2,1,1,1,8,0,1.80E-05,479
322,16,2,1,1,1,16,0,1.40E-05,333
323,16,2,1,1,2,1,0,1.90E-05,286
324,16,2,1,1,2,2,0,2.10E-05,363
325,16,2,1,1,2,4,0,1.90E-05,432
326,16,2,1,1,2,8,0,1.70E-05,448
327,16,2,1,1,2,16,0,1.30E-05,297
328,16,2,1,1,3,1,0,1.90E-05,278
329,16,2,1,1,3,2,0,1.80E-05,447
330,16,2,1,1,3,4,0,1.80E-05,456
331,16,2,1,1,3,8,0,1.90E-05,475
332,16,2,1,1,3,16,0,1.10E-05,448
333,16,2,1,1,4,1,0,1.70E-05,290
334,16,2,1,1,4,2,0,1.90E-05,378
335,16,2,1,1,4,4,0,2.00E-05,351
336,16,2,1,1,4,8,0,1.60E-05,409
337,16,2,1,1,4,16,0,1.20E-05,251
338,16,2,1,2,1,1,0,2.70E-05,258
339,16,2,1,2,1,2,0,3.40E-05,425
340,16,2,1,2,1,4,0,2.60E-05,531
341,16,2,1,2,1,8,0,2.90E-05,477
342,16,2,1,2,1,16,0,2.40E-05,483
343,16,2,1,2,2,1,0,2.60E-05,269
344,16,2,1,2,2,2,0,3.00E-05,383
345,16,2,1,2,2,4,0,2.70E-05,454
346,16,2,1,2,2,8,0,2.60E-05,427
347,16,2,1,2,2,16,0,2.40E-05,493
348,16,2,1,2,3,1,0,2.70E-05,282
349,16,2,1,2,3,2,0,3.60E-05,486
350,16,2,1,2,3,4,0,3.00E-05,495
351,16,2,1,2,3,8,0,2.80E-05,457
352,16,2,1,2,3,16,0,2.50E-05,633
353,16,2,1,2,4,1,0,3.30E-05,248
354,16,2,1,2,4,2,0,3.80E-05,407
355,16,2,1,2,4,4,0,2.80E-05,393
356,16,2,1,2,4,8,0,2.60E-05,411
357,16,2,1,2,4,16,0,2.30E-05,407
358,16,2,1,3,1,1,0,4.10E-05,362
359,16,2,1,3,1,2,0,5.50E-05,486
360,16,2,1,3,1,4,0,5.10E-05,540
361,16,2,1,3,1,8,0,5.60E-05,527
362,16,2,1,3,1,16,0,3.90E-05,679
363,16,2,1,3,2,1,0,4.10E-05,313
364,16,2,1,3,2,2,0,5.30E-05,429
365,16,2,1,3,2,4,0,5.00E-05,427
366,16,2,1,3,2,8,0,5.10E-05,465
367,16,2,1,3,2,16,0,3.80E-05,624
368,16,2,1,3,3,1,0,4.60E-05,340
369,16,2,1,3,3,2,0,5.70E-05,552
370,16,2,1,3,3,4,0,5.10E-05,505
371,16,2,1,3,3,8,0,5.70E-05,540
372,16,2,1,3,3,16,0,3.90E-05,809
373,16,2,1,3,4,1,0,4.40E-05,313
374,16,2,1,3,4,2,0,5.20E-05,426
375,16,2,1,3,4,4,0,5.30E-05,400
376,16,2,1,3,4,8,0,5.20E-05,455
377,16,2,1,3,4,16,0,3.70E-05,606
378,16,2,1,4,1,1,0,5.80E-05,368
379,16,2,1,4,1,2,0,7.30E-05,578
380,16,2,1,4,1,4,0,6.40E-05,621
381,16,2,1,4,1,8,0,5.60E-05,606
382,16,2,1,4,1,16,0,5.80E-05,732
383,16,2,1,4,2,1,0,5.60E-05,348
384,16,2,1,4,2,2,0,7.50E-05,483
385,16,2,1,4,2,4,0,6.30E-05,602
386,16,2,1,4,2,8,0,5.70E-05,508
387,16,2,1,4,2,16,0,5.90E-05,707
388,16,2,1,4,3,1,0,5.80E-05,362
389,16,2,1,4,3,2,0,8.20E-05,602
390,16,2,1,4,3,4,0,7.00E-05,603
391,16,2,1,4,3,8,0,5.80E-05,604
392,16,2,1,4,3,16,0,5.70E-05,808
393,16,2,1,4,4,1,0,5.20E-05,366
394,16,2,1,4,4,2,0,6.90E-05,525
395,16,2,1,4,4,4,0,6.40E-05,490
396,16,2,1,4,4,8,0,5.70E-05,503
397,16,2,1,4,4,16,0,5.90E-05,697
398,16,2,2,1,1,1,0,3.40E-05,316
399,16,2,2,1,1,2,0,4.30E-05,495
400,16,2,2,1,1,4,0,5.20E-05,530
401,16,2,2,1,1,8,0,4.60E-05,553
402,16,2,2,1,1,16,0,2.40E-05,371
403,16,2,2,1,2,1,0,3.20E-05,300
404,16,2,2,1,2,2,0,4.70E-05,478
405,16,2,2,1,2,4,0,4.30E-05,467
406,16,2,2,1,2,8,0,4.50E-05,524
407,16,2,2,1,2,16,0,2.30E-05,390
408,16,2,2,1,3,1,0,4.30E-05,345
409,16,2,2,1,3,2,0,4.90E-05,631
410,16,2,2,1,3,4,0,4.70E-05,517
411,16,2,2,1,3,8,0,4.60E-05,563
412,16,2,2,1,3,16,0,2.80E-05,445
413,16,2,2,1,4,1,0,3.50E-05,293
414,16,2,2,1,4,2,0,4.40E-05,492
415,16,2,2,1,4,4,0,4.50E-05,415
416,16,2,2,1,4,8,0,4.30E-05,486
417,16,2,2,1,4,16,0,2.20E-05,335
418,16,2,2,2,1,1,0,6.60E-05,346
419,16,2,2,2,1,2,0,8.00E-05,550
420,16,2,2,2,1,4,0,6.30E-05,624
421,16,2,2,2,1,8,0,7.00E-05,568
422,16,2,2,2,1,16,0,5.20E-05,527
423,16,2,2,2,2,1,0,6.90E-05,346
424,16,2,2,2,2,2,0,8.00E-05,505
425,16,2,2,2,2,4,0,6.20E-05,536
426,16,2,2,2,2,8,0,6.80E-05,517
427,16,2,2,2,2,16,0,4.90E-05,528
428,16,2,2,2,3,1,0,6.20E-05,341
429,16,2,2,2,3,2,0,9.00E-05,605
430,16,2,2,2,3,4,0,7.20E-05,560
431,16,2,2,2,3,8,0,7.10E-05,554
432,16,2,2,2,3,16,0,4.90E-05,627
433,16,2,2,2,4,1,0,6.30E-05,356
434,16,2,2,2,4,2,0,8.30E-05,421
435,16,2,2,2,4,4,0,6.50E-05,511
436,16,2,2,2,4,8,0,6.30E-05,478
437,16,2,2,2,4,16,0,5.10E-05,498
438,16,2,2,3,1,1,0,1.00E-04,507
439,16,2,2,3,1,2,0,0.000123,696
440,16,2,2,3,1,4,0,0.000116,702
441,16,2,2,3,1,8,0,0.00012,643
442,16,2,2,3,1,16,0,8.30E-05,882
443,16,2,2,3,2,1,0,9.70E-05,488
444,16,2,2,3,2,2,0,0.000124,643
445,16,2,2,3,2,4,0,0.000118,623
446,16,2,2,3,2,8,0,0.000117,585
447,16,2,2,3,2,16,0,8.80E-05,858
448,16,2,2,3,3,1,0,9.60E-05,515
449,16,2,2,3,3,2,0,0.00013,690
450,16,2,2,3,3,4,0,0.000124,612
451,16,2,2,3,3,8,0,0.000129,625
452,16,2,2,3,3,16,0,9.00E-05,896
453,16,2,2,3,4,1,0,9.60E-05,537
454,16,2,2,3,4,2,0,0.000127,708
455,16,2,2,3,4,4,0,0.000125,544
456,16,2,2,3,4,8,0,0.000114,579
457,16,2,2,3,4,16,0,8.60E-05,745
458,16,2,2,4,1,1,0,0.000133,529
459,16,2,2,4,1,2,0,0.000179,690
460,16,2,2,4,1,4,0,0.000159,723
461,16,2,2,4,1,8,0,0.000126,698
462,16,2,2,4,1,16,0,0.000126,852
463,16,2,2,4,2,1,0,0.000135,516
464,16,2,2,4,2,2,0,0.000166,696
465,16,2,2,4,2,4,0,0.000161,662
466,16,2,2,4,2,8,0,0.000127,622
467,16,2,2,4,2,16,0,0.000123,826
468,16,2,2,4,3,1,0,0.000133,533
469,16,2,2,4,3,2,0,0.000175,702
470,16,2,2,4,3,4,0,0.000158,669
471,16,2,2,4,3,8,0,0.000132,662
472,16,2,2,4,3,16,0,0.000139,1009
473,16,2,2,4,4,1,0,0.000133,535
474,16,2,2,4,4,2,0,0.000172,676
475,16,2,2,4,4,4,0,0.000161,668
476,16,2,2,4,4,8,0,0.000126,604
477,16,2,2,4,4,16,0,0.000129,810
478,16,2,3,1,1,1,0,6.50E-05,419
479,16,2,3,1,1,2,0,6.70E-05,523
480,16,2,3,1,1,4,0,6.40E-05,567
481,16,2,3,1,1,8,0,6.60E-05,576
482,16,2,3,1,1,16,0,4.50E-05,399
483,16,2,3,1,2,1,0,5.90E-05,400
484,16,2,3,1,2,2,0,6.60E-05,461
485,16,2,3,1,2,4,0,6.20E-05,452
486,16,2,3,1,2,8,0,7.60E-05,531
487,16,2,3,1,2,16,0,4.40E-05,347
488,16,2,3,1,3,1,0,6.10E-05,396
489,16,2,3,1,3,2,0,7.50E-05,618
490,16,2,3,1,3,4,0,6.90E-05,474
491,16,2,3,1,3,8,0,7.20E-05,580
492,16,2,3,1,3,16,0,4.80E-05,558
493,16,2,3,1,4,1,0,6.30E-05,419
494,16,2,3,1,4,2,0,6.60E-05,499
495,16,2,3,1,4,4,0,7.00E-05,428
496,16,2,3,1,4,8,0,7.00E-05,489
497,16,2,3,1,4,16,0,4.40E-05,297
498,16,2,3,2,1,1,0,0.000105,321
499,16,2,3,2,1,2,0,0.000128,616
500,16,2,3,2,1,4,0,9.20E-05,578
501,16,2,3,2,1,8,0,0.000102,592
502,16,2,3,2,1,16,0,7.70E-05,570
503,16,2,3,2,2,1,0,0.000105,339
504,16,2,3,2,2,2,0,0.000136,567
505,16,2,3,2,2,4,0,9.50E-05,520
506,16,2,3,2,2,8,0,0.000107,536
507,16,2,3,2,2,16,0,7.70E-05,527
508,16,2,3,2,3,1,0,0.000107,331
509,16,2,3,2,3,2,0,0.00013,622
510,16,2,3,2,3,4,0,0.000117,545
511,16,2,3,2,3,8,0,0.000103,572
512,16,2,3,2,3,16,0,7.70E-05,668
513,16,2,3,2,4,1,0,0.000106,314
514,16,2,3,2,4,2,0,0.000125,549
515,16,2,3,2,4,4,0,9.50E-05,464
516,16,2,3,2,4,8,0,0.000101,474
517,16,2,3,2,4,16,0,7.70E-05,471
518,16,2,3,3,1,1,0,0.000157,510
519,16,2,3,3,1,2,0,0.000199,737
520,16,2,3,3,1,4,0,0.000178,654
521,16,2,3,3,1,8,0,0.000182,701
522,16,2,3,3,1,16,0,0.000132,982
523,16,2,3,3,2,1,0,0.000157,501
524,16,2,3,3,2,2,0,0.000182,738
525,16,2,3,3,2,4,0,0.000181,634
526,16,2,3,3,2,8,0,0.00018,652
527,16,2,3,3,2,16,0,0.000126,803
528,16,2,3,3,3,1,0,0.000154,520
529,16,2,3,3,3,2,0,0.000191,810
530,16,2,3,3,3,4,0,0.000184,693
531,16,2,3,3,3,8,0,0.000195,692
532,16,2,3,3,3,16,0,0.000131,887
533,16,2,3,3,4,1,0,0.000153,514
534,16,2,3,3,4,2,0,0.000198,734
535,16,2,3,3,4,4,0,0.000195,564
536,16,2,3,3,4,8,0,0.000178,609
537,16,2,3,3,4,16,0,0.000134,704
538,16,2,3,4,1,1,0,0.000196,595
539,16,2,3,4,1,2,0,0.000246,801
540,16,2,3,4,1,4,0,0.000225,799
541,16,2,3,4,1,8,0,0.0002,765
542,16,2,3,4,1,16,0,0.000191,880
543,16,2,3,4,2,1,0,0.000188,598
544,16,2,3,4,2,2,0,0.000247,757
545,16,2,3,4,2,4,0,0.000215,717
546,16,2,3,4,2,8,0,0.000184,698
547,16,2,3,4,2,16,0,0.000184,808
548,16,2,3,4,3,1,0,0.000195,609
549,16,2,3,4,3,2,0,0.000256,861
550,16,2,3,4,3,4,0,0.000222,704
551,16,2,3,4,3,8,0,0.000207,761
552,16,2,3,4,3,16,0,0.000183,996
553,16,2,3,4,4,1,0,0.000192,590
554,16,2,3,4,4,2,0,0.000239,771
555,16,2,3,4,4,4,0,0.000211,667
556,16,2,3,4,4,8,0,0.000194,722
557,16,2,3,4,4,16,0,0.000182,806
558,16,2,4,1,1,1,0,8.20E-05,503
559,16,2,4,1,1,2,0,0.000101,655
560,16,2,4,1,1,4,0,9.30E-05,673
561,16,2,4,1,1,8,0,9.90E-05,703
562,16,2,4,1,1,16,0,6.90E-05,449
563,16,2,4,1,2,1,0,8.30E-05,478
564,16,2,4,1,2,2,0,9.30E-05,651
565,16,2,4,1,2,4,0,9.50E-05,604
566,16,2,4,1,2,8,0,9.20E-05,676
567,16,2,4,1,2,16,0,5.60E-05,455
568,16,2,4,1,3,1,0,8.10E-05,505
569,16,2,4,1,3,2,0,9.70E-05,735
570,16,2,4,1,3,4,0,9.10E-05,643
