n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2,FF
0128,2,1,4,1,32,1,0,0.000060,6547.324,238
0129,2,1,4,1,32,2,0,0.000061,6453.958,206
0130,2,1,4,2,512,1,0,0.000024,3583.818,140
0131,2,1,4,2,512,2,0,0.000026,3894.506,160
0132,2,1,4,2,256,1,0,0.000024,4010.748,162
0133,2,1,4,2,256,2,0,0.000025,4139.492,163
0134,2,1,4,2,128,1,0,0.000024,4469.066,167
0135,2,1,4,2,128,2,0,0.000025,4550.728,168
0136,2,1,4,2,64,1,0,0.000025,4897.060,183
0137,2,1,4,2,64,2,0,0.000025,5024.474,184
0138,2,1,4,2,32,1,0,0.000025,6488.538,216
0139,2,1,4,2,32,2,0,0.000026,6576.052,217
0140,2,1,4,3,512,1,0,0.000024,3583.818,140
0141,2,1,4,3,512,2,0,0.000026,3894.506,160
0142,2,1,4,3,256,1,0,0.000024,4010.748,162
0143,2,1,4,3,256,2,0,0.000025,4139.492,163
0144,2,1,4,3,128,1,0,0.000024,4469.066,167
0145,2,1,4,3,128,2,0,0.000025,4550.728,168
0146,2,1,4,3,64,1,0,0.000025,4897.060,183
0147,2,1,4,3,64,2,0,0.000025,5024.474,184
0148,2,1,4,3,32,1,0,0.000025,6488.538,216
0149,2,1,4,3,32,2,0,0.000026,6576.052,217
0150,2,1,4,4,512,1,0,0.000024,3583.818,140
0151,2,1,4,4,512,2,0,0.000026,3894.506,160
0152,2,1,4,4,256,1,0,0.000024,4010.748,162
0153,2,1,4,4,256,2,0,0.000025,4139.492,163
0154,2,1,4,4,128,1,0,0.000024,4469.066,167
0155,2,1,4,4,128,2,0,0.000025,4550.728,168
0156,2,1,4,4,64,1,0,0.000025,4897.060,183
0157,2,1,4,4,64,2,0,0.000025,5024.474,184
0158,2,1,4,4,32,1,0,0.000025,6488.538,216
0159,2,1,4,4,32,2,0,0.000026,6576.052,217
0160,2,2,1,1,512,1,0,0.000055,4263.980,212
0161,2,2,1,1,512,2,0,0.000055,4294.304,212
0162,2,2,1,1,256,1,0,0.000055,4564.028,214
0163,2,2,1,1,256,2,0,0.000055,4605.524,214
0164,2,2,1,1,128,1,0,0.000056,4975.530,218
0165,2,2,1,1,128,2,0,0.000056,5047.084,218
0166,2,2,1,1,64,1,0,0.000056,5551.952,231
0167,2,2,1,1,64,2,0,0.000056,5521.894,231
0168,2,2,1,1,32,1,0,0.000057,6935.684,252
0169,2,2,1,1,32,2,0,0.000058,6944.196,252
0170,2,2,1,2,512,1,0,0.000018,4388.734,193
0171,2,2,1,2,512,2,0,0.000018,4537.428,204
0172,2,2,1,2,256,1,0,0.000018,4800.768,206
0173,2,2,1,2,256,2,0,0.000019,4816.462,207
0174,2,2,1,2,128,1,0,0.000018,5366.284,211
0175,2,2,1,2,128,2,0,0.000019,5366.550,212
0176,2,2,1,2,64,1,0,0.000019,5948.292,238
0177,2,2,1,2,64,2,0,0.000019,5931.534,238
0178,2,2,1,2,32,1,0,0.000019,7509.712,285
0179,2,2,1,2,32,2,0,0.000019,7518.756,283
0180,2,2,1,3,512,1,0,0.000018,4388.734,193
0181,2,2,1,3,512,2,0,0.000018,4537.428,204
0182,2,2,1,3,256,1,0,0.000018,4800.768,206
0183,2,2,1,3,256,2,0,0.000019,4816.462,207
0184,2,2,1,3,128,1,0,0.000018,5366.284,211
0185,2,2,1,3,128,2,0,0.000019,5366.550,212
0186,2,2,1,3,64,1,0,0.000019,5948.292,238
0187,2,2,1,3,64,2,0,0.000019,5931.534,238
0188,2,2,1,3,32,1,0,0.000019,7509.712,285
0189,2,2,1,3,32,2,0,0.000019,7518.756,283
0190,2,2,1,4,512,1,0,0.000018,4388.734,193
0191,2,2,1,4,512,2,0,0.000018,4537.428,204
0192,2,2,1,4,256,1,0,0.000018,4800.768,206
0193,2,2,1,4,256,2,0,0.000019,4816.462,207
0194,2,2,1,4,128,1,0,0.000018,5366.284,211
0195,2,2,1,4,128,2,0,0.000019,5366.550,212
0196,2,2,1,4,64,1,0,0.000019,5948.292,238
0197,2,2,1,4,64,2,0,0.000019,5931.534,238
0198,2,2,1,4,32,1,0,0.000019,7509.712,285
0199,2,2,1,4,32,2,0,0.000019,7518.756,283
0200,2,2,2,1,512,1,0,0.000055,4263.980,212
0201,2,2,2,1,512,2,0,0.000055,4294.304,212
0202,2,2,2,1,256,1,0,0.000055,4564.028,214
0203,2,2,2,1,256,2,0,0.000055,4605.524,214
0204,2,2,2,1,128,1,0,0.000056,4975.530,218
0205,2,2,2,1,128,2,0,0.000056,5047.084,218
0206,2,2,2,1,64,1,0,0.000056,5551.952,231
0207,2,2,2,1,64,2,0,0.000056,5521.894,231
0208,2,2,2,1,32,1,0,0.000057,6935.684,252
0209,2,2,2,1,32,2,0,0.000058,6944.196,252
0210,2,2,2,2,512,1,0,0.000018,4388.734,193
0211,2,2,2,2,512,2,0,0.000018,4537.428,204
0212,2,2,2,2,256,1,0,0.000018,4800.768,206
0213,2,2,2,2,256,2,0,0.000019,4816.462,207
0214,2,2,2,2,128,1,0,0.000018,5366.284,211
0215,2,2,2,2,128,2,0,0.000019,5366.550,212
0216,2,2,2,2,64,1,0,0.000019,5948.292,238
0217,2,2,2,2,64,2,0,0.000019,5931.534,238
0218,2,2,2,2,32,1,0,0.000019,7509.712,285
0219,2,2,2,2,32,2,0,0.000019,7518.756,283
0220,2,2,2,3,512,1,0,0.000018,4388.734,193
0221,2,2,2,3,512,2,0,0.000018,4537.428,204
0222,2,2,2,3,256,1,0,0.000018,4800.768,206
0223,2,2,2,3,256,2,0,0.000019,4816.462,207
0224,2,2,2,3,128,1,0,0.000018,5366.284,211
0225,2,2,2,3,128,2,0,0.000019,5366.550,212
0226,2,2,2,3,64,1,0,0.000019,5948.292,238
0227,2,2,2,3,64,2,0,0.000019,5931.534,238
0228,2,2,2,3,32,1,0,0.000019,7509.712,285
0229,2,2,2,3,32,2,0,0.000019,7518.756,283
0230,2,2,2,4,512,1,0,0.000018,4388.734,193
0231,2,2,2,4,512,2,0,0.000018,4537.428,204
0232,2,2,2,4,256,1,0,0.000018,4800.768,206
0233,2,2,2,4,256,2,0,0.000019,4816.462,207
0234,2,2,2,4,128,1,0,0.000018,5366.284,211
0235,2,2,2,4,128,2,0,0.000019,5366.550,212
0236,2,2,2,4,64,1,0,0.000019,5948.292,238
0237,2,2,2,4,64,2,0,0.000019,5931.534,238
0238,2,2,2,4,32,1,0,0.000019,7509.712,285
0239,2,2,2,4,32,2,0,0.000019,7518.756,283
0240,2,2,3,1,512,1,0,0.000055,4263.980,212
0241,2,2,3,1,512,2,0,0.000055,4294.304,212
0242,2,2,3,1,256,1,0,0.000055,4564.028,214
0243,2,2,3,1,256,2,0,0.000055,4605.524,214
0244,2,2,3,1,128,1,0,0.000056,4975.530,218
0245,2,2,3,1,128,2,0,0.000056,5047.084,218
0246,2,2,3,1,64,1,0,0.000056,5551.952,231
0247,2,2,3,1,64,2,0,0.000056,5521.894,231
0248,2,2,3,1,32,1,0,0.000057,6935.684,252
0249,2,2,3,1,32,2,0,0.000058,6944.196,252
0250,2,2,3,2,512,1,0,0.000018,4388.734,193
0251,2,2,3,2,512,2,0,0.000018,4537.428,204
0252,2,2,3,2,256,1,0,0.000018,4800.768,206
0253,2,2,3,2,256,2,0,0.000019,4816.462,207
0254,2,2,3,2,128,1,0,0.000018,5366.284,211
0255,2,2,3,2,128,2,0,0.000019,5366.550,212
0256,2,2,3,2,64,1,0,0.000019,5948.292,238
0257,2,2,3,2,64,2,0,0.000019,5931.534,238
0258,2,2,3,2,32,1,0,0.000019,7509.712,285
0259,2,2,3,2,32,2,0,0.000019,7518.756,283
0260,2,2,3,3,512,1,0,0.000018,4388.734,193
0261,2,2,3,3,512,2,0,0.000018,4537.428,204
0262,2,2,3,3,256,1,0,0.000018,4800.768,206
0263,2,2,3,3,256,2,0,0.000019,4816.462,207
0264,2,2,3,3,128,1,0,0.000018,5366.284,211
0265,2,2,3,3,128,2,0,0.000019,5366.550,212
0266,2,2,3,3,64,1,0,0.000019,5948.292,238
0267,2,2,3,3,64,2,0,0.000019,5931.534,238
0268,2,2,3,3,32,1,0,0.000019,7509.712,285
0269,2,2,3,3,32,2,0,0.000019,7518.756,283
0270,2,2,3,4,512,1,0,0.000018,4388.734,193
0271,2,2,3,4,512,2,0,0.000018,4537.428,204
0272,2,2,3,4,256,1,0,0.000018,4800.768,206
0273,2,2,3,4,256,2,0,0.000019,4816.462,207
0274,2,2,3,4,128,1,0,0.000018,5366.284,211
0275,2,2,3,4,128,2,0,0.000019,5366.550,212
0276,2,2,3,4,64,1,0,0.000019,5948.292,238
0277,2,2,3,4,64,2,0,0.000019,5931.534,238
0278,2,2,3,4,32,1,0,0.000019,7509.712,285
0279,2,2,3,4,32,2,0,0.000019,7518.756,283
0280,2,2,4,1,512,1,0,0.000055,4263.980,212
0281,2,2,4,1,512,2,0,0.000055,4294.304,212
0282,2,2,4,1,256,1,0,0.000055,4564.028,214
0283,2,2,4,1,256,2,0,0.000055,4605.524,214
0284,2,2,4,1,128,1,0,0.000056,4975.530,218
0285,2,2,4,1,128,2,0,0.000056,5047.084,218
0286,2,2,4,1,64,1,0,0.000056,5551.952,231
0287,2,2,4,1,64,2,0,0.000056,5521.894,231
0288,2,2,4,1,32,1,0,0.000057,6935.684,252
0289,2,2,4,1,32,2,0,0.000058,6944.196,252
0290,2,2,4,2,512,1,0,0.000018,4388.734,193
0291,2,2,4,2,512,2,0,0.000018,4537.428,204
0292,2,2,4,2,256,1,0,0.000018,4800.768,206
0293,2,2,4,2,256,2,0,0.000019,4816.462,207
0294,2,2,4,2,128,1,0,0.000018,5366.284,211
0295,2,2,4,2,128,2,0,0.000019,5366.550,212
0296,2,2,4,2,64,1,0,0.000019,5948.292,238
0297,2,2,4,2,64,2,0,0.000019,5931.534,238
0298,2,2,4,2,32,1,0,0.000019,7509.712,285
0299,2,2,4,2,32,2,0,0.000019,7518.756,283
0300,2,2,4,3,512,1,0,0.000018,4388.734,193
0301,2,2,4,3,512,2,0,0.000018,4537.428,204
0302,2,2,4,3,256,1,0,0.000018,4800.768,206
0303,2,2,4,3,256,2,0,0.000019,4816.462,207
0304,2,2,4,3,128,1,0,0.000018,5366.284,211
0305,2,2,4,3,128,2,0,0.000019,5366.550,212
0306,2,2,4,3,64,1,0,0.000019,5948.292,238
0307,2,2,4,3,64,2,0,0.000019,5931.534,238
0308,2,2,4,3,32,1,0,0.000019,7509.712,285
0309,2,2,4,3,32,2,0,0.000019,7518.756,283
0310,2,2,4,4,512,1,0,0.000018,4388.734,193
0311,2,2,4,4,512,2,0,0.000018,4537.428,204
0312,2,2,4,4,256,1,0,0.000018,4800.768,206
0313,2,2,4,4,256,2,0,0.000019,4816.462,207
0314,2,2,4,4,128,1,0,0.000018,5366.284,211
0315,2,2,4,4,128,2,0,0.000019,5366.550,212
0316,2,2,4,4,64,1,0,0.000019,5948.292,238
0317,2,2,4,4,64,2,0,0.000019,5931.534,238
0318,2,2,4,4,32,1,0,0.000019,7509.712,285
0319,2,2,4,4,32,2,0,0.000019,7518.756,283
0320,2,3,1,1,512,1,0,0.000055,4756.080,224
0321,2,3,1,1,512,2,0,0.000055,4769.912,224
0322,2,3,1,1,256,1,0,0.000057,4937.226,226
0323,2,3,1,1,256,2,0,0.000058,4991.490,226
0324,2,3,1,1,128,1,0,0.000057,5511.254,230
0325,2,3,1,1,128,2,0,0.000058,5586.532,230
0326,2,3,1,1,64,1,0,0.000057,5938.450,245
0327,2,3,1,1,64,2,0,0.000055,5853.862,245
0328,2,3,1,1,32,1,0,0.000061,7450.926,280
0329,2,3,1,1,32,2,0,0.000057,7591.374,280
0330,2,3,1,2,512,1,0,0.000018,4632.656,202
0331,2,3,1,2,512,2,0,0.000018,6973.722,242
0332,2,3,1,2,256,1,0,0.000015,4898.124,204
0333,2,3,1,2,256,2,0,0.000018,7292.390,234
0334,2,3,1,2,128,1,0,0.000015,5580.680,209
0335,2,3,1,2,128,2,0,0.000018,8030.806,239
0336,2,3,1,2,64,1,0,0.000015,6103.902,240
0337,2,3,1,2,64,2,0,0.000019,8652.714,267
0338,2,3,1,2,32,1,0,0.000015,7860.300,301
0339,2,3,1,2,32,2,0,0.000020,10649.310,321
0340,2,3,1,3,512,1,0,0.000018,4632.656,202
0341,2,3,1,3,512,2,0,0.000018,6973.722,242
0342,2,3,1,3,256,1,0,0.000015,4898.124,204
0343,2,3,1,3,256,2,0,0.000018,7292.390,234
0344,2,3,1,3,128,1,0,0.000015,5580.680,209
0345,2,3,1,3,128,2,0,0.000018,8030.806,239
0346,2,3,1,3,64,1,0,0.000015,6103.902,240
0347,2,3,1,3,64,2,0,0.000019,8652.714,267
0348,2,3,1,3,32,1,0,0.000015,7860.300,301
0349,2,3,1,3,32,2,0,0.000020,10649.310,321
0350,2,3,1,4,512,1,0,0.000018,4632.656,202
0351,2,3,1,4,512,2,0,0.000018,6973.722,242
0352,2,3,1,4,256,1,0,0.000015,4898.124,204
0353,2,3,1,4,256,2,0,0.000018,7292.390,234
0354,2,3,1,4,128,1,0,0.000015,5580.680,209
0355,2,3,1,4,128,2,0,0.000018,8030.806,239
0356,2,3,1,4,64,1,0,0.000015,6103.902,240
0357,2,3,1,4,64,2,0,0.000019,8652.714,267
0358,2,3,1,4,32,1,0,0.000015,7860.300,301
0359,2,3,1,4,32,2,0,0.000020,10649.310,321
0360,2,3,2,1,512,1,0,0.000055,4756.080,224
0361,2,3,2,1,512,2,0,0.000055,4769.912,224
0362,2,3,2,1,256,1,0,0.000057,4937.226,226
0363,2,3,2,1,256,2,0,0.000058,4991.490,226
0364,2,3,2,1,128,1,0,0.000057,5511.254,230
0365,2,3,2,1,128,2,0,0.000058,5586.532,230
0366,2,3,2,1,64,1,0,0.000057,5938.450,245
0367,2,3,2,1,64,2,0,0.000055,5853.862,245
0368,2,3,2,1,32,1,0,0.000061,7450.926,280
0369,2,3,2,1,32,2,0,0.000057,7591.374,280
0370,2,3,2,2,512,1,0,0.000018,4632.656,202
0371,2,3,2,2,512,2,0,0.000018,6973.722,242
0372,2,3,2,2,256,1,0,0.000015,4898.124,204
0373,2,3,2,2,256,2,0,0.000018,7292.390,234
0374,2,3,2,2,128,1,0,0.000015,5580.680,209
0375,2,3,2,2,128,2,0,0.000018,8030.806,239
0376,2,3,2,2,64,1,0,0.000015,6103.902,240
0377,2,3,2,2,64,2,0,0.000019,8652.714,267
0378,2,3,2,2,32,1,0,0.000015,7860.300,301
0379,2,3,2,2,32,2,0,0.000020,10649.310,321
0380,2,3,2,3,512,1,0,0.000018,4632.656,202
0381,2,3,2,3,512,2,0,0.000018,6973.722,242
0382,2,3,2,3,256,1,0,0.000015,4898.124,204
0383,2,3,2,3,256,2,0,0.000018,7292.390,234
0384,2,3,2,3,128,1,0,0.000015,5580.680,209
0385,2,3,2,3,128,2,0,0.000018,8030.806,239
0386,2,3,2,3,64,1,0,0.000015,6103.902,240
0387,2,3,2,3,64,2,0,0.000019,8652.714,267
0388,2,3,2,3,32,1,0,0.000015,7860.300,301
0389,2,3,2,3,32,2,0,0.000020,10649.310,321
0390,2,3,2,4,512,1,0,0.000018,4632.656,202
0391,2,3,2,4,512,2,0,0.000018,6973.722,242
0392,2,3,2,4,256,1,0,0.000015,4898.124,204
0393,2,3,2,4,256,2,0,0.000018,7292.390,234
0394,2,3,2,4,128,1,0,0.000015,5580.680,209
0395,2,3,2,4,128,2,0,0.000018,8030.806,239
0396,2,3,2,4,64,1,0,0.000015,6103.902,240
0397,2,3,2,4,64,2,0,0.000019,8652.714,267
0398,2,3,2,4,32,1,0,0.000015,7860.300,301
0399,2,3,2,4,32,2,0,0.000020,10649.310,321
0400,2,3,3,1,512,1,0,0.000055,4756.080,224
0401,2,3,3,1,512,2,0,0.000055,4769.912,224
0402,2,3,3,1,256,1,0,0.000057,4937.226,226
0403,2,3,3,1,256,2,0,0.000058,4991.490,226
0404,2,3,3,1,128,1,0,0.000057,5511.254,230
0405,2,3,3,1,128,2,0,0.000058,5586.532,230
0406,2,3,3,1,64,1,0,0.000057,5938.450,245
0407,2,3,3,1,64,2,0,0.000055,5853.862,245
0408,2,3,3,1,32,1,0,0.000061,7450.926,280
0409,2,3,3,1,32,2,0,0.000057,7591.374,280
0410,2,3,3,2,512,1,0,0.000018,4632.656,202
0411,2,3,3,2,512,2,0,0.000018,6973.722,242
0412,2,3,3,2,256,1,0,0.000015,4898.124,204
0413,2,3,3,2,256,2,0,0.000018,7292.390,234
0414,2,3,3,2,128,1,0,0.000015,5580.680,209
0415,2,3,3,2,128,2,0,0.000018,8030.806,239
0416,2,3,3,2,64,1,0,0.000015,6103.902,240
0417,2,3,3,2,64,2,0,0.000019,8652.714,267
0418,2,3,3,2,32,1,0,0.000015,7860.300,301
0419,2,3,3,2,32,2,0,0.000020,10649.310,321
0420,2,3,3,3,512,1,0,0.000018,4632.656,202
0421,2,3,3,3,512,2,0,0.000018,6973.722,242
0422,2,3,3,3,256,1,0,0.000015,4898.124,204
0423,2,3,3,3,256,2,0,0.000018,7292.390,234
0424,2,3,3,3,128,1,0,0.000015,5580.680,209
0425,2,3,3,3,128,2,0,0.000018,8030.806,239
0426,2,3,3,3,64,1,0,0.000015,6103.902,240
0427,2,3,3,3,64,2,0,0.000019,8652.714,267
0428,2,3,3,3,32,1,0,0.000015,7860.300,301
0429,2,3,3,3,32,2,0,0.000020,10649.310,321
0430,2,3,3,4,512,1,0,0.000018,4632.656,202
0431,2,3,3,4,512,2,0,0.000018,6973.722,242
0432,2,3,3,4,256,1,0,0.000015,4898.124,204
0433,2,3,3,4,256,2,0,0.000018,7292.390,234
0434,2,3,3,4,128,1,0,0.000015,5580.680,209
0435,2,3,3,4,128,2,0,0.000018,8030.806,239
0436,2,3,3,4,64,1,0,0.000015,6103.902,240
0437,2,3,3,4,64,2,0,0.000019,8652.714,267
0438,2,3,3,4,32,1,0,0.000015,7860.300,301
0439,2,3,3,4,32,2,0,0.000020,10649.310,321
0440,2,3,4,1,512,1,0,0.000055,4756.080,224
0441,2,3,4,1,512,2,0,0.000055,4769.912,224
0442,2,3,4,1,256,1,0,0.000057,4937.226,226
0443,2,3,4,1,256,2,0,0.000058,4991.490,226
0444,2,3,4,1,128,1,0,0.000057,5511.254,230
0445,2,3,4,1,128,2,0,0.000058,5586.532,230
0446,2,3,4,1,64,1,0,0.000057,5938.450,245
0447,2,3,4,1,64,2,0,0.000055,5853.862,245
0448,2,3,4,1,32,1,0,0.000061,7450.926,280
0449,2,3,4,1,32,2,0,0.000057,7591.374,280
0450,2,3,4,2,512,1,0,0.000018,4632.656,202
0451,2,3,4,2,512,2,0,0.000018,6973.722,242
0452,2,3,4,2,256,1,0,0.000015,4898.124,204
0453,2,3,4,2,256,2,0,0.000018,7292.390,234
0454,2,3,4,2,128,1,0,0.000015,5580.680,209
0455,2,3,4,2,128,2,0,0.000018,8030.806,239
0456,2,3,4,2,64,1,0,0.000015,6103.902,240
0457,2,3,4,2,64,2,0,0.000019,8652.714,267
0458,2,3,4,2,32,1,0,0.000015,7860.300,301
0459,2,3,4,2,32,2,0,0.000020,10649.310,321
0460,2,3,4,3,512,1,0,0.000018,4632.656,202
0461,2,3,4,3,512,2,0,0.000018,6973.722,242
0462,2,3,4,3,256,1,0,0.000015,4898.124,204
0463,2,3,4,3,256,2,0,0.000018,7292.390,234
0464,2,3,4,3,128,1,0,0.000015,5580.680,209
0465,2,3,4,3,128,2,0,0.000018,8030.806,239
0466,2,3,4,3,64,1,0,0.000015,6103.902,240
0467,2,3,4,3,64,2,0,0.000019,8652.714,267
0468,2,3,4,3,32,1,0,0.000015,7860.300,301
0469,2,3,4,3,32,2,0,0.000020,10649.310,321
0470,2,3,4,4,512,1,0,0.000018,4632.656,202
0471,2,3,4,4,512,2,0,0.000018,6973.722,242
0472,2,3,4,4,256,1,0,0.000015,4898.124,204
0473,2,3,4,4,256,2,0,0.000018,7292.390,234
0474,2,3,4,4,128,1,0,0.000015,5580.680,209
0475,2,3,4,4,128,2,0,0.000018,8030.806,239
0476,2,3,4,4,64,1,0,0.000015,6103.902,240
