n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2
37,2,1,1,4,64,2,0,2.5E-05,5024.474
38,2,1,1,4,32,1,0,2.5E-05,6488.538
39,2,1,1,4,32,2,0,2.6E-05,6576.052
40,2,1,2,1,512,1,0,5.8E-05,4147.738
41,2,1,2,1,512,2,0,5.8E-05,4067.14
42,2,1,2,1,256,1,0,5.6E-05,4401.502
43,2,1,2,1,256,2,0,5.6E-05,4268.768
44,2,1,2,1,128,1,0,5.6E-05,4750.494
45,2,1,2,1,128,2,0,5.7E-05,4659.522
46,2,1,2,1,64,1,0,5.9E-05,5210.94
47,2,1,2,1,64,2,0,5.8E-05,5091.24
48,2,1,2,1,32,1,0,6E-05,6547.324
49,2,1,2,1,32,2,0,6.1E-05,6453.958
50,2,1,2,2,512,1,0,2.4E-05,3583.818
51,2,1,2,2,512,2,0,2.6E-05,3894.506
52,2,1,2,2,256,1,0,2.4E-05,4010.748
53,2,1,2,2,256,2,0,2.5E-05,4139.492
54,2,1,2,2,128,1,0,2.4E-05,4469.066
55,2,1,2,2,128,2,0,2.5E-05,4550.728
56,2,1,2,2,64,1,0,2.5E-05,4897.06
57,2,1,2,2,64,2,0,2.5E-05,5024.474
58,2,1,2,2,32,1,0,2.5E-05,6488.538
59,2,1,2,2,32,2,0,2.6E-05,6576.052
60,2,1,2,3,512,1,0,2.4E-05,3583.818
61,2,1,2,3,512,2,0,2.6E-05,3894.506
62,2,1,2,3,256,1,0,2.4E-05,4010.748
63,2,1,2,3,256,2,0,2.5E-05,4139.492
64,2,1,2,3,128,1,0,2.4E-05,4469.066
65,2,1,2,3,128,2,0,2.5E-05,4550.728
66,2,1,2,3,64,1,0,2.5E-05,4897.06
67,2,1,2,3,64,2,0,2.5E-05,5024.474
68,2,1,2,3,32,1,0,2.5E-05,6488.538
69,2,1,2,3,32,2,0,2.6E-05,6576.052
70,2,1,2,4,512,1,0,2.4E-05,3583.818
71,2,1,2,4,512,2,0,2.6E-05,3894.506
72,2,1,2,4,256,1,0,2.4E-05,4010.748
73,2,1,2,4,256,2,0,2.5E-05,4139.492
74,2,1,2,4,128,1,0,2.4E-05,4469.066
75,2,1,2,4,128,2,0,2.5E-05,4550.728
76,2,1,2,4,64,1,0,2.5E-05,4897.06
77,2,1,2,4,64,2,0,2.5E-05,5024.474
78,2,1,2,4,32,1,0,2.5E-05,6488.538
79,2,1,2,4,32,2,0,2.6E-05,6576.052
80,2,1,3,1,512,1,0,5.8E-05,4147.738
81,2,1,3,1,512,2,0,5.8E-05,4067.14
82,2,1,3,1,256,1,0,5.6E-05,4401.502
83,2,1,3,1,256,2,0,5.6E-05,4268.768
84,2,1,3,1,128,1,0,5.6E-05,4750.494
85,2,1,3,1,128,2,0,5.7E-05,4659.522
86,2,1,3,1,64,1,0,5.9E-05,5210.94
87,2,1,3,1,64,2,0,5.8E-05,5091.24
88,2,1,3,1,32,1,0,6E-05,6547.324
89,2,1,3,1,32,2,0,6.1E-05,6453.958
90,2,1,3,2,512,1,0,2.4E-05,3583.818
91,2,1,3,2,512,2,0,2.6E-05,3894.506
92,2,1,3,2,256,1,0,2.4E-05,4010.748
93,2,1,3,2,256,2,0,2.5E-05,4139.492
94,2,1,3,2,128,1,0,2.4E-05,4469.066
95,2,1,3,2,128,2,0,2.5E-05,4550.728
96,2,1,3,2,64,1,0,2.5E-05,4897.06
97,2,1,3,2,64,2,0,2.5E-05,5024.474
98,2,1,3,2,32,1,0,2.5E-05,6488.538
99,2,1,3,2,32,2,0,2.6E-05,6576.052
100,2,1,3,3,512,1,0,2.4E-05,3583.818
101,2,1,3,3,512,2,0,2.6E-05,3894.506
102,2,1,3,3,256,1,0,2.4E-05,4010.748
103,2,1,3,3,256,2,0,2.5E-05,4139.492
104,2,1,3,3,128,1,0,2.4E-05,4469.066
105,2,1,3,3,128,2,0,2.5E-05,4550.728
106,2,1,3,3,64,1,0,2.5E-05,4897.06
107,2,1,3,3,64,2,0,2.5E-05,5024.474
108,2,1,3,3,32,1,0,2.5E-05,6488.538
109,2,1,3,3,32,2,0,2.6E-05,6576.052
110,2,1,3,4,512,1,0,2.4E-05,3583.818
111,2,1,3,4,512,2,0,2.6E-05,3894.506
112,2,1,3,4,256,1,0,2.4E-05,4010.748
113,2,1,3,4,256,2,0,2.5E-05,4139.492
114,2,1,3,4,128,1,0,2.4E-05,4469.066
115,2,1,3,4,128,2,0,2.5E-05,4550.728
116,2,1,3,4,64,1,0,2.5E-05,4897.06
117,2,1,3,4,64,2,0,2.5E-05,5024.474
118,2,1,3,4,32,1,0,2.5E-05,6488.538
119,2,1,3,4,32,2,0,2.6E-05,6576.052
120,2,1,4,1,512,1,0,5.8E-05,4147.738
121,2,1,4,1,512,2,0,5.8E-05,4067.14
122,2,1,4,1,256,1,0,5.6E-05,4401.502
123,2,1,4,1,256,2,0,5.6E-05,4268.768
124,2,1,4,1,128,1,0,5.6E-05,4750.494
125,2,1,4,1,128,2,0,5.7E-05,4659.522
126,2,1,4,1,64,1,0,5.9E-05,5210.94
127,2,1,4,1,64,2,0,5.8E-05,5091.24
128,2,1,4,1,32,1,0,6E-05,6547.324
129,2,1,4,1,32,2,0,6.1E-05,6453.958
130,2,1,4,2,512,1,0,2.4E-05,3583.818
131,2,1,4,2,512,2,0,2.6E-05,3894.506
132,2,1,4,2,256,1,0,2.4E-05,4010.748
133,2,1,4,2,256,2,0,2.5E-05,4139.492
134,2,1,4,2,128,1,0,2.4E-05,4469.066
135,2,1,4,2,128,2,0,2.5E-05,4550.728
136,2,1,4,2,64,1,0,2.5E-05,4897.06
137,2,1,4,2,64,2,0,2.5E-05,5024.474
138,2,1,4,2,32,1,0,2.5E-05,6488.538
139,2,1,4,2,32,2,0,2.6E-05,6576.052
140,2,1,4,3,512,1,0,2.4E-05,3583.818
141,2,1,4,3,512,2,0,2.6E-05,3894.506
142,2,1,4,3,256,1,0,2.4E-05,4010.748
143,2,1,4,3,256,2,0,2.5E-05,4139.492
144,2,1,4,3,128,1,0,2.4E-05,4469.066
145,2,1,4,3,128,2,0,2.5E-05,4550.728
146,2,1,4,3,64,1,0,2.5E-05,4897.06
147,2,1,4,3,64,2,0,2.5E-05,5024.474
148,2,1,4,3,32,1,0,2.5E-05,6488.538
149,2,1,4,3,32,2,0,2.6E-05,6576.052
150,2,1,4,4,512,1,0,2.4E-05,3583.818
151,2,1,4,4,512,2,0,2.6E-05,3894.506
152,2,1,4,4,256,1,0,2.4E-05,4010.748
153,2,1,4,4,256,2,0,2.5E-05,4139.492
154,2,1,4,4,128,1,0,2.4E-05,4469.066
155,2,1,4,4,128,2,0,2.5E-05,4550.728
156,2,1,4,4,64,1,0,2.5E-05,4897.06
157,2,1,4,4,64,2,0,2.5E-05,5024.474
158,2,1,4,4,32,1,0,2.5E-05,6488.538
159,2,1,4,4,32,2,0,2.6E-05,6576.052
160,2,2,1,1,512,1,0,5.5E-05,4263.98
161,2,2,1,1,512,2,0,5.5E-05,4294.304
162,2,2,1,1,256,1,0,5.5E-05,4564.028
163,2,2,1,1,256,2,0,5.5E-05,4605.524
164,2,2,1,1,128,1,0,5.6E-05,4975.53
165,2,2,1,1,128,2,0,5.6E-05,5047.084
166,2,2,1,1,64,1,0,5.6E-05,5551.952
167,2,2,1,1,64,2,0,5.6E-05,5521.894
168,2,2,1,1,32,1,0,5.7E-05,6935.684
169,2,2,1,1,32,2,0,5.8E-05,6944.196
170,2,2,1,2,512,1,0,1.8E-05,4388.734
171,2,2,1,2,512,2,0,1.8E-05,4537.428
172,2,2,1,2,256,1,0,1.8E-05,4800.768
173,2,2,1,2,256,2,0,1.9E-05,4816.462
174,2,2,1,2,128,1,0,1.8E-05,5366.284
175,2,2,1,2,128,2,0,1.9E-05,5366.55
176,2,2,1,2,64,1,0,1.9E-05,5948.292
177,2,2,1,2,64,2,0,1.9E-05,5931.534
178,2,2,1,2,32,1,0,1.9E-05,7509.712
179,2,2,1,2,32,2,0,1.9E-05,7518.756
180,2,2,1,3,512,1,0,1.8E-05,4388.734
181,2,2,1,3,512,2,0,1.8E-05,4537.428
182,2,2,1,3,256,1,0,1.8E-05,4800.768
183,2,2,1,3,256,2,0,1.9E-05,4816.462
184,2,2,1,3,128,1,0,1.8E-05,5366.284
185,2,2,1,3,128,2,0,1.9E-05,5366.55
186,2,2,1,3,64,1,0,1.9E-05,5948.292
187,2,2,1,3,64,2,0,1.9E-05,5931.534
188,2,2,1,3,32,1,0,1.9E-05,7509.712
189,2,2,1,3,32,2,0,1.9E-05,7518.756
190,2,2,1,4,512,1,0,1.8E-05,4388.734
191,2,2,1,4,512,2,0,1.8E-05,4537.428
192,2,2,1,4,256,1,0,1.8E-05,4800.768
193,2,2,1,4,256,2,0,1.9E-05,4816.462
194,2,2,1,4,128,1,0,1.8E-05,5366.284
195,2,2,1,4,128,2,0,1.9E-05,5366.55
196,2,2,1,4,64,1,0,1.9E-05,5948.292
197,2,2,1,4,64,2,0,1.9E-05,5931.534
198,2,2,1,4,32,1,0,1.9E-05,7509.712
199,2,2,1,4,32,2,0,1.9E-05,7518.756
200,2,2,2,1,512,1,0,5.5E-05,4263.98
201,2,2,2,1,512,2,0,5.5E-05,4294.304
202,2,2,2,1,256,1,0,5.5E-05,4564.028
203,2,2,2,1,256,2,0,5.5E-05,4605.524
204,2,2,2,1,128,1,0,5.6E-05,4975.53
205,2,2,2,1,128,2,0,5.6E-05,5047.084
206,2,2,2,1,64,1,0,5.6E-05,5551.952
207,2,2,2,1,64,2,0,5.6E-05,5521.894
208,2,2,2,1,32,1,0,5.7E-05,6935.684
209,2,2,2,1,32,2,0,5.8E-05,6944.196
210,2,2,2,2,512,1,0,1.8E-05,4388.734
211,2,2,2,2,512,2,0,1.8E-05,4537.428
212,2,2,2,2,256,1,0,1.8E-05,4800.768
213,2,2,2,2,256,2,0,1.9E-05,4816.462
214,2,2,2,2,128,1,0,1.8E-05,5366.284
215,2,2,2,2,128,2,0,1.9E-05,5366.55
216,2,2,2,2,64,1,0,1.9E-05,5948.292
217,2,2,2,2,64,2,0,1.9E-05,5931.534
218,2,2,2,2,32,1,0,1.9E-05,7509.712
219,2,2,2,2,32,2,0,1.9E-05,7518.756
220,2,2,2,3,512,1,0,1.8E-05,4388.734
221,2,2,2,3,512,2,0,1.8E-05,4537.428
222,2,2,2,3,256,1,0,1.8E-05,4800.768
223,2,2,2,3,256,2,0,1.9E-05,4816.462
224,2,2,2,3,128,1,0,1.8E-05,5366.284
225,2,2,2,3,128,2,0,1.9E-05,5366.55
226,2,2,2,3,64,1,0,1.9E-05,5948.292
227,2,2,2,3,64,2,0,1.9E-05,5931.534
228,2,2,2,3,32,1,0,1.9E-05,7509.712
229,2,2,2,3,32,2,0,1.9E-05,7518.756
230,2,2,2,4,512,1,0,1.8E-05,4388.734
231,2,2,2,4,512,2,0,1.8E-05,4537.428
232,2,2,2,4,256,1,0,1.8E-05,4800.768
233,2,2,2,4,256,2,0,1.9E-05,4816.462
234,2,2,2,4,128,1,0,1.8E-05,5366.284
235,2,2,2,4,128,2,0,1.9E-05,5366.55
236,2,2,2,4,64,1,0,1.9E-05,5948.292
237,2,2,2,4,64,2,0,1.9E-05,5931.534
238,2,2,2,4,32,1,0,1.9E-05,7509.712
239,2,2,2,4,32,2,0,1.9E-05,7518.756
240,2,2,3,1,512,1,0,5.5E-05,4263.98
241,2,2,3,1,512,2,0,5.5E-05,4294.304
242,2,2,3,1,256,1,0,5.5E-05,4564.028
243,2,2,3,1,256,2,0,5.5E-05,4605.524
244,2,2,3,1,128,1,0,5.6E-05,4975.53
245,2,2,3,1,128,2,0,5.6E-05,5047.084
246,2,2,3,1,64,1,0,5.6E-05,5551.952
247,2,2,3,1,64,2,0,5.6E-05,5521.894
248,2,2,3,1,32,1,0,5.7E-05,6935.684
249,2,2,3,1,32,2,0,5.8E-05,6944.196
250,2,2,3,2,512,1,0,1.8E-05,4388.734
251,2,2,3,2,512,2,0,1.8E-05,4537.428
252,2,2,3,2,256,1,0,1.8E-05,4800.768
253,2,2,3,2,256,2,0,1.9E-05,4816.462
254,2,2,3,2,128,1,0,1.8E-05,5366.284
255,2,2,3,2,128,2,0,1.9E-05,5366.55
256,2,2,3,2,64,1,0,1.9E-05,5948.292
257,2,2,3,2,64,2,0,1.9E-05,5931.534
258,2,2,3,2,32,1,0,1.9E-05,7509.712
259,2,2,3,2,32,2,0,1.9E-05,7518.756
260,2,2,3,3,512,1,0,1.8E-05,4388.734
261,2,2,3,3,512,2,0,1.8E-05,4537.428
262,2,2,3,3,256,1,0,1.8E-05,4800.768
263,2,2,3,3,256,2,0,1.9E-05,4816.462
264,2,2,3,3,128,1,0,1.8E-05,5366.284
265,2,2,3,3,128,2,0,1.9E-05,5366.55
266,2,2,3,3,64,1,0,1.9E-05,5948.292
267,2,2,3,3,64,2,0,1.9E-05,5931.534
268,2,2,3,3,32,1,0,1.9E-05,7509.712
269,2,2,3,3,32,2,0,1.9E-05,7518.756
270,2,2,3,4,512,1,0,1.8E-05,4388.734
271,2,2,3,4,512,2,0,1.8E-05,4537.428
272,2,2,3,4,256,1,0,1.8E-05,4800.768
273,2,2,3,4,256,2,0,1.9E-05,4816.462
274,2,2,3,4,128,1,0,1.8E-05,5366.284
275,2,2,3,4,128,2,0,1.9E-05,5366.55
276,2,2,3,4,64,1,0,1.9E-05,5948.292
277,2,2,3,4,64,2,0,1.9E-05,5931.534
278,2,2,3,4,32,1,0,1.9E-05,7509.712
279,2,2,3,4,32,2,0,1.9E-05,7518.756
280,2,2,4,1,512,1,0,5.5E-05,4263.98
281,2,2,4,1,512,2,0,5.5E-05,4294.304
282,2,2,4,1,256,1,0,5.5E-05,4564.028
283,2,2,4,1,256,2,0,5.5E-05,4605.524
284,2,2,4,1,128,1,0,5.6E-05,4975.53
285,2,2,4,1,128,2,0,5.6E-05,5047.084
286,2,2,4,1,64,1,0,5.6E-05,5551.952
287,2,2,4,1,64,2,0,5.6E-05,5521.894
288,2,2,4,1,32,1,0,5.7E-05,6935.684
289,2,2,4,1,32,2,0,5.8E-05,6944.196
290,2,2,4,2,512,1,0,1.8E-05,4388.734
291,2,2,4,2,512,2,0,1.8E-05,4537.428
292,2,2,4,2,256,1,0,1.8E-05,4800.768
293,2,2,4,2,256,2,0,1.9E-05,4816.462
294,2,2,4,2,128,1,0,1.8E-05,5366.284
295,2,2,4,2,128,2,0,1.9E-05,5366.55
296,2,2,4,2,64,1,0,1.9E-05,5948.292
297,2,2,4,2,64,2,0,1.9E-05,5931.534
298,2,2,4,2,32,1,0,1.9E-05,7509.712
299,2,2,4,2,32,2,0,1.9E-05,7518.756
300,2,2,4,3,512,1,0,1.8E-05,4388.734
301,2,2,4,3,512,2,0,1.8E-05,4537.428
302,2,2,4,3,256,1,0,1.8E-05,4800.768
303,2,2,4,3,256,2,0,1.9E-05,4816.462
304,2,2,4,3,128,1,0,1.8E-05,5366.284
305,2,2,4,3,128,2,0,1.9E-05,5366.55
306,2,2,4,3,64,1,0,1.9E-05,5948.292
307,2,2,4,3,64,2,0,1.9E-05,5931.534
308,2,2,4,3,32,1,0,1.9E-05,7509.712
309,2,2,4,3,32,2,0,1.9E-05,7518.756
310,2,2,4,4,512,1,0,1.8E-05,4388.734
311,2,2,4,4,512,2,0,1.8E-05,4537.428
312,2,2,4,4,256,1,0,1.8E-05,4800.768
313,2,2,4,4,256,2,0,1.9E-05,4816.462
314,2,2,4,4,128,1,0,1.8E-05,5366.284
315,2,2,4,4,128,2,0,1.9E-05,5366.55
316,2,2,4,4,64,1,0,1.9E-05,5948.292
317,2,2,4,4,64,2,0,1.9E-05,5931.534
318,2,2,4,4,32,1,0,1.9E-05,7509.712
319,2,2,4,4,32,2,0,1.9E-05,7518.756
320,2,3,1,1,512,1,0,5.5E-05,4756.08
321,2,3,1,1,512,2,0,5.5E-05,4769.912
322,2,3,1,1,256,1,0,5.7E-05,4937.226
323,2,3,1,1,256,2,0,5.8E-05,4991.49
324,2,3,1,1,128,1,0,5.7E-05,5511.254
325,2,3,1,1,128,2,0,5.8E-05,5586.532
326,2,3,1,1,64,1,0,5.7E-05,5938.45
327,2,3,1,1,64,2,0,5.5E-05,5853.862
328,2,3,1,1,32,1,0,6.1E-05,7450.926
329,2,3,1,1,32,2,0,5.7E-05,7591.374
330,2,3,1,2,512,1,0,1.8E-05,4632.656
331,2,3,1,2,512,2,0,1.8E-05,6973.722
332,2,3,1,2,256,1,0,1.5E-05,4898.124
333,2,3,1,2,256,2,0,1.8E-05,7292.39
334,2,3,1,2,128,1,0,1.5E-05,5580.68
335,2,3,1,2,128,2,0,1.8E-05,8030.806
336,2,3,1,2,64,1,0,1.5E-05,6103.902
337,2,3,1,2,64,2,0,1.9E-05,8652.714
338,2,3,1,2,32,1,0,1.5E-05,7860.3
339,2,3,1,2,32,2,0,2E-05,10649.31
340,2,3,1,3,512,1,0,1.8E-05,4632.656
341,2,3,1,3,512,2,0,1.8E-05,6973.722
342,2,3,1,3,256,1,0,1.5E-05,4898.124
343,2,3,1,3,256,2,0,1.8E-05,7292.39
344,2,3,1,3,128,1,0,1.5E-05,5580.68
345,2,3,1,3,128,2,0,1.8E-05,8030.806
346,2,3,1,3,64,1,0,1.5E-05,6103.902
347,2,3,1,3,64,2,0,1.9E-05,8652.714
348,2,3,1,3,32,1,0,1.5E-05,7860.3
349,2,3,1,3,32,2,0,2E-05,10649.31
350,2,3,1,4,512,1,0,1.8E-05,4632.656
351,2,3,1,4,512,2,0,1.8E-05,6973.722
352,2,3,1,4,256,1,0,1.5E-05,4898.124
353,2,3,1,4,256,2,0,1.8E-05,7292.39
354,2,3,1,4,128,1,0,1.5E-05,5580.68
355,2,3,1,4,128,2,0,1.8E-05,8030.806
356,2,3,1,4,64,1,0,1.5E-05,6103.902
357,2,3,1,4,64,2,0,1.9E-05,8652.714
358,2,3,1,4,32,1,0,1.5E-05,7860.3
359,2,3,1,4,32,2,0,2E-05,10649.31
360,2,3,2,1,512,1,0,5.5E-05,4756.08
361,2,3,2,1,512,2,0,5.5E-05,4769.912
362,2,3,2,1,256,1,0,5.7E-05,4937.226
363,2,3,2,1,256,2,0,5.8E-05,4991.49
364,2,3,2,1,128,1,0,5.7E-05,5511.254
365,2,3,2,1,128,2,0,5.8E-05,5586.532
366,2,3,2,1,64,1,0,5.7E-05,5938.45
367,2,3,2,1,64,2,0,5.5E-05,5853.862
368,2,3,2,1,32,1,0,6.1E-05,7450.926
369,2,3,2,1,32,2,0,5.7E-05,7591.374
370,2,3,2,2,512,1,0,1.8E-05,4632.656
371,2,3,2,2,512,2,0,1.8E-05,6973.722
372,2,3,2,2,256,1,0,1.5E-05,4898.124
373,2,3,2,2,256,2,0,1.8E-05,7292.39
374,2,3,2,2,128,1,0,1.5E-05,5580.68
375,2,3,2,2,128,2,0,1.8E-05,8030.806
376,2,3,2,2,64,1,0,1.5E-05,6103.902
377,2,3,2,2,64,2,0,1.9E-05,8652.714
378,2,3,2,2,32,1,0,1.5E-05,7860.3
379,2,3,2,2,32,2,0,2E-05,10649.31
380,2,3,2,3,512,1,0,1.8E-05,4632.656
381,2,3,2,3,512,2,0,1.8E-05,6973.722
382,2,3,2,3,256,1,0,1.5E-05,4898.124
383,2,3,2,3,256,2,0,1.8E-05,7292.39
384,2,3,2,3,128,1,0,1.5E-05,5580.68
385,2,3,2,3,128,2,0,1.8E-05,8030.806
386,2,3,2,3,64,1,0,1.5E-05,6103.902
387,2,3,2,3,64,2,0,1.9E-05,8652.714
388,2,3,2,3,32,1,0,1.5E-05,7860.3
389,2,3,2,3,32,2,0,2E-05,10649.31
390,2,3,2,4,512,1,0,1.8E-05,4632.656
391,2,3,2,4,512,2,0,1.8E-05,6973.722
392,2,3,2,4,256,1,0,1.5E-05,4898.124
393,2,3,2,4,256,2,0,1.8E-05,7292.39
394,2,3,2,4,128,1,0,1.5E-05,5580.68
395,2,3,2,4,128,2,0,1.8E-05,8030.806
396,2,3,2,4,64,1,0,1.5E-05,6103.902
397,2,3,2,4,64,2,0,1.9E-05,8652.714
398,2,3,2,4,32,1,0,1.5E-05,7860.3
399,2,3,2,4,32,2,0,2E-05,10649.31
400,2,3,3,1,512,1,0,5.5E-05,4756.08
401,2,3,3,1,512,2,0,5.5E-05,4769.912
402,2,3,3,1,256,1,0,5.7E-05,4937.226
403,2,3,3,1,256,2,0,5.8E-05,4991.49
404,2,3,3,1,128,1,0,5.7E-05,5511.254
405,2,3,3,1,128,2,0,5.8E-05,5586.532
406,2,3,3,1,64,1,0,5.7E-05,5938.45
407,2,3,3,1,64,2,0,5.5E-05,5853.862
408,2,3,3,1,32,1,0,6.1E-05,7450.926
409,2,3,3,1,32,2,0,5.7E-05,7591.374
410,2,3,3,2,512,1,0,1.8E-05,4632.656
411,2,3,3,2,512,2,0,1.8E-05,6973.722
412,2,3,3,2,256,1,0,1.5E-05,4898.124
413,2,3,3,2,256,2,0,1.8E-05,7292.39
414,2,3,3,2,128,1,0,1.5E-05,5580.68
415,2,3,3,2,128,2,0,1.8E-05,8030.806
416,2,3,3,2,64,1,0,1.5E-05,6103.902
417,2,3,3,2,64,2,0,1.9E-05,8652.714
418,2,3,3,2,32,1,0,1.5E-05,7860.3
419,2,3,3,2,32,2,0,2E-05,10649.31
420,2,3,3,3,512,1,0,1.8E-05,4632.656
421,2,3,3,3,512,2,0,1.8E-05,6973.722
422,2,3,3,3,256,1,0,1.5E-05,4898.124
423,2,3,3,3,256,2,0,1.8E-05,7292.39
424,2,3,3,3,128,1,0,1.5E-05,5580.68
425,2,3,3,3,128,2,0,1.8E-05,8030.806
426,2,3,3,3,64,1,0,1.5E-05,6103.902
427,2,3,3,3,64,2,0,1.9E-05,8652.714
428,2,3,3,3,32,1,0,1.5E-05,7860.3
429,2,3,3,3,32,2,0,2E-05,10649.31
430,2,3,3,4,512,1,0,1.8E-05,4632.656
431,2,3,3,4,512,2,0,1.8E-05,6973.722
432,2,3,3,4,256,1,0,1.5E-05,4898.124
433,2,3,3,4,256,2,0,1.8E-05,7292.39
434,2,3,3,4,128,1,0,1.5E-05,5580.68
435,2,3,3,4,128,2,0,1.8E-05,8030.806
436,2,3,3,4,64,1,0,1.5E-05,6103.902
437,2,3,3,4,64,2,0,1.9E-05,8652.714
438,2,3,3,4,32,1,0,1.5E-05,7860.3
439,2,3,3,4,32,2,0,2E-05,10649.31
440,2,3,4,1,512,1,0,5.5E-05,4756.08
441,2,3,4,1,512,2,0,5.5E-05,4769.912
442,2,3,4,1,256,1,0,5.7E-05,4937.226
443,2,3,4,1,256,2,0,5.8E-05,4991.49
444,2,3,4,1,128,1,0,5.7E-05,5511.254
445,2,3,4,1,128,2,0,5.8E-05,5586.532
446,2,3,4,1,64,1,0,5.7E-05,5938.45
447,2,3,4,1,64,2,0,5.5E-05,5853.862
448,2,3,4,1,32,1,0,6.1E-05,7450.926
449,2,3,4,1,32,2,0,5.7E-05,7591.374
450,2,3,4,2,512,1,0,1.8E-05,4632.656
451,2,3,4,2,512,2,0,1.8E-05,6973.722
452,2,3,4,2,256,1,0,1.5E-05,4898.124
453,2,3,4,2,256,2,0,1.8E-05,7292.39
454,2,3,4,2,128,1,0,1.5E-05,5580.68
455,2,3,4,2,128,2,0,1.8E-05,8030.806
456,2,3,4,2,64,1,0,1.5E-05,6103.902
457,2,3,4,2,64,2,0,1.9E-05,8652.714
458,2,3,4,2,32,1,0,1.5E-05,7860.3
459,2,3,4,2,32,2,0,2E-05,10649.31
460,2,3,4,3,512,1,0,1.8E-05,4632.656
461,2,3,4,3,512,2,0,1.8E-05,6973.722
462,2,3,4,3,256,1,0,1.5E-05,4898.124
463,2,3,4,3,256,2,0,1.8E-05,7292.39
464,2,3,4,3,128,1,0,1.5E-05,5580.68
465,2,3,4,3,128,2,0,1.8E-05,8030.806
466,2,3,4,3,64,1,0,1.5E-05,6103.902
467,2,3,4,3,64,2,0,1.9E-05,8652.714
468,2,3,4,3,32,1,0,1.5E-05,7860.3
469,2,3,4,3,32,2,0,2E-05,10649.31
470,2,3,4,4,512,1,0,1.8E-05,4632.656
471,2,3,4,4,512,2,0,1.8E-05,6973.722
472,2,3,4,4,256,1,0,1.5E-05,4898.124
473,2,3,4,4,256,2,0,1.8E-05,7292.39
474,2,3,4,4,128,1,0,1.5E-05,5580.68
475,2,3,4,4,128,2,0,1.8E-05,8030.806
476,2,3,4,4,64,1,0,1.5E-05,6103.902
477,2,3,4,4,64,2,0,1.9E-05,8652.714
478,2,3,4,4,32,1,0,1.5E-05,7860.3
479,2,3,4,4,32,2,0,2E-05,10649.31
480,4,1,1,1,512,1,0,0.000121,5676.44
481,4,1,1,1,512,2,0,0.000121,5668.992
482,4,1,1,1,512,4,0,0.000121,4765.656
483,4,1,1,1,256,1,0,0.000123,6085.282
484,4,1,1,1,256,2,0,0.000123,6085.814
485,4,1,1,1,256,4,0,0.000124,5144.174
486,4,1,1,1,128,1,0,0.000123,6325.746
487,4,1,1,1,128,2,0,0.000123,6330.8
488,4,1,1,1,128,4,0,0.000124,5383.84
489,4,1,1,1,64,1,0,0.000122,6691.762
490,4,1,1,1,64,2,0,0.000122,6669.418
491,4,1,1,1,64,4,0,0.000123,5795.874
492,4,1,1,1,32,1,0,0.000124,8080.016
493,4,1,1,1,32,2,0,0.000123,8086.134
494,4,1,1,1,32,4,0,0.000124,7170.03
495,4,1,1,2,512,1,0,9E-05,6855.352
