n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2,FF
0139,256,1,7,2,0,65536,0.000228,1013.194,90
0140,256,1,7,3,0,1024,0.000433,1642.284,139
0141,256,1,7,3,0,2048,0.000430,1601.586,139
0142,256,1,7,3,0,4096,0.000412,1605.842,139
0143,256,1,7,3,0,8192,0.000411,1596.000,139
0144,256,1,7,3,0,16384,0.000409,1605.576,139
0145,256,1,7,3,0,32768,0.000423,1462.734,123
0146,256,1,7,3,0,65536,0.000421,1676.332,139
0147,256,2,1,1,0,1024,0.000285,882.056,92
0148,256,2,1,1,0,2048,0.000285,881.258,92
0149,256,2,1,1,0,4096,0.000285,879.396,92
0150,256,2,1,1,0,8192,0.000281,973.560,92
0151,256,2,1,1,0,16384,0.000292,880.992,92
0152,256,2,1,1,0,32768,0.000283,867.692,92
0153,256,2,1,1,0,65536,0.000283,868.756,92
0154,256,2,1,2,0,1024,0.000511,1162.952,110
0155,256,2,1,2,0,2048,0.000459,1127.042,96
0156,256,2,1,2,0,4096,0.000459,1126.244,96
0157,256,2,1,2,0,8192,0.000458,1126.244,96
0158,256,2,1,2,0,16384,0.000405,1139.810,113
0159,256,2,1,2,0,32768,0.000404,1073.842,111
0160,256,2,1,2,0,65536,0.000468,1091.132,88
0161,256,2,1,3,0,1024,0.000440,1210.832,109
0162,256,2,1,3,0,2048,0.000435,1185.562,108
0163,256,2,1,3,0,4096,0.000410,1267.756,108
0164,256,2,1,3,0,8192,0.000410,1272.012,108
0165,256,2,1,3,0,16384,0.000409,1335.852,116
0166,256,2,1,3,0,32768,0.000410,1262.436,108
0167,256,2,1,3,0,65536,0.000456,1231.048,108
0168,256,2,2,1,0,1024,0.000252,874.076,74
0169,256,2,2,1,0,2048,0.000255,871.682,74
0170,256,2,2,1,0,4096,0.000252,866.362,74
0171,256,2,2,1,0,8192,0.000255,923.020,74
0172,256,2,2,1,0,16384,0.000245,863.170,74
0173,256,2,2,1,0,32768,0.000253,851.732,74
0174,256,2,2,1,0,65536,0.000256,738.416,66
0175,256,2,2,2,0,1024,0.000420,1037.932,93
0176,256,2,2,2,0,2048,0.000371,1108.422,93
0177,256,2,2,2,0,4096,0.000378,1107.092,93
0178,256,2,2,2,0,8192,0.000371,1107.092,93
0179,256,2,2,2,0,16384,0.000352,1043.252,95
0180,256,2,2,2,0,32768,0.000345,1001.224,93
0181,256,2,2,2,0,65536,0.000377,1090.068,93
0182,256,2,2,3,0,1024,0.000417,1284.514,107
0183,256,2,2,3,0,2048,0.000381,1259.510,106
0184,256,2,2,3,0,4096,0.000382,1269.618,106
0185,256,2,2,3,0,8192,0.000384,1274.406,106
0186,256,2,2,3,0,16384,0.000390,1329.468,110
0187,256,2,2,3,0,32768,0.000405,1281.056,106
0188,256,2,2,3,0,65536,0.000419,1138.746,90
0189,256,2,3,1,0,1024,0.000342,1010.002,76
0190,256,2,3,1,0,2048,0.000344,996.968,76
0191,256,2,3,1,0,4096,0.000342,1006.544,76
0192,256,2,3,1,0,8192,0.000354,999.096,76
0193,256,2,3,1,0,16384,0.000333,1011.864,78
0194,256,2,3,1,0,32768,0.000334,983.668,76
0195,256,2,3,1,0,65536,0.000334,939.512,68
0196,256,2,3,2,0,1024,0.000483,1243.816,110
0197,256,2,3,2,0,2048,0.000460,1149.120,96
0198,256,2,3,2,0,4096,0.000462,1147.258,96
0199,256,2,3,2,0,8192,0.000462,1146.194,96
0200,256,2,3,2,0,16384,0.000364,1322.552,136
0201,256,2,3,2,0,32768,0.000359,1279.194,134
0202,256,2,3,2,0,65536,0.000472,1132.894,88
0203,256,2,3,3,0,1024,0.000412,1185.562,93
0204,256,2,3,3,0,2048,0.000405,1160.292,92
0205,256,2,3,3,0,4096,0.000374,1196.468,92
0206,256,2,3,3,0,8192,0.000385,1199.926,92
0207,256,2,3,3,0,16384,0.000386,1273.076,100
0208,256,2,3,3,0,32768,0.000374,1188.222,92
0209,256,2,3,3,0,65536,0.000401,1223.068,100
0210,256,2,4,1,0,1024,0.000303,1066.660,104
0211,256,2,4,1,0,2048,0.000293,1065.064,104
0212,256,2,4,1,0,4096,0.000293,1067.192,104
0213,256,2,4,1,0,8192,0.000293,1067.724,104
0214,256,2,4,1,0,16384,0.000302,937.384,82
0215,256,2,4,1,0,32768,0.000309,921.158,80
0216,256,2,4,1,0,65536,0.000316,909.188,74
0217,256,2,4,2,0,1024,0.000344,1312.710,132
0218,256,2,4,2,0,2048,0.000349,1284.514,130
0219,256,2,4,2,0,4096,0.000345,1290.366,130
0220,256,2,4,2,0,8192,0.000343,1289.568,130
0221,256,2,4,2,0,16384,0.000343,1307.922,132
0222,256,2,4,2,0,32768,0.000333,1282.918,130
0223,256,2,4,2,0,65536,0.000395,1038.198,92
0224,256,2,4,3,0,1024,0.000365,1272.278,105
0225,256,2,4,3,0,2048,0.000343,1256.850,104
0226,256,2,4,3,0,4096,0.000345,1263.766,104
0227,256,2,4,3,0,8192,0.000362,1256.850,104
0228,256,2,4,3,0,16384,0.000349,1308.454,110
0229,256,2,4,3,0,32768,0.000339,1261.106,104
0230,256,2,4,3,0,65536,0.000371,1191.680,96
0231,256,2,5,1,0,1024,0.000343,1006.012,84
0232,256,2,5,1,0,2048,0.000330,1012.396,84
0233,256,2,5,1,0,4096,0.000349,1010.534,84
0234,256,2,5,1,0,8192,0.000351,1013.460,84
0235,256,2,5,1,0,16384,0.000351,1013.460,84
0236,256,2,5,1,0,32768,0.000342,1007.342,84
0237,256,2,5,1,0,65536,0.000329,919.562,69
0238,256,2,5,2,0,1024,0.000413,1336.650,137
0239,256,2,5,2,0,2048,0.000416,1352.078,137
0240,256,2,5,2,0,4096,0.000425,1350.216,137
0241,256,2,5,2,0,8192,0.000377,1452.094,150
0242,256,2,5,2,0,16384,0.000389,1517.530,152
0243,256,2,5,2,0,32768,0.000389,1341.704,137
0244,256,2,5,2,0,65536,0.000430,1179.976,113
0245,256,2,5,3,0,1024,0.000363,1245.412,94
0246,256,2,5,3,0,2048,0.000359,1212.960,93
0247,256,2,5,3,0,4096,0.000357,1206.310,93
0248,256,2,5,3,0,8192,0.000364,1219.610,93
0249,256,2,5,3,0,16384,0.000364,1277.864,101
0250,256,2,5,3,0,32768,0.000353,1204.182,93
0251,256,2,5,3,0,65536,0.000391,1157.898,101
0252,256,2,6,1,0,1024,0.000327,1233.176,122
0253,256,2,6,1,0,2048,0.000323,1228.388,122
0254,256,2,6,1,0,4096,0.000321,1228.920,122
0255,256,2,6,1,0,8192,0.000326,1233.974,122
0256,256,2,6,1,0,16384,0.000319,1075.704,98
0257,256,2,6,1,0,32768,0.000313,1079.428,98
0258,256,2,6,1,0,65536,0.000307,1143.002,106
0259,256,2,6,2,0,1024,0.000235,1083.418,93
0260,256,2,6,2,0,2048,0.000235,1077.034,93
0261,256,2,6,2,0,4096,0.000235,1078.896,93
0262,256,2,6,2,0,8192,0.000242,1075.172,93
0263,256,2,6,2,0,16384,0.000233,1071.182,93
0264,256,2,6,2,0,32768,0.000205,1062.404,88
0265,256,2,6,2,0,65536,0.000231,1073.576,93
0266,256,2,6,3,0,1024,0.000486,1717.562,154
0267,256,2,6,3,0,2048,0.000469,1646.806,153
0268,256,2,6,3,0,4096,0.000460,1648.668,153
0269,256,2,6,3,0,8192,0.000476,1649.200,153
0270,256,2,6,3,0,16384,0.000458,1788.052,165
0271,256,2,6,3,0,32768,0.000447,1544.396,129
0272,256,2,6,3,0,65536,0.000464,1563.548,137
0273,256,2,7,1,0,1024,0.000415,994.840,85
0274,256,2,7,1,0,2048,0.000410,1014.258,85
0275,256,2,7,1,0,4096,0.000404,1011.066,85
0276,256,2,7,1,0,8192,0.000403,1004.682,85
0277,256,2,7,1,0,16384,0.000411,1001.756,85
0278,256,2,7,1,0,32768,0.000407,992.446,85
0279,256,2,7,1,0,65536,0.000384,988.988,85
0280,256,2,7,2,0,1024,0.000212,1143.534,106
0281,256,2,7,2,0,2048,0.000214,1144.332,106
0282,256,2,7,2,0,4096,0.000212,1145.928,106
0283,256,2,7,2,0,8192,0.000216,1138.214,106
0284,256,2,7,2,0,16384,0.000218,1143.534,106
0285,256,2,7,2,0,32768,0.000228,1163.484,105
0286,256,2,7,2,0,65536,0.000228,1013.194,90
0287,256,2,7,3,0,1024,0.000433,1642.284,139
0288,256,2,7,3,0,2048,0.000430,1601.586,139
0289,256,2,7,3,0,4096,0.000412,1605.842,139
0290,256,2,7,3,0,8192,0.000411,1596.000,139
0291,256,2,7,3,0,16384,0.000409,1605.576,139
0292,256,2,7,3,0,32768,0.000423,1462.734,123
0293,256,2,7,3,0,65536,0.000421,1676.332,139
0294,256,3,1,1,0,1024,0.000285,882.056,92
0295,256,3,1,1,0,2048,0.000285,881.258,92
0296,256,3,1,1,0,4096,0.000285,879.396,92
0297,256,3,1,1,0,8192,0.000281,973.560,92
0298,256,3,1,1,0,16384,0.000292,880.992,92
0299,256,3,1,1,0,32768,0.000283,867.692,92
0300,256,3,1,1,0,65536,0.000283,868.756,92
0301,256,3,1,2,0,1024,0.000511,1162.952,110
0302,256,3,1,2,0,2048,0.000459,1127.042,96
0303,256,3,1,2,0,4096,0.000459,1126.244,96
0304,256,3,1,2,0,8192,0.000458,1126.244,96
0305,256,3,1,2,0,16384,0.000405,1139.810,113
0306,256,3,1,2,0,32768,0.000404,1073.842,111
0307,256,3,1,2,0,65536,0.000468,1091.132,88
0308,256,3,1,3,0,1024,0.000440,1210.832,109
0309,256,3,1,3,0,2048,0.000435,1185.562,108
0310,256,3,1,3,0,4096,0.000410,1267.756,108
0311,256,3,1,3,0,8192,0.000410,1272.012,108
0312,256,3,1,3,0,16384,0.000409,1335.852,116
0313,256,3,1,3,0,32768,0.000410,1262.436,108
0314,256,3,1,3,0,65536,0.000456,1231.048,108
0315,256,3,2,1,0,1024,0.000252,874.076,74
0316,256,3,2,1,0,2048,0.000255,871.682,74
0317,256,3,2,1,0,4096,0.000252,866.362,74
0318,256,3,2,1,0,8192,0.000255,923.020,74
0319,256,3,2,1,0,16384,0.000245,863.170,74
0320,256,3,2,1,0,32768,0.000253,851.732,74
0321,256,3,2,1,0,65536,0.000256,738.416,66
0322,256,3,2,2,0,1024,0.000420,1037.932,93
0323,256,3,2,2,0,2048,0.000371,1108.422,93
0324,256,3,2,2,0,4096,0.000378,1107.092,93
0325,256,3,2,2,0,8192,0.000371,1107.092,93
0326,256,3,2,2,0,16384,0.000352,1043.252,95
0327,256,3,2,2,0,32768,0.000345,1001.224,93
0328,256,3,2,2,0,65536,0.000377,1090.068,93
0329,256,3,2,3,0,1024,0.000417,1284.514,107
0330,256,3,2,3,0,2048,0.000381,1259.510,106
0331,256,3,2,3,0,4096,0.000382,1269.618,106
0332,256,3,2,3,0,8192,0.000384,1274.406,106
0333,256,3,2,3,0,16384,0.000390,1329.468,110
0334,256,3,2,3,0,32768,0.000405,1281.056,106
0335,256,3,2,3,0,65536,0.000419,1138.746,90
0336,256,3,3,1,0,1024,0.000342,1010.002,76
0337,256,3,3,1,0,2048,0.000344,996.968,76
0338,256,3,3,1,0,4096,0.000342,1006.544,76
0339,256,3,3,1,0,8192,0.000354,999.096,76
0340,256,3,3,1,0,16384,0.000333,1011.864,78
0341,256,3,3,1,0,32768,0.000334,983.668,76
0342,256,3,3,1,0,65536,0.000334,939.512,68
0343,256,3,3,2,0,1024,0.000483,1243.816,110
0344,256,3,3,2,0,2048,0.000460,1149.120,96
0345,256,3,3,2,0,4096,0.000462,1147.258,96
0346,256,3,3,2,0,8192,0.000462,1146.194,96
0347,256,3,3,2,0,16384,0.000364,1322.552,136
0348,256,3,3,2,0,32768,0.000359,1279.194,134
0349,256,3,3,2,0,65536,0.000472,1132.894,88
0350,256,3,3,3,0,1024,0.000412,1185.562,93
0351,256,3,3,3,0,2048,0.000405,1160.292,92
0352,256,3,3,3,0,4096,0.000374,1196.468,92
0353,256,3,3,3,0,8192,0.000385,1199.926,92
0354,256,3,3,3,0,16384,0.000386,1273.076,100
0355,256,3,3,3,0,32768,0.000374,1188.222,92
0356,256,3,3,3,0,65536,0.000401,1223.068,100
0357,256,3,4,1,0,1024,0.000303,1066.660,104
0358,256,3,4,1,0,2048,0.000293,1065.064,104
0359,256,3,4,1,0,4096,0.000293,1067.192,104
0360,256,3,4,1,0,8192,0.000293,1067.724,104
0361,256,3,4,1,0,16384,0.000302,937.384,82
0362,256,3,4,1,0,32768,0.000309,921.158,80
0363,256,3,4,1,0,65536,0.000316,909.188,74
0364,256,3,4,2,0,1024,0.000344,1312.710,132
0365,256,3,4,2,0,2048,0.000349,1284.514,130
0366,256,3,4,2,0,4096,0.000345,1290.366,130
0367,256,3,4,2,0,8192,0.000343,1289.568,130
0368,256,3,4,2,0,16384,0.000343,1307.922,132
0369,256,3,4,2,0,32768,0.000333,1282.918,130
0370,256,3,4,2,0,65536,0.000395,1038.198,92
0371,256,3,4,3,0,1024,0.000365,1272.278,105
0372,256,3,4,3,0,2048,0.000343,1256.850,104
0373,256,3,4,3,0,4096,0.000345,1263.766,104
0374,256,3,4,3,0,8192,0.000362,1256.850,104
0375,256,3,4,3,0,16384,0.000349,1308.454,110
0376,256,3,4,3,0,32768,0.000339,1261.106,104
0377,256,3,4,3,0,65536,0.000371,1191.680,96
0378,256,3,5,1,0,1024,0.000343,1006.012,84
0379,256,3,5,1,0,2048,0.000330,1012.396,84
0380,256,3,5,1,0,4096,0.000349,1010.534,84
0381,256,3,5,1,0,8192,0.000351,1013.460,84
0382,256,3,5,1,0,16384,0.000351,1013.460,84
0383,256,3,5,1,0,32768,0.000342,1007.342,84
0384,256,3,5,1,0,65536,0.000329,919.562,69
0385,256,3,5,2,0,1024,0.000413,1336.650,137
0386,256,3,5,2,0,2048,0.000416,1352.078,137
0387,256,3,5,2,0,4096,0.000425,1350.216,137
0388,256,3,5,2,0,8192,0.000377,1452.094,150
0389,256,3,5,2,0,16384,0.000389,1517.530,152
0390,256,3,5,2,0,32768,0.000389,1341.704,137
0391,256,3,5,2,0,65536,0.000430,1179.976,113
0392,256,3,5,3,0,1024,0.000363,1245.412,94
0393,256,3,5,3,0,2048,0.000359,1212.960,93
0394,256,3,5,3,0,4096,0.000357,1206.310,93
0395,256,3,5,3,0,8192,0.000364,1219.610,93
0396,256,3,5,3,0,16384,0.000364,1277.864,101
0397,256,3,5,3,0,32768,0.000353,1204.182,93
0398,256,3,5,3,0,65536,0.000391,1157.898,101
0399,256,3,6,1,0,1024,0.000327,1233.176,122
0400,256,3,6,1,0,2048,0.000323,1228.388,122
0401,256,3,6,1,0,4096,0.000321,1228.920,122
0402,256,3,6,1,0,8192,0.000326,1233.974,122
0403,256,3,6,1,0,16384,0.000319,1075.704,98
0404,256,3,6,1,0,32768,0.000313,1079.428,98
0405,256,3,6,1,0,65536,0.000307,1143.002,106
0406,256,3,6,2,0,1024,0.000235,1083.418,93
0407,256,3,6,2,0,2048,0.000235,1077.034,93
0408,256,3,6,2,0,4096,0.000235,1078.896,93
0409,256,3,6,2,0,8192,0.000242,1075.172,93
0410,256,3,6,2,0,16384,0.000233,1071.182,93
0411,256,3,6,2,0,32768,0.000205,1062.404,88
0412,256,3,6,2,0,65536,0.000231,1073.576,93
0413,256,3,6,3,0,1024,0.000486,1717.562,154
0414,256,3,6,3,0,2048,0.000469,1646.806,153
0415,256,3,6,3,0,4096,0.000460,1648.668,153
0416,256,3,6,3,0,8192,0.000476,1649.200,153
0417,256,3,6,3,0,16384,0.000458,1788.052,165
0418,256,3,6,3,0,32768,0.000447,1544.396,129
0419,256,3,6,3,0,65536,0.000464,1563.548,137
0420,256,3,7,1,0,1024,0.000415,994.840,85
0421,256,3,7,1,0,2048,0.000410,1014.258,85
0422,256,3,7,1,0,4096,0.000404,1011.066,85
0423,256,3,7,1,0,8192,0.000403,1004.682,85
0424,256,3,7,1,0,16384,0.000411,1001.756,85
0425,256,3,7,1,0,32768,0.000407,992.446,85
0426,256,3,7,1,0,65536,0.000384,988.988,85
0427,256,3,7,2,0,1024,0.000212,1143.534,106
0428,256,3,7,2,0,2048,0.000214,1144.332,106
0429,256,3,7,2,0,4096,0.000212,1145.928,106
0430,256,3,7,2,0,8192,0.000216,1138.214,106
0431,256,3,7,2,0,16384,0.000218,1143.534,106
0432,256,3,7,2,0,32768,0.000228,1163.484,105
0433,256,3,7,2,0,65536,0.000228,1013.194,90
0434,256,3,7,3,0,1024,0.000433,1642.284,139
0435,256,3,7,3,0,2048,0.000430,1601.586,139
0436,256,3,7,3,0,4096,0.000412,1605.842,139
0437,256,3,7,3,0,8192,0.000411,1596.000,139
0438,256,3,7,3,0,16384,0.000409,1605.576,139
0439,256,3,7,3,0,32768,0.000423,1462.734,123
0440,256,3,7,3,0,65536,0.000421,1676.332,139
0441,256,4,1,1,0,1024,0.000285,882.056,92
0442,256,4,1,1,0,2048,0.000285,881.258,92
0443,256,4,1,1,0,4096,0.000285,879.396,92
0444,256,4,1,1,0,8192,0.000281,973.560,92
0445,256,4,1,1,0,16384,0.000292,880.992,92
0446,256,4,1,1,0,32768,0.000283,867.692,92
0447,256,4,1,1,0,65536,0.000283,868.756,92
0448,256,4,1,2,0,1024,0.000511,1162.952,110
0449,256,4,1,2,0,2048,0.000459,1127.042,96
0450,256,4,1,2,0,4096,0.000459,1126.244,96
0451,256,4,1,2,0,8192,0.000458,1126.244,96
0452,256,4,1,2,0,16384,0.000405,1139.810,113
0453,256,4,1,2,0,32768,0.000404,1073.842,111
0454,256,4,1,2,0,65536,0.000468,1091.132,88
0455,256,4,1,3,0,1024,0.000440,1210.832,109
0456,256,4,1,3,0,2048,0.000435,1185.562,108
0457,256,4,1,3,0,4096,0.000410,1267.756,108
0458,256,4,1,3,0,8192,0.000410,1272.012,108
0459,256,4,1,3,0,16384,0.000409,1335.852,116
0460,256,4,1,3,0,32768,0.000410,1262.436,108
0461,256,4,1,3,0,65536,0.000456,1231.048,108
0462,256,4,2,1,0,1024,0.000252,874.076,74
0463,256,4,2,1,0,2048,0.000255,871.682,74
0464,256,4,2,1,0,4096,0.000252,866.362,74
0465,256,4,2,1,0,8192,0.000255,923.020,74
0466,256,4,2,1,0,16384,0.000245,863.170,74
0467,256,4,2,1,0,32768,0.000253,851.732,74
0468,256,4,2,1,0,65536,0.000256,738.416,66
0469,256,4,2,2,0,1024,0.000420,1037.932,93
0470,256,4,2,2,0,2048,0.000371,1108.422,93
0471,256,4,2,2,0,4096,0.000378,1107.092,93
0472,256,4,2,2,0,8192,0.000371,1107.092,93
0473,256,4,2,2,0,16384,0.000352,1043.252,95
0474,256,4,2,2,0,32768,0.000345,1001.224,93
0475,256,4,2,2,0,65536,0.000377,1090.068,93
0476,256,4,2,3,0,1024,0.000417,1284.514,107
0477,256,4,2,3,0,2048,0.000381,1259.510,106
0478,256,4,2,3,0,4096,0.000382,1269.618,106
0479,256,4,2,3,0,8192,0.000384,1274.406,106
0480,256,4,2,3,0,16384,0.000390,1329.468,110
0481,256,4,2,3,0,32768,0.000405,1281.056,106
0482,256,4,2,3,0,65536,0.000419,1138.746,90
0483,256,4,3,1,0,1024,0.000342,1010.002,76
0484,256,4,3,1,0,2048,0.000344,996.968,76
0485,256,4,3,1,0,4096,0.000342,1006.544,76
0486,256,4,3,1,0,8192,0.000354,999.096,76
0487,256,4,3,1,0,16384,0.000333,1011.864,78
0488,256,4,3,1,0,32768,0.000334,983.668,76
0489,256,4,3,1,0,65536,0.000334,939.512,68
0490,256,4,3,2,0,1024,0.000483,1243.816,110
0491,256,4,3,2,0,2048,0.000460,1149.120,96
0492,256,4,3,2,0,4096,0.000462,1147.258,96
0493,256,4,3,2,0,8192,0.000462,1146.194,96
0494,256,4,3,2,0,16384,0.000364,1322.552,136
