Benchmark,Samples,Test,Statistic,P-Value,Observation,Expected
sobely,Catapult-ASIC--Area,AD-test,7.671664,0.001,False,True
sobelx,Catapult-ASIC--TP,ttest,26.760046,0.0,False,True
sobelx,Catapult-ASIC--TP,KS-test,0.603961,0.0,False,True
sobelx,Catapult-ASIC--TP,AD-test,281.780693,0.001,False,True
sobelx,Catapult-ASIC--Area,ttest,-3.573502,0.000371,False,True
sobelx,Catapult-ASIC--Area,KS-test,0.113778,0.006238,False,True
sobelx,Catapult-ASIC--Area,AD-test,7.374603,0.001,False,True
spmv,Vivado-Catapult--TP,ttest,23.719844,0.0,False,False
spmv,Vivado-Catapult--TP,KS-test,0.278768,1.0,False,False
spmv,Vivado-Catapult--TP,AD-test,397.927358,0.001,False,False
spmv,Vivado-Catapult--Area,ttest,83.818213,0.0,False,False
spmv,Vivado-Catapult--Area,KS-test,0.905729,1.0,False,False
spmv,Vivado-Catapult--Area,AD-test,2845.590191,0.001,False,False
spmv,Catapult-FPGA--TP,ttest,-18.251187,0.0,False,True
spmv,Catapult-FPGA--TP,KS-test,0.629256,0.999975,False,True
spmv,Catapult-FPGA--TP,AD-test,1183.97172,0.001,False,True
spmv,Catapult-FPGA--Area,ttest,-19.438078,0.0,False,True
spmv,Catapult-FPGA--Area,KS-test,0.305159,0.999975,True,True
spmv,Catapult-FPGA--Area,AD-test,409.104808,0.001,False,True
spmv,Catapult-ASIC--TP,ttest,6.82663,0.0,False,True
spmv,Catapult-ASIC--TP,KS-test,0.197368,0.0,False,True
spmv,Catapult-ASIC--TP,AD-test,84.635876,0.001,False,True
spmv,Catapult-ASIC--Area,ttest,-3.55855,0.000375,False,True
spmv,Catapult-ASIC--Area,KS-test,0.107895,0.0,False,True
spmv,Catapult-ASIC--Area,AD-test,71.943808,0.001,False,True
temp_match,Vivado-Catapult--TP,ttest,-58.670482,0.0,False,False
temp_match,Vivado-Catapult--TP,KS-test,0.57022,1.0,False,False
temp_match,Vivado-Catapult--TP,AD-test,2521.333704,0.001,False,False
temp_match,Vivado-Catapult--Area,ttest,126.895915,0.0,False,False
temp_match,Vivado-Catapult--Area,KS-test,0.766191,1.0,False,False
temp_match,Vivado-Catapult--Area,AD-test,5571.198594,0.001,False,False
temp_match,Catapult-FPGA--TP,ttest,0.030168,0.975933,True,True
temp_match,Catapult-FPGA--TP,KS-test,0.001018,1.0,True,True
temp_match,Catapult-FPGA--TP,AD-test,-1.305663,0.25,True,True
temp_match,Catapult-FPGA--Area,ttest,0.038077,0.969626,True,True
temp_match,Catapult-FPGA--Area,KS-test,0.000914,1.0,True,True
temp_match,Catapult-FPGA--Area,AD-test,-1.308497,0.25,True,True
temp_match,Catapult-ASIC--TP,ttest,0.789975,0.429553,True,True
temp_match,Catapult-ASIC--TP,KS-test,0.01639,0.168251,True,True
temp_match,Catapult-ASIC--TP,AD-test,0.809229,0.152325,True,True
temp_match,Catapult-ASIC--Area,ttest,2.104839,0.035319,False,True
temp_match,Catapult-ASIC--Area,KS-test,0.038207,3e-06,False,True
temp_match,Catapult-ASIC--Area,AD-test,12.682956,0.001,False,True
>>>>>>> b37feacd2c9089fd1a4e958cd27fd5047ae4075a
