n,knob_MAT_SIZE,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,knob_SUBDIM_X,knob_SUBDIM_Y,B,knob_DATA_BLOCK,obj1,obj2,lut,ff,dsp,bram
241,1024,1,1,2,8,1,0,524288,4.897055,52,189,51,1,0
242,1024,1,1,2,8,1,0,262144,4.451264,93,292,60,1,0
246,1024,1,1,2,8,2,0,1048576,7.514528,48,145,54,1,0
247,1024,1,1,2,8,2,0,524288,4.806803,49,202,56,1,0
248,1024,1,1,2,8,2,0,262144,4.789598,83,327,66,1,0
252,1024,1,1,2,8,4,0,1048576,5.999443,38,149,45,1,0
253,1024,1,1,2,8,4,0,524288,7.073537,49,198,47,1,0
254,1024,1,1,2,8,4,0,262144,4.765687,84,305,55,1,0
258,1024,1,1,2,8,8,0,1048576,6.118996,36,152,48,1,0
259,1024,1,1,2,8,8,0,524288,5.408388,55,203,50,1,0
260,1024,1,1,2,8,8,0,262144,5.586611,95,323,60,1,0
264,1024,1,1,2,8,16,0,1048576,5.242888,33,151,49,1,0
265,1024,1,1,2,8,16,0,524288,5.453579,50,203,51,1,0
266,1024,1,1,2,8,16,0,262144,5.888269,98,312,60,1,0
270,1024,1,1,2,16,1,0,1048576,8.543237,38,151,53,1,0
271,1024,1,1,2,16,1,0,524288,4.0231,62,251,55,1,0
272,1024,1,1,2,16,1,0,262144,4.024714,113,409,62,1,0
276,1024,1,1,2,16,2,0,1048576,7.712071,35,153,45,1,0
277,1024,1,1,2,16,2,0,524288,10.695866,68,270,47,1,0
278,1024,1,1,2,16,2,0,262144,12.739251,104,377,51,1,0
282,1024,1,1,2,16,4,0,1048576,9.101897,37,152,48,1,0
283,1024,1,1,2,16,4,0,524288,3.635716,72,267,50,1,0
284,1024,1,1,2,16,4,0,262144,4.323191,173,371,54,1,0
288,1024,1,1,2,16,8,0,1048576,3.958877,32,169,53,1,0
289,1024,1,1,2,16,8,0,524288,3.182911,64,253,55,1,0
290,1024,1,1,2,16,8,0,262144,6.412606,136,356,59,1,0
294,1024,1,1,2,16,16,0,1048576,4.709383,36,163,45,1,0
295,1024,1,1,2,16,16,0,524288,6.091617,81,256,47,1,0
296,1024,1,1,2,16,16,0,262144,3.645185,118,411,54,1,0
300,1024,1,1,4,1,1,0,1048576,3.932003,34,158,48,1,0
301,1024,1,1,4,1,1,0,524288,4.540287,59,266,50,1,0
302,1024,1,1,4,1,1,0,262144,5.056152,106,423,57,1,0
306,1024,1,1,4,1,2,0,1048576,4.106068,36,163,54,1,0
307,1024,1,1,4,1,2,0,524288,3.642845,69,270,56,1,0
308,1024,1,1,4,1,2,0,262144,7.03713,176,374,60,1,0
312,1024,1,1,4,1,4,0,1048576,4.333883,33,165,46,1,0
313,1024,1,1,4,1,4,0,524288,3.793677,61,256,48,1,0
314,1024,1,1,4,1,4,0,262144,5.138072,128,410,55,1,0
318,1024,1,1,4,1,8,0,1048576,3.807758,36,165,49,1,0
319,1024,1,1,4,1,8,0,524288,4.157433,68,259,51,1,0
320,1024,1,1,4,1,8,0,262144,4.175926,124,415,58,1,0
324,1024,1,1,4,1,16,0,1048576,3.778115,33,161,54,1,0
325,1024,1,1,4,1,16,0,524288,3.143857,62,269,56,1,0
326,1024,1,1,4,1,16,0,262144,5.90845,182,372,60,1,0
330,1024,1,1,4,2,1,0,1048576,4.840509,38,164,46,1,0
331,1024,1,1,4,2,1,0,524288,5.719807,69,257,48,1,0
332,1024,1,1,4,2,1,0,262144,4.059105,123,412,55,1,0
336,1024,1,1,4,2,2,0,1048576,4.153747,35,167,49,1,0
337,1024,1,1,4,2,2,0,524288,3.94026,66,265,51,1,0
338,1024,1,1,4,2,2,0,262144,5.091744,123,423,58,1,0
342,1024,1,1,4,2,4,0,1048576,3.789259,42,178,54,1,0
343,1024,1,1,4,2,4,0,524288,3.503612,65,275,56,1,0
344,1024,1,1,4,2,4,0,262144,4.743029,112,430,63,1,0
348,1024,1,1,4,2,8,0,1048576,4.391081,40,177,46,1,0
349,1024,1,1,4,2,8,0,524288,4.335143,62,268,48,1,0
350,1024,1,1,4,2,8,0,262144,3.94533,129,425,55,1,0
354,1024,1,1,4,2,16,0,1048576,4.679717,39,179,49,1,0
355,1024,1,1,4,2,16,0,524288,4.715017,67,274,51,1,0
356,1024,1,1,4,2,16,0,262144,4.444386,125,429,58,1,0
360,1024,1,1,4,4,1,0,1048576,7.186716,37,130,55,1,0
361,1024,1,1,4,4,1,0,524288,3.215322,51,190,57,1,0
362,1024,1,1,4,4,1,0,262144,2.869574,111,310,64,1,0
366,1024,1,1,4,4,2,0,1048576,6.248599,29,136,48,1,0
367,1024,1,1,4,4,2,0,524288,8.34606,46,220,50,1,0
368,1024,1,1,4,4,2,0,262144,10.751431,146,468,54,1,0
372,1024,1,1,4,4,4,0,1048576,3.328377,33,156,55,1,0
373,1024,1,1,4,4,4,0,524288,3.899916,51,199,57,1,0
374,1024,1,1,4,4,4,0,262144,3.41041,100,383,61,1,0
378,1024,1,1,4,4,8,0,1048576,2.873232,38,176,48,1,0
379,1024,1,1,4,4,8,0,524288,3.236092,55,218,50,1,0
380,1024,1,1,4,4,8,0,262144,3.433759,102,393,54,1,0
384,1024,1,1,4,4,16,0,1048576,3.700359,39,155,56,1,0
385,1024,1,1,4,4,16,0,524288,3.499867,58,250,58,1,0
386,1024,1,1,4,4,16,0,262144,3.020839,102,440,64,1,0
390,1024,1,1,4,8,1,0,1048576,3.667354,36,159,38,1,0
391,1024,1,1,4,8,1,0,524288,2.456675,53,249,35,1,0
392,1024,1,1,4,8,1,0,262144,3.743639,131,407,38,1,0
396,1024,1,1,4,8,2,0,1048576,3.639453,42,153,56,1,0
397,1024,1,1,4,8,2,0,524288,3.445708,62,249,58,1,0
398,1024,1,1,4,8,2,0,262144,2.803926,104,439,64,1,0
402,1024,1,1,4,8,4,0,1048576,3.127414,40,158,35,1,0
403,1024,1,1,4,8,4,0,524288,3.651475,62,253,35,1,0
404,1024,1,1,4,8,4,0,262144,2.938131,148,416,39,1,0
408,1024,1,1,4,8,8,0,1048576,3.94737,38,150,56,1,0
409,1024,1,1,4,8,8,0,524288,3.867992,63,222,59,1,0
410,1024,1,1,4,8,8,0,262144,3.413251,98,348,63,1,0
414,1024,1,1,4,8,16,0,1048576,3.733231,41,166,35,1,0
415,1024,1,1,4,8,16,0,524288,3.542544,59,220,35,1,0
416,1024,1,1,4,8,16,0,262144,3.117382,147,431,38,1,0
420,1024,1,1,4,16,1,0,1048576,15.457636,33,138,50,1,0
421,1024,1,1,4,16,1,0,524288,8.676783,59,181,52,1,0
422,1024,1,1,4,16,1,0,262144,7.97387,112,439,66,1,0
426,1024,1,1,4,16,2,0,1048576,19.110871,35,127,44,1,0
427,1024,1,1,4,16,2,0,524288,21.029105,42,198,46,1,0
428,1024,1,1,4,16,2,0,262144,26.847746,105,316,52,1,0
432,1024,1,1,4,16,4,0,1048576,17.345278,30,126,47,1,0
433,1024,1,1,4,16,4,0,524288,7.509534,50,196,49,1,0
434,1024,1,1,4,16,4,0,262144,11.421478,104,300,56,1,0
438,1024,1,1,4,16,8,0,1048576,16.759359,30,124,48,1,0
439,1024,1,1,4,16,8,0,524288,7.029527,44,196,50,1,0
440,1024,1,1,4,16,8,0,262144,11.435995,104,300,57,1,0
444,1024,1,1,4,16,16,0,1048576,16.72401,32,123,49,1,0
445,1024,1,1,4,16,16,0,524288,7.728395,52,197,51,1,0
446,1024,1,1,4,16,16,0,262144,10.970503,112,301,58,1,0
450,1024,1,1,8,1,1,0,1048576,9.429752,39,136,59,1,0
451,1024,1,1,8,1,1,0,524288,8.714058,57,186,61,1,0
452,1024,1,1,8,1,1,0,262144,6.963509,97,287,68,1,0
456,1024,1,1,8,1,2,0,1048576,9.048287,30,141,50,1,0
457,1024,1,1,8,1,2,0,524288,8.627087,57,185,52,1,0
458,1024,1,1,8,1,2,0,262144,10.240435,95,304,59,1,0
462,1024,1,1,8,1,4,0,1048576,7.745882,28,135,53,1,0
463,1024,1,1,8,1,4,0,524288,8.021773,54,199,55,1,0
464,1024,1,1,8,1,4,0,262144,8.838967,101,317,62,1,0
468,1024,1,1,8,1,8,0,1048576,8.008984,34,130,54,1,0
469,1024,1,1,8,1,8,0,524288,11.995007,60,199,56,1,0
470,1024,1,1,8,1,8,0,262144,9.913007,93,317,63,1,0
474,1024,1,1,8,1,16,0,1048576,6.312053,31,129,55,1,0
475,1024,1,1,8,1,16,0,524288,9.086329,61,201,57,1,0
476,1024,1,1,8,1,16,0,262144,8.895453,89,318,64,1,0
480,1024,1,1,8,2,1,0,1048576,7.591542,33,137,59,1,0
481,1024,1,1,8,2,1,0,524288,6.624467,64,187,61,1,0
482,1024,1,1,8,2,1,0,262144,6.495523,89,303,68,1,0
486,1024,1,1,8,2,2,0,1048576,7.983447,27,139,50,1,0
487,1024,1,1,8,2,2,0,524288,8.897238,53,189,52,1,0
488,1024,1,1,8,2,2,0,262144,9.777185,103,292,59,1,0
492,1024,1,1,8,2,4,0,1048576,7.822125,37,134,53,1,0
493,1024,1,1,8,2,4,0,524288,10.168763,53,200,55,1,0
494,1024,1,1,8,2,4,0,262144,8.213232,105,305,62,1,0
498,1024,1,1,8,2,8,0,1048576,7.04467,33,133,54,1,0
499,1024,1,1,8,2,8,0,524288,7.367019,58,200,56,1,0
500,1024,1,1,8,2,8,0,262144,9.280966,92,305,63,1,0
504,1024,1,1,8,2,16,0,1048576,6.884131,34,132,55,1,0
505,1024,1,1,8,2,16,0,524288,7.061829,55,201,57,1,0
506,1024,1,1,8,2,16,0,262144,7.410642,107,306,64,1,0
510,1024,1,1,8,4,1,0,1048576,7.154007,31,137,60,1,0
511,1024,1,1,8,4,1,0,524288,6.3867,62,206,62,1,0
512,1024,1,1,8,4,1,0,262144,7.05084,96,308,69,1,0
516,1024,1,1,8,4,2,0,1048576,10.357378,30,140,51,1,0
517,1024,1,1,8,4,2,0,524288,9.590165,48,190,53,1,0
518,1024,1,1,8,4,2,0,262144,8.965864,80,293,60,1,0
522,1024,1,1,8,4,4,0,1048576,6.890532,32,142,54,1,0
523,1024,1,1,8,4,4,0,524288,8.284005,53,201,56,1,0
524,1024,1,1,8,4,4,0,262144,7.739188,93,303,63,1,0
528,1024,1,1,8,4,8,0,1048576,7.085793,36,151,55,1,0
529,1024,1,1,8,4,8,0,524288,7.777581,57,200,57,1,0
530,1024,1,1,8,4,8,0,262144,8.627205,98,316,64,1,0
534,1024,1,1,8,4,16,0,1048576,9.682378,29,149,56,1,0
535,1024,1,1,8,4,16,0,524288,10.106928,58,201,58,1,0
536,1024,1,1,8,4,16,0,262144,7.928228,95,318,65,1,0
540,1024,1,1,8,8,1,0,1048576,8.298351,31,149,60,1,0
541,1024,1,1,8,8,1,0,524288,7.660016,51,206,62,1,0
542,1024,1,1,8,8,1,0,262144,9.742663,103,312,69,1,0
546,1024,1,1,8,8,2,0,1048576,8.939382,27,151,51,1,0
547,1024,1,1,8,8,2,0,524288,9.778037,49,202,53,1,0
548,1024,1,1,8,8,2,0,262144,8.796472,103,308,59,1,0
552,1024,1,1,8,8,4,0,1048576,7.05105,40,157,54,1,0
553,1024,1,1,8,8,4,0,524288,8.692454,54,218,56,1,0
554,1024,1,1,8,8,4,0,262144,10.085901,97,321,63,1,0
558,1024,1,1,8,8,8,0,1048576,7.606165,36,149,55,1,0
559,1024,1,1,8,8,8,0,524288,8.623678,47,209,57,1,0
560,1024,1,1,8,8,8,0,262144,9.731861,96,313,63,1,0
564,1024,1,1,8,8,16,0,1048576,7.941234,33,157,56,1,0
565,1024,1,1,8,8,16,0,524288,7.964272,64,219,58,1,0
566,1024,1,1,8,8,16,0,262144,8.237426,104,334,64,1,0
570,1024,1,1,8,16,1,0,1048576,9.73805,31,134,53,1,0
571,1024,1,1,8,16,1,0,524288,3.722739,59,180,55,1,0
572,1024,1,1,8,16,1,0,262144,5.135703,98,285,64,1,0
576,1024,1,1,8,16,2,0,1048576,11.391376,27,136,44,1,0
577,1024,1,1,8,16,2,0,524288,14.347474,55,199,46,1,0
578,1024,1,1,8,16,2,0,262144,18.672761,105,327,54,1,0
582,1024,1,1,8,16,4,0,1048576,11.821799,29,136,47,1,0
583,1024,1,1,8,16,4,0,524288,5.314554,46,195,49,1,0
584,1024,1,1,8,16,4,0,262144,6.242202,94,316,59,1,0
588,1024,1,1,8,16,8,0,1048576,9.605024,36,145,48,1,0
589,1024,1,1,8,16,8,0,524288,4.348985,52,195,50,1,0
590,1024,1,1,8,16,8,0,262144,5.076403,94,316,60,1,0
594,1024,1,1,8,16,16,0,1048576,4.749582,32,165,59,1,0
595,1024,1,1,8,16,16,0,524288,4.820536,75,259,61,1,0
596,1024,1,1,8,16,16,0,262144,6.998592,156,355,65,1,0
600,1024,1,2,1,1,1,0,1048576,6.488944,33,169,51,1,0
601,1024,1,2,1,1,1,0,524288,8.360895,73,260,53,1,0
602,1024,1,2,1,1,1,0,262144,6.696939,122,403,59,1,0
606,1024,1,2,1,1,2,0,1048576,6.530879,35,158,54,1,0
607,1024,1,2,1,1,2,0,524288,5.772484,64,272,56,1,0
608,1024,1,2,1,1,2,0,262144,6.599409,110,429,62,1,0
612,1024,1,2,1,1,4,0,1048576,7.749163,36,157,55,1,0
613,1024,1,2,1,1,4,0,524288,7.121691,59,271,57,1,0
614,1024,1,2,1,1,4,0,262144,5.720412,119,429,63,1,0
618,1024,1,2,1,1,8,0,1048576,5.654087,36,167,59,1,0
619,1024,1,2,1,1,8,0,524288,5.522947,103,260,61,1,0
620,1024,1,2,1,1,8,0,262144,4.389979,116,376,65,1,0
624,1024,1,2,1,1,16,0,1048576,6.77118,39,168,51,1,0
625,1024,1,2,1,1,16,0,524288,5.639425,73,262,53,1,0
626,1024,1,2,1,1,16,0,262144,7.789275,123,404,59,1,0
630,1024,1,2,1,2,1,0,1048576,9.181924,38,164,54,1,0
631,1024,1,2,1,2,1,0,524288,7.117133,66,272,56,1,0
632,1024,1,2,1,2,1,0,262144,6.267462,107,404,60,1,0
636,1024,1,2,1,2,2,0,1048576,6.901371,34,163,55,1,0
637,1024,1,2,1,2,2,0,524288,5.458135,67,272,57,1,0
638,1024,1,2,1,2,2,0,262144,6.755052,114,404,61,1,0
642,1024,1,2,1,2,4,0,1048576,5.539008,38,165,60,1,0
643,1024,1,2,1,2,4,0,524288,5.566961,66,274,62,1,0
644,1024,1,2,1,2,4,0,262144,4.354228,150,393,66,1,0
648,1024,1,2,1,2,8,0,1048576,5.429918,40,177,39,1,0
649,1024,1,2,1,2,8,0,524288,4.921997,67,250,41,1,0
650,1024,1,2,1,2,8,0,262144,8.158179,138,335,45,1,0
654,1024,1,2,1,2,16,0,1048576,7.207452,45,183,42,1,0
655,1024,1,2,1,2,16,0,524288,6.300524,83,270,44,1,0
656,1024,1,2,1,2,16,0,262144,7.04754,111,327,48,1,0
660,1024,1,2,1,4,1,0,1048576,5.199674,39,187,43,1,0
661,1024,1,2,1,4,1,0,524288,7.55006,67,216,45,1,0
662,1024,1,2,1,4,1,0,262144,10.213091,121,347,49,1,0
666,1024,1,2,1,4,2,0,1048576,5.650648,39,174,60,1,0
667,1024,1,2,1,4,2,0,524288,5.803311,68,278,62,1,0
668,1024,1,2,1,4,2,0,262144,5.379727,94,377,66,1,0
673,1024,1,2,1,4,4,0,524288,5.190329,71,263,41,1,0
674,1024,1,2,1,4,4,0,262144,6.261771,119,347,45,1,0
678,1024,1,2,1,4,8,0,1048576,5.466541,40,199,42,1,0
679,1024,1,2,1,4,8,0,524288,8.68296,59,223,44,1,0
680,1024,1,2,1,4,8,0,262144,6.192977,105,354,48,1,0
684,1024,1,2,1,4,16,0,1048576,5.219476,42,186,43,1,0
685,1024,1,2,1,4,16,0,524288,5.352513,57,222,45,1,0
686,1024,1,2,1,4,16,0,262144,8.673997,130,359,49,1,0
690,1024,1,2,1,8,1,0,1048576,8.543237,38,151,53,1,0
691,1024,1,2,1,8,1,0,524288,4.0231,62,251,55,1,0
692,1024,1,2,1,8,1,0,262144,4.024714,113,409,62,1,0
696,1024,1,2,1,8,2,0,1048576,7.712071,35,153,45,1,0
697,1024,1,2,1,8,2,0,524288,10.695866,68,270,47,1,0
698,1024,1,2,1,8,2,0,262144,12.739251,104,377,51,1,0
702,1024,1,2,1,8,4,0,1048576,9.101897,37,152,48,1,0
703,1024,1,2,1,8,4,0,524288,3.635716,72,267,50,1,0
704,1024,1,2,1,8,4,0,262144,4.323191,173,371,54,1,0
708,1024,1,2,1,8,8,0,1048576,3.470067,39,144,47,1,0
709,1024,1,2,1,8,8,0,524288,3.274865,80,222,49,1,0
710,1024,1,2,1,8,8,0,262144,3.658815,103,413,60,1,0
714,1024,1,2,1,8,16,0,1048576,5.528938,40,183,38,1,0
715,1024,1,2,1,8,16,0,524288,3.671396,62,207,40,1,0
716,1024,1,2,1,8,16,0,262144,7.031746,108,333,44,1,0
720,1024,1,2,1,16,1,0,1048576,4.046266,47,168,41,1,0
721,1024,1,2,1,16,1,0,524288,4.85115,61,223,43,1,0
722,1024,1,2,1,16,1,0,262144,5.83079,123,356,47,1,0
726,1024,1,2,1,16,2,0,1048576,3.951781,35,139,47,1,0
727,1024,1,2,1,16,2,0,524288,2.695276,73,223,49,1,0
728,1024,1,2,1,16,2,0,262144,2.988837,100,392,57,1,0
732,1024,1,2,1,16,4,0,1048576,4.40816,41,181,38,1,0
733,1024,1,2,1,16,4,0,524288,3.480402,58,206,40,1,0
734,1024,1,2,1,16,4,0,262144,8.18209,107,336,44,1,0
738,1024,1,2,1,16,8,0,1048576,3.53825,51,170,41,1,0
739,1024,1,2,1,16,8,0,524288,4.253965,67,222,43,1,0
740,1024,1,2,1,16,8,0,262144,8.146712,137,356,47,1,0
744,1024,1,2,1,16,16,0,1048576,4.19959,39,142,47,1,0
745,1024,1,2,1,16,16,0,524288,3.697833,68,243,51,1,0
746,1024,1,2,1,16,16,0,262144,4.962712,97,413,62,1,0
750,1024,1,2,2,1,1,0,1048576,4.428375,35,146,55,1,0
751,1024,1,2,2,1,1,0,524288,4.898475,62,199,57,1,0
752,1024,1,2,2,1,1,0,262144,4.840805,94,329,61,1,0
756,1024,1,2,2,1,2,0,1048576,4.154132,33,151,58,1,0
757,1024,1,2,2,1,2,0,524288,3.557564,58,210,60,1,0
758,1024,1,2,2,1,2,0,262144,4.728854,104,334,64,1,0
762,1024,1,2,2,1,4,0,1048576,3.723496,35,166,47,1,0
763,1024,1,2,2,1,4,0,524288,3.444395,95,299,49,1,0
764,1024,1,2,2,1,4,0,262144,5.170626,119,420,63,1,0
768,1024,1,2,2,1,8,0,1048576,4.877321,49,162,55,1,0
769,1024,1,2,2,1,8,0,524288,4.861594,56,208,57,1,0
770,1024,1,2,2,1,8,0,262144,4.73752,113,343,61,1,0
774,1024,1,2,2,1,16,0,1048576,5.093318,45,163,58,1,0
775,1024,1,2,2,1,16,0,524288,6.078038,63,222,60,1,0
776,1024,1,2,2,1,16,0,262144,5.131968,98,350,64,1,0
