n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2
340,2,2,1,3,64,32,0,0.000152,202
341,2,2,1,4,512,1,0,0.00015,164
342,2,2,1,4,512,2,0,0.00015,164
343,2,2,1,4,512,4,0,0.000163,128
344,2,2,1,4,512,8,0,0.000166,235
345,2,2,1,4,512,16,0,0.000166,235
346,2,2,1,4,512,32,0,0.000157,213
347,2,2,1,4,256,1,0,0.000161,282
348,2,2,1,4,256,2,0,0.000168,303
349,2,2,1,4,256,4,0,0.000174,284
350,2,2,1,4,128,8,0,3.90E-05,91
351,2,2,1,4,128,16,0,3.90E-05,91
352,2,2,1,4,128,32,0,3.70E-05,117
353,2,2,1,4,64,1,0,3.70E-05,150
354,2,2,1,4,64,2,0,3.70E-05,150
355,2,2,1,4,64,4,0,3.90E-05,207
356,2,2,1,4,64,8,0,4.60E-05,222
357,2,2,1,4,64,16,0,4.60E-05,222
358,2,2,1,4,64,32,0,4.50E-05,226
359,2,2,2,1,512,1,0,0.000146,119
360,2,2,2,1,512,2,0,0.000147,113
361,2,2,2,1,512,4,0,0.000153,93
362,2,2,2,1,512,8,0,0.000175,178
363,2,2,2,1,512,16,0,0.000171,171
364,2,2,2,1,512,32,0,0.000146,131
365,2,2,2,1,256,1,0,0.000223,231
366,2,2,2,1,256,2,0,0.000204,262
367,2,2,2,1,256,4,0,0.000204,193
368,2,2,2,1,128,8,0,0.000125,110
369,2,2,2,1,128,16,0,0.000125,110
370,2,2,2,1,128,32,0,0.000123,125
371,2,2,2,1,64,1,0,0.000127,151
372,2,2,2,1,64,2,0,0.000127,151
373,2,2,2,1,64,4,0,0.000135,166
374,2,2,2,1,64,8,0,0.000138,199
375,2,2,2,1,64,16,0,0.000138,199
376,2,2,2,1,64,32,0,0.000152,202
377,2,2,2,2,512,1,0,0.000154,159
378,2,2,2,2,512,2,0,0.000154,159
379,2,2,2,2,512,4,0,0.000163,128
380,2,2,2,2,512,8,0,0.000166,235
381,2,2,2,2,512,16,0,0.000166,235
382,2,2,2,2,512,32,0,0.000157,213
383,2,2,2,2,256,1,0,0.000161,282
384,2,2,2,2,256,2,0,0.000168,303
385,2,2,2,2,256,4,0,0.000174,284
386,2,2,2,2,128,8,0,3.90E-05,91
387,2,2,2,2,128,16,0,3.90E-05,91
388,2,2,2,2,128,32,0,3.70E-05,117
389,2,2,2,2,64,1,0,3.70E-05,150
390,2,2,2,2,64,2,0,3.70E-05,150
391,2,2,2,2,64,4,0,3.90E-05,207
392,2,2,2,2,64,8,0,4.60E-05,222
393,2,2,2,2,64,16,0,4.60E-05,222
394,2,2,2,2,64,32,0,4.50E-05,226
395,2,2,2,3,512,1,0,0.000146,119
396,2,2,2,3,512,2,0,0.000147,113
397,2,2,2,3,512,4,0,0.000153,93
398,2,2,2,3,512,8,0,0.000175,178
399,2,2,2,3,512,16,0,0.000171,171
400,2,2,2,3,512,32,0,0.000146,131
401,2,2,2,3,256,1,0,0.000226,236
402,2,2,2,3,256,2,0,0.000204,262
403,2,2,2,3,256,4,0,0.000204,193
404,2,2,2,3,128,8,0,0.000125,110
405,2,2,2,3,128,16,0,0.000125,110
406,2,2,2,3,128,32,0,0.000123,125
407,2,2,2,3,64,1,0,0.000127,151
408,2,2,2,3,64,2,0,0.000127,151
409,2,2,2,3,64,4,0,0.000135,166
410,2,2,2,3,64,8,0,0.000138,199
411,2,2,2,3,64,16,0,0.000138,199
412,2,2,2,3,64,32,0,0.000152,202
413,2,2,2,4,512,1,0,0.00015,164
414,2,2,2,4,512,2,0,0.00015,164
415,2,2,2,4,512,4,0,0.000163,128
416,2,2,2,4,512,8,0,0.000166,235
417,2,2,2,4,512,16,0,0.000166,235
418,2,2,2,4,512,32,0,0.000157,213
419,2,2,2,4,256,1,0,0.000161,282
420,2,2,2,4,256,2,0,0.000168,303
421,2,2,2,4,256,4,0,0.000174,284
422,2,2,2,4,128,8,0,3.90E-05,91
423,2,2,2,4,128,16,0,4.00E-05,92
424,2,2,2,4,128,32,0,3.70E-05,117
425,2,2,2,4,64,1,0,3.70E-05,150
426,2,2,2,4,64,2,0,3.70E-05,150
427,2,2,2,4,64,4,0,3.90E-05,207
428,2,2,2,4,64,8,0,4.60E-05,222
429,2,2,2,4,64,16,0,4.60E-05,222
430,2,2,2,4,64,32,0,4.50E-05,226
431,2,2,3,1,512,1,0,0.000148,142
432,2,2,3,1,512,2,0,0.000144,146
433,2,2,3,1,512,4,0,0.000158,118
434,2,2,3,1,512,8,0,0.000153,204
435,2,2,3,1,512,16,0,0.000145,201
436,2,2,3,1,512,32,0,0.000137,137
437,2,2,3,1,256,1,0,0.000176,252
438,2,2,3,1,256,2,0,0.000174,280
439,2,2,3,1,256,4,0,0.000158,233
440,2,2,3,1,128,8,0,0.000116,107
441,2,2,3,1,128,16,0,0.000116,107
442,2,2,3,1,128,32,0,0.000118,112
443,2,2,3,1,64,1,0,0.000124,210
444,2,2,3,1,64,2,0,0.000124,210
445,2,2,3,1,64,4,0,0.000129,200
446,2,2,3,1,64,8,0,0.000141,283
447,2,2,3,1,64,16,0,0.000141,283
448,2,2,3,1,64,32,0,0.000148,311
449,2,2,3,2,512,1,0,0.000156,168
450,2,2,3,2,512,2,0,0.000156,168
451,2,2,3,2,512,4,0,0.000149,134
452,2,2,3,2,512,8,0,0.000142,239
453,2,2,3,2,512,16,0,0.000142,239
454,2,2,3,2,512,32,0,0.00015,213
455,2,2,3,2,256,1,0,0.000174,295
456,2,2,3,2,256,2,0,0.000189,400
457,2,2,3,2,256,4,0,0.000173,348
458,2,2,3,2,128,8,0,3.70E-05,147
459,2,2,3,2,128,16,0,3.70E-05,147
460,2,2,3,2,128,32,0,3.00E-05,176
461,2,2,3,2,64,1,0,3.60E-05,238
462,2,2,3,2,64,2,0,3.60E-05,238
463,2,2,3,2,64,4,0,3.60E-05,255
464,2,2,3,2,64,8,0,4.00E-05,325
465,2,2,3,2,64,16,0,4.00E-05,325
466,2,2,3,2,64,32,0,4.10E-05,352
467,2,2,3,3,512,1,0,0.000148,142
468,2,2,3,3,512,2,0,0.000144,146
469,2,2,3,3,512,4,0,0.000164,114
470,2,2,3,3,512,8,0,0.000153,204
471,2,2,3,3,512,16,0,0.000145,201
472,2,2,3,3,512,32,0,0.000137,137
473,2,2,3,3,256,1,0,0.000176,252
474,2,2,3,3,256,2,0,0.000174,280
475,2,2,3,3,256,4,0,0.000158,233
476,2,2,3,3,128,8,0,0.000116,107
477,2,2,3,3,128,16,0,0.000116,107
478,2,2,3,3,128,32,0,0.000118,112
479,2,2,3,3,64,1,0,0.000124,210
480,2,2,3,3,64,2,0,0.000124,210
481,2,2,3,3,64,4,0,0.000129,200
482,2,2,3,3,64,8,0,0.000141,283
483,2,2,3,3,64,16,0,0.000141,283
484,2,2,3,3,64,32,0,0.000148,311
485,2,2,3,4,512,1,0,0.000156,168
486,2,2,3,4,512,2,0,0.000156,168
487,2,2,3,4,512,4,0,0.000149,134
488,2,2,3,4,512,8,0,0.000142,239
489,2,2,3,4,512,16,0,0.000142,239
490,2,2,3,4,512,32,0,0.00015,213
491,2,2,3,4,256,1,0,0.000174,295
492,2,2,3,4,256,2,0,0.000189,400
493,2,2,3,4,256,4,0,0.000173,348
494,2,2,3,4,128,8,0,3.70E-05,147
495,2,2,3,4,128,16,0,3.70E-05,147
496,2,2,3,4,128,32,0,3.00E-05,176
497,2,2,3,4,64,1,0,3.60E-05,238
498,2,2,3,4,64,2,0,3.60E-05,238
499,2,2,3,4,64,4,0,3.60E-05,255
500,2,2,3,4,64,8,0,4.00E-05,325
501,2,2,3,4,64,16,0,4.00E-05,325
502,2,2,3,4,64,32,0,4.10E-05,352
503,2,2,4,1,512,1,0,0.000148,142
504,2,2,4,1,512,2,0,0.000144,146
505,2,2,4,1,512,4,0,0.000158,118
506,2,2,4,1,512,8,0,0.000153,204
507,2,2,4,1,512,16,0,0.000145,201
508,2,2,4,1,512,32,0,0.000137,137
509,2,2,4,1,256,1,0,0.000176,252
510,2,2,4,1,256,2,0,0.000174,280
511,2,2,4,1,256,4,0,0.000158,233
512,2,2,4,1,128,8,0,0.000116,107
513,2,2,4,1,128,16,0,0.000116,107
514,2,2,4,1,128,32,0,0.000118,112
515,2,2,4,1,64,1,0,0.000124,210
516,2,2,4,1,64,2,0,0.000124,210
517,2,2,4,1,64,4,0,0.000129,200
518,2,2,4,1,64,8,0,0.000141,283
519,2,2,4,1,64,16,0,0.000141,283
520,2,2,4,1,64,32,0,0.000148,311
521,2,2,4,2,512,1,0,0.000156,168
522,2,2,4,2,512,2,0,0.000156,168
523,2,2,4,2,512,4,0,0.000149,134
524,2,2,4,2,512,8,0,0.000142,239
525,2,2,4,2,512,16,0,0.000142,239
526,2,2,4,2,512,32,0,0.00015,213
527,2,2,4,2,256,1,0,0.000174,295
528,2,2,4,2,256,2,0,0.000189,400
529,2,2,4,2,256,4,0,0.000173,348
530,2,2,4,2,128,8,0,3.70E-05,147
531,2,2,4,2,128,16,0,3.70E-05,147
532,2,2,4,2,128,32,0,3.00E-05,176
533,2,2,4,2,64,1,0,3.60E-05,238
534,2,2,4,2,64,2,0,3.60E-05,238
535,2,2,4,2,64,4,0,3.60E-05,255
536,2,2,4,2,64,8,0,4.00E-05,325
537,2,2,4,2,64,16,0,4.00E-05,325
538,2,2,4,2,64,32,0,4.10E-05,352
539,2,2,4,3,512,1,0,0.000148,142
540,2,2,4,3,512,2,0,0.000144,146
541,2,2,4,3,512,4,0,0.000158,118
542,2,2,4,3,512,8,0,0.000153,204
543,2,2,4,3,512,16,0,0.000145,201
544,2,2,4,3,512,32,0,0.000137,137
545,2,2,4,3,256,1,0,0.000176,252
546,2,2,4,3,256,2,0,0.000174,280
547,2,2,4,3,256,4,0,0.000158,233
548,2,2,4,3,128,8,0,0.000116,107
549,2,2,4,3,128,16,0,0.000116,107
550,2,2,4,3,128,32,0,0.000118,112
551,2,2,4,3,64,1,0,0.000124,210
552,2,2,4,3,64,2,0,0.000124,210
553,2,2,4,3,64,4,0,0.000129,200
554,2,2,4,3,64,8,0,0.000141,283
555,2,2,4,3,64,16,0,0.000141,283
556,2,2,4,3,64,32,0,0.000148,311
557,2,2,4,4,512,1,0,0.000156,168
558,2,2,4,4,512,2,0,0.000156,168
559,2,2,4,4,512,4,0,0.000149,134
560,2,2,4,4,512,8,0,0.000142,239
561,2,2,4,4,512,16,0,0.000142,239
562,2,2,4,4,512,32,0,0.00015,213
563,2,2,4,4,256,1,0,0.000174,295
564,2,2,4,4,256,2,0,0.000189,400
565,2,2,4,4,256,4,0,0.000173,348
566,2,2,4,4,128,8,0,3.70E-05,147
567,2,2,4,4,128,16,0,3.60E-05,150
568,2,2,4,4,128,32,0,3.00E-05,176
569,2,2,4,4,64,1,0,3.60E-05,238
570,2,2,4,4,64,2,0,3.60E-05,238
