n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2
87,1,1,4,2,460800,0,0.142295,23695.279
88,1,1,4,2,230400,0,0.145667,24500.463
89,1,1,4,2,115200,0,0.143244,26513.018
90,1,1,4,2,57600,0,0.145375,31310.859
91,1,1,4,2,28800,0,0.145754,37530.207
92,1,1,4,2,14400,0,0.142178,53515.742
93,1,1,4,3,460800,0,0.143324,25954.418
94,1,1,4,3,230400,0,0.150491,26658.785
95,1,1,4,3,115200,0,0.150506,28193.074
96,1,1,4,3,57600,0,0.150296,31606.119
97,1,1,4,3,28800,0,0.143595,38440.191
98,1,1,4,4,460800,0,0.150506,26776.357
99,1,1,4,4,230400,0,0.148429,28979.637
100,1,1,4,4,115200,0,0.148971,29556.855
101,1,1,4,4,57600,0,0.148564,34228.348
102,1,1,4,5,460800,0,0.150491,26624.473
103,1,1,4,5,230400,0,0.150552,27725.18
104,1,1,4,5,115200,0,0.148594,28895.58
105,1,1,4,5,28800,0,0.150491,42984.535
106,1,1,5,1,460800,0,0.150326,23441.25
107,1,1,5,1,230400,0,0.147028,25452.742
108,1,1,5,1,115200,0,0.147706,22039.963
109,1,1,5,1,57600,0,0.146652,22110.186
110,1,1,5,1,28800,0,0.150235,25908.4
111,1,1,5,1,14400,0,0.149272,32598.033
112,1,1,5,1,7200,0,0.145432,39737.473
113,1,1,5,2,460800,0,0.142295,23695.279
114,1,1,5,2,230400,0,0.145667,24500.463
115,1,1,5,2,115200,0,0.143244,26513.018
116,1,1,5,2,57600,0,0.145375,31310.859
117,1,1,5,2,28800,0,0.145754,37530.207
118,1,1,5,2,14400,0,0.142178,53515.742
119,1,1,5,3,460800,0,0.143324,25954.418
120,1,1,5,3,230400,0,0.150491,26658.785
121,1,1,5,3,115200,0,0.150506,28193.074
122,1,1,5,3,57600,0,0.150296,31606.119
123,1,1,5,3,28800,0,0.143595,38440.191
124,1,1,5,4,460800,0,0.150506,26776.357
125,1,1,5,4,230400,0,0.148429,28979.637
126,1,1,5,4,115200,0,0.148971,29556.855
127,1,1,5,4,57600,0,0.148564,34228.348
128,1,1,5,4,28800,0,0.140479,44295.383
129,1,1,5,5,460800,0,0.150491,26624.473
130,1,1,5,5,230400,0,0.150552,27725.18
131,1,1,5,5,115200,0,0.148594,28895.58
132,1,1,5,5,28800,0,0.150491,42984.535
133,1,2,1,1,460800,0,0.119379,24138.969
134,1,2,1,1,230400,0,0.119811,25356.717
135,1,2,1,1,115200,0,0.1154,24996.818
136,1,2,1,1,57600,0,0.116958,27318.199
137,1,2,1,1,28800,0,0.115856,30769.816
138,1,2,1,1,14400,0,0.116803,31640.967
139,1,2,1,1,7200,0,0.119595,34427.848
140,1,2,1,2,460800,0,0.116012,28515.467
141,1,2,1,2,230400,0,0.119523,28759.121
142,1,2,1,2,115200,0,0.116695,29711.137
143,1,2,1,2,57600,0,0.119655,29962.771
144,1,2,1,2,28800,0,0.119811,34834.562
145,1,2,1,2,14400,0,0.119835,34075.664
146,1,2,1,3,460800,0,0.119583,31403.162
147,1,2,1,3,230400,0,0.118852,29515.094
148,1,2,1,3,115200,0,0.119415,30462.32
149,1,2,1,3,57600,0,0.116095,32662.406
150,1,2,1,3,28800,0,0.115664,37172.172
151,1,2,1,3,14400,0,0.115652,35678.047
152,1,2,1,4,460800,0,0.117026,32836.902
153,1,2,1,4,230400,0,0.119427,32686.879
154,1,2,1,4,115200,0,0.118065,32908.191
155,1,2,1,4,57600,0,0.116273,35600.641
156,1,2,1,4,28800,0,0.116345,42845.949
157,1,2,1,5,460800,0,0.11558,31722.629
158,1,2,1,5,230400,0,0.119475,30262.287
159,1,2,1,5,115200,0,0.118205,32428.326
160,1,2,1,5,57600,0,0.119715,34598.09
161,1,2,2,1,460800,0,0.116705,24839.346
162,1,2,2,1,230400,0,0.116635,24850.518
163,1,2,2,1,115200,0,0.113785,25664.744
164,1,2,2,1,57600,0,0.114042,27712.412
165,1,2,2,1,28800,0,0.116494,31805.354
166,1,2,2,1,14400,0,0.115864,42923.887
167,1,2,2,2,460800,0,0.112769,29288.994
168,1,2,2,2,230400,0,0.116459,28879.887
169,1,2,2,2,115200,0,0.115584,32793.809
170,1,2,2,2,57600,0,0.11486,40147.91
171,1,2,2,3,460800,0,0.115257,32007.248
172,1,2,2,3,230400,0,0.111847,34087.633
173,1,2,2,3,115200,0,0.115864,37737.688
174,1,2,2,4,460800,0,0.113855,31742.047
175,1,2,2,4,230400,0,0.110854,32517.969
176,1,2,2,4,115200,0,0.115187,37679.164
177,1,2,2,4,57600,0,0.112559,44533.453
178,1,2,2,5,460800,0,0.113248,34375.18
179,1,2,2,5,230400,0,0.116448,36640.703
180,1,2,2,5,115200,0,0.113809,39903.191
181,1,2,3,1,460800,0,0.116705,24839.346
182,1,2,3,1,230400,0,0.116635,24850.518
183,1,2,3,1,115200,0,0.113785,25664.744
184,1,2,3,1,57600,0,0.114042,27712.412
185,1,2,3,1,28800,0,0.116494,31805.354
186,1,2,3,1,14400,0,0.115864,42923.887
187,1,2,3,2,460800,0,0.112769,29288.994
188,1,2,3,2,230400,0,0.116459,28879.887
189,1,2,3,2,115200,0,0.115584,32793.809
190,1,2,3,2,57600,0,0.11486,40147.91
191,1,2,3,2,28800,0,0.114381,52658.156
192,1,2,3,3,460800,0,0.115257,32007.248
193,1,2,3,3,230400,0,0.111847,34087.633
194,1,2,3,3,115200,0,0.115864,37737.688
195,1,2,3,3,28800,0,0.113575,60198.992
196,1,2,3,4,460800,0,0.113855,31742.047
197,1,2,3,4,230400,0,0.110854,32517.969
198,1,2,3,4,115200,0,0.115187,37679.164
199,1,2,3,4,57600,0,0.112559,44533.453
200,1,2,3,5,460800,0,0.113248,34375.18
201,1,2,3,5,230400,0,0.116448,36640.703
202,1,2,4,1,460800,0,0.116705,24839.346
203,1,2,4,1,230400,0,0.116635,24850.518
204,1,2,4,1,115200,0,0.113785,25664.744
205,1,2,4,1,57600,0,0.114042,27712.412
206,1,2,4,1,28800,0,0.116494,31805.354
207,1,2,4,1,14400,0,0.115864,42923.887
208,1,2,4,2,460800,0,0.112769,29288.994
209,1,2,4,2,230400,0,0.116459,28879.887
210,1,2,4,2,115200,0,0.115584,32793.809
211,1,2,4,2,57600,0,0.11486,40147.91
212,1,2,4,3,460800,0,0.115257,32007.248
213,1,2,4,3,230400,0,0.111847,34087.633
214,1,2,4,3,115200,0,0.115864,37737.688
215,1,2,4,3,28800,0,0.113575,60198.992
216,1,2,4,4,460800,0,0.113855,31742.047
217,1,2,4,4,230400,0,0.110854,32517.969
218,1,2,4,4,115200,0,0.115187,37679.164
219,1,2,4,4,57600,0,0.112559,44533.453
220,1,2,4,5,460800,0,0.113248,34375.18
221,1,2,4,5,230400,0,0.116448,36640.703
222,1,2,5,1,460800,0,0.116705,24839.346
223,1,2,5,1,230400,0,0.116635,24850.518
224,1,2,5,1,115200,0,0.113785,25664.744
225,1,2,5,1,57600,0,0.114042,27712.412
226,1,2,5,1,28800,0,0.116494,31805.354
227,1,2,5,1,14400,0,0.115864,42923.887
228,1,2,5,2,460800,0,0.112769,29288.994
229,1,2,5,2,230400,0,0.116459,28879.887
230,1,2,5,2,115200,0,0.115584,32793.809
231,1,2,5,2,57600,0,0.11486,40147.91
232,1,2,5,2,28800,0,0.114381,52658.156
233,1,2,5,3,460800,0,0.115257,32007.248
234,1,2,5,3,230400,0,0.111847,34087.633
235,1,2,5,3,115200,0,0.115864,37737.688
236,1,2,5,3,28800,0,0.113575,60198.992
237,1,2,5,4,460800,0,0.113855,31742.047
238,1,2,5,4,230400,0,0.110854,32517.969
239,1,2,5,4,115200,0,0.115187,37679.164
240,1,2,5,4,57600,0,0.112559,44533.453
241,1,2,5,5,460800,0,0.113248,34375.18
242,1,2,5,5,230400,0,0.116448,36640.703
243,1,3,1,1,460800,0,0.130109,30167.061
244,1,3,1,1,230400,0,0.132919,28501.635
245,1,3,1,1,115200,0,0.128578,29939.631
246,1,3,1,1,57600,0,0.131468,31206.057
247,1,3,1,1,28800,0,0.131108,31678.738
248,1,3,1,1,14400,0,0.132986,35376.672
249,1,3,1,1,7200,0,0.133106,38442.055
250,1,3,1,2,460800,0,0.122333,33248.938
251,1,3,1,2,230400,0,0.122137,36118.277
252,1,3,1,2,115200,0,0.12215,36430.828
253,1,3,1,2,57600,0,0.117621,34139.504
254,1,3,1,2,28800,0,0.119983,39991.77
255,1,3,1,2,14400,0,0.121574,41549.996
256,1,3,1,3,460800,0,0.132083,35856.004
257,1,3,1,3,230400,0,0.130165,35367.891
258,1,3,1,3,115200,0,0.128234,36855.363
259,1,3,1,3,57600,0,0.12657,39537.973
260,1,3,1,3,28800,0,0.132855,41397.848
261,1,3,1,4,460800,0,0.132533,41380.555
262,1,3,1,4,230400,0,0.133039,38834.938
263,1,3,1,4,115200,0,0.127313,40570.852
264,1,3,1,4,57600,0,0.132826,41590.43
265,1,3,1,4,28800,0,0.1324,45969.59
266,1,3,1,5,460800,0,0.130882,36584.574
267,1,3,1,5,230400,0,0.127606,38001.559
268,1,3,1,5,115200,0,0.127273,39117.43
269,1,3,1,5,57600,0,0.131121,40231.703
270,1,3,1,5,28800,0,0.126994,43700.344
271,1,3,2,1,460800,0,0.135043,30277.184
272,1,3,2,1,230400,0,0.135624,32391.617
273,1,3,2,1,115200,0,0.134103,32936.652
274,1,3,2,1,57600,0,0.1329,35401.141
275,1,3,2,1,28800,0,0.133522,38667.09
276,1,3,2,1,14400,0,0.134573,47060.188
277,1,3,2,2,460800,0,0.122158,33718.426
278,1,3,2,2,230400,0,0.126647,36937.559
279,1,3,2,2,115200,0,0.126137,37550.422
280,1,3,2,2,57600,0,0.127157,43052.367
281,1,3,2,2,28800,0,0.121763,52108.336
282,1,3,2,3,460800,0,0.136235,37686.613
283,1,3,2,3,230400,0,0.137839,38937.613
284,1,3,2,3,115200,0,0.132252,36851.375
285,1,3,2,3,57600,0,0.135225,41782.48
286,1,3,2,3,28800,0,0.137632,50556.758
287,1,3,2,4,460800,0,0.134504,41666.238
288,1,3,2,4,230400,0,0.138237,39445.406
289,1,3,2,4,115200,0,0.133425,44884.309
290,1,3,2,4,57600,0,0.138251,47803.656
291,1,3,2,5,460800,0,0.13207,38000.492
292,1,3,2,5,230400,0,0.136094,40599.848
293,1,3,2,5,115200,0,0.136633,39352.305
294,1,3,3,1,460800,0,0.129801,28700.602
295,1,3,3,1,230400,0,0.126236,31535.363
296,1,3,3,1,115200,0,0.129892,31792.586
297,1,3,3,1,57600,0,0.129853,36368.316
298,1,3,3,1,28800,0,0.130048,40067.312
299,1,3,3,2,460800,0,0.117413,37228.031
300,1,3,3,2,230400,0,0.115552,38578.777
301,1,3,3,2,115200,0,0.114561,42742.211
302,1,3,3,3,460800,0,0.129218,41669.164
303,1,3,3,3,230400,0,0.125601,40326.664
304,1,3,3,4,460800,0,0.128929,40134.078
305,1,3,3,4,230400,0,0.129488,43441.523
306,1,3,4,1,460800,0,0.129801,28700.602
307,1,3,4,1,230400,0,0.126236,31535.363
308,1,3,4,1,115200,0,0.129892,31792.586
309,1,3,4,1,57600,0,0.129853,36368.316
310,1,3,4,1,28800,0,0.130048,40067.312
311,1,3,4,2,460800,0,0.117413,37228.031
312,1,3,4,2,230400,0,0.115552,38578.777
313,1,3,4,2,115200,0,0.114561,42742.211
314,1,3,4,2,28800,0,0.117079,80029.023
315,1,3,4,3,460800,0,0.129218,41669.164
316,1,3,4,3,230400,0,0.125601,40326.664
317,1,3,4,4,460800,0,0.128929,40134.078
318,1,3,4,4,230400,0,0.129488,43441.523
319,1,3,5,1,460800,0,0.129801,28700.602
320,1,3,5,1,230400,0,0.126236,31535.363
321,1,3,5,1,115200,0,0.129892,31792.586
322,1,3,5,1,57600,0,0.129853,36368.316
323,1,3,5,1,28800,0,0.130048,40067.312
324,1,3,5,1,14400,0,0.124896,54316.668
325,1,3,5,2,460800,0,0.117413,37228.031
326,1,3,5,2,230400,0,0.115552,38578.777
327,1,3,5,2,115200,0,0.114561,42742.211
328,1,3,5,3,460800,0,0.129218,41669.164
329,1,3,5,3,230400,0,0.125601,40326.664
330,1,3,5,4,460800,0,0.128929,40134.078
331,1,3,5,4,230400,0,0.129488,43441.523
332,1,3,5,5,460800,0,0.128799,45175.047
333,1,4,1,1,460800,0,0.114013,28887.865
334,1,4,1,1,230400,0,0.114299,30741.887
335,1,4,1,1,115200,0,0.111151,30914.254
336,1,4,1,1,57600,0,0.114059,32831.316
337,1,4,1,1,28800,0,0.112216,34528.395
338,1,4,1,1,14400,0,0.11383,35168.391
339,1,4,1,1,7200,0,0.114425,37700.18
340,1,4,1,2,460800,0,0.109527,35674.855
341,1,4,1,2,230400,0,0.10976,38424.496
342,1,4,1,2,115200,0,0.110926,38767.105
343,1,4,1,2,57600,0,0.110382,39685.871
344,1,4,1,2,28800,0,0.107684,42861.645
345,1,4,1,2,14400,0,0.111015,43411.465
346,1,4,1,3,460800,0,0.114334,37974.691
347,1,4,1,3,230400,0,0.110476,38997.461
348,1,4,1,3,115200,0,0.114253,39109.98
349,1,4,1,3,57600,0,0.113979,40731.516
350,1,4,1,3,14400,0,0.11375,45761.309
351,1,4,1,4,460800,0,0.109704,42085.988
352,1,4,1,4,230400,0,0.108307,41649.215
353,1,4,1,4,115200,0,0.108141,44923.41
354,1,4,1,4,57600,0,0.110114,44201.219
355,1,4,1,5,460800,0,0.11217,44089.766
356,1,4,1,5,230400,0,0.113544,41563.297
357,1,4,1,5,115200,0,0.11399,41906.172
358,1,4,1,5,57600,0,0.114242,45189.676
359,1,4,2,1,460800,0,0.11254,30652.775
360,1,4,2,1,230400,0,0.110394,31695.23
361,1,4,2,1,115200,0,0.112302,31593.885
362,1,4,2,1,57600,0,0.111614,34172.488
363,1,4,2,1,28800,0,0.111557,37975.488
364,1,4,2,1,14400,0,0.112573,37481.793
365,1,4,2,2,460800,0,0.109402,37214.199
366,1,4,2,2,230400,0,0.106359,35731.516
367,1,4,2,2,115200,0,0.108921,37945.699
368,1,4,2,2,57600,0,0.109216,40864.25
369,1,4,2,2,28800,0,0.107081,41600.008
370,1,4,2,3,460800,0,0.110247,38192.281
371,1,4,2,3,230400,0,0.107491,38105.562
372,1,4,2,3,115200,0,0.112811,39573.883
373,1,4,2,3,57600,0,0.11272,42062.312
374,1,4,2,4,460800,0,0.103604,41572.344
375,1,4,2,4,230400,0,0.106369,43142.273
376,1,4,2,4,115200,0,0.105484,42273.254
377,1,4,2,4,57600,0,0.104041,45742.426
378,1,4,2,5,460800,0,0.112935,40574.043
379,1,4,2,5,230400,0,0.112664,40295.012
380,1,4,2,5,115200,0,0.107785,43224.469
381,1,4,3,1,460800,0,0.121919,32024.537
382,1,4,3,1,230400,0,0.116752,32213.664
383,1,4,3,1,115200,0,0.121784,34387.684
384,1,4,3,1,57600,0,0.121284,38931.762
385,1,4,3,1,28800,0,0.121565,45205.902
386,1,4,3,2,460800,0,0.118659,39073.273
387,1,4,3,2,230400,0,0.113888,38672.941
388,1,4,3,2,115200,0,0.118576,41921.336
389,1,4,3,2,57600,0,0.116084,46077.051
390,1,4,3,2,28800,0,0.118695,56677.684
391,1,4,3,3,460800,0,0.121968,40253.781
392,1,4,3,3,230400,0,0.117424,42433.383
393,1,4,3,3,115200,0,0.116581,44722.848
394,1,4,3,3,57600,0,0.122102,49654.219
395,1,4,3,4,460800,0,0.115102,46518.613
396,1,4,3,4,230400,0,0.113277,46017.734
397,1,4,3,4,115200,0,0.118349,50251.656
398,1,4,3,5,460800,0,0.118645,43409.605
399,1,4,3,5,230400,0,0.117912,46440.941
400,1,4,4,1,460800,0,0.110853,30319.479
401,1,4,4,1,230400,0,0.107522,31811.473
402,1,4,4,1,115200,0,0.10916,30262.021
403,1,4,4,1,57600,0,0.111243,36278.676
404,1,4,4,1,28800,0,0.110764,37721.727
405,1,4,4,2,460800,0,0.105201,33924.043
406,1,4,4,2,230400,0,0.106119,35400.344
407,1,4,4,2,115200,0,0.103193,43288.574
408,1,4,4,2,57600,0,0.106097,56131.852
409,1,4,4,3,460800,0,0.107233,39065.559
410,1,4,4,3,230400,0,0.105862,43826.16
411,1,4,4,3,115200,0,0.111287,50908.145
412,1,4,4,4,460800,0,0.107436,38829.883
413,1,4,4,4,230400,0,0.106335,43499.246
414,1,4,4,5,460800,0,0.109182,42665.336
415,1,4,5,1,460800,0,0.110853,30319.479
416,1,4,5,1,230400,0,0.107522,31811.473
417,1,4,5,1,115200,0,0.10916,30262.021
418,1,4,5,1,57600,0,0.111243,36278.676
419,1,4,5,1,28800,0,0.110764,37721.727
420,1,4,5,2,460800,0,0.105201,33924.043
421,1,4,5,2,230400,0,0.106119,35400.344
422,1,4,5,2,115200,0,0.103193,43288.574
423,1,4,5,2,57600,0,0.106097,56131.852
424,1,4,5,3,460800,0,0.107233,39065.559
425,1,4,5,3,230400,0,0.105862,43826.16
426,1,4,5,3,115200,0,0.111287,50908.145
427,1,4,5,4,460800,0,0.107436,38829.883
428,1,4,5,4,230400,0,0.106335,43499.246
429,1,4,5,5,460800,0,0.109182,42665.336
430,1,5,1,2,460800,0,0.122429,41250.215
431,1,5,1,2,230400,0,0.12532,43859.676
432,1,5,1,2,115200,0,0.128237,42454.398
433,1,5,1,2,57600,0,0.126779,46642.301
434,1,5,1,2,28800,0,0.127204,49339.809
435,1,5,1,2,14400,0,0.128018,51670.234
436,1,5,1,3,460800,0,0.125204,45464.453
437,1,5,1,3,230400,0,0.129011,44659.008
438,1,5,1,3,115200,0,0.125036,46264.848
439,1,5,1,3,57600,0,0.125423,47463.445
440,1,5,1,3,28800,0,0.125591,50236.227
441,1,5,1,4,460800,0,0.123707,49892.555
442,1,5,1,4,230400,0,0.127914,50524.84
443,1,5,1,4,115200,0,0.127579,51070.672
444,1,5,1,5,115200,0,0.125772,49438.762
445,1,5,2,2,460800,0,0.127799,42933.73
446,1,5,2,2,230400,0,0.126365,45275.859
447,1,5,2,2,115200,0,0.130771,46421.258
448,1,5,2,2,57600,0,0.131521,48182.707
449,1,5,2,2,28800,0,0.130508,55054.816
450,1,5,2,3,460800,0,0.131481,48479.031
451,1,5,2,3,230400,0,0.125497,46672.094
452,1,5,2,3,115200,0,0.128982,47790.094
453,1,5,2,3,57600,0,0.125984,51083.438
454,1,5,2,4,230400,0,0.125944,51318.848
455,1,5,3,1,460800,0,0.130867,38172.062
456,1,5,3,1,230400,0,0.12533,34966.496
457,1,5,3,1,115200,0,0.130631,37529.406
458,1,5,3,1,57600,0,0.130815,39833.5
459,1,5,3,1,28800,0,0.130553,47688.215
460,1,5,3,2,460800,0,0.130723,47348.797
461,1,5,3,2,230400,0,0.125958,50428.016
462,1,5,3,2,115200,0,0.128209,52548.035
463,1,5,3,2,57600,0,0.129623,56111.637
464,1,5,3,3,460800,0,0.125369,51535.371
465,1,5,3,3,230400,0,0.130527,53102.91
466,1,5,3,3,115200,0,0.127607,56986.242
467,1,5,4,1,460800,0,0.13821,34666.449
468,1,5,4,1,230400,0,0.135776,37365.02
469,1,5,4,1,115200,0,0.131642,39881.379
470,1,5,4,1,57600,0,0.136523,45368.43
471,1,5,4,2,460800,0,0.134241,44560.32
472,1,5,4,2,230400,0,0.133273,45276.926
473,1,5,4,2,115200,0,0.137007,47746.734
474,1,5,4,2,57600,0,0.138113,53415.195
475,1,5,4,3,460800,0,0.138279,43062.207
476,1,5,4,3,230400,0,0.138224,47324.594
477,1,5,4,3,115200,0,0.136786,51136.637
478,1,5,4,4,460800,0,0.134905,50797.754
479,1,5,4,4,230400,0,0.137601,51255.008
480,1,5,5,1,115200,0,0.121619,41433.488
481,1,5,5,1,57600,0,0.121657,45278.52
482,1,5,5,1,28800,0,0.125991,48975.121
483,1,5,5,2,460800,0,0.125663,49324.379
484,1,5,5,2,230400,0,0.125336,49252.559
485,1,5,5,3,460800,0,0.124655,50461.266
486,2,1,1,1,460800,0,0.150326,23441.25
487,2,1,1,1,230400,0,0.147028,25452.742
488,2,1,1,1,115200,0,0.147706,22039.963
489,2,1,1,1,57600,0,0.146652,22110.186
490,2,1,1,1,28800,0,0.150235,25908.4
491,2,1,1,1,14400,0,0.149272,32598.033
492,2,1,1,1,7200,0,0.145432,39737.473
493,2,1,1,2,460800,0,0.142295,23695.279
494,2,1,1,2,230400,0,0.145667,24500.463
495,2,1,1,2,115200,0,0.143244,26513.018
496,2,1,1,2,57600,0,0.145375,31310.859
497,2,1,1,2,28800,0,0.145754,37530.207
498,2,1,1,2,14400,0,0.142178,53515.742
499,2,1,1,3,460800,0,0.143324,25954.418
500,2,1,1,3,230400,0,0.150491,26658.785
501,2,1,1,3,115200,0,0.150506,28193.074
502,2,1,1,3,57600,0,0.150296,31606.119
503,2,1,1,3,28800,0,0.143595,38440.191
504,2,1,1,4,460800,0,0.150506,26776.357
505,2,1,1,4,230400,0,0.148429,28979.637
506,2,1,1,4,115200,0,0.148971,29556.855
507,2,1,1,4,57600,0,0.148564,34228.348
508,2,1,1,4,28800,0,0.140479,44295.383
509,2,1,1,5,460800,0,0.150491,26624.473
510,2,1,1,5,230400,0,0.150552,27725.18
511,2,1,1,5,115200,0,0.148594,28895.58
512,2,1,1,5,28800,0,0.150491,42984.535
513,2,1,2,1,460800,0,0.150326,23441.25
514,2,1,2,1,230400,0,0.147028,25452.742
515,2,1,2,1,115200,0,0.147706,22039.963
516,2,1,2,1,57600,0,0.146652,22110.186
517,2,1,2,1,28800,0,0.150235,25908.4
518,2,1,2,1,14400,0,0.149272,32598.033
519,2,1,2,1,7200,0,0.145432,39737.473
520,2,1,2,2,460800,0,0.142295,23695.279
521,2,1,2,2,230400,0,0.145667,24500.463
522,2,1,2,2,115200,0,0.143244,26513.018
523,2,1,2,2,57600,0,0.145375,31310.859
524,2,1,2,2,28800,0,0.145754,37530.207
525,2,1,2,2,14400,0,0.142178,53515.742
526,2,1,2,3,460800,0,0.143324,25954.418
527,2,1,2,3,230400,0,0.150491,26658.785
528,2,1,2,3,115200,0,0.150506,28193.074
529,2,1,2,3,57600,0,0.150296,31606.119
530,2,1,2,3,28800,0,0.143595,38440.191
531,2,1,2,4,460800,0,0.150506,26776.357
532,2,1,2,4,230400,0,0.148429,28979.637
533,2,1,2,4,115200,0,0.148971,29556.855
534,2,1,2,4,57600,0,0.148564,34228.348
535,2,1,2,5,460800,0,0.150491,26624.473
536,2,1,2,5,230400,0,0.150552,27725.18
537,2,1,2,5,115200,0,0.148594,28895.58
538,2,1,2,5,57600,0,0.146908,34093.484
539,2,1,2,5,28800,0,0.150491,42984.535
540,2,1,3,1,460800,0,0.150326,23441.25
541,2,1,3,1,230400,0,0.147028,25452.742
542,2,1,3,1,115200,0,0.147706,22039.963
543,2,1,3,1,57600,0,0.146652,22110.186
544,2,1,3,1,28800,0,0.150235,25908.4
545,2,1,3,1,14400,0,0.149272,32598.033
546,2,1,3,1,7200,0,0.145432,39737.473
547,2,1,3,2,460800,0,0.142295,23695.279
548,2,1,3,2,230400,0,0.145667,24500.463
549,2,1,3,2,115200,0,0.143244,26513.018
550,2,1,3,2,57600,0,0.145375,31310.859
551,2,1,3,2,28800,0,0.145754,37530.207
552,2,1,3,2,14400,0,0.142178,53515.742
