n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2,FF
88,1,1,3,3,28800,0,0.300905,16690.969,838
89,1,1,3,3,14400,0,0.272838,21223.607,875
91,1,1,3,4,460800,0,0.231109,14093.478,796
92,1,1,3,4,230400,0,0.237748,13969.522,800
93,1,1,3,4,115200,0,0.236324,15431.99,840
94,1,1,3,4,57600,0,0.233759,17818.543,878
95,1,1,3,4,28800,0,0.234492,27343.203,1706
98,1,1,3,5,460800,0,0.26195,13624.254,817
99,1,1,3,5,230400,0,0.237444,14222.754,815
100,1,1,3,5,115200,0,0.24936,15870.624,864
101,1,1,3,5,57600,0,0.257092,16932.496,879
102,1,1,3,5,28800,0,0.303183,18927.496,909
105,1,1,4,1,460800,0,0.240178,10241.798,574
106,1,1,4,1,230400,0,0.240518,10495.296,579
107,1,1,4,1,115200,0,0.230153,11525.514,615
108,1,1,4,1,57600,0,0.235372,12523.28,620
109,1,1,4,1,28800,0,0.240202,15345.008,716
110,1,1,4,1,14400,0,0.242013,18935.477,833
111,1,1,4,1,7200,0,0.248,25508.602,1000
112,1,1,4,2,460800,0,0.23574,11457.95,664
113,1,1,4,2,230400,0,0.240809,12588.45,685
114,1,1,4,2,115200,0,0.229348,12600.952,696
115,1,1,4,2,57600,0,0.238163,14200.942,743
116,1,1,4,2,28800,0,0.267602,15993.782,769
117,1,1,4,2,14400,0,0.24332,25569.516,942
119,1,1,4,3,460800,0,0.263729,13007.666,753
120,1,1,4,3,230400,0,0.242638,13342.028,750
121,1,1,4,3,115200,0,0.242864,14320.11,800
122,1,1,4,3,57600,0,0.259606,15315.216,821
123,1,1,4,3,28800,0,0.300905,16690.969,838
126,1,1,4,4,460800,0,0.231109,14093.478,796
127,1,1,4,4,230400,0,0.237748,13969.522,800
128,1,1,4,4,115200,0,0.236324,15431.99,840
129,1,1,4,4,57600,0,0.233759,17818.543,878
130,1,1,4,4,28800,0,0.234492,27343.203,1706
133,1,1,4,5,460800,0,0.26195,13624.254,817
134,1,1,4,5,230400,0,0.237444,14222.754,815
135,1,1,4,5,115200,0,0.24936,15870.624,864
136,1,1,4,5,57600,0,0.257092,16932.496,879
137,1,1,4,5,28800,0,0.303183,18927.496,909
140,1,1,5,1,460800,0,0.240178,10241.798,574
141,1,1,5,1,230400,0,0.240518,10495.296,579
142,1,1,5,1,115200,0,0.230153,11525.514,615
143,1,1,5,1,57600,0,0.235372,12523.28,620
144,1,1,5,1,28800,0,0.240202,15345.008,716
145,1,1,5,1,14400,0,0.242013,18935.477,833
146,1,1,5,1,7200,0,0.248,25508.602,1000
147,1,1,5,2,460800,0,0.23574,11457.95,664
148,1,1,5,2,230400,0,0.240809,12588.45,685
149,1,1,5,2,115200,0,0.229348,12600.952,696
150,1,1,5,2,57600,0,0.238163,14200.942,743
151,1,1,5,2,28800,0,0.267602,15993.782,769
152,1,1,5,2,14400,0,0.24332,25569.516,942
154,1,1,5,3,460800,0,0.263729,13007.666,753
155,1,1,5,3,230400,0,0.242638,13342.028,750
156,1,1,5,3,115200,0,0.242864,14320.11,800
157,1,1,5,3,57600,0,0.259606,15315.216,821
158,1,1,5,3,28800,0,0.300905,16690.969,838
161,1,1,5,4,460800,0,0.231109,14093.478,796
162,1,1,5,4,230400,0,0.237748,13969.522,800
163,1,1,5,4,115200,0,0.236324,15431.99,840
164,1,1,5,4,57600,0,0.233759,17818.543,878
165,1,1,5,4,28800,0,0.234492,27343.203,1706
168,1,1,5,5,460800,0,0.26195,13624.254,817
169,1,1,5,5,230400,0,0.237444,14222.754,815
170,1,1,5,5,115200,0,0.24936,15870.624,864
172,1,1,5,5,28800,0,0.303183,18927.496,909
175,1,2,1,1,460800,0,0.20236,13536.74,870
176,1,2,1,1,230400,0,0.200707,14460.026,873
177,1,2,1,1,115200,0,0.205244,14167.426,901
178,1,2,1,1,57600,0,0.207894,15434.384,949
179,1,2,1,1,28800,0,0.20429,15734.432,973
180,1,2,1,1,14400,0,0.20253,18863.123,1198
181,1,2,1,1,7200,0,0.210734,20659.156,1255
182,1,2,1,2,460800,0,0.203675,16982.504,1073
183,1,2,1,2,230400,0,0.200982,17283.615,1073
184,1,2,1,2,115200,0,0.20713,18113.27,1095
185,1,2,1,2,57600,0,0.200919,19736.934,1183
186,1,2,1,2,28800,0,0.211984,20522.697,1202
187,1,2,1,2,14400,0,0.20306,22111.516,1358
189,1,2,1,3,460800,0,0.209971,18106.887,1168
190,1,2,1,3,230400,0,0.202975,17812.955,1171
191,1,2,1,3,115200,0,0.205625,18490.99,1210
192,1,2,1,3,57600,0,0.204184,20951.756,1273
193,1,2,1,3,28800,0,0.208169,22081.725,1347
194,1,2,1,3,14400,0,0.202572,23289.098,1503
196,1,2,1,4,460800,0,0.210057,20395.018,1247
197,1,2,1,4,230400,0,0.202502,20606.488,1244
198,1,2,1,4,115200,0,0.205697,21451.037,1244
199,1,2,1,4,57600,0,0.21048,22443.484,1287
200,1,2,1,4,28800,0,0.209184,26982.508,1432
201,1,2,1,4,14400,0,0.208914,29285.27,1580
203,1,2,1,5,460800,0,0.20342,19360.277,1296
204,1,2,1,5,230400,0,0.205074,20517.91,1299
205,1,2,1,5,115200,0,0.201279,20284.361,1338
206,1,2,1,5,57600,0,0.211519,21621.811,1411
207,1,2,1,5,28800,0,0.207915,23177.645,1491
210,1,2,2,1,460800,0,0.19504,12989.312,777
211,1,2,2,1,230400,0,0.207744,13507.48,775
212,1,2,2,1,115200,0,0.206783,14956.116,816
213,1,2,2,1,57600,0,0.202127,17191.58,881
214,1,2,2,1,28800,0,0.206155,21827.693,1001
215,1,2,2,1,14400,0,0.204459,29024.59,1237
217,1,2,2,2,460800,0,0.208508,16211.37,998
218,1,2,2,2,230400,0,0.195937,16597.867,1014
219,1,2,2,2,115200,0,0.209943,17343.998,1018
220,1,2,2,2,57600,0,0.20546,22081.191,1348
221,1,2,2,2,28800,0,0.217836,22982.4,1143
222,1,2,2,2,14400,0,0.20663,29756.889,1215
224,1,2,2,3,460800,0,0.225629,17968.832,1096
225,1,2,2,3,230400,0,0.206051,18922.975,1136
226,1,2,2,3,115200,0,0.199002,23288.566,1353
231,1,2,2,4,460800,0,0.207692,19372.248,1201
232,1,2,2,4,230400,0,0.204834,21198.072,1240
233,1,2,2,4,115200,0,0.212903,21635.109,1239
234,1,2,2,4,57600,0,0.204258,24456.307,1308
238,1,2,2,5,460800,0,0.215328,19762.736,1225
239,1,2,2,5,230400,0,0.203649,20234.619,1269
240,1,2,2,5,115200,0,0.205135,24567.494,1467
245,1,2,3,1,460800,0,0.19504,12989.312,777
246,1,2,3,1,230400,0,0.207744,13507.48,775
247,1,2,3,1,115200,0,0.206783,14956.116,816
248,1,2,3,1,57600,0,0.202127,17191.58,881
249,1,2,3,1,28800,0,0.206155,21827.693,1001
250,1,2,3,1,14400,0,0.204459,29024.59,1237
252,1,2,3,2,460800,0,0.208508,16211.37,998
253,1,2,3,2,230400,0,0.195937,16597.867,1014
254,1,2,3,2,115200,0,0.209943,17343.998,1018
255,1,2,3,2,57600,0,0.20546,22081.191,1348
256,1,2,3,2,28800,0,0.217836,22982.4,1143
257,1,2,3,2,14400,0,0.20663,29756.889,1215
259,1,2,3,3,460800,0,0.225629,17968.832,1096
260,1,2,3,3,230400,0,0.206051,18922.975,1136
261,1,2,3,3,115200,0,0.199002,23288.566,1353
263,1,2,3,3,28800,0,0.236014,28529.83,1367
266,1,2,3,4,460800,0,0.207692,19372.248,1201
267,1,2,3,4,230400,0,0.204834,21198.072,1240
268,1,2,3,4,115200,0,0.212903,21635.109,1239
269,1,2,3,4,57600,0,0.204258,24456.307,1308
273,1,2,3,5,460800,0,0.215328,19762.736,1225
274,1,2,3,5,230400,0,0.203649,20234.619,1269
275,1,2,3,5,115200,0,0.205135,24567.494,1467
280,1,2,4,1,460800,0,0.19504,12989.312,777
281,1,2,4,1,230400,0,0.207744,13507.48,775
282,1,2,4,1,115200,0,0.206783,14956.116,816
283,1,2,4,1,57600,0,0.202127,17191.58,881
284,1,2,4,1,28800,0,0.206155,21827.693,1001
285,1,2,4,1,14400,0,0.204459,29024.59,1237
287,1,2,4,2,460800,0,0.208508,16211.37,998
288,1,2,4,2,230400,0,0.195937,16597.867,1014
289,1,2,4,2,115200,0,0.209943,17343.998,1018
290,1,2,4,2,57600,0,0.20546,22081.191,1348
291,1,2,4,2,28800,0,0.217836,22982.4,1143
294,1,2,4,3,460800,0,0.225629,17968.832,1096
295,1,2,4,3,230400,0,0.206051,18922.975,1136
296,1,2,4,3,115200,0,0.199002,23288.566,1353
298,1,2,4,3,28800,0,0.236014,28529.83,1367
301,1,2,4,4,460800,0,0.207692,19372.248,1201
302,1,2,4,4,230400,0,0.204834,21198.072,1240
303,1,2,4,4,115200,0,0.212903,21635.109,1239
304,1,2,4,4,57600,0,0.204258,24456.307,1308
308,1,2,4,5,460800,0,0.215328,19762.736,1225
309,1,2,4,5,230400,0,0.203649,20234.619,1269
315,1,2,5,1,460800,0,0.19504,12989.312,777
316,1,2,5,1,230400,0,0.207744,13507.48,775
317,1,2,5,1,115200,0,0.206783,14956.116,816
318,1,2,5,1,57600,0,0.202127,17191.58,881
319,1,2,5,1,28800,0,0.206155,21827.693,1001
320,1,2,5,1,14400,0,0.204459,29024.59,1237
322,1,2,5,2,460800,0,0.208508,16211.37,998
323,1,2,5,2,230400,0,0.195937,16597.867,1014
324,1,2,5,2,115200,0,0.209943,17343.998,1018
325,1,2,5,2,57600,0,0.20546,22081.191,1348
326,1,2,5,2,28800,0,0.217836,22982.4,1143
327,1,2,5,2,14400,0,0.20663,29756.889,1215
329,1,2,5,3,460800,0,0.225629,17968.832,1096
330,1,2,5,3,230400,0,0.206051,18922.975,1136
331,1,2,5,3,115200,0,0.199002,23288.566,1353
332,1,2,5,3,57600,0,0.234765,24342.725,1270
333,1,2,5,3,28800,0,0.236014,28529.83,1367
336,1,2,5,4,460800,0,0.207692,19372.248,1201
337,1,2,5,4,230400,0,0.204834,21198.072,1240
338,1,2,5,4,115200,0,0.212903,21635.109,1239
339,1,2,5,4,57600,0,0.204258,24456.307,1308
343,1,2,5,5,460800,0,0.215328,19762.736,1225
344,1,2,5,5,230400,0,0.203649,20234.619,1269
350,1,3,1,1,460800,0,0.222074,19068.742,1244
351,1,3,1,1,230400,0,0.222052,19126.465,1256
352,1,3,1,1,115200,0,0.211687,19047.994,1288
353,1,3,1,1,57600,0,0.214886,20290.48,1343
354,1,3,1,1,28800,0,0.237357,19862.486,1315
355,1,3,1,1,14400,0,0.221846,23061.668,1501
356,1,3,1,1,7200,0,0.259613,21460.613,1341
357,1,3,1,2,460800,0,0.213322,24426.779,1566
358,1,3,1,2,230400,0,0.209267,24236.059,1578
359,1,3,1,2,115200,0,0.210597,25284.631,1608
360,1,3,1,2,57600,0,0.213194,27159.133,1687
361,1,3,1,2,28800,0,0.214116,27432.314,1741
362,1,3,1,2,14400,0,0.209396,30452.744,1910
364,1,3,1,3,460800,0,0.223385,24937.234,1561
365,1,3,1,3,230400,0,0.224084,25487.588,1573
366,1,3,1,3,115200,0,0.224872,25672.457,1605
367,1,3,1,3,57600,0,0.216626,26664.639,1644
368,1,3,1,3,28800,0,0.21675,29982.723,1770
369,1,3,1,3,14400,0,0.222239,30108.273,1801
371,1,3,1,4,460800,0,0.215788,29027.25,1819
372,1,3,1,4,230400,0,0.210921,28848.764,1831
373,1,3,1,4,115200,0,0.216329,30250.584,1864
374,1,3,1,4,57600,0,0.221871,32015.76,1968
375,1,3,1,4,28800,0,0.215653,33765.508,2057
378,1,3,1,5,460800,0,0.221376,28545.258,1882
379,1,3,1,5,230400,0,0.218965,28971.391,1894
380,1,3,1,5,115200,0,0.22284,27957.133,1926
381,1,3,1,5,57600,0,0.213985,29977.137,1981
382,1,3,1,5,28800,0,0.216557,34438.754,2104
385,1,3,2,1,460800,0,0.235269,17405.178,1076
386,1,3,2,1,230400,0,0.234095,18087.734,1092
387,1,3,2,1,115200,0,0.219101,20009.85,1179
388,1,3,2,1,57600,0,0.22818,22612.66,1272
389,1,3,2,1,28800,0,0.253743,24140.83,1295
390,1,3,2,1,14400,0,0.243742,27845.678,1230
392,1,3,2,2,460800,0,0.210284,23659.369,1458
393,1,3,2,2,230400,0,0.206725,24695.973,1474
394,1,3,2,2,115200,0,0.209054,25911.857,1525
395,1,3,2,2,57600,0,0.210987,29402.576,1627
396,1,3,2,2,28800,0,0.215205,32683.42,1734
399,1,3,2,3,460800,0,0.228024,23750.342,1498
400,1,3,2,3,230400,0,0.220488,24389.807,1517
401,1,3,2,3,115200,0,0.218898,25716.613,1574
402,1,3,2,3,57600,0,0.225189,29691.984,1705
403,1,3,2,3,28800,0,0.220834,35960.539,1880
406,1,3,2,4,460800,0,0.220461,28355.334,1704
407,1,3,2,4,230400,0,0.223433,30162.805,1729
408,1,3,2,4,115200,0,0.221106,30635.486,1777
409,1,3,2,4,57600,0,0.221722,33596.066,1823
413,1,3,2,5,460800,0,0.223848,25568.719,1771
414,1,3,2,5,230400,0,0.226452,26599.201,1790
415,1,3,2,5,115200,0,0.225623,28220.205,1857
416,1,3,2,5,57600,0,0.222558,31230.795,1984
420,1,3,3,1,460800,0,0.212579,18748.213,1108
421,1,3,3,1,230400,0,0.218135,19325.697,1130
422,1,3,3,1,115200,0,0.218157,21147,1198
423,1,3,3,1,57600,0,0.221769,23536.479,1288
424,1,3,3,1,28800,0,0.226117,29347.514,1538
425,1,3,3,1,14400,0,0.212623,45599.848,1998
427,1,3,3,2,460800,0,0.216302,23315.697,1347
428,1,3,3,2,230400,0,0.213335,24872.596,1457
429,1,3,3,2,115200,0,0.20129,27255.689,1436
430,1,3,3,2,57600,0,0.222658,28189.615,1436
431,1,3,3,2,28800,0,0.238002,32137.854,1692
434,1,3,3,3,460800,0,0.247295,24499.398,1460
435,1,3,3,3,230400,0,0.222714,27568.24,1626
437,1,3,3,3,57600,0,0.238779,28674.268,1659
441,1,3,3,4,460800,0,0.223191,26942.607,1620
442,1,3,3,4,230400,0,0.204978,27983.998,1640
443,1,3,3,4,115200,0,0.218335,31579.254,1693
448,1,3,3,5,460800,0,0.238945,28089.865,1699
455,1,3,4,1,460800,0,0.212579,18748.213,1108
456,1,3,4,1,230400,0,0.218135,19325.697,1130
457,1,3,4,1,115200,0,0.218157,21147,1198
458,1,3,4,1,57600,0,0.221769,23536.479,1288
459,1,3,4,1,28800,0,0.226117,29347.514,1538
460,1,3,4,1,14400,0,0.212623,45599.848,1998
462,1,3,4,2,460800,0,0.216302,23315.697,1347
463,1,3,4,2,230400,0,0.213335,24872.596,1457
464,1,3,4,2,115200,0,0.20129,27255.689,1436
465,1,3,4,2,57600,0,0.222658,28189.615,1436
466,1,3,4,2,28800,0,0.238002,32137.854,1692
469,1,3,4,3,460800,0,0.247295,24499.398,1460
470,1,3,4,3,230400,0,0.222714,27568.24,1626
472,1,3,4,3,57600,0,0.238779,28674.268,1659
476,1,3,4,4,460800,0,0.223191,26942.607,1620
477,1,3,4,4,230400,0,0.204978,27983.998,1640
478,1,3,4,4,115200,0,0.218335,31579.254,1693
483,1,3,4,5,460800,0,0.238945,28089.865,1699
490,1,3,5,1,460800,0,0.212579,18748.213,1108
491,1,3,5,1,230400,0,0.218135,19325.697,1130
492,1,3,5,1,115200,0,0.218157,21147,1198
493,1,3,5,1,57600,0,0.221769,23536.479,1288
494,1,3,5,1,28800,0,0.226117,29347.514,1538
495,1,3,5,1,14400,0,0.212623,45599.848,1998
497,1,3,5,2,460800,0,0.216302,23315.697,1347
498,1,3,5,2,230400,0,0.213335,24872.596,1457
499,1,3,5,2,115200,0,0.20129,27255.689,1436
500,1,3,5,2,57600,0,0.222658,28189.615,1436
501,1,3,5,2,28800,0,0.238002,32137.854,1692
504,1,3,5,3,460800,0,0.247295,24499.398,1460
505,1,3,5,3,230400,0,0.222714,27568.24,1626
507,1,3,5,3,57600,0,0.238779,28674.268,1659
511,1,3,5,4,460800,0,0.223191,26942.607,1620
512,1,3,5,4,230400,0,0.204978,27983.998,1640
513,1,3,5,4,115200,0,0.218335,31579.254,1693
518,1,3,5,5,460800,0,0.238945,28089.865,1699
525,1,4,1,1,460800,0,0.210343,20539.189,1445
526,1,4,1,1,230400,0,0.211897,21033.949,1453
527,1,4,1,1,115200,0,0.20581,20494.236,1487
528,1,4,1,1,57600,0,0.214789,21646.549,1537
529,1,4,1,1,28800,0,0.218065,22732.627,1543
530,1,4,1,1,14400,0,0.215113,24241.111,1732
531,1,4,1,1,7200,0,0.204623,28245.742,2000
532,1,4,1,2,460800,0,0.207442,26023.578,1887
533,1,4,1,2,230400,0,0.208164,25758.377,1894
534,1,4,1,2,115200,0,0.21203,26450.242,1920
535,1,4,1,2,57600,0,0.209099,29202.545,1991
536,1,4,1,2,28800,0,0.202663,31135.033,2031
537,1,4,1,2,14400,0,0.21084,33708.316,2227
539,1,4,1,3,460800,0,0.21289,27687.143,2018
540,1,4,1,3,230400,0,0.214271,28500.836,2027
541,1,4,1,3,115200,0,0.209328,28592.34,2064
542,1,4,1,3,57600,0,0.214638,31846.584,2135
543,1,4,1,3,28800,0,0.211098,31878.504,2222
544,1,4,1,3,14400,0,0.213257,35300.859,2439
546,1,4,1,4,460800,0,0.200761,33624.527,2216
547,1,4,1,4,230400,0,0.207488,31668.363,2221
548,1,4,1,4,115200,0,0.207912,33316.5,2245
549,1,4,1,4,57600,0,0.208804,36241.172,2319
550,1,4,1,4,28800,0,0.201928,38053.695,2360
553,1,4,1,5,460800,0,0.206479,30727.521,2291
554,1,4,1,5,230400,0,0.215458,30881.803,2300
555,1,4,1,5,115200,0,0.209544,32451.201,2336
556,1,4,1,5,57600,0,0.200716,35654.906,2425
560,1,4,2,1,460800,0,0.201924,19806.893,1340
561,1,4,2,1,230400,0,0.20756,19781.889,1338
562,1,4,2,1,115200,0,0.214204,20301.652,1380
563,1,4,2,1,57600,0,0.208139,21785.932,1480
564,1,4,2,1,28800,0,0.20501,23496.047,1563
565,1,4,2,1,14400,0,0.202674,27207.012,1823
567,1,4,2,2,460800,0,0.202547,26309.527,1813
568,1,4,2,2,230400,0,0.206532,26134.5,1813
569,1,4,2,2,115200,0,0.202568,26684.057,1844
570,1,4,2,2,57600,0,0.207102,28911.539,1882
571,1,4,2,2,28800,0,0.200017,30122.105,1950
574,1,4,2,3,460800,0,0.203938,27279.896,1945
575,1,4,2,3,230400,0,0.206789,27176.688,1948
576,1,4,2,3,115200,0,0.208117,27478.066,1958
577,1,4,2,3,57600,0,0.211975,29507.912,2065
578,1,4,2,3,28800,0,0.213904,30808.387,2151
581,1,4,2,4,460800,0,0.207292,31475.514,2123
582,1,4,2,4,230400,0,0.210494,31550.525,2111
583,1,4,2,4,115200,0,0.208704,32748.059,2137
584,1,4,2,4,57600,0,0.206492,35839.512,2197
588,1,4,2,5,460800,0,0.212575,29377.838,2202
589,1,4,2,5,230400,0,0.209403,29809.023,2205
590,1,4,2,5,115200,0,0.206981,29889.355,2234
595,1,4,3,1,460800,0,0.211501,21482.426,1495
596,1,4,3,1,230400,0,0.214608,21826.098,1515
597,1,4,3,1,115200,0,0.214183,23783.061,1590
598,1,4,3,1,57600,0,0.223057,27023.205,1668
599,1,4,3,1,28800,0,0.221962,32143.705,1865
600,1,4,3,1,14400,0,0.209288,41949.266,2210
602,1,4,3,2,460800,0,0.212434,28116.467,1959
603,1,4,3,2,230400,0,0.210542,29751.035,1966
604,1,4,3,2,115200,0,0.212038,31211.908,2024
605,1,4,3,2,57600,0,0.209023,34936.176,2087
606,1,4,3,2,28800,0,0.207659,42987.992,2260
609,1,4,3,3,460800,0,0.216486,30227.441,2167
610,1,4,3,3,230400,0,0.215659,31655.33,2189
611,1,4,3,3,115200,0,0.219168,35313.895,2271
612,1,4,3,3,57600,0,0.214206,38978.309,2367
616,1,4,3,4,460800,0,0.209127,34378.371,2293
617,1,4,3,4,230400,0,0.21005,35184.086,2301
618,1,4,3,4,115200,0,0.208445,39112.375,2359
619,1,4,3,4,57600,0,0.216339,45742.691,2479
623,1,4,3,5,460800,0,0.216977,34669.641,2437
624,1,4,3,5,230400,0,0.22346,35981.023,2463
625,1,4,3,5,115200,0,0.214809,38819.773,2547
630,1,4,4,1,460800,0,0.201413,19251.484,1321
631,1,4,4,1,230400,0,0.20303,19595.688,1315
632,1,4,4,1,115200,0,0.206541,20426.672,1356
633,1,4,4,1,57600,0,0.209073,23864.189,1372
634,1,4,4,1,28800,0,0.208033,23345.756,1520
635,1,4,4,1,14400,0,0.209058,29169.295,1772
637,1,4,4,2,460800,0,0.208938,23794.498,1621
638,1,4,4,2,230400,0,0.198316,24382.891,1616
639,1,4,4,2,115200,0,0.199847,25836.314,1656
640,1,4,4,2,57600,0,0.205228,41776.629,3347
644,1,4,4,3,460800,0,0.211271,26456.627,1781
645,1,4,4,3,230400,0,0.206214,26688.578,1806
646,1,4,4,3,115200,0,0.20975,29994.16,1858
651,1,4,4,4,460800,0,0.199547,27445.348,1933
652,1,4,4,4,230400,0,0.200261,32452.799,2120
653,1,4,4,4,115200,0,0.205551,30726.99,1996
658,1,4,4,5,460800,0,0.214462,29114.764,2092
665,1,4,5,1,460800,0,0.201413,19251.484,1321
666,1,4,5,1,230400,0,0.20303,19595.688,1315
667,1,4,5,1,115200,0,0.206541,20426.672,1356
668,1,4,5,1,57600,0,0.209073,23864.189,1372
669,1,4,5,1,28800,0,0.208033,23345.756,1520
672,1,4,5,2,460800,0,0.208938,23794.498,1621
673,1,4,5,2,230400,0,0.198316,24382.891,1616
674,1,4,5,2,115200,0,0.199847,25836.314,1656
675,1,4,5,2,57600,0,0.205228,41776.629,3347
679,1,4,5,3,460800,0,0.211271,26456.627,1781
680,1,4,5,3,230400,0,0.206214,26688.578,1806
681,1,4,5,3,115200,0,0.20975,29994.16,1858
686,1,4,5,4,460800,0,0.199547,27445.348,1933
687,1,4,5,4,230400,0,0.200261,32452.799,2120
688,1,4,5,4,115200,0,0.205551,30726.99,1996
693,1,4,5,5,460800,0,0.214462,29114.764,2092
707,1,5,1,2,460800,0,0.212418,32284.686,2226
708,1,5,1,2,230400,0,0.21994,32136.258,2234
709,1,5,1,2,115200,0,0.214431,32826.262,2272
710,1,5,1,2,57600,0,0.211533,33682.25,2360
711,1,5,1,2,28800,0,0.217705,37181.215,2474
712,1,5,1,2,14400,0,0.211799,38191.215,2601
714,1,5,1,3,460800,0,0.214564,34830.57,2412
715,1,5,1,3,230400,0,0.212993,34384.223,2420
716,1,5,1,3,115200,0,0.214166,34828.711,2476
717,1,5,1,3,57600,0,0.219542,34658.469,2523
718,1,5,1,3,28800,0,0.21827,37967.512,2644
721,1,5,1,4,460800,0,0.219807,40351.137,2646
722,1,5,1,4,230400,0,0.219387,40430.402,2654
723,1,5,1,4,115200,0,0.208945,41327.09,2692
724,1,5,1,4,57600,0,0.241234,39668.047,2647
730,1,5,1,5,115200,0,0.209941,36550.793,2797
738,1,5,2,1,57600,0,0.211825,27904.197,1929
742,1,5,2,2,460800,0,0.21404,33116.469,2165
743,1,5,2,2,230400,0,0.219833,33356.398,2195
744,1,5,2,2,115200,0,0.2165,34671.504,2324
745,1,5,2,2,57600,0,0.222763,36912.82,2407
746,1,5,2,2,28800,0,0.217261,39181.535,2620
749,1,5,2,3,460800,0,0.221578,36217.496,2408
750,1,5,2,3,230400,0,0.21366,35245.531,2417
751,1,5,2,3,115200,0,0.220795,35970.648,2445
752,1,5,2,3,57600,0,0.24472,37789.023,2582
756,1,5,2,4,460800,0,0.220191,42908.461,2613
757,1,5,2,4,230400,0,0.215673,43810.465,2695
758,1,5,2,4,115200,0,0.219252,43697.949,2744
