n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2
201,1,2,1,8,4,4,1048576,0,2.046914,695
202,1,2,2,1,1,1,4194304,0,1.70683,103
203,1,2,2,1,1,2,2097152,0,1.716442,134
204,1,2,2,1,1,4,1048576,0,1.765436,240
205,1,2,2,1,2,1,4194304,0,1.964186,120
206,1,2,2,1,2,2,2097152,0,2.240297,202
207,1,2,2,1,2,4,1048576,0,2.161074,280
208,1,2,2,1,4,1,4194304,0,1.8403,235
209,1,2,2,1,4,2,2097152,0,1.991236,258
210,1,2,2,1,4,4,1048576,0,1.835378,331
211,1,2,2,1,8,1,4194304,0,1.974761,259
212,1,2,2,1,8,2,2097152,0,1.803674,329
213,1,2,2,1,8,4,1048576,0,2.086553,408
214,1,2,2,2,1,1,4194304,0,2.078155,143
215,1,2,2,2,1,2,2097152,0,1.948519,185
216,1,2,2,2,1,4,1048576,0,1.924139,296
217,1,2,2,2,2,1,4194304,0,1.797768,199
218,1,2,2,2,2,2,2097152,0,1.940512,265
219,1,2,2,2,2,4,1048576,0,1.905588,344
220,1,2,2,2,4,1,4194304,0,1.932173,314
221,1,2,2,2,4,2,2097152,0,1.952564,387
222,1,2,2,2,4,4,1048576,0,1.997329,449
223,1,2,2,2,8,1,4194304,0,1.979682,520
224,1,2,2,2,8,2,2097152,0,2.02093,647
225,1,2,2,2,8,4,1048576,0,2.017883,709
226,1,2,2,4,1,1,4194304,0,1.792628,206
227,1,2,2,4,1,2,2097152,0,2.068777,265
228,1,2,2,4,1,4,1048576,0,1.889678,336
229,1,2,2,4,2,1,4194304,0,2.042236,349
230,1,2,2,4,2,2,2097152,0,1.906994,427
231,1,2,2,4,2,4,1048576,0,1.866913,496
232,1,2,2,4,4,1,4194304,0,1.912251,536
233,1,2,2,4,4,2,2097152,0,2.085218,678
234,1,2,2,4,4,4,1048576,0,1.941079,738
235,1,2,2,8,1,1,4194304,0,2.061979,345
236,1,2,2,8,1,2,2097152,0,2.106519,424
237,1,2,2,8,1,4,1048576,0,1.944064,512
238,1,2,2,8,2,1,4194304,0,1.976607,553
239,1,2,2,8,2,2,2097152,0,1.981764,657
240,1,2,2,8,2,4,1048576,0,2.050205,765
241,1,2,4,1,1,1,4194304,0,1.835756,120
242,1,2,4,1,1,2,2097152,0,1.803819,146
243,1,2,4,1,1,4,1048576,0,1.99637,249
244,1,2,4,1,2,1,4194304,0,1.93106,146
245,1,2,4,1,2,2,2097152,0,2.197003,222
246,1,2,4,1,2,4,1048576,0,1.944345,269
247,1,2,4,1,4,1,4194304,0,1.85448,213
248,1,2,4,1,4,2,2097152,0,1.836767,268
249,1,2,4,1,4,4,1048576,0,1.966583,398
250,1,2,4,1,8,1,4194304,0,2.080943,314
251,1,2,4,1,8,2,2097152,0,2.136876,408
252,1,2,4,1,8,4,1048576,0,1.928526,547
253,1,2,4,2,1,1,4194304,0,2.131806,149
254,1,2,4,2,1,2,2097152,0,1.99497,179
255,1,2,4,2,1,4,1048576,0,1.933895,298
256,1,2,4,2,2,1,4194304,0,1.820812,205
257,1,2,4,2,2,2,2097152,0,1.930126,268
258,1,2,4,2,2,4,1048576,0,1.846451,392
259,1,2,4,2,4,1,4194304,0,2.053048,321
260,1,2,4,2,4,2,2097152,0,2.020885,376
261,1,2,4,2,4,4,1048576,0,2.053747,641
262,1,2,4,2,8,1,4194304,0,2.09679,498
263,1,2,4,2,8,2,2097152,0,2.112871,629
264,1,2,4,4,1,1,4194304,0,1.88191,195
265,1,2,4,4,1,2,2097152,0,1.975854,234
266,1,2,4,4,1,4,1048576,0,1.906154,418
267,1,2,4,4,2,1,4194304,0,1.980471,309
268,1,2,4,4,2,2,2097152,0,1.94481,466
269,1,2,4,4,2,4,1048576,0,2.241286,587
270,1,2,4,4,4,1,4194304,0,2.035568,505
271,1,2,4,4,4,2,2097152,0,2.085676,624
272,1,2,4,4,4,4,1048576,0,2.006202,834
273,1,2,4,8,1,1,4194304,0,2.027371,260
274,1,2,4,8,1,2,2097152,0,2.030868,360
275,1,2,4,8,1,4,1048576,0,1.973756,520
276,1,2,4,8,2,1,4194304,0,1.968118,500
277,1,2,4,8,2,2,2097152,0,2.057154,654
278,1,2,4,8,2,4,1048576,0,1.902622,796
279,1,2,8,1,1,1,4194304,0,1.926073,126
280,1,2,8,1,1,2,2097152,0,1.991525,180
281,1,2,8,1,1,4,1048576,0,2.073859,271
282,1,2,8,1,2,1,4194304,0,1.876777,162
283,1,2,8,1,2,2,2097152,0,1.988467,229
284,1,2,8,1,2,4,1048576,0,1.954012,318
285,1,2,8,1,4,1,4194304,0,1.910403,232
286,1,2,8,1,4,2,2097152,0,1.957573,314
287,1,2,8,1,4,4,1048576,0,2.09446,468
288,1,2,8,1,8,1,4194304,0,2.026176,310
289,1,2,8,1,8,2,2097152,0,2.084906,412
290,1,2,8,1,8,4,1048576,0,1.975539,677
291,1,2,8,2,1,1,4194304,0,1.932085,160
292,1,2,8,2,1,2,2097152,0,1.995918,215
293,1,2,8,2,1,4,1048576,0,1.939717,309
294,1,2,8,2,2,1,4194304,0,1.896431,202
295,1,2,8,2,2,2,2097152,0,2.038415,272
296,1,2,8,2,2,4,1048576,0,1.932737,473
297,1,2,8,2,4,1,4194304,0,1.977227,328
298,1,2,8,2,4,2,2097152,0,2.10787,435
299,1,2,8,2,4,4,1048576,0,1.958035,668
300,1,2,8,4,1,1,4194304,0,1.888836,236
301,1,2,8,4,1,2,2097152,0,1.902713,345
302,1,2,8,4,1,4,1048576,0,1.940642,489
303,1,2,8,4,2,1,4194304,0,2.101775,343
304,1,2,8,4,2,2,2097152,0,1.969966,446
305,1,2,8,4,2,4,1048576,0,2.034946,732
306,1,2,8,8,1,1,4194304,0,2.040322,352
307,1,2,8,8,1,2,2097152,0,2.012569,513
308,1,2,8,8,1,4,1048576,0,2.041016,718
309,1,4,1,1,1,1,4194304,0,1.70693,88
310,1,4,1,1,1,2,2097152,0,1.565647,115
311,1,4,1,1,1,4,1048576,0,1.658658,171
312,1,4,1,1,2,1,4194304,0,1.730472,100
313,1,4,1,1,2,2,2097152,0,1.829591,146
314,1,4,1,1,2,4,1048576,0,1.73212,208
315,1,4,1,1,4,1,4194304,0,1.852535,149
316,1,4,1,1,4,2,2097152,0,1.923397,193
317,1,4,1,1,4,4,1048576,0,1.877255,254
318,1,4,1,1,8,1,4194304,0,1.871069,189
319,1,4,1,1,8,2,2097152,0,1.934866,276
320,1,4,1,1,8,4,1048576,0,1.928039,464
321,1,4,1,2,1,1,4194304,0,2.174104,104
322,1,4,1,2,1,2,2097152,0,2.148437,170
323,1,4,1,2,1,4,1048576,0,1.989023,235
324,1,4,1,2,2,1,4194304,0,1.858078,148
325,1,4,1,2,2,2,2097152,0,2.064793,205
326,1,4,1,2,2,4,1048576,0,1.925178,260
327,1,4,1,2,4,1,4194304,0,1.864541,205
328,1,4,1,2,4,2,2097152,0,1.957062,294
329,1,4,1,2,4,4,1048576,0,2.001321,450
330,1,4,1,2,8,1,4194304,0,2.222776,295
331,1,4,1,2,8,2,2097152,0,2.097771,477
332,1,4,1,2,8,4,1048576,0,2.04904,642
333,1,4,1,4,1,1,4194304,0,1.902605,145
334,1,4,1,4,1,2,2097152,0,1.849624,201
335,1,4,1,4,1,4,1048576,0,1.858101,279
336,1,4,1,4,2,1,4194304,0,1.934595,222
337,1,4,1,4,2,2,2097152,0,1.94778,292
338,1,4,1,4,2,4,1048576,0,1.932241,442
339,1,4,1,4,4,1,4194304,0,2.016858,307
340,1,4,1,4,4,2,2097152,0,2.007441,514
341,1,4,1,4,4,4,1048576,0,2.049582,536
342,1,4,1,8,1,1,4194304,0,2.027875,225
343,1,4,1,8,1,2,2097152,0,1.823251,259
344,1,4,1,8,1,4,1048576,0,2.062019,428
345,1,4,1,8,2,1,4194304,0,2.001224,338
346,1,4,1,8,2,2,2097152,0,2.084334,469
347,1,4,1,8,2,4,1048576,0,1.977916,598
348,1,4,2,1,1,1,4194304,0,1.592291,109
349,1,4,2,1,1,2,2097152,0,1.61477,146
350,1,4,2,1,1,4,1048576,0,1.636079,235
351,1,4,2,1,2,1,4194304,0,2.08397,146
352,1,4,2,1,2,2,2097152,0,1.968077,223
353,1,4,2,1,2,4,1048576,0,2.102232,271
354,1,4,2,1,4,1,4194304,0,1.849011,236
355,1,4,2,1,4,2,2097152,0,1.866101,318
356,1,4,2,1,8,1,4194304,0,1.972318,375
357,1,4,2,1,8,2,2097152,0,1.948674,524
358,1,4,2,1,8,4,1048576,0,1.909813,546
359,1,4,2,2,1,1,4194304,0,2.288917,138
360,1,4,2,2,1,2,2097152,0,2.26995,178
361,1,4,2,2,1,4,1048576,0,2.09831,297
362,1,4,2,2,2,1,4194304,0,1.772345,239
363,1,4,2,2,2,2,2097152,0,1.865294,312
364,1,4,2,2,2,4,1048576,0,1.784754,401
365,1,4,2,2,4,1,4194304,0,2.115194,415
366,1,4,2,2,4,2,2097152,0,2.073288,506
367,1,4,2,2,4,4,1048576,0,1.996968,557
368,1,4,2,2,8,1,4194304,0,2.171539,617
369,1,4,2,2,8,2,2097152,0,2.060106,779
370,1,4,2,2,8,4,1048576,0,2.01188,809
371,1,4,2,4,1,1,4194304,0,1.805843,219
372,1,4,2,4,1,2,2097152,0,1.955003,272
373,1,4,2,4,1,4,1048576,0,1.82364,314
374,1,4,2,4,2,1,4194304,0,2.034567,376
375,1,4,2,4,2,2,2097152,0,1.951452,516
376,1,4,2,4,2,4,1048576,0,1.934127,559
377,1,4,2,4,4,1,4194304,0,2.05409,687
378,1,4,2,4,4,2,2097152,0,2.24255,960
379,1,4,2,4,4,4,1048576,0,2.146564,873
380,1,4,2,8,1,1,4194304,0,1.992703,330
381,1,4,2,8,1,2,2097152,0,2.01729,424
382,1,4,2,8,1,4,1048576,0,1.977717,479
383,1,4,2,8,2,1,4194304,0,2.009281,645
384,1,4,2,8,2,2,2097152,0,2.066877,849
385,1,4,2,8,2,4,1048576,0,2.108083,869
386,1,4,4,1,1,1,4194304,0,2.070266,150
387,1,4,4,1,1,2,2097152,0,2.09914,182
388,1,4,4,1,1,4,1048576,0,2.141053,335
389,1,4,4,1,2,1,4194304,0,1.842746,193
390,1,4,4,1,2,2,2097152,0,1.885584,225
391,1,4,4,1,2,4,1048576,0,1.984997,407
392,1,4,4,1,4,1,4194304,0,1.905938,250
393,1,4,4,1,4,2,2097152,0,1.991841,341
394,1,4,4,1,4,4,1048576,0,1.922699,478
395,1,4,4,1,8,1,4194304,0,1.961741,346
396,1,4,4,1,8,2,2097152,0,2.025759,455
397,1,4,4,1,8,4,1048576,0,1.909828,681
398,1,4,4,2,1,1,4194304,0,1.863728,200
399,1,4,4,2,1,4,1048576,0,1.967346,391
400,1,4,4,2,2,1,4194304,0,1.999198,271
401,1,4,4,2,2,2,2097152,0,2.233644,332
402,1,4,4,2,2,4,1048576,0,2.009442,488
403,1,4,4,2,4,1,4194304,0,2.035607,419
404,1,4,4,2,4,2,2097152,0,2.057955,517
405,1,4,4,2,4,4,1048576,0,2.015819,741
406,1,4,4,2,8,1,4194304,0,2.04182,540
407,1,4,4,4,1,1,4194304,0,2.098207,295
408,1,4,4,4,1,2,2097152,0,2.090988,375
409,1,4,4,4,1,4,1048576,0,2.005533,519
410,1,4,4,4,2,1,4194304,0,2.040638,458
411,1,4,4,4,2,2,2097152,0,2.107457,560
412,1,4,4,4,2,4,1048576,0,2.037612,790
413,1,4,4,4,4,1,4194304,0,2.104049,662
414,1,4,4,8,1,1,4194304,0,2.022996,408
415,1,4,4,8,1,4,1048576,0,2.019736,804
416,1,4,4,8,2,1,4194304,0,2.179397,645
417,1,4,8,1,1,1,4194304,0,1.829862,131
418,1,4,8,1,1,2,2097152,0,1.865941,215
419,1,4,8,1,1,4,1048576,0,1.833562,308
420,1,4,8,1,2,1,4194304,0,1.833765,129
421,1,4,8,1,2,2,2097152,0,1.822434,221
422,1,4,8,1,2,4,1048576,0,1.838159,350
423,1,4,8,1,4,1,4194304,0,1.808894,145
424,1,4,8,1,4,2,2097152,0,1.781378,264
425,1,4,8,1,4,4,1048576,0,1.724496,378
426,1,4,8,1,8,1,4194304,0,1.90941,155
427,1,4,8,1,8,2,2097152,0,1.864785,252
428,1,4,8,2,1,1,4194304,0,1.851601,149
429,1,4,8,2,1,2,2097152,0,1.888605,233
430,1,4,8,2,1,4,1048576,0,1.932085,414
431,1,4,8,2,2,1,4194304,0,1.806015,202
432,1,4,8,2,2,2,2097152,0,1.868913,275
433,1,4,8,2,2,4,1048576,0,1.909381,458
434,1,4,8,2,4,1,4194304,0,1.826697,233
435,1,4,8,2,4,2,2097152,0,1.968902,385
436,1,4,8,4,1,1,4194304,0,1.981115,262
437,1,4,8,4,1,2,2097152,0,2.10693,378
438,1,4,8,4,1,4,1048576,0,1.939023,540
439,1,4,8,4,2,1,4194304,0,1.871688,260
440,1,4,8,4,2,2,2097152,0,1.930424,427
441,1,4,8,8,1,1,4194304,0,2.06345,312
442,1,4,8,8,1,2,2097152,0,1.868715,457
443,1,8,1,1,1,1,4194304,0,2.023168,115
444,1,8,1,1,1,2,2097152,0,2.079916,151
445,1,8,1,1,1,4,1048576,0,1.935572,218
446,1,8,1,1,2,1,4194304,0,1.811463,124
447,1,8,1,1,2,2,2097152,0,1.751426,168
448,1,8,1,1,2,4,1048576,0,1.842305,306
449,1,8,1,1,4,1,4194304,0,1.919631,164
450,1,8,1,1,4,2,2097152,0,2.050525,207
451,1,8,1,1,4,4,1048576,0,1.865954,388
452,1,8,1,1,8,1,4194304,0,1.992777,244
453,1,8,1,1,8,2,2097152,0,2.044804,322
454,1,8,1,1,8,4,1048576,0,2.018438,578
455,1,8,1,2,1,1,4194304,0,1.819013,133
456,1,8,1,2,1,2,2097152,0,1.888242,179
457,1,8,1,2,1,4,1048576,0,1.81242,239
458,1,8,1,2,2,1,4194304,0,1.889392,173
459,1,8,1,2,2,2,2097152,0,1.938598,225
460,1,8,1,2,2,4,1048576,0,1.917409,420
461,1,8,1,2,4,1,4194304,0,2.006029,252
462,1,8,1,2,4,2,2097152,0,1.949528,371
463,1,8,1,2,4,4,1048576,0,2.007206,505
464,1,8,1,4,1,1,4194304,0,1.844915,199
465,1,8,1,4,1,2,2097152,0,2.143963,265
466,1,8,1,4,1,4,1048576,0,2.01257,394
467,1,8,1,4,2,1,4194304,0,2.080331,300
468,1,8,1,4,2,2,2097152,0,2.01488,348
469,1,8,1,4,2,4,1048576,0,2.056317,587
470,1,8,1,8,1,1,4194304,0,2.200711,293
471,1,8,1,8,1,2,2097152,0,2.138076,560
472,1,8,1,8,1,4,1048576,0,2.015631,523
473,1,8,2,1,1,1,4194304,0,2.000198,167
474,1,8,2,1,1,2,2097152,0,2.053352,175
475,1,8,2,1,1,4,1048576,0,2.004647,252
476,1,8,2,1,2,1,4194304,0,2.021458,216
477,1,8,2,1,2,2,2097152,0,1.862017,279
478,1,8,2,1,2,4,1048576,0,1.833219,341
479,1,8,2,1,4,1,4194304,0,1.968173,398
480,1,8,2,1,4,2,2097152,0,2.00446,437
481,1,8,2,1,4,4,1048576,0,1.97028,505
482,1,8,2,1,8,1,4194304,0,2.061511,678
483,1,8,2,1,8,2,2097152,0,1.976064,750
484,1,8,2,1,8,4,1048576,0,1.915431,865
485,1,8,2,2,1,1,4194304,0,1.77072,214
486,1,8,2,2,1,2,2097152,0,1.924095,279
487,1,8,2,2,1,4,1048576,0,1.952194,321
488,1,8,2,2,2,1,4194304,0,1.904159,369
489,1,8,2,2,2,2,2097152,0,1.985635,453
490,1,8,2,2,2,4,1048576,0,2.053064,519
491,1,8,2,2,4,1,4194304,0,2.081248,659
492,1,8,2,2,4,2,2097152,0,1.980346,808
493,1,8,2,2,4,4,1048576,0,1.937035,840
494,1,8,2,4,1,1,4194304,0,1.86813,373
495,1,8,2,4,1,2,2097152,0,2.04656,448
496,1,8,2,4,1,4,1048576,0,1.995279,496
497,1,8,2,4,2,1,4194304,0,1.991254,656
498,1,8,2,4,2,2,2097152,0,2.083968,739
499,1,8,2,4,2,4,1048576,0,2.059385,817
500,1,8,2,8,1,1,4194304,0,1.926904,560
501,1,8,2,8,1,2,2097152,0,2.051945,820
502,1,8,2,8,1,4,1048576,0,2.121023,751
503,1,8,4,1,1,1,4194304,0,1.836485,168
504,1,8,4,1,1,2,2097152,0,1.987605,243
505,1,8,4,1,1,4,1048576,0,1.796901,349
506,1,8,4,1,2,1,4194304,0,1.921903,208
507,1,8,4,1,2,2,2097152,0,1.925861,260
508,1,8,4,1,2,4,1048576,0,1.979642,451
509,1,8,4,1,4,1,4194304,0,2.061449,377
510,1,8,4,1,4,2,2097152,0,2.139902,409
511,1,8,4,1,4,4,1048576,0,1.891039,598
