n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,tmpsize,size,knob_I_B,obj1,obj2
36,5,100,1,1,3,2,1,25,10000,0,1.908049,187
37,5,100,1,1,3,2,2,25,10000,0,1.777292,176
38,5,100,1,1,3,2,3,25,10000,0,2.05555,179
39,5,100,1,1,3,2,4,25,10000,0,2.336422,190
40,5,100,1,1,3,3,1,25,10000,0,1.883108,195
41,5,100,1,1,3,3,2,25,10000,0,2.039207,193
42,5,100,1,1,3,3,3,25,10000,0,1.987155,204
43,5,100,1,1,3,3,4,25,10000,0,2.089613,196
44,5,100,1,1,3,4,1,25,10000,0,2.128079,194
45,5,100,1,1,3,4,2,25,10000,0,2.166422,188
46,5,100,1,1,3,4,3,25,10000,0,1.904095,197
47,5,100,1,1,3,4,4,25,10000,0,2.63627,206
48,5,100,1,1,4,1,1,25,10000,0,1.720933,157
49,5,100,1,1,4,1,2,25,10000,0,1.942364,181
50,5,100,1,1,4,1,3,25,10000,0,1.684454,193
51,5,100,1,1,4,1,4,25,10000,0,2.279306,166
52,5,100,1,1,4,2,1,25,10000,0,1.632145,176
53,5,100,1,1,4,2,2,25,10000,0,2.297786,194
54,5,100,1,1,4,2,3,25,10000,0,1.751432,194
55,5,100,1,1,4,2,4,25,10000,0,2.361725,179
56,5,100,1,1,4,3,1,25,10000,0,1.686619,214
57,5,100,1,1,4,3,2,25,10000,0,1.988992,221
58,5,100,1,1,4,3,3,25,10000,0,1.843115,212
59,5,100,1,1,4,3,4,25,10000,0,2.726472,186
60,5,100,1,1,4,4,1,25,10000,0,1.878922,207
61,5,100,1,1,4,4,2,25,10000,0,1.956391,199
62,5,100,1,1,4,4,3,25,10000,0,1.742671,202
63,5,100,1,1,4,4,4,25,10000,0,2.490219,205
64,5,100,1,2,1,1,1,25,10000,0,1.629464,161
65,5,100,1,2,1,1,2,25,10000,0,1.730784,174
66,5,100,1,2,1,1,3,25,10000,0,1.858566,190
67,5,100,1,2,1,1,4,25,10000,0,2.131109,169
68,5,100,1,2,1,2,1,25,10000,0,1.669067,190
69,5,100,1,2,1,2,2,25,10000,0,1.833494,182
70,5,100,1,2,1,2,3,25,10000,0,1.969199,195
71,5,100,1,2,1,2,4,25,10000,0,2.103699,173
72,5,100,1,2,1,3,1,25,10000,0,1.704568,203
73,5,100,1,2,1,3,2,25,10000,0,1.991804,196
74,5,100,1,2,1,3,3,25,10000,0,1.785235,196
75,5,100,1,2,1,3,4,25,10000,0,2.282045,213
76,5,100,1,2,1,4,1,25,10000,0,1.885398,203
77,5,100,1,2,1,4,2,25,10000,0,2.030466,217
78,5,100,1,2,1,4,3,25,10000,0,1.718553,193
79,5,100,1,2,1,4,4,25,10000,0,2.238918,194
80,5,100,1,2,2,1,1,25,10000,0,1.628634,179
81,5,100,1,2,2,1,2,25,10000,0,1.93107,191
82,5,100,1,2,2,1,3,25,10000,0,1.729546,214
83,5,100,1,2,2,1,4,25,10000,0,2.175444,194
84,5,100,1,2,2,2,1,25,10000,0,1.686478,206
85,5,100,1,2,2,2,2,25,10000,0,1.739644,198
86,5,100,1,2,2,2,3,25,10000,0,1.832011,198
87,5,100,1,2,2,2,4,25,10000,0,2.566252,186
88,5,100,1,2,2,3,1,25,10000,0,1.840263,218
89,5,100,1,2,2,3,2,25,10000,0,1.819606,217
90,5,100,1,2,2,3,3,25,10000,0,1.836908,204
91,5,100,1,2,2,3,4,25,10000,0,2.760916,205
92,5,100,1,2,2,4,1,25,10000,0,1.795379,218
93,5,100,1,2,2,4,2,25,10000,0,1.998437,206
94,5,100,1,2,2,4,3,25,10000,0,1.938013,229
95,5,100,1,2,2,4,4,25,10000,0,2.679643,223
96,5,100,1,2,3,1,1,25,10000,0,1.892576,182
97,5,100,1,2,3,1,2,25,10000,0,1.937354,188
98,5,100,1,2,3,1,3,25,10000,0,1.721692,197
99,5,100,1,2,3,1,4,25,10000,0,2.414579,203
100,5,100,1,2,3,2,1,25,10000,0,1.629168,186
101,5,100,1,2,3,2,2,25,10000,0,1.956021,192
102,5,100,1,2,3,2,3,25,10000,0,1.714062,202
103,5,100,1,2,3,2,4,25,10000,0,2.155466,184
104,5,100,1,2,3,3,1,25,10000,0,1.923192,210
105,5,100,1,2,3,3,2,25,10000,0,2.036219,209
106,5,100,1,2,3,3,3,25,10000,0,1.860396,223
107,5,100,1,2,3,3,4,25,10000,0,2.287838,204
108,5,100,1,2,3,4,1,25,10000,0,1.848508,202
109,5,100,1,2,3,4,2,25,10000,0,1.964753,223
110,5,100,1,2,3,4,3,25,10000,0,1.789396,228
111,5,100,1,2,3,4,4,25,10000,0,2.305414,214
112,5,100,1,2,4,1,1,25,10000,0,1.812712,206
113,5,100,1,2,4,1,2,25,10000,0,1.922365,181
114,5,100,1,2,4,1,3,25,10000,0,1.811047,199
115,5,100,1,2,4,1,4,25,10000,0,2.120689,207
116,5,100,1,2,4,2,1,25,10000,0,1.878226,210
117,5,100,1,2,4,2,2,25,10000,0,2.192919,197
118,5,100,1,2,4,2,3,25,10000,0,1.650015,200
119,5,100,1,2,4,2,4,25,10000,0,2.443035,207
120,5,100,1,2,4,3,1,25,10000,0,2.048101,213
121,5,100,1,2,4,3,2,25,10000,0,1.922058,221
122,5,100,1,2,4,3,3,25,10000,0,1.843482,218
123,5,100,1,2,4,3,4,25,10000,0,2.643758,226
124,5,100,1,2,4,4,1,25,10000,0,2.052679,213
125,5,100,1,2,4,4,2,25,10000,0,1.899438,213
126,5,100,1,2,4,4,3,25,10000,0,1.728748,208
127,5,100,1,2,4,4,4,25,10000,0,2.705389,213
128,5,100,1,3,1,1,1,25,10000,0,1.580106,176
129,5,100,1,3,1,1,2,25,10000,0,1.616306,178
130,5,100,1,3,1,1,3,25,10000,0,1.521715,183
131,5,100,1,3,1,1,4,25,10000,0,2.003407,170
132,5,100,1,3,1,2,1,25,10000,0,1.481776,175
133,5,100,1,3,1,2,2,25,10000,0,1.830654,175
134,5,100,1,3,1,2,3,25,10000,0,1.515927,185
135,5,100,1,3,1,2,4,25,10000,0,2.178504,188
136,5,100,1,3,1,3,1,25,10000,0,1.698379,191
137,5,100,1,3,1,3,2,25,10000,0,1.806248,215
138,5,100,1,3,1,3,3,25,10000,0,2.092317,222
139,5,100,1,3,1,3,4,25,10000,0,2.199221,195
140,5,100,1,3,1,4,1,25,10000,0,2.011356,191
141,5,100,1,3,1,4,2,25,10000,0,1.89907,193
142,5,100,1,3,1,4,3,25,10000,0,1.634481,212
143,5,100,1,3,1,4,4,25,10000,0,2.521083,194
144,5,100,1,3,2,1,1,25,10000,0,1.440954,181
145,5,100,1,3,2,1,2,25,10000,0,1.772658,178
146,5,100,1,3,2,1,3,25,10000,0,1.625309,197
147,5,100,1,3,2,1,4,25,10000,0,2.410794,199
148,5,100,1,3,2,2,1,25,10000,0,1.628199,202
149,5,100,1,3,2,2,2,25,10000,0,2.25862,190
150,5,100,1,3,2,2,3,25,10000,0,1.932198,196
151,5,100,1,3,2,2,4,25,10000,0,2.465383,187
152,5,100,1,3,2,3,1,25,10000,0,1.722742,209
153,5,100,1,3,2,3,2,25,10000,0,2.117689,195
154,5,100,1,3,2,3,3,25,10000,0,1.928688,226
155,5,100,1,3,2,3,4,25,10000,0,2.659197,193
156,5,100,1,3,2,4,1,25,10000,0,1.862635,247
157,5,100,1,3,2,4,2,25,10000,0,2.082806,205
158,5,100,1,3,2,4,3,25,10000,0,1.856439,225
159,5,100,1,3,2,4,4,25,10000,0,2.159119,227
160,5,100,1,3,3,1,1,25,10000,0,1.683838,190
161,5,100,1,3,3,1,2,25,10000,0,1.754923,180
162,5,100,1,3,3,1,3,25,10000,0,1.605167,186
163,5,100,1,3,3,1,4,25,10000,0,2.253039,198
164,5,100,1,3,3,2,1,25,10000,0,1.636012,182
165,5,100,1,3,3,2,2,25,10000,0,1.789801,187
166,5,100,1,3,3,2,3,25,10000,0,1.850279,199
167,5,100,1,3,3,2,4,25,10000,0,2.144523,205
168,5,100,1,3,3,3,1,25,10000,0,1.636354,195
169,5,100,1,3,3,3,2,25,10000,0,1.894843,198
170,5,100,1,3,3,3,3,25,10000,0,1.669048,196
171,5,100,1,3,3,3,4,25,10000,0,1.930067,218
172,5,100,1,3,3,4,1,25,10000,0,1.78162,207
173,5,100,1,3,3,4,2,25,10000,0,1.841655,200
174,5,100,1,3,3,4,3,25,10000,0,1.705847,211
175,5,100,1,3,3,4,4,25,10000,0,2.189813,216
176,5,100,1,3,4,1,1,25,10000,0,1.702693,205
177,5,100,1,3,4,1,2,25,10000,0,1.92646,215
178,5,100,1,3,4,1,3,25,10000,0,2.093309,189
179,5,100,1,3,4,1,4,25,10000,0,2.308627,212
180,5,100,1,3,4,2,1,25,10000,0,1.920185,204
181,5,100,1,3,4,2,2,25,10000,0,1.975263,190
182,5,100,1,3,4,2,3,25,10000,0,1.78291,196
183,5,100,1,3,4,2,4,25,10000,0,2.253154,211
184,5,100,1,3,4,3,1,25,10000,0,1.961917,218
185,5,100,1,3,4,3,2,25,10000,0,1.926541,224
186,5,100,1,3,4,3,3,25,10000,0,2.038495,225
187,5,100,1,3,4,3,4,25,10000,0,2.275266,235
188,5,100,1,3,4,4,1,25,10000,0,1.973487,229
189,5,100,1,3,4,4,2,25,10000,0,2.059372,218
190,5,100,1,3,4,4,3,25,10000,0,1.916557,222
191,5,100,1,3,4,4,4,25,10000,0,2.443725,238
192,5,100,1,4,1,1,1,25,10000,0,1.537238,192
193,5,100,1,4,1,1,2,25,10000,0,1.611435,185
194,5,100,1,4,1,1,3,25,10000,0,1.598622,185
195,5,100,1,4,1,1,4,25,10000,0,2.248294,194
196,5,100,1,4,1,2,1,25,10000,0,1.810635,180
197,5,100,1,4,1,2,2,25,10000,0,1.640883,187
198,5,100,1,4,1,2,3,25,10000,0,2.064143,212
199,5,100,1,4,1,2,4,25,10000,0,2.273398,176
200,5,100,1,4,1,3,1,25,10000,0,1.717889,221
201,5,100,1,4,1,3,2,25,10000,0,2.237747,183
202,5,100,1,4,1,3,3,25,10000,0,1.87254,216
203,5,100,1,4,1,3,4,25,10000,0,2.506683,198
204,5,100,1,4,1,4,1,25,10000,0,1.806345,228
205,5,100,1,4,1,4,2,25,10000,0,1.882165,228
206,5,100,1,4,1,4,3,25,10000,0,2.03483,236
207,5,100,1,4,1,4,4,25,10000,0,2.436029,206
208,5,100,1,4,2,1,1,25,10000,0,1.979756,198
209,5,100,1,4,2,1,2,25,10000,0,2.066524,180
210,5,100,1,4,2,1,3,25,10000,0,1.8322,208
211,5,100,1,4,2,1,4,25,10000,0,2.037882,195
212,5,100,1,4,2,2,1,25,10000,0,1.699809,186
213,5,100,1,4,2,2,2,25,10000,0,2.017446,201
214,5,100,1,4,2,2,3,25,10000,0,1.664032,193
215,5,100,1,4,2,2,4,25,10000,0,2.33411,213
216,5,100,1,4,2,3,1,25,10000,0,1.649472,194
217,5,100,1,4,2,3,2,25,10000,0,1.811434,200
218,5,100,1,4,2,3,3,25,10000,0,1.858802,204
219,5,100,1,4,2,3,4,25,10000,0,2.272877,209
220,5,100,1,4,2,4,1,25,10000,0,1.826073,207
221,5,100,1,4,2,4,2,25,10000,0,2.025347,230
222,5,100,1,4,2,4,3,25,10000,0,1.80046,232
223,5,100,1,4,2,4,4,25,10000,0,2.464264,240
224,5,100,1,4,3,1,1,25,10000,0,1.843495,194
225,5,100,1,4,3,1,2,25,10000,0,1.906443,188
226,5,100,1,4,3,1,3,25,10000,0,1.881946,190
227,5,100,1,4,3,1,4,25,10000,0,2.639573,218
228,5,100,1,4,3,2,1,25,10000,0,1.86021,188
229,5,100,1,4,3,2,2,25,10000,0,1.909487,204
230,5,100,1,4,3,2,3,25,10000,0,1.758639,208
231,5,100,1,4,3,2,4,25,10000,0,2.566772,212
232,5,100,1,4,3,3,1,25,10000,0,1.714328,211
233,5,100,1,4,3,3,2,25,10000,0,1.922289,201
234,5,100,1,4,3,3,3,25,10000,0,1.874532,213
235,5,100,1,4,3,3,4,25,10000,0,2.304253,220
236,5,100,1,4,3,4,1,25,10000,0,1.901707,209
237,5,100,1,4,3,4,2,25,10000,0,2.108177,211
238,5,100,1,4,3,4,3,25,10000,0,1.815925,234
239,5,100,1,4,3,4,4,25,10000,0,2.470532,221
240,5,100,1,4,4,1,1,25,10000,0,1.797235,196
241,5,100,1,4,4,1,2,25,10000,0,1.863613,202
242,5,100,1,4,4,1,3,25,10000,0,1.704983,224
243,5,100,1,4,4,1,4,25,10000,0,2.330952,188
244,5,100,1,4,4,2,1,25,10000,0,1.673559,206
245,5,100,1,4,4,2,2,25,10000,0,2.222133,192
246,5,100,1,4,4,2,3,25,10000,0,1.806781,200
247,5,100,1,4,4,2,4,25,10000,0,2.295472,202
248,5,100,1,4,4,3,1,25,10000,0,1.745453,213
249,5,100,1,4,4,3,2,25,10000,0,1.901779,221
250,5,100,1,4,4,3,3,25,10000,0,1.827222,221
251,5,100,1,4,4,3,4,25,10000,0,2.287982,212
252,5,100,1,4,4,4,1,25,10000,0,1.891415,220
253,5,100,1,4,4,4,2,25,10000,0,1.987581,223
254,5,100,1,4,4,4,3,25,10000,0,1.624249,220
255,5,100,1,4,4,4,4,25,10000,0,2.475855,220
256,5,100,2,1,1,1,1,25,10000,0,0.803772,177
257,5,100,2,1,1,1,2,25,10000,0,0.959213,181
258,5,100,2,1,1,1,3,25,10000,0,0.740632,184
259,5,100,2,1,1,1,4,25,10000,0,0.93357,195
260,5,100,2,1,1,2,1,25,10000,0,0.842105,189
261,5,100,2,1,1,2,2,25,10000,0,0.914333,181
262,5,100,2,1,1,2,3,25,10000,0,0.831018,195
263,5,100,2,1,1,2,4,25,10000,0,1.056368,187
264,5,100,2,1,1,3,1,25,10000,0,0.824825,204
265,5,100,2,1,1,3,2,25,10000,0,0.885863,202
266,5,100,2,1,1,3,3,25,10000,0,0.873613,208
267,5,100,2,1,1,3,4,25,10000,0,1.12309,202
268,5,100,2,1,1,4,1,25,10000,0,0.908645,216
269,5,100,2,1,1,4,2,25,10000,0,0.980718,203
270,5,100,2,1,1,4,3,25,10000,0,0.92208,216
271,5,100,2,1,1,4,4,25,10000,0,1.177712,217
272,5,100,2,1,2,1,1,25,10000,0,0.943131,195
273,5,100,2,1,2,1,2,25,10000,0,0.983074,207
274,5,100,2,1,2,1,3,25,10000,0,0.973509,210
275,5,100,2,1,2,1,4,25,10000,0,1.329639,210
276,5,100,2,1,2,2,1,25,10000,0,0.924059,190
277,5,100,2,1,2,2,2,25,10000,0,1.006674,204
278,5,100,2,1,2,2,3,25,10000,0,0.943851,194
279,5,100,2,1,2,2,4,25,10000,0,1.134689,195
280,5,100,2,1,2,3,1,25,10000,0,0.991562,204
281,5,100,2,1,2,3,2,25,10000,0,0.923514,232
282,5,100,2,1,2,3,3,25,10000,0,0.989606,212
283,5,100,2,1,2,3,4,25,10000,0,1.483883,215
284,5,100,2,1,2,4,1,25,10000,0,1.005729,225
285,5,100,2,1,2,4,2,25,10000,0,1.057886,221
286,5,100,2,1,2,4,3,25,10000,0,1.112102,217
287,5,100,2,1,2,4,4,25,10000,0,1.300149,235
288,5,100,2,1,3,1,1,25,10000,0,1.017017,190
289,5,100,2,1,3,1,2,25,10000,0,1.063801,191
290,5,100,2,1,3,1,3,25,10000,0,1.175857,206
291,5,100,2,1,3,1,4,25,10000,0,1.231208,198
292,5,100,2,1,3,2,1,25,10000,0,0.883832,205
293,5,100,2,1,3,2,2,25,10000,0,1.029706,198
294,5,100,2,1,3,2,3,25,10000,0,1.020449,215
295,5,100,2,1,3,2,4,25,10000,0,1.190914,213
296,5,100,2,1,3,3,1,25,10000,0,0.941618,221
297,5,100,2,1,3,3,2,25,10000,0,1.04349,205
298,5,100,2,1,3,3,3,25,10000,0,1.070975,258
299,5,100,2,1,3,3,4,25,10000,0,1.181752,217
300,5,100,2,1,3,4,1,25,10000,0,1.021464,261
301,5,100,2,1,3,4,2,25,10000,0,1.057176,231
302,5,100,2,1,3,4,3,25,10000,0,1.056315,241
303,5,100,2,1,3,4,4,25,10000,0,1.17322,221
304,5,100,2,1,4,1,1,25,10000,0,0.971618,209
305,5,100,2,1,4,1,2,25,10000,0,1.002052,203
306,5,100,2,1,4,1,3,25,10000,0,1.028477,204
307,5,100,2,1,4,1,4,25,10000,0,1.2135,228
308,5,100,2,1,4,2,1,25,10000,0,1.021355,218
309,5,100,2,1,4,2,2,25,10000,0,1.092703,207
310,5,100,2,1,4,2,3,25,10000,0,1.044859,208
311,5,100,2,1,4,2,4,25,10000,0,1.14531,197
312,5,100,2,1,4,3,1,25,10000,0,1.117364,232
313,5,100,2,1,4,3,2,25,10000,0,1.086998,227
314,5,100,2,1,4,3,3,25,10000,0,1.179917,232
315,5,100,2,1,4,3,4,25,10000,0,1.204784,218
316,5,100,2,1,4,4,1,25,10000,0,0.957935,229
317,5,100,2,1,4,4,2,25,10000,0,1.131493,238
318,5,100,2,1,4,4,3,25,10000,0,1.029933,228
319,5,100,2,1,4,4,4,25,10000,0,1.25259,230
320,5,100,2,2,1,1,1,25,10000,0,0.915545,187
321,5,100,2,2,1,1,2,25,10000,0,0.98021,190
322,5,100,2,2,1,1,3,25,10000,0,0.852158,204
323,5,100,2,2,1,1,4,25,10000,0,1.177722,220
324,5,100,2,2,1,2,1,25,10000,0,0.983537,190
325,5,100,2,2,1,2,2,25,10000,0,1.038136,202
326,5,100,2,2,1,2,3,25,10000,0,0.873331,200
327,5,100,2,2,1,2,4,25,10000,0,1.317433,217
328,5,100,2,2,1,3,1,25,10000,0,0.994733,218
329,5,100,2,2,1,3,2,25,10000,0,0.944072,205
330,5,100,2,2,1,3,3,25,10000,0,0.900995,213
331,5,100,2,2,1,3,4,25,10000,0,1.19534,218
332,5,100,2,2,1,4,1,25,10000,0,0.946525,212
333,5,100,2,2,1,4,2,25,10000,0,1.118233,209
334,5,100,2,2,1,4,3,25,10000,0,0.94521,220
335,5,100,2,2,1,4,4,25,10000,0,1.353942,222
336,5,100,2,2,2,1,1,25,10000,0,1.071039,186
337,5,100,2,2,2,1,2,25,10000,0,1.017262,195
338,5,100,2,2,2,1,3,25,10000,0,1.033798,227
339,5,100,2,2,2,1,4,25,10000,0,1.367524,208
340,5,100,2,2,2,2,1,25,10000,0,0.933609,187
341,5,100,2,2,2,2,2,25,10000,0,1.018515,202
342,5,100,2,2,2,2,3,25,10000,0,0.971311,196
343,5,100,2,2,2,2,4,25,10000,0,1.314255,214
344,5,100,2,2,2,3,1,25,10000,0,0.955437,204
345,5,100,2,2,2,3,2,25,10000,0,0.995062,213
346,5,100,2,2,2,3,3,25,10000,0,0.986063,235
347,5,100,2,2,2,3,4,25,10000,0,1.641911,238
348,5,100,2,2,2,4,1,25,10000,0,0.996339,221
349,5,100,2,2,2,4,2,25,10000,0,1.084798,219
350,5,100,2,2,2,4,3,25,10000,0,1.01705,223
351,5,100,2,2,2,4,4,25,10000,0,1.606656,268
352,5,100,2,2,3,1,1,25,10000,0,0.980467,198
353,5,100,2,2,3,1,2,25,10000,0,1.195212,205
354,5,100,2,2,3,1,3,25,10000,0,1.151101,201
355,5,100,2,2,3,1,4,25,10000,0,1.219442,194
356,5,100,2,2,3,2,1,25,10000,0,0.978048,202
357,5,100,2,2,3,2,2,25,10000,0,1.053885,213
358,5,100,2,2,3,2,3,25,10000,0,0.949286,222
359,5,100,2,2,3,2,4,25,10000,0,1.133926,197
360,5,100,2,2,3,3,1,25,10000,0,1.095027,217
361,5,100,2,2,3,3,2,25,10000,0,1.151037,231
362,5,100,2,2,3,3,3,25,10000,0,1.217529,216
363,5,100,2,2,3,3,4,25,10000,0,1.517592,221
364,5,100,2,2,3,4,1,25,10000,0,1.003286,225
365,5,100,2,2,3,4,2,25,10000,0,1.046331,238
366,5,100,2,2,3,4,3,25,10000,0,1.137119,223
367,5,100,2,2,3,4,4,25,10000,0,1.504143,226
368,5,100,2,2,4,1,1,25,10000,0,1.127697,196
369,5,100,2,2,4,1,2,25,10000,0,1.049398,201
370,5,100,2,2,4,1,3,25,10000,0,0.907371,218
371,5,100,2,2,4,1,4,25,10000,0,1.382426,195
372,5,100,2,2,4,2,1,25,10000,0,1.055909,216
373,5,100,2,2,4,2,2,25,10000,0,1.034341,201
374,5,100,2,2,4,2,3,25,10000,0,1.05319,210
375,5,100,2,2,4,2,4,25,10000,0,1.276083,245
376,5,100,2,2,4,3,1,25,10000,0,1.111962,207
377,5,100,2,2,4,3,2,25,10000,0,1.068726,245
378,5,100,2,2,4,3,3,25,10000,0,1.118399,255
379,5,100,2,2,4,3,4,25,10000,0,1.448131,253
380,5,100,2,2,4,4,1,25,10000,0,0.922502,231
381,5,100,2,2,4,4,2,25,10000,0,1.038457,228
382,5,100,2,2,4,4,3,25,10000,0,1.114679,276
383,5,100,2,2,4,4,4,25,10000,0,1.401625,268
384,5,100,2,3,1,1,1,25,10000,0,0.833986,191
385,5,100,2,3,1,1,2,25,10000,0,0.98869,195
386,5,100,2,3,1,1,3,25,10000,0,0.896222,219
387,5,100,2,3,1,1,4,25,10000,0,1.124805,211
388,5,100,2,3,1,2,1,25,10000,0,0.820576,208
389,5,100,2,3,1,2,2,25,10000,0,0.895179,196
390,5,100,2,3,1,2,3,25,10000,0,0.833855,204
391,5,100,2,3,1,2,4,25,10000,0,1.271267,217
392,5,100,2,3,1,3,1,25,10000,0,0.844314,198
393,5,100,2,3,1,3,2,25,10000,0,1.058697,239
394,5,100,2,3,1,3,3,25,10000,0,1.015793,237
395,5,100,2,3,1,3,4,25,10000,0,1.389945,218
396,5,100,2,3,1,4,1,25,10000,0,0.916211,211
397,5,100,2,3,1,4,2,25,10000,0,1.24323,277
398,5,100,2,3,1,4,3,25,10000,0,1.154655,263
399,5,100,2,3,1,4,4,25,10000,0,1.450477,254
400,5,100,2,3,2,1,1,25,10000,0,1.007363,191
401,5,100,2,3,2,1,2,25,10000,0,1.119213,199
402,5,100,2,3,2,1,3,25,10000,0,0.917516,200
403,5,100,2,3,2,1,4,25,10000,0,1.32898,205
404,5,100,2,3,2,2,1,25,10000,0,1.021477,189
405,5,100,2,3,2,2,2,25,10000,0,1.000635,209
406,5,100,2,3,2,2,3,25,10000,0,1.141515,203
407,5,100,2,3,2,2,4,25,10000,0,1.536811,204
408,5,100,2,3,2,3,1,25,10000,0,1.033811,223
409,5,100,2,3,2,3,2,25,10000,0,1.157204,221
410,5,100,2,3,2,3,3,25,10000,0,1.181033,221
411,5,100,2,3,2,3,4,25,10000,0,1.335228,217
412,5,100,2,3,2,4,1,25,10000,0,1.084664,240
413,5,100,2,3,2,4,2,25,10000,0,1.144482,213
414,5,100,2,3,2,4,3,25,10000,0,1.034988,234
415,5,100,2,3,2,4,4,25,10000,0,1.59698,259
416,5,100,2,3,3,1,1,25,10000,0,0.908506,194
417,5,100,2,3,3,1,2,25,10000,0,1.032298,205
418,5,100,2,3,3,1,3,25,10000,0,0.991144,205
419,5,100,2,3,3,1,4,25,10000,0,1.364369,228
420,5,100,2,3,3,2,1,25,10000,0,0.892828,208
421,5,100,2,3,3,2,2,25,10000,0,1.011449,216
422,5,100,2,3,3,2,3,25,10000,0,1.062346,233
423,5,100,2,3,3,2,4,25,10000,0,1.359424,217
424,5,100,2,3,3,3,1,25,10000,0,1.064586,223
425,5,100,2,3,3,3,2,25,10000,0,1.246866,252
426,5,100,2,3,3,3,3,25,10000,0,1.10201,243
427,5,100,2,3,3,3,4,25,10000,0,1.262897,247
428,5,100,2,3,3,4,1,25,10000,0,1.110021,243
429,5,100,2,3,3,4,2,25,10000,0,1.219152,261
430,5,100,2,3,3,4,3,25,10000,0,1.161907,244
431,5,100,2,3,3,4,4,25,10000,0,1.431558,259
432,5,100,2,3,4,1,1,25,10000,0,0.953351,210
433,5,100,2,3,4,1,2,25,10000,0,1.084139,220
434,5,100,2,3,4,1,3,25,10000,0,1.235073,224
435,5,100,2,3,4,1,4,25,10000,0,1.397926,213
436,5,100,2,3,4,2,1,25,10000,0,0.996951,230
437,5,100,2,3,4,2,2,25,10000,0,1.207798,203
438,5,100,2,3,4,2,3,25,10000,0,1.094052,225
439,5,100,2,3,4,2,4,25,10000,0,1.371908,233
440,5,100,2,3,4,3,1,25,10000,0,1.170795,213
441,5,100,2,3,4,3,2,25,10000,0,1.194532,235
442,5,100,2,3,4,3,3,25,10000,0,1.073446,230
443,5,100,2,3,4,3,4,25,10000,0,1.503279,251
444,5,100,2,3,4,4,1,25,10000,0,1.089975,233
445,5,100,2,3,4,4,2,25,10000,0,1.163558,245
446,5,100,2,3,4,4,3,25,10000,0,1.082697,210
447,5,100,2,3,4,4,4,25,10000,0,1.429541,234
448,5,100,2,4,1,1,1,25,10000,0,0.927757,202
449,5,100,2,4,1,1,2,25,10000,0,0.887338,189
450,5,100,2,4,1,1,3,25,10000,0,0.86112,191
451,5,100,2,4,1,1,4,25,10000,0,1.070601,210
452,5,100,2,4,1,2,1,25,10000,0,0.88535,187
453,5,100,2,4,1,2,2,25,10000,0,1.101976,190
454,5,100,2,4,1,2,3,25,10000,0,1.105993,222
455,5,100,2,4,1,2,4,25,10000,0,1.366804,232
456,5,100,2,4,1,3,1,25,10000,0,1.070328,212
457,5,100,2,4,1,3,2,25,10000,0,1.116489,220
458,5,100,2,4,1,3,3,25,10000,0,1.028336,225
