n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_y,knob_I_B,obj1,obj2
128,518400,6,4,0,0.5552,206
129,518400,6,8,0,0.5184,227
130,518400,6,16,0,0.4817,216
131,518400,6,32,0,0.503,219
132,518400,7,1,0,0.7078,196
133,518400,7,2,0,0.5364,267
134,518400,7,4,0,0.5175,242
135,518400,7,8,0,0.4952,240
136,518400,7,16,0,0.4711,235
137,518400,7,32,0,0.4732,232
138,518400,8,1,0,0.6836,456
139,518400,8,2,0,0.5989,423
140,518400,8,4,0,0.5502,347
141,518400,8,8,0,0.5006,369
142,518400,8,16,0,0.5,363
143,518400,8,32,0,0.466,345
144,259200,1,1,0,0.6496,216
145,259200,1,2,0,0.5566,243
146,259200,1,4,0,0.5347,237
147,259200,1,8,0,0.5117,222
148,259200,1,16,0,0.4387,237
149,259200,1,32,0,0.4726,197
150,259200,2,1,0,0.6378,263
151,259200,2,2,0,0.5914,299
152,259200,2,4,0,0.4838,239
153,259200,2,8,0,0.4543,284
154,259200,2,16,0,0.466,223
155,259200,2,32,0,0.457,215
156,259200,3,1,0,0.6494,213
157,259200,3,2,0,0.5783,276
158,259200,3,4,0,0.5086,236
159,259200,3,8,0,0.4753,220
160,259200,3,16,0,0.466,210
161,259200,3,32,0,0.4744,221
162,259200,4,1,0,0.6959,399
163,259200,4,2,0,0.5483,360
164,259200,4,4,0,0.5498,346
165,259200,4,8,0,0.5146,337
166,259200,4,16,0,0.4921,330
167,259200,4,32,0,0.5074,355
168,259200,5,1,0,0.6749,269
169,259200,5,2,0,0.6245,359
170,259200,5,4,0,0.5493,303
171,259200,5,8,0,0.5246,276
172,259200,5,16,0,0.5207,328
173,259200,5,32,0,0.5091,329
174,259200,6,1,0,0.6492,311
175,259200,6,2,0,0.6263,364
176,259200,6,4,0,0.5492,303
177,259200,6,8,0,0.5044,339
178,259200,6,16,0,0.5154,287
179,259200,6,32,0,0.5073,282
180,259200,7,1,0,0.6813,260
181,259200,7,2,0,0.5621,429
182,259200,7,4,0,0.5231,386
183,259200,7,8,0,0.4956,348
184,259200,7,16,0,0.5052,325
185,259200,7,32,0,0.4867,350
186,259200,8,1,0,0.7103,613
187,259200,8,2,0,0.6111,647
188,259200,8,4,0,0.5714,434
189,259200,8,8,0,0.5086,445
190,259200,8,16,0,0.5282,404
191,259200,8,32,0,0.4953,449
192,129600,1,1,0,0.6491,346
193,129600,1,2,0,0.5958,395
194,129600,1,4,0,0.5141,345
195,129600,1,8,0,0.5101,401
196,129600,1,16,0,0.4675,397
197,129600,1,32,0,0.4533,352
198,129600,2,1,0,0.6469,403
199,129600,2,2,0,0.5954,491
200,129600,2,4,0,0.52,385
201,129600,2,8,0,0.4715,427
202,129600,2,16,0,0.4588,360
203,129600,2,32,0,0.4653,416
204,129600,3,1,0,0.672,354
205,129600,3,2,0,0.6073,453
206,129600,3,4,0,0.5358,406
207,129600,3,8,0,0.5145,463
208,129600,3,16,0,0.4851,468
209,129600,3,32,0,0.4907,402
210,129600,4,1,0,0.7295,686
211,129600,4,2,0,0.5869,643
212,129600,4,4,0,0.5701,488
213,129600,4,8,0,0.5317,484
214,129600,4,16,0,0.5099,538
215,129600,4,32,0,0.5072,566
216,129600,5,1,0,0.6802,425
217,129600,5,2,0,0.6187,622
218,129600,5,4,0,0.5639,497
219,129600,5,8,0,0.5361,510
220,129600,5,16,0,0.4942,566
221,129600,5,32,0,0.5182,405
222,129600,6,1,0,0.6714,532
223,129600,6,2,0,0.6247,614
224,129600,6,4,0,0.5535,579
225,129600,6,8,0,0.5295,583
226,129600,6,16,0,0.5134,548
227,129600,6,32,0,0.5115,508
228,129600,7,1,0,0.6936,481
229,129600,7,2,0,0.5912,660
230,129600,7,4,0,0.5491,650
231,129600,7,8,0,0.5187,655
232,129600,7,16,0,0.4921,591
233,129600,7,32,0,0.5085,521
234,129600,8,1,0,0.7392,1048
235,129600,8,2,0,0.5985,904
236,129600,8,4,0,0.5474,701
237,129600,8,8,0,0.5269,703
238,129600,8,16,0,0.4998,688
239,129600,8,32,0,0.517,664
240,414720,1,1,0,0.6161,224
241,414720,1,2,0,0.557,198
242,414720,1,4,0,0.4806,177
243,414720,1,8,0,0.4715,199
244,414720,1,16,0,0.4461,193
245,414720,1,32,0,0.4244,183
246,414720,2,1,0,0.5889,280
247,414720,2,2,0,0.4962,262
248,414720,2,4,0,0.5277,189
249,414720,2,8,0,0.4368,190
250,414720,2,16,0,0.4484,182
251,414720,2,32,0,0.404,182
252,414720,3,1,0,0.6243,237
253,414720,3,2,0,0.5341,235
254,414720,3,4,0,0.4312,200
255,414720,3,8,0,0.4637,202
256,414720,3,16,0,0.4625,217
257,414720,3,32,0,0.492,196
258,414720,4,1,0,0.5947,324
259,414720,4,2,0,0.5639,338
260,414720,4,4,0,0.5247,361
261,414720,4,8,0,0.4607,350
262,414720,4,16,0,0.4597,334
263,414720,4,32,0,0.4322,319
264,414720,5,1,0,0.5986,230
265,414720,5,2,0,0.5513,286
266,414720,5,4,0,0.5051,232
267,414720,5,8,0,0.4666,231
268,414720,5,16,0,0.4594,249
269,414720,5,32,0,0.435,233
270,414720,6,1,0,0.6392,276
271,414720,6,2,0,0.5668,325
272,414720,6,4,0,0.5509,253
273,414720,6,8,0,0.5158,268
274,414720,6,16,0,0.4857,256
275,414720,6,32,0,0.4792,282
276,414720,7,1,0,0.5963,223
277,414720,7,2,0,0.5679,305
278,414720,7,4,0,0.5113,258
279,414720,7,8,0,0.4468,258
280,414720,7,16,0,0.4634,258
281,414720,7,32,0,0.4455,253
282,414720,8,1,0,0.6624,530
283,414720,8,2,0,0.5687,467
284,414720,8,4,0,0.524,419
285,414720,8,8,0,0.4659,429
286,414720,8,16,0,0.4667,429
287,414720,8,32,0,0.4593,419
288,207360,1,1,0,0.5848,348
289,207360,1,2,0,0.4444,327
290,207360,1,4,0,0.4829,257
291,207360,1,8,0,0.431,263
292,207360,1,16,0,0.3782,247
293,207360,1,32,0,0.4579,247
294,207360,2,1,0,0.4582,418
295,207360,2,2,0,0.4737,375
296,207360,2,4,0,0.5471,307
297,207360,2,8,0,0.466,287
298,207360,2,16,0,0.4498,270
299,207360,2,32,0,0.4942,292
300,207360,3,1,0,0.5906,366
301,207360,3,2,0,0.4626,320
302,207360,3,4,0,0.5146,299
303,207360,3,8,0,0.4158,316
304,207360,3,16,0,0.4225,294
305,207360,3,32,0,0.5026,291
306,207360,4,1,0,0.6569,507
307,207360,4,2,0,0.5927,503
308,207360,4,4,0,0.5372,500
309,207360,4,8,0,0.5022,478
310,207360,4,16,0,0.5059,462
311,207360,4,32,0,0.4694,449
312,207360,5,1,0,0.5806,365
313,207360,5,2,0,0.537,436
314,207360,5,4,0,0.5415,348
315,207360,5,8,0,0.4955,363
316,207360,5,16,0,0.471,335
317,207360,5,32,0,0.4786,308
318,207360,6,1,0,0.573,417
319,207360,6,2,0,0.5497,485
320,207360,6,4,0,0.5042,404
321,207360,6,8,0,0.5129,388
322,207360,6,16,0,0.4701,386
323,207360,6,32,0,0.4405,392
324,207360,7,1,0,0.5262,326
325,207360,7,2,0,0.5193,514
326,207360,7,4,0,0.5389,390
327,207360,7,8,0,0.5164,364
328,207360,7,16,0,0.449,388
329,207360,7,32,0,0.4488,410
330,207360,8,1,0,0.6828,809
331,207360,8,2,0,0.5778,704
332,207360,8,4,0,0.5301,713
333,207360,8,8,0,0.4828,697
334,207360,8,16,0,0.4813,709
335,207360,8,32,0,0.5135,751
336,138240,1,1,0,0.5837,488
337,138240,1,2,0,0.4866,403
338,138240,1,4,0,0.5239,382
339,138240,1,8,0,0.4612,339
340,138240,1,16,0,0.4256,378
341,138240,1,32,0,0.4276,353
342,138240,2,1,0,0.575,519
343,138240,2,2,0,0.5256,474
344,138240,2,4,0,0.5174,364
345,138240,2,8,0,0.4647,379
346,138240,2,16,0,0.3847,454
347,138240,2,32,0,0.4192,423
348,138240,3,1,0,0.6263,472
349,138240,3,2,0,0.481,471
350,138240,3,4,0,0.466,422
351,138240,3,8,0,0.4578,369
352,138240,3,16,0,0.4434,413
353,138240,3,32,0,0.478,402
354,138240,4,1,0,0.6465,671
355,138240,4,2,0,0.5776,845
356,138240,4,4,0,0.5139,756
357,138240,4,8,0,0.4555,709
358,138240,4,16,0,0.4985,725
359,138240,4,32,0,0.4643,738
360,138240,5,1,0,0.6545,458
361,138240,5,2,0,0.5396,716
362,138240,5,4,0,0.4925,477
363,138240,5,8,0,0.4607,459
364,138240,5,16,0,0.4311,423
365,138240,5,32,0,0.4941,413
366,138240,6,1,0,0.592,624
367,138240,6,2,0,0.5511,622
368,138240,6,4,0,0.4967,536
369,138240,6,8,0,0.4666,561
370,138240,6,16,0,0.4696,530
371,138240,6,32,0,0.4176,564
372,138240,7,1,0,0.6083,457
373,138240,7,2,0,0.5364,613
374,138240,7,4,0,0.5043,457
375,138240,7,8,0,0.4909,515
376,138240,7,16,0,0.4964,503
377,138240,7,32,0,0.4473,513
378,138240,8,1,0,0.6659,1097
379,138240,8,2,0,0.5421,1004
380,138240,8,4,0,0.5163,1004
381,138240,8,8,0,0.4975,933
382,138240,8,16,0,0.4882,945
383,138240,8,32,0,0.4554,861
384,103680,1,1,0,0.6714,439
385,103680,1,2,0,0.6058,501
386,103680,1,4,0,0.5119,436
387,103680,1,8,0,0.5324,438
388,103680,1,16,0,0.5117,467
389,103680,1,32,0,0.4944,417
390,103680,2,1,0,0.6851,614
391,103680,2,2,0,0.6073,594
392,103680,2,4,0,0.5478,487
393,103680,2,8,0,0.5244,489
394,103680,2,16,0,0.5162,463
395,103680,2,32,0,0.5038,497
396,103680,3,1,0,0.6718,505
397,103680,3,2,0,0.5861,564
398,103680,3,4,0,0.5515,486
399,103680,3,8,0,0.5267,496
400,103680,3,16,0,0.5072,504
401,103680,3,32,0,0.5095,512
402,103680,4,1,0,0.7104,829
403,103680,4,2,0,0.633,877
404,103680,4,4,0,0.5565,771
405,103680,4,8,0,0.5326,715
406,103680,4,16,0,0.5136,757
407,103680,4,32,0,0.5044,714
408,103680,5,1,0,0.6842,673
409,103680,5,2,0,0.6248,748
410,103680,5,4,0,0.6218,605
411,103680,5,8,0,0.5465,652
412,103680,5,16,0,0.6636,596
413,103680,5,32,0,0.5296,534
414,103680,6,1,0,0.7145,742
415,103680,6,2,0,0.6356,773
416,103680,6,4,0,0.591,659
417,103680,6,8,0,0.5621,669
418,103680,6,16,0,0.5369,783
419,103680,6,32,0,0.5261,681
420,103680,7,1,0,0.6846,678
421,103680,7,2,0,0.615,737
422,103680,7,4,0,0.6455,710
423,103680,7,8,0,0.5174,702
424,103680,7,16,0,0.5162,715
425,103680,7,32,0,0.5198,630
426,103680,8,1,0,0.7942,1132
427,103680,8,2,0,0.6352,1177
428,103680,8,4,0,0.5683,1063
429,103680,8,8,0,0.5417,1116
430,103680,8,16,0,0.5228,1055
431,103680,8,32,0,0.5063,1068
432,82944,1,1,0,0.6486,772
433,82944,1,2,0,0.5473,662
434,82944,1,4,0,0.5004,513
435,82944,1,8,0,0.4783,514
436,82944,1,16,0,0.4807,549
437,82944,1,32,0,0.4551,590
438,82944,2,1,0,0.6503,919
439,82944,2,2,0,0.5875,853
440,82944,2,4,0,0.5305,630
441,82944,2,8,0,0.5092,667
442,82944,2,16,0,0.4897,584
443,82944,2,32,0,0.4815,652
444,82944,3,1,0,0.6373,715
445,82944,3,2,0,0.5648,675
446,82944,3,4,0,0.5454,623
447,82944,3,8,0,0.5243,578
448,82944,3,16,0,0.4843,632
449,82944,3,32,0,0.4615,724
450,82944,4,1,0,0.7149,1199
451,82944,4,2,0,0.5987,1194
452,82944,4,4,0,0.5354,913
453,82944,4,8,0,0.5335,904
454,82944,4,16,0,0.4789,950
455,82944,4,32,0,0.5014,855
456,82944,5,1,0,0.692,789
457,82944,5,2,0,0.6053,961
458,82944,5,4,0,0.5448,689
459,82944,5,8,0,0.5214,675
460,82944,5,16,0,0.5185,655
461,82944,5,32,0,0.5138,738
462,82944,6,1,0,0.6999,932
463,82944,6,2,0,0.6295,1015
464,82944,6,4,0,0.5602,777
465,82944,6,8,0,0.5464,767
466,82944,6,16,0,0.5309,801
467,82944,6,32,0,0.4879,821
468,82944,7,1,0,0.6888,891
469,82944,7,2,0,0.5821,882
470,82944,7,4,0,0.5672,857
471,82944,7,8,0,0.5405,743
472,82944,7,16,0,0.5017,772
473,82944,7,32,0,0.5042,754
474,82944,8,1,0,0.7212,1651
475,82944,8,2,0,0.6362,1704
476,82944,8,4,0,0.5605,1316
477,82944,8,8,0,0.5312,1403
478,82944,8,16,0,0.5196,1216
479,82944,8,32,0,0.5105,1238
