n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_y,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0055,1036800,2,2,0,0.5919,164,1044,288,1,0
0056,1036800,2,4,0,0.4793,140,876,249,1,0
0057,1036800,2,8,0,0.4442,144,876,252,1,0
0058,1036800,2,16,0,0.4425,151,893,253,1,0
0059,1036800,2,32,0,0.3934,148,889,254,1,0
0060,1036800,3,1,0,0.6131,155,927,362,1,0
0061,1036800,3,2,0,0.5494,156,1024,306,1,0
0062,1036800,3,4,0,0.4457,138,865,275,1,0
0063,1036800,3,8,0,0.3603,137,847,274,1,0
0064,1036800,3,16,0,0.4635,152,941,279,1,0
0065,1036800,3,32,0,0.4173,137,831,274,1,0
0066,1036800,4,1,0,0.5675,231,1471,378,1,0
0067,1036800,4,2,0,0.6078,242,1482,261,1,0
0068,1036800,4,4,0,0.4881,229,1408,224,1,0
0069,1036800,4,8,0,0.5119,223,1386,223,1,0
0070,1036800,4,16,0,0.4719,218,1367,228,1,0
0071,1036800,4,32,0,0.4862,218,1349,223,1,0
0072,1036800,5,1,0,0.6119,164,962,394,1,0
0073,1036800,5,2,0,0.6094,197,1235,344,1,0
0074,1036800,5,4,0,0.4770,190,1061,313,1,0
0075,1036800,5,8,0,0.4257,176,1035,312,1,0
0076,1036800,5,16,0,0.4770,181,1091,317,1,0
0077,1036800,5,32,0,0.4482,177,1037,312,1,0
0078,1036800,6,1,0,0.5427,197,1173,325,1,0
0079,1036800,6,2,0,0.6230,231,1408,362,1,0
0080,1036800,6,4,0,0.5060,200,1188,323,1,0
0081,1036800,6,8,0,0.4729,201,1190,326,1,0
0082,1036800,6,16,0,0.4593,204,1205,327,1,0
0083,1036800,6,32,0,0.4499,189,1195,328,1,0
0084,1036800,7,1,0,0.6014,151,872,320,1,0
0085,1036800,7,2,0,0.6035,217,1264,264,1,0
0086,1036800,7,4,0,0.4627,188,1087,233,1,0
0087,1036800,7,8,0,0.3830,173,1066,232,1,0
0088,1036800,7,16,0,0.4601,199,1158,237,1,0
0089,1036800,7,32,0,0.4324,195,1107,232,1,0
0090,1036800,8,1,0,0.5732,280,1670,437,1,0
0091,1036800,8,2,0,0.5563,308,1949,269,1,0
0092,1036800,8,4,0,0.4968,297,1829,224,1,0
0093,1036800,8,8,0,0.4643,279,1748,223,1,0
0094,1036800,8,16,0,0.4710,276,1695,220,1,0
0095,1036800,8,32,0,0.4591,287,1776,223,1,0
0096,518400,1,1,0,0.6310,148,1010,255,1,0
0097,518400,1,2,0,0.5440,153,975,311,1,0
0098,518400,1,4,0,0.4926,151,964,239,1,0
0099,518400,1,8,0,0.4579,159,935,246,1,0
0100,518400,1,16,0,0.4872,155,936,247,1,0
0101,518400,1,32,0,0.4556,145,907,248,1,0
0102,518400,2,1,0,0.6200,218,1321,307,1,0
0103,518400,2,2,0,0.5623,209,1316,338,1,0
0104,518400,2,4,0,0.5003,172,1025,257,1,0
0105,518400,2,8,0,0.4694,180,1040,259,1,0
0106,518400,2,16,0,0.4372,164,992,260,1,0
0107,518400,2,32,0,0.4665,169,998,261,1,0
0108,518400,3,1,0,0.6692,173,1083,311,1,0
0109,518400,3,2,0,0.5587,185,1173,343,1,0
0110,518400,3,4,0,0.4867,160,1044,283,1,0
0111,518400,3,8,0,0.4871,166,1066,283,1,0
0112,518400,3,16,0,0.4791,170,1053,284,1,0
0113,518400,3,32,0,0.4576,162,957,284,1,0
0114,518400,4,1,0,0.7006,319,2080,323,1,0
0115,518400,4,2,0,0.6110,296,1837,298,1,0
0116,518400,4,4,0,0.4655,239,1462,237,1,0
0117,518400,4,8,0,0.4650,236,1481,241,1,0
0118,518400,4,16,0,0.4970,232,1446,243,1,0
0119,518400,4,32,0,0.4402,227,1476,244,1,0
0120,518400,5,1,0,0.6726,207,1374,345,1,0
0121,518400,5,2,0,0.5605,236,1460,375,1,0
0122,518400,5,4,0,0.5608,248,1405,313,1,0
0123,518400,5,8,0,0.5000,235,1381,317,1,0
0124,518400,5,16,0,0.4825,223,1343,319,1,0
0125,518400,5,32,0,0.4958,204,1257,320,1,0
0126,518400,6,1,0,0.6265,251,1524,369,1,0
0127,518400,6,2,0,0.6221,282,1768,409,1,0
0128,518400,6,4,0,0.5552,206,1345,328,1,0
0129,518400,6,8,0,0.5184,227,1376,332,1,0
0130,518400,6,16,0,0.4817,216,1371,334,1,0
0131,518400,6,32,0,0.5030,219,1367,335,1,0
0132,518400,7,1,0,0.7078,196,1267,379,1,0
0133,518400,7,2,0,0.5364,267,1612,295,1,0
0134,518400,7,4,0,0.5175,242,1448,233,1,0
0135,518400,7,8,0,0.4952,240,1478,237,1,0
0136,518400,7,16,0,0.4711,235,1422,239,1,0
0137,518400,7,32,0,0.4732,232,1407,240,1,0
0138,518400,8,1,0,0.6836,456,2907,316,1,0
0139,518400,8,2,0,0.5989,423,2635,307,1,0
0140,518400,8,4,0,0.5502,347,2149,240,1,0
0141,518400,8,8,0,0.5006,369,2288,244,1,0
0142,518400,8,16,0,0.5000,363,2252,244,1,0
0143,518400,8,32,0,0.4660,345,2155,247,1,0
0144,259200,1,1,0,0.6496,216,1269,273,1,0
0145,259200,1,2,0,0.5566,243,1440,309,1,0
0146,259200,1,4,0,0.5347,237,1238,261,1,0
0147,259200,1,8,0,0.5117,222,1247,264,1,0
0148,259200,1,16,0,0.4387,237,1215,267,1,0
0149,259200,1,32,0,0.4726,197,1187,268,1,0
0150,259200,2,1,0,0.6378,263,1632,328,1,0
0151,259200,2,2,0,0.5914,299,1823,325,1,0
0152,259200,2,4,0,0.4838,239,1350,277,1,0
0153,259200,2,8,0,0.4543,284,1318,279,1,0
0154,259200,2,16,0,0.4660,223,1322,281,1,0
0155,259200,2,32,0,0.4570,215,1370,282,1,0
0156,259200,3,1,0,0.6494,213,1351,329,1,0
0157,259200,3,2,0,0.5783,276,1665,337,1,0
0158,259200,3,4,0,0.5086,236,1426,297,1,0
0159,259200,3,8,0,0.4753,220,1331,300,1,0
0160,259200,3,16,0,0.4660,210,1324,302,1,0
0161,259200,3,32,0,0.4744,221,1330,303,1,0
0162,259200,4,1,0,0.6959,399,2591,365,1,0
0163,259200,4,2,0,0.5483,360,2345,298,1,0
0164,259200,4,4,0,0.5498,346,2081,258,1,0
0165,259200,4,8,0,0.5146,337,1866,261,1,0
0166,259200,4,16,0,0.4921,330,1883,263,1,0
0167,259200,4,32,0,0.5074,355,1992,264,1,0
0168,259200,5,1,0,0.6749,269,1601,363,1,0
0169,259200,5,2,0,0.6245,359,2025,375,1,0
0170,259200,5,4,0,0.5493,303,1797,338,1,0
0171,259200,5,8,0,0.5246,276,1765,341,1,0
0172,259200,5,16,0,0.5207,328,1931,343,1,0
0173,259200,5,32,0,0.5091,329,1880,344,1,0
0174,259200,6,1,0,0.6492,311,1958,393,1,0
0175,259200,6,2,0,0.6263,364,2411,398,1,0
0176,259200,6,4,0,0.5492,303,1835,353,1,0
0177,259200,6,8,0,0.5044,339,1868,356,1,0
0178,259200,6,16,0,0.5154,287,1817,358,1,0
0179,259200,6,32,0,0.5073,282,1809,359,1,0
0180,259200,7,1,0,0.6813,260,1667,397,1,0
0181,259200,7,2,0,0.5621,429,2566,295,1,0
0182,259200,7,4,0,0.5231,386,2112,262,1,0
0183,259200,7,8,0,0.4956,348,1965,265,1,0
0184,259200,7,16,0,0.5052,325,2030,264,1,0
0185,259200,7,32,0,0.4867,350,1959,268,1,0
0186,259200,8,1,0,0.7103,613,3986,370,1,0
0187,259200,8,2,0,0.6111,647,4081,353,1,0
0188,259200,8,4,0,0.5714,434,2697,272,1,0
0189,259200,8,8,0,0.5086,445,2893,284,1,0
0190,259200,8,16,0,0.5282,404,2597,267,1,0
0191,259200,8,32,0,0.4953,449,2738,269,1,0
0192,129600,1,1,0,0.6491,346,1966,316,1,0
0193,129600,1,2,0,0.5958,395,2316,364,1,0
0194,129600,1,4,0,0.5141,345,1904,308,1,0
0195,129600,1,8,0,0.5101,401,1908,309,1,0
0196,129600,1,16,0,0.4675,397,1914,310,1,0
0197,129600,1,32,0,0.4533,352,1776,313,1,0
0198,129600,2,1,0,0.6469,403,2413,391,1,0
0199,129600,2,2,0,0.5954,491,2689,418,1,0
0200,129600,2,4,0,0.5200,385,2106,320,1,0
0201,129600,2,8,0,0.4715,427,2090,324,1,0
0202,129600,2,16,0,0.4588,360,2004,325,1,0
0203,129600,2,32,0,0.4653,416,2074,326,1,0
0204,129600,3,1,0,0.6720,354,2104,372,1,0
0205,129600,3,2,0,0.6073,453,2719,411,1,0
0206,129600,3,4,0,0.5358,406,2373,347,1,0
0207,129600,3,8,0,0.5145,463,2381,347,1,0
0208,129600,3,16,0,0.4851,468,2364,348,1,0
0209,129600,3,32,0,0.4907,402,2232,349,1,0
0210,129600,4,1,0,0.7295,686,4586,459,1,0
0211,129600,4,2,0,0.5869,643,4221,374,1,0
0212,129600,4,4,0,0.5701,488,2946,302,1,0
0213,129600,4,8,0,0.5317,484,2901,306,1,0
0214,129600,4,16,0,0.5099,538,2959,307,1,0
0215,129600,4,32,0,0.5072,566,3133,308,1,0
0216,129600,5,1,0,0.6802,425,2388,406,1,0
0217,129600,5,2,0,0.6187,622,3787,451,1,0
0218,129600,5,4,0,0.5639,497,2905,385,1,0
0219,129600,5,8,0,0.5361,510,2881,385,1,0
0220,129600,5,16,0,0.4942,566,3009,386,1,0
0221,129600,5,32,0,0.5182,405,2501,387,1,0
0222,129600,6,1,0,0.6714,532,2988,454,1,0
0223,129600,6,2,0,0.6247,614,3479,486,1,0
0224,129600,6,4,0,0.5535,579,3137,400,1,0
0225,129600,6,8,0,0.5295,583,2990,400,1,0
0226,129600,6,16,0,0.5134,548,2829,401,1,0
0227,129600,6,32,0,0.5115,508,2929,404,1,0
0228,129600,7,1,0,0.6936,481,2365,440,1,0
0229,129600,7,2,0,0.5912,660,4140,393,1,0
0230,129600,7,4,0,0.5491,650,3519,328,1,0
0231,129600,7,8,0,0.5187,655,3562,320,1,0
0232,129600,7,16,0,0.4921,591,3449,326,1,0
0233,129600,7,32,0,0.5085,521,2949,322,1,0
0234,129600,8,1,0,0.7392,1048,6627,468,1,0
0235,129600,8,2,0,0.5985,904,5750,367,1,0
0236,129600,8,4,0,0.5474,701,3972,305,1,0
0237,129600,8,8,0,0.5269,703,4152,316,1,0
0238,129600,8,16,0,0.4998,688,4195,307,1,0
0239,129600,8,32,0,0.5170,664,4063,325,1,0
0528,414720,1,1,0,0.6161,224,1443,281,1,0
0529,414720,1,2,0,0.5570,198,1232,282,1,0
0530,414720,1,4,0,0.4806,177,1090,253,1,0
0531,414720,1,8,0,0.4715,199,1098,253,1,0
0532,414720,1,16,0,0.4461,193,1083,252,1,0
0533,414720,1,32,0,0.4244,183,1048,255,1,0
0534,414720,2,1,0,0.5889,280,1717,343,1,0
0535,414720,2,2,0,0.4962,262,1571,295,1,0
0536,414720,2,4,0,0.5277,189,1178,269,1,0
0537,414720,2,8,0,0.4368,190,1124,270,1,0
0538,414720,2,16,0,0.4484,182,1139,269,1,0
0539,414720,2,32,0,0.4040,182,1106,272,1,0
0540,414720,3,1,0,0.6243,237,1487,351,1,0
0541,414720,3,2,0,0.5341,235,1424,317,1,0
0542,414720,3,4,0,0.4312,200,1204,287,1,0
0543,414720,3,8,0,0.4637,202,1128,288,1,0
0544,414720,3,16,0,0.4625,217,1228,289,1,0
0545,414720,3,32,0,0.4920,196,1224,290,1,0
0546,414720,4,1,0,0.5947,324,2059,390,1,0
0547,414720,4,2,0,0.5639,338,2114,259,1,0
0548,414720,4,4,0,0.5247,361,2032,240,1,0
0549,414720,4,8,0,0.4607,350,2025,241,1,0
0550,414720,4,16,0,0.4597,334,1985,238,1,0
0551,414720,4,32,0,0.4322,319,1978,243,1,0
0552,414720,5,1,0,0.5986,230,1465,383,1,0
0553,414720,5,2,0,0.5513,286,1709,353,1,0
0554,414720,5,4,0,0.5051,232,1432,324,1,0
0555,414720,5,8,0,0.4666,231,1378,325,1,0
0556,414720,5,16,0,0.4594,249,1386,324,1,0
0557,414720,5,32,0,0.4350,233,1373,327,1,0
0558,414720,6,1,0,0.6392,276,1711,313,1,0
0559,414720,6,2,0,0.5668,325,1989,365,1,0
0560,414720,6,4,0,0.5509,253,1641,343,1,0
0561,414720,6,8,0,0.5158,268,1617,344,1,0
0562,414720,6,16,0,0.4857,256,1577,343,1,0
0563,414720,6,32,0,0.4792,282,1584,346,1,0
0564,414720,7,1,0,0.5963,223,1410,309,1,0
0565,414720,7,2,0,0.5679,305,1837,273,1,0
0566,414720,7,4,0,0.5113,258,1591,244,1,0
0567,414720,7,8,0,0.4468,258,1558,245,1,0
0568,414720,7,16,0,0.4634,258,1573,244,1,0
0569,414720,7,32,0,0.4455,253,1540,247,1,0
0570,414720,8,1,0,0.6624,530,3244,440,1,0
0571,414720,8,2,0,0.5687,467,3015,277,1,0
0572,414720,8,4,0,0.5240,419,2635,247,1,0
0573,414720,8,8,0,0.4659,429,2607,245,1,0
0574,414720,8,16,0,0.4667,429,2588,246,1,0
0575,414720,8,32,0,0.4593,419,2580,248,1,0
0576,207360,1,1,0,0.5848,348,2072,366,1,0
0577,207360,1,2,0,0.4444,327,1924,339,1,0
0578,207360,1,4,0,0.4829,257,1445,290,1,0
0579,207360,1,8,0,0.4310,263,1488,292,1,0
0580,207360,1,16,0,0.3782,247,1443,291,1,0
0581,207360,1,32,0,0.4579,247,1435,295,1,0
0582,207360,2,1,0,0.4582,418,2501,422,1,0
0583,207360,2,2,0,0.4737,375,2287,351,1,0
0584,207360,2,4,0,0.5471,307,1824,305,1,0
0585,207360,2,8,0,0.4660,287,1740,309,1,0
0586,207360,2,16,0,0.4498,270,1733,307,1,0
0587,207360,2,32,0,0.4942,292,1780,311,1,0
0588,207360,3,1,0,0.5906,366,2203,438,1,0
0589,207360,3,2,0,0.4626,320,2007,370,1,0
0590,207360,3,4,0,0.5146,299,1762,324,1,0
0591,207360,3,8,0,0.4158,316,1766,328,1,0
0592,207360,3,16,0,0.4225,294,1684,328,1,0
0593,207360,3,32,0,0.5026,291,1709,330,1,0
0594,207360,4,1,0,0.6569,507,3214,442,1,0
0595,207360,4,2,0,0.5927,503,3235,313,1,0
0596,207360,4,4,0,0.5372,500,2867,272,1,0
0597,207360,4,8,0,0.5022,478,2863,276,1,0
0598,207360,4,16,0,0.5059,462,2835,274,1,0
0599,207360,4,32,0,0.4694,449,2819,278,1,0
0600,207360,5,1,0,0.5806,365,2033,470,1,0
0601,207360,5,2,0,0.5370,436,2536,405,1,0
0602,207360,5,4,0,0.5415,348,1935,361,1,0
0603,207360,5,8,0,0.4955,363,1961,365,1,0
0604,207360,5,16,0,0.4710,335,1925,363,1,0
0605,207360,5,32,0,0.4786,308,1982,367,1,0
0606,207360,6,1,0,0.5730,417,2453,396,1,0
0607,207360,6,2,0,0.5497,485,2941,421,1,0
0608,207360,6,4,0,0.5042,404,2390,379,1,0
0609,207360,6,8,0,0.5129,388,2368,383,1,0
0610,207360,6,16,0,0.4701,386,2241,381,1,0
0611,207360,6,32,0,0.4405,392,2337,385,1,0
0612,207360,7,1,0,0.5262,326,2016,396,1,0
0613,207360,7,2,0,0.5193,514,3135,326,1,0
0614,207360,7,4,0,0.5389,390,2246,285,1,0
0615,207360,7,8,0,0.5164,364,2187,285,1,0
0616,207360,7,16,0,0.4490,388,2212,283,1,0
0617,207360,7,32,0,0.4488,410,2203,287,1,0
0618,207360,8,1,0,0.6828,809,5446,508,1,0
0619,207360,8,2,0,0.5778,704,4335,332,1,0
0620,207360,8,4,0,0.5301,713,4209,269,1,0
0621,207360,8,8,0,0.4828,697,4203,270,1,0
0622,207360,8,16,0,0.4813,709,4526,301,1,0
0623,207360,8,32,0,0.5135,751,4864,300,1,0
0624,138240,1,1,0,0.5837,488,2777,413,1,0
0625,138240,1,2,0,0.4866,403,2404,369,1,0
0626,138240,1,4,0,0.5239,382,1945,301,1,0
0627,138240,1,8,0,0.4612,339,1908,305,1,0
0628,138240,1,16,0,0.4256,378,1936,304,1,0
0629,138240,1,32,0,0.4276,353,1914,307,1,0
0630,138240,2,1,0,0.5750,519,3173,434,1,0
0631,138240,2,2,0,0.5256,474,2835,379,1,0
0632,138240,2,4,0,0.5174,364,2319,320,1,0
0633,138240,2,8,0,0.4647,379,2315,324,1,0
0634,138240,2,16,0,0.3847,454,2306,323,1,0
0635,138240,2,32,0,0.4192,423,2277,326,1,0
0636,138240,3,1,0,0.6263,472,2807,450,1,0
0637,138240,3,2,0,0.4810,471,2763,398,1,0
0638,138240,3,4,0,0.4660,422,2246,339,1,0
0639,138240,3,8,0,0.4578,369,2256,343,1,0
0640,138240,3,16,0,0.4434,413,2193,342,1,0
0641,138240,3,32,0,0.4780,402,2253,345,1,0
0642,138240,4,1,0,0.6465,671,4021,458,1,0
0643,138240,4,2,0,0.5776,845,4709,343,1,0
0644,138240,4,4,0,0.5139,756,4453,289,1,0
0645,138240,4,8,0,0.4555,709,4301,291,1,0
0646,138240,4,16,0,0.4985,725,4427,299,1,0
0647,138240,4,32,0,0.4643,738,4372,295,1,0
0648,138240,5,1,0,0.6545,458,2670,482,1,0
0649,138240,5,2,0,0.5396,716,3804,438,1,0
0650,138240,5,4,0,0.4925,477,2522,377,1,0
0651,138240,5,8,0,0.4607,459,2528,381,1,0
0652,138240,5,16,0,0.4311,423,2487,380,1,0
0653,138240,5,32,0,0.4941,413,2447,383,1,0
0654,138240,6,1,0,0.5920,624,3700,411,1,0
0655,138240,6,2,0,0.5511,622,3859,452,1,0
0656,138240,6,4,0,0.4967,536,3112,395,1,0
0657,138240,6,8,0,0.4666,561,3172,399,1,0
0658,138240,6,16,0,0.4696,530,3144,398,1,0
0659,138240,6,32,0,0.4176,564,3136,401,1,0
0660,138240,7,1,0,0.6083,457,2535,408,1,0
0661,138240,7,2,0,0.5364,613,3894,357,1,0
0662,138240,7,4,0,0.5043,457,2756,297,1,0
0663,138240,7,8,0,0.4909,515,2831,301,1,0
0664,138240,7,16,0,0.4964,503,2857,300,1,0
0665,138240,7,32,0,0.4473,513,2860,303,1,0
0666,138240,8,1,0,0.6659,1097,6461,486,1,0
0667,138240,8,2,0,0.5421,1004,6147,344,1,0
0668,138240,8,4,0,0.5163,1004,5883,293,1,0
0669,138240,8,8,0,0.4975,933,5683,297,1,0
0670,138240,8,16,0,0.4882,945,5840,295,1,0
0671,138240,8,32,0,0.4554,861,5450,294,1,0
0672,103680,1,1,0,0.6714,439,2443,371,1,0
0673,103680,1,2,0,0.6058,501,2770,415,1,0
0674,103680,1,4,0,0.5119,436,2390,332,1,0
0675,103680,1,8,0,0.5324,438,2493,333,1,0
0676,103680,1,16,0,0.5117,467,2460,329,1,0
0677,103680,1,32,0,0.4944,417,2241,328,1,0
0678,103680,2,1,0,0.6851,614,3602,432,1,0
0679,103680,2,2,0,0.6073,594,3578,462,1,0
0680,103680,2,4,0,0.5478,487,2789,346,1,0
0681,103680,2,8,0,0.5244,489,2817,351,1,0
0682,103680,2,16,0,0.5162,463,2778,349,1,0
0683,103680,2,32,0,0.5038,497,2773,350,1,0
0684,103680,3,1,0,0.6718,505,2756,420,1,0
0685,103680,3,2,0,0.5861,564,3175,449,1,0
0686,103680,3,4,0,0.5515,486,2860,369,1,0
0687,103680,3,8,0,0.5267,496,2812,371,1,0
0688,103680,3,16,0,0.5072,504,2883,373,1,0
0689,103680,3,32,0,0.5095,512,2836,370,1,0
0690,103680,4,1,0,0.7104,829,5443,532,1,0
0691,103680,4,2,0,0.6330,877,5685,425,1,0
0692,103680,4,4,0,0.5565,771,4827,331,1,0
0693,103680,4,8,0,0.5326,715,4564,332,1,0
0694,103680,4,16,0,0.5136,757,4583,331,1,0
0695,103680,4,32,0,0.5044,714,4776,333,1,0
0696,103680,5,1,0,0.6842,673,3478,460,1,0
0697,103680,5,2,0,0.6248,748,3954,484,1,0
0698,103680,5,4,0,0.6218,605,3300,403,1,0
0699,103680,5,8,0,0.5465,652,3354,405,1,0
0700,103680,5,16,0,0.6636,596,3270,407,1,0
0701,103680,5,32,0,0.5296,534,3281,408,1,0
0702,103680,6,1,0,0.7145,742,4367,493,1,0
0703,103680,6,2,0,0.6356,773,4869,541,1,0
0704,103680,6,4,0,0.5910,659,3849,419,1,0
0705,103680,6,8,0,0.5621,669,3825,421,1,0
0706,103680,6,16,0,0.5369,783,3973,423,1,0
0707,103680,6,32,0,0.5261,681,3795,424,1,0
0708,103680,7,1,0,0.6846,678,3921,497,1,0
0709,103680,7,2,0,0.6150,737,4283,428,1,0
0710,103680,7,4,0,0.6455,710,3696,330,1,0
0711,103680,7,8,0,0.5174,702,3650,342,1,0
0712,103680,7,16,0,0.5162,715,3660,334,1,0
0713,103680,7,32,0,0.5198,630,3700,335,1,0
0714,103680,8,1,0,0.7942,1132,7633,564,1,0
0715,103680,8,2,0,0.6352,1177,7740,476,1,0
0716,103680,8,4,0,0.5683,1063,7076,368,1,0
0717,103680,8,8,0,0.5417,1116,7257,360,1,0
0718,103680,8,16,0,0.5228,1055,6896,364,1,0
0719,103680,8,32,0,0.5063,1068,6631,364,1,0
0720,82944,1,1,0,0.6486,772,3930,368,1,0
0721,82944,1,2,0,0.5473,662,3554,409,1,0
0722,82944,1,4,0,0.5004,513,2749,346,1,0
0723,82944,1,8,0,0.4783,514,2708,355,1,0
0724,82944,1,16,0,0.4807,549,2745,346,1,0
0725,82944,1,32,0,0.4551,590,2652,346,1,0
0726,82944,2,1,0,0.6503,919,5074,479,1,0
0727,82944,2,2,0,0.5875,853,4560,456,1,0
0728,82944,2,4,0,0.5305,630,3252,374,1,0
0729,82944,2,8,0,0.5092,667,3298,375,1,0
0730,82944,2,16,0,0.4897,584,3303,376,1,0
0731,82944,2,32,0,0.4815,652,3246,377,1,0
0732,82944,3,1,0,0.6373,715,3670,439,1,0
0733,82944,3,2,0,0.5648,675,3792,440,1,0
0734,82944,3,4,0,0.5454,623,3392,387,1,0
0735,82944,3,8,0,0.5243,578,3279,382,1,0
0736,82944,3,16,0,0.4843,632,3340,392,1,0
0737,82944,3,32,0,0.4615,724,3340,393,1,0
0738,82944,4,1,0,0.7149,1199,7661,563,1,0
0739,82944,4,2,0,0.5987,1194,7652,413,1,0
0740,82944,4,4,0,0.5354,913,5852,337,1,0
0741,82944,4,8,0,0.5335,904,5783,339,1,0
0742,82944,4,16,0,0.4789,950,6009,340,1,0
0743,82944,4,32,0,0.5014,855,5668,341,1,0
0744,82944,5,1,0,0.6920,789,4601,484,1,0
0745,82944,5,2,0,0.6053,961,5221,478,1,0
0746,82944,5,4,0,0.5448,689,3849,417,1,0
0747,82944,5,8,0,0.5214,675,3970,416,1,0
0748,82944,5,16,0,0.5185,655,3821,422,1,0
0749,82944,5,32,0,0.5138,738,3822,423,1,0
0750,82944,6,1,0,0.6999,932,6000,543,1,0
0751,82944,6,2,0,0.6295,1015,5929,540,1,0
0752,82944,6,4,0,0.5602,777,4440,447,1,0
0753,82944,6,8,0,0.5464,767,4712,450,1,0
0754,82944,6,16,0,0.5309,801,4549,450,1,0
0755,82944,6,32,0,0.4879,821,4403,451,1,0
0756,82944,7,1,0,0.6888,891,4837,518,1,0
0757,82944,7,2,0,0.5821,882,5025,415,1,0
0758,82944,7,4,0,0.5672,857,4447,354,1,0
0759,82944,7,8,0,0.5405,743,4425,351,1,0
0760,82944,7,16,0,0.5017,772,4478,354,1,0
0761,82944,7,32,0,0.5042,754,4269,355,1,0
0762,82944,8,1,0,0.7212,1651,10895,620,1,0
0763,82944,8,2,0,0.6362,1704,11058,485,1,0
0764,82944,8,4,0,0.5605,1316,8706,378,1,0
0765,82944,8,8,0,0.5312,1403,9304,402,1,0
0766,82944,8,16,0,0.5196,1216,8100,359,1,0
0767,82944,8,32,0,0.5105,1238,8078,354,1,0
