n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0045,2,1,2,1,128,2,0,0.000204,262,1014,460,1,0
0050,2,1,2,2,512,1,0,0.000150,121,578,386,1,0
0051,2,1,2,2,512,2,0,0.000150,121,578,386,1,0
0052,2,1,2,2,256,1,0,0.000180,193,761,393,1,0
0053,2,1,2,2,256,2,0,0.000180,193,761,393,1,0
0054,2,1,2,2,128,1,0,0.000171,202,1042,407,1,0
0055,2,1,2,2,128,2,0,0.000171,202,1042,407,1,0
0060,2,1,2,3,512,1,0,0.000246,148,789,459,1,0
0061,2,1,2,3,512,2,0,0.000246,148,789,459,1,0
0062,2,1,2,3,256,1,0,0.000253,220,1038,468,1,0
0063,2,1,2,3,256,2,0,0.000253,220,1038,468,1,0
0064,2,1,2,3,128,1,0,0.000286,315,1448,482,1,0
0065,2,1,2,3,128,2,0,0.000277,284,1456,484,1,0
0070,2,1,2,4,512,1,0,0.000039,91,536,213,1,0
0071,2,1,2,4,512,2,0,0.000039,91,536,213,1,0
0072,2,1,2,4,256,1,0,0.000037,150,753,248,1,0
0073,2,1,2,4,256,2,0,0.000037,150,753,248,1,0
0074,2,1,2,4,128,1,0,0.000046,222,1187,270,1,0
0075,2,1,2,4,128,2,0,0.000046,222,1187,270,1,0
0080,2,1,3,1,512,1,0,0.000146,119,572,434,1,0
0081,2,1,3,1,512,2,0,0.000147,113,572,434,1,0
0082,2,1,3,1,256,1,0,0.000175,178,755,444,1,0
0083,2,1,3,1,256,2,0,0.000171,171,739,444,1,0
0084,2,1,3,1,128,1,0,0.000226,236,1014,460,1,0
0085,2,1,3,1,128,2,0,0.000204,262,1014,460,1,0
0090,2,1,3,2,512,1,0,0.000150,121,578,386,1,0
0091,2,1,3,2,512,2,0,0.000150,121,578,386,1,0
0092,2,1,3,2,256,1,0,0.000180,193,761,393,1,0
0093,2,1,3,2,256,2,0,0.000180,193,761,393,1,0
0094,2,1,3,2,128,1,0,0.000171,202,1042,407,1,0
0095,2,1,3,2,128,2,0,0.000171,202,1042,407,1,0
0100,2,1,3,3,512,1,0,0.000246,148,789,459,1,0
0101,2,1,3,3,512,2,0,0.000246,148,789,459,1,0
0102,2,1,3,3,256,1,0,0.000253,220,1038,468,1,0
0103,2,1,3,3,256,2,0,0.000253,220,1038,468,1,0
0104,2,1,3,3,128,1,0,0.000286,315,1448,482,1,0
0105,2,1,3,3,128,2,0,0.000275,279,1456,484,1,0
0110,2,1,3,4,512,1,0,0.000039,91,536,213,1,0
0111,2,1,3,4,512,2,0,0.000039,91,536,213,1,0
0112,2,1,3,4,256,1,0,0.000037,150,753,248,1,0
0113,2,1,3,4,256,2,0,0.000037,150,753,248,1,0
0114,2,1,3,4,128,1,0,0.000046,222,1187,270,1,0
0115,2,1,3,4,128,2,0,0.000046,222,1187,270,1,0
0120,2,1,4,1,512,1,0,0.000146,119,572,434,1,0
0121,2,1,4,1,512,2,0,0.000147,113,572,434,1,0
0122,2,1,4,1,256,1,0,0.000175,178,755,444,1,0
0123,2,1,4,1,256,2,0,0.000171,171,739,444,1,0
0124,2,1,4,1,128,1,0,0.000226,236,1014,460,1,0
0125,2,1,4,1,128,2,0,0.000204,262,1014,460,1,0
0130,2,1,4,2,512,1,0,0.000150,121,578,386,1,0
0131,2,1,4,2,512,2,0,0.000150,121,578,386,1,0
0132,2,1,4,2,256,1,0,0.000180,193,761,393,1,0
0133,2,1,4,2,256,2,0,0.000180,193,761,393,1,0
0134,2,1,4,2,128,1,0,0.000171,202,1042,407,1,0
0135,2,1,4,2,128,2,0,0.000171,202,1042,407,1,0
0140,2,1,4,3,512,1,0,0.000246,148,789,459,1,0
0141,2,1,4,3,512,2,0,0.000246,148,789,459,1,0
0142,2,1,4,3,256,1,0,0.000253,220,1038,468,1,0
0143,2,1,4,3,256,2,0,0.000253,220,1038,468,1,0
0144,2,1,4,3,128,1,0,0.000286,315,1448,482,1,0
0145,2,1,4,3,128,2,0,0.000277,284,1456,484,1,0
0150,2,1,4,4,512,1,0,0.000039,91,536,213,1,0
0151,2,1,4,4,512,2,0,0.000039,91,536,213,1,0
0152,2,1,4,4,256,1,0,0.000037,150,753,248,1,0
0153,2,1,4,4,256,2,0,0.000037,150,753,248,1,0
0154,2,1,4,4,128,1,0,0.000046,222,1187,270,1,0
0155,2,1,4,4,128,2,0,0.000046,222,1187,270,1,0
0160,2,2,1,1,512,1,0,0.000148,142,751,444,1,0
0161,2,2,1,1,512,2,0,0.000144,146,731,444,1,0
0162,2,2,1,1,256,1,0,0.000153,204,886,451,1,0
0163,2,2,1,1,256,2,0,0.000145,201,885,451,1,0
0164,2,2,1,1,128,1,0,0.000176,252,1201,468,1,0
0165,2,2,1,1,128,2,0,0.000174,280,1203,467,1,0
0170,2,2,1,2,512,1,0,0.000146,129,619,421,1,0
0171,2,2,1,2,512,2,0,0.000146,129,619,421,1,0
0172,2,2,1,2,256,1,0,0.000138,196,943,426,1,0
0173,2,2,1,2,256,2,0,0.000138,196,943,426,1,0
0174,2,2,1,2,128,1,0,0.000159,248,1304,442,1,0
0175,2,2,1,2,128,2,0,0.000159,248,1304,442,1,0
0180,2,2,1,3,512,1,0,0.000243,174,939,515,1,0
0181,2,2,1,3,512,2,0,0.000243,174,939,515,1,0
0182,2,2,1,3,256,1,0,0.000261,255,1135,509,1,0
0183,2,2,1,3,256,2,0,0.000261,255,1135,509,1,0
0184,2,2,1,3,128,1,0,0.000273,295,1624,526,1,0
0185,2,2,1,3,128,2,0,0.000262,275,1512,524,1,0
0190,2,2,1,4,512,1,0,0.000037,147,805,266,1,0
0191,2,2,1,4,512,2,0,0.000037,147,805,266,1,0
0192,2,2,1,4,256,1,0,0.000036,238,1250,298,1,0
0193,2,2,1,4,256,2,0,0.000036,238,1250,298,1,0
0194,2,2,1,4,128,1,0,0.000040,325,1861,314,1,0
0195,2,2,1,4,128,2,0,0.000040,325,1861,314,1,0
0200,2,2,2,1,512,1,0,0.000148,142,751,444,1,0
0201,2,2,2,1,512,2,0,0.000144,146,731,444,1,0
0202,2,2,2,1,256,1,0,0.000153,204,886,451,1,0
0203,2,2,2,1,256,2,0,0.000145,201,885,451,1,0
0204,2,2,2,1,128,1,0,0.000176,252,1201,468,1,0
0205,2,2,2,1,128,2,0,0.000174,280,1203,467,1,0
0210,2,2,2,2,512,1,0,0.000146,129,619,421,1,0
0211,2,2,2,2,512,2,0,0.000146,129,619,421,1,0
0212,2,2,2,2,256,1,0,0.000138,196,943,426,1,0
0213,2,2,2,2,256,2,0,0.000138,196,943,426,1,0
0214,2,2,2,2,128,1,0,0.000159,248,1304,442,1,0
0215,2,2,2,2,128,2,0,0.000159,248,1304,442,1,0
0220,2,2,2,3,512,1,0,0.000243,174,939,515,1,0
0221,2,2,2,3,512,2,0,0.000243,174,939,515,1,0
0222,2,2,2,3,256,1,0,0.000261,255,1135,509,1,0
0223,2,2,2,3,256,2,0,0.000261,255,1135,509,1,0
0224,2,2,2,3,128,1,0,0.000273,295,1624,526,1,0
0225,2,2,2,3,128,2,0,0.000262,275,1512,524,1,0
0230,2,2,2,4,512,1,0,0.000037,147,805,266,1,0
0231,2,2,2,4,512,2,0,0.000037,147,805,266,1,0
0232,2,2,2,4,256,1,0,0.000036,238,1250,298,1,0
0233,2,2,2,4,256,2,0,0.000036,238,1250,298,1,0
0234,2,2,2,4,128,1,0,0.000040,325,1861,314,1,0
0235,2,2,2,4,128,2,0,0.000040,325,1861,314,1,0
0240,2,2,3,1,512,1,0,0.000148,142,751,444,1,0
0241,2,2,3,1,512,2,0,0.000144,146,731,444,1,0
0242,2,2,3,1,256,1,0,0.000153,207,885,451,1,0
0243,2,2,3,1,256,2,0,0.000145,201,885,451,1,0
0244,2,2,3,1,128,1,0,0.000176,252,1201,468,1,0
0245,2,2,3,1,128,2,0,0.000174,280,1203,467,1,0
0250,2,2,3,2,512,1,0,0.000146,129,619,421,1,0
0251,2,2,3,2,512,2,0,0.000146,129,619,421,1,0
0252,2,2,3,2,256,1,0,0.000138,196,943,426,1,0
0253,2,2,3,2,256,2,0,0.000138,196,943,426,1,0
0254,2,2,3,2,128,1,0,0.000159,248,1304,442,1,0
0255,2,2,3,2,128,2,0,0.000159,248,1304,442,1,0
0260,2,2,3,3,512,1,0,0.000243,174,939,515,1,0
0261,2,2,3,3,512,2,0,0.000243,174,939,515,1,0
0262,2,2,3,3,256,1,0,0.000261,255,1135,509,1,0
0263,2,2,3,3,256,2,0,0.000261,255,1135,509,1,0
0264,2,2,3,3,128,1,0,0.000273,295,1624,526,1,0
0265,2,2,3,3,128,2,0,0.000258,272,1512,524,1,0
0270,2,2,3,4,512,1,0,0.000037,147,805,266,1,0
0271,2,2,3,4,512,2,0,0.000037,147,805,266,1,0
0272,2,2,3,4,256,1,0,0.000036,238,1250,298,1,0
0273,2,2,3,4,256,2,0,0.000036,238,1250,298,1,0
0274,2,2,3,4,128,1,0,0.000040,325,1861,314,1,0
0275,2,2,3,4,128,2,0,0.000040,325,1861,314,1,0
0280,2,2,4,1,512,1,0,0.000148,142,751,444,1,0
0281,2,2,4,1,512,2,0,0.000144,146,731,444,1,0
0282,2,2,4,1,256,1,0,0.000153,204,886,451,1,0
0283,2,2,4,1,256,2,0,0.000145,201,885,451,1,0
0284,2,2,4,1,128,1,0,0.000176,252,1201,468,1,0
0285,2,2,4,1,128,2,0,0.000174,280,1203,467,1,0
0290,2,2,4,2,512,1,0,0.000146,129,619,421,1,0
0291,2,2,4,2,512,2,0,0.000146,129,619,421,1,0
0292,2,2,4,2,256,1,0,0.000138,196,943,426,1,0
0293,2,2,4,2,256,2,0,0.000138,196,943,426,1,0
0294,2,2,4,2,128,1,0,0.000159,248,1304,442,1,0
0295,2,2,4,2,128,2,0,0.000159,248,1304,442,1,0
0300,2,2,4,3,512,1,0,0.000243,174,939,515,1,0
0301,2,2,4,3,512,2,0,0.000243,174,939,515,1,0
0302,2,2,4,3,256,1,0,0.000261,255,1135,509,1,0
0303,2,2,4,3,256,2,0,0.000261,255,1135,509,1,0
0304,2,2,4,3,128,1,0,0.000273,295,1624,526,1,0
0305,2,2,4,3,128,2,0,0.000262,275,1512,524,1,0
0310,2,2,4,4,512,1,0,0.000037,147,805,266,1,0
0311,2,2,4,4,512,2,0,0.000037,147,805,266,1,0
0312,2,2,4,4,256,1,0,0.000036,238,1250,298,1,0
0313,2,2,4,4,256,2,0,0.000036,238,1250,298,1,0
0314,2,2,4,4,128,1,0,0.000040,325,1861,314,1,0
0315,2,2,4,4,128,2,0,0.000040,325,1861,314,1,0
0320,2,3,1,1,512,1,0,0.000139,141,709,466,1,0
0321,2,3,1,1,512,2,0,0.000135,144,706,466,1,0
0322,2,3,1,1,256,1,0,0.000190,217,999,475,1,0
0323,2,3,1,1,256,2,0,0.000178,205,995,475,1,0
0324,2,3,1,1,128,1,0,0.000188,334,1452,488,1,0
0325,2,3,1,1,128,2,0,0.000176,329,1449,488,1,0
0330,2,3,1,2,512,1,0,0.000152,158,769,449,1,0
0331,2,3,1,2,512,2,0,0.000152,158,769,449,1,0
0332,2,3,1,2,256,1,0,0.000167,219,1077,456,1,0
0333,2,3,1,2,256,2,0,0.000167,219,1077,456,1,0
0334,2,3,1,2,128,1,0,0.000183,367,1577,470,1,0
0335,2,3,1,2,128,2,0,0.000183,367,1577,470,1,0
0340,2,3,1,3,512,1,0,0.000296,230,1291,539,1,0
0341,2,3,1,3,512,2,0,0.000296,230,1291,539,1,0
0342,2,3,1,3,256,1,0,0.000300,321,1561,548,1,0
0343,2,3,1,3,256,2,0,0.000300,321,1561,548,1,0
0344,2,3,1,3,128,1,0,0.000291,403,2015,560,1,0
0345,2,3,1,3,128,2,0,0.000309,417,1943,560,1,0
0350,2,3,1,4,512,1,0,0.000034,163,879,351,1,0
0351,2,3,1,4,512,2,0,0.000034,163,879,351,1,0
0352,2,3,1,4,256,1,0,0.000040,251,1331,343,1,0
0353,2,3,1,4,256,2,0,0.000040,251,1331,343,1,0
0354,2,3,1,4,128,1,0,0.000038,390,2086,362,1,0
0355,2,3,1,4,128,2,0,0.000038,390,2086,362,1,0
0360,2,3,2,1,512,1,0,0.000139,141,709,466,1,0
0361,2,3,2,1,512,2,0,0.000135,144,706,466,1,0
0362,2,3,2,1,256,1,0,0.000190,217,999,475,1,0
0363,2,3,2,1,256,2,0,0.000178,205,995,475,1,0
0364,2,3,2,1,128,1,0,0.000188,334,1452,488,1,0
0365,2,3,2,1,128,2,0,0.000176,329,1449,488,1,0
0370,2,3,2,2,512,1,0,0.000152,158,769,449,1,0
0371,2,3,2,2,512,2,0,0.000152,158,769,449,1,0
0372,2,3,2,2,256,1,0,0.000167,219,1077,456,1,0
0373,2,3,2,2,256,2,0,0.000167,219,1077,456,1,0
0374,2,3,2,2,128,1,0,0.000182,365,1577,470,1,0
0375,2,3,2,2,128,2,0,0.000183,367,1577,470,1,0
0380,2,3,2,3,512,1,0,0.000296,230,1291,539,1,0
0381,2,3,2,3,512,2,0,0.000296,230,1291,539,1,0
0382,2,3,2,3,256,1,0,0.000300,321,1561,548,1,0
0383,2,3,2,3,256,2,0,0.000300,321,1561,548,1,0
0384,2,3,2,3,128,1,0,0.000291,403,2015,560,1,0
0385,2,3,2,3,128,2,0,0.000309,417,1943,560,1,0
0390,2,3,2,4,512,1,0,0.000034,163,879,351,1,0
0391,2,3,2,4,512,2,0,0.000034,163,879,351,1,0
0392,2,3,2,4,256,1,0,0.000040,251,1331,343,1,0
0393,2,3,2,4,256,2,0,0.000040,251,1331,343,1,0
0394,2,3,2,4,128,1,0,0.000038,390,2086,362,1,0
0395,2,3,2,4,128,2,0,0.000038,390,2086,362,1,0
0400,2,3,3,1,512,1,0,0.000139,141,709,466,1,0
0401,2,3,3,1,512,2,0,0.000135,144,706,466,1,0
0402,2,3,3,1,256,1,0,0.000190,217,999,475,1,0
0403,2,3,3,1,256,2,0,0.000178,205,995,475,1,0
0404,2,3,3,1,128,1,0,0.000188,334,1452,488,1,0
0405,2,3,3,1,128,2,0,0.000176,329,1449,488,1,0
0410,2,3,3,2,512,1,0,0.000152,158,769,449,1,0
0411,2,3,3,2,512,2,0,0.000152,158,769,449,1,0
0412,2,3,3,2,256,1,0,0.000167,219,1077,456,1,0
0413,2,3,3,2,256,2,0,0.000167,219,1077,456,1,0
0414,2,3,3,2,128,1,0,0.000183,367,1577,470,1,0
0415,2,3,3,2,128,2,0,0.000183,367,1577,470,1,0
0420,2,3,3,3,512,1,0,0.000296,230,1291,539,1,0
0421,2,3,3,3,512,2,0,0.000296,230,1291,539,1,0
0422,2,3,3,3,256,1,0,0.000300,321,1561,548,1,0
0423,2,3,3,3,256,2,0,0.000300,321,1561,548,1,0
0424,2,3,3,3,128,1,0,0.000291,403,2015,560,1,0
0425,2,3,3,3,128,2,0,0.000309,417,1943,560,1,0
0430,2,3,3,4,512,1,0,0.000034,163,879,351,1,0
0431,2,3,3,4,512,2,0,0.000034,163,879,351,1,0
0432,2,3,3,4,256,1,0,0.000040,251,1331,343,1,0
0433,2,3,3,4,256,2,0,0.000040,251,1331,343,1,0
0434,2,3,3,4,128,1,0,0.000038,390,2086,362,1,0
0435,2,3,3,4,128,2,0,0.000038,390,2086,362,1,0
0440,2,3,4,1,512,1,0,0.000139,141,709,466,1,0
0441,2,3,4,1,512,2,0,0.000135,144,706,466,1,0
0442,2,3,4,1,256,1,0,0.000190,217,999,475,1,0
0443,2,3,4,1,256,2,0,0.000178,205,995,475,1,0
0444,2,3,4,1,128,1,0,0.000188,334,1452,488,1,0
0445,2,3,4,1,128,2,0,0.000176,329,1449,488,1,0
0450,2,3,4,2,512,1,0,0.000152,158,769,449,1,0
0451,2,3,4,2,512,2,0,0.000152,158,769,449,1,0
0452,2,3,4,2,256,1,0,0.000164,218,1077,456,1,0
0453,2,3,4,2,256,2,0,0.000167,219,1077,456,1,0
0454,2,3,4,2,128,1,0,0.000183,367,1577,470,1,0
0455,2,3,4,2,128,2,0,0.000183,367,1577,470,1,0
0460,2,3,4,3,512,1,0,0.000296,230,1291,539,1,0
0461,2,3,4,3,512,2,0,0.000296,230,1291,539,1,0
0462,2,3,4,3,256,1,0,0.000300,321,1561,548,1,0
0463,2,3,4,3,256,2,0,0.000300,321,1561,548,1,0
0464,2,3,4,3,128,1,0,0.000291,403,2015,560,1,0
0465,2,3,4,3,128,2,0,0.000309,417,1943,560,1,0
0470,2,3,4,4,512,1,0,0.000034,163,879,351,1,0
0471,2,3,4,4,512,2,0,0.000034,163,879,351,1,0
0472,2,3,4,4,256,1,0,0.000040,251,1331,343,1,0
0473,2,3,4,4,256,2,0,0.000040,251,1331,343,1,0
0474,2,3,4,4,128,1,0,0.000038,393,2084,362,1,0
0475,2,3,4,4,128,2,0,0.000038,390,2086,362,1,0
0480,4,1,1,1,512,1,0,0.000146,119,572,434,1,0
0481,4,1,1,1,512,2,0,0.000147,113,572,434,1,0
0482,4,1,1,1,512,4,0,0.000153,93,441,314,1,0
0483,4,1,1,1,256,1,0,0.000175,178,755,444,1,0
0484,4,1,1,1,256,2,0,0.000171,171,739,444,1,0
0485,4,1,1,1,256,4,0,0.000146,131,595,322,1,0
0486,4,1,1,1,128,1,0,0.000226,236,1014,460,1,0
0487,4,1,1,1,128,2,0,0.000204,262,1014,460,1,0
0488,4,1,1,1,128,4,0,0.000204,193,840,337,1,0
0495,4,1,1,2,512,1,0,0.000150,121,578,386,1,0
0496,4,1,1,2,512,2,0,0.000150,121,578,386,1,0
0497,4,1,1,2,512,4,0,0.000164,103,559,386,1,0
0498,4,1,1,2,256,1,0,0.000180,193,761,393,1,0
0499,4,1,1,2,256,2,0,0.000180,193,761,393,1,0
0500,4,1,1,2,256,4,0,0.000173,183,757,393,1,0
0501,4,1,1,2,128,1,0,0.000171,202,1042,407,1,0
0502,4,1,1,2,128,2,0,0.000171,202,1042,407,1,0
0503,4,1,1,2,128,4,0,0.000166,205,1033,407,1,0
0510,4,1,1,3,512,1,0,0.000246,148,789,459,1,0
0511,4,1,1,3,512,2,0,0.000246,148,789,459,1,0
0512,4,1,1,3,512,4,0,0.000256,131,640,379,1,0
0513,4,1,1,3,256,1,0,0.000253,220,1038,468,1,0
0514,4,1,1,3,256,2,0,0.000253,220,1038,468,1,0
0515,4,1,1,3,256,4,0,0.000255,171,890,387,1,0
0516,4,1,1,3,128,1,0,0.000286,315,1448,482,1,0
0517,4,1,1,3,128,2,0,0.000277,284,1456,484,1,0
0518,4,1,1,3,128,4,0,0.000261,256,1302,404,1,0
0525,4,1,1,4,512,1,0,0.000039,91,536,213,1,0
0526,4,1,1,4,512,2,0,0.000039,91,536,213,1,0
0527,4,1,1,4,512,4,0,0.000048,107,554,294,1,0
0528,4,1,1,4,256,1,0,0.000037,150,753,248,1,0
0529,4,1,1,4,256,2,0,0.000037,150,753,248,1,0
0530,4,1,1,4,256,4,0,0.000051,187,920,314,1,0
0531,4,1,1,4,128,1,0,0.000046,222,1187,270,1,0
0532,4,1,1,4,128,2,0,0.000046,222,1187,270,1,0
0533,4,1,1,4,128,4,0,0.000059,287,1257,335,1,0
0540,4,1,2,1,512,1,0,0.000142,120,572,434,1,0
0541,4,1,2,1,512,2,0,0.000147,113,572,434,1,0
0542,4,1,2,1,512,4,0,0.000153,93,441,314,1,0
0543,4,1,2,1,256,1,0,0.000175,178,755,444,1,0
0544,4,1,2,1,256,2,0,0.000171,171,739,444,1,0
0545,4,1,2,1,256,4,0,0.000146,131,595,322,1,0
0546,4,1,2,1,128,1,0,0.000226,236,1014,460,1,0
0547,4,1,2,1,128,2,0,0.000204,262,1014,460,1,0
0548,4,1,2,1,128,4,0,0.000204,193,840,337,1,0
0555,4,1,2,2,512,1,0,0.000150,121,578,386,1,0
0556,4,1,2,2,512,2,0,0.000150,121,578,386,1,0
0557,4,1,2,2,512,4,0,0.000164,103,559,386,1,0
0558,4,1,2,2,256,1,0,0.000180,193,761,393,1,0
0559,4,1,2,2,256,2,0,0.000180,193,761,393,1,0
0560,4,1,2,2,256,4,0,0.000173,183,757,393,1,0
0561,4,1,2,2,128,1,0,0.000171,202,1042,407,1,0
0562,4,1,2,2,128,2,0,0.000171,202,1042,407,1,0
0563,4,1,2,2,128,4,0,0.000166,205,1033,407,1,0
0570,4,1,2,3,512,1,0,0.000246,148,789,459,1,0
0571,4,1,2,3,512,2,0,0.000246,148,789,459,1,0
0572,4,1,2,3,512,4,0,0.000256,131,640,379,1,0
0573,4,1,2,3,256,1,0,0.000253,220,1038,468,1,0
0574,4,1,2,3,256,2,0,0.000253,220,1038,468,1,0
0575,4,1,2,3,256,4,0,0.000255,171,890,387,1,0
0576,4,1,2,3,128,1,0,0.000286,315,1448,482,1,0
0577,4,1,2,3,128,2,0,0.000277,284,1456,484,1,0
0578,4,1,2,3,128,4,0,0.000261,256,1302,404,1,0
0585,4,1,2,4,512,1,0,0.000039,91,536,213,1,0
0586,4,1,2,4,512,2,0,0.000039,91,536,213,1,0
0587,4,1,2,4,512,4,0,0.000048,107,554,294,1,0
0588,4,1,2,4,256,1,0,0.000037,150,753,248,1,0
0589,4,1,2,4,256,2,0,0.000037,150,753,248,1,0
0590,4,1,2,4,256,4,0,0.000051,187,920,314,1,0
0591,4,1,2,4,128,1,0,0.000046,222,1187,270,1,0
0592,4,1,2,4,128,2,0,0.000046,222,1187,270,1,0
0593,4,1,2,4,128,4,0,0.000058,293,1257,335,1,0
0600,4,1,3,1,512,1,0,0.000146,119,572,434,1,0
0601,4,1,3,1,512,2,0,0.000147,113,572,434,1,0
0602,4,1,3,1,512,4,0,0.000153,93,441,314,1,0
0603,4,1,3,1,256,1,0,0.000175,178,755,444,1,0
0604,4,1,3,1,256,2,0,0.000171,171,739,444,1,0
0605,4,1,3,1,256,4,0,0.000146,131,595,322,1,0
0606,4,1,3,1,128,1,0,0.000226,236,1014,460,1,0
0607,4,1,3,1,128,2,0,0.000204,262,1014,460,1,0
0608,4,1,3,1,128,4,0,0.000204,193,840,337,1,0
0615,4,1,3,2,512,1,0,0.000153,118,578,386,1,0
0616,4,1,3,2,512,2,0,0.000150,121,578,386,1,0
0617,4,1,3,2,512,4,0,0.000164,103,559,386,1,0
0618,4,1,3,2,256,1,0,0.000180,193,761,393,1,0
0619,4,1,3,2,256,2,0,0.000180,193,761,393,1,0
0620,4,1,3,2,256,4,0,0.000173,183,757,393,1,0
0621,4,1,3,2,128,1,0,0.000171,202,1042,407,1,0
0622,4,1,3,2,128,2,0,0.000171,202,1042,407,1,0
0623,4,1,3,2,128,4,0,0.000166,205,1033,407,1,0
0630,4,1,3,3,512,1,0,0.000246,148,789,459,1,0
0631,4,1,3,3,512,2,0,0.000246,148,789,459,1,0
0632,4,1,3,3,512,4,0,0.000256,131,640,379,1,0
0633,4,1,3,3,256,1,0,0.000253,220,1038,468,1,0
0634,4,1,3,3,256,2,0,0.000253,220,1038,468,1,0
0635,4,1,3,3,256,4,0,0.000255,171,890,387,1,0
0636,4,1,3,3,128,1,0,0.000286,315,1448,482,1,0
0637,4,1,3,3,128,2,0,0.000277,284,1456,484,1,0
0638,4,1,3,3,128,4,0,0.000261,256,1302,404,1,0
0645,4,1,3,4,512,1,0,0.000039,91,536,213,1,0
0646,4,1,3,4,512,2,0,0.000039,91,536,213,1,0
0647,4,1,3,4,512,4,0,0.000048,107,554,294,1,0
0648,4,1,3,4,256,1,0,0.000037,150,753,248,1,0
0649,4,1,3,4,256,2,0,0.000037,150,753,248,1,0
0650,4,1,3,4,256,4,0,0.000051,187,920,314,1,0
0651,4,1,3,4,128,1,0,0.000046,222,1187,270,1,0
0652,4,1,3,4,128,2,0,0.000046,222,1187,270,1,0
0653,4,1,3,4,128,4,0,0.000058,293,1257,335,1,0
0660,4,1,4,1,512,1,0,0.000146,119,572,434,1,0
0661,4,1,4,1,512,2,0,0.000147,113,572,434,1,0
0662,4,1,4,1,512,4,0,0.000153,93,441,314,1,0
0663,4,1,4,1,256,1,0,0.000175,178,755,444,1,0
0664,4,1,4,1,256,2,0,0.000171,171,739,444,1,0
0665,4,1,4,1,256,4,0,0.000146,131,595,322,1,0
0666,4,1,4,1,128,1,0,0.000226,236,1014,460,1,0
0667,4,1,4,1,128,2,0,0.000204,262,1014,460,1,0
0668,4,1,4,1,128,4,0,0.000204,193,840,337,1,0
0675,4,1,4,2,512,1,0,0.000150,121,578,386,1,0
0676,4,1,4,2,512,2,0,0.000150,121,578,386,1,0
0677,4,1,4,2,512,4,0,0.000164,103,559,386,1,0
0678,4,1,4,2,256,1,0,0.000180,193,761,393,1,0
0679,4,1,4,2,256,2,0,0.000180,193,761,393,1,0
0680,4,1,4,2,256,4,0,0.000173,183,757,393,1,0
0681,4,1,4,2,128,1,0,0.000171,202,1042,407,1,0
0682,4,1,4,2,128,2,0,0.000171,202,1042,407,1,0
0683,4,1,4,2,128,4,0,0.000166,205,1033,407,1,0
0690,4,1,4,3,512,1,0,0.000246,148,789,459,1,0
0691,4,1,4,3,512,2,0,0.000246,148,789,459,1,0
0692,4,1,4,3,512,4,0,0.000256,131,640,379,1,0
0693,4,1,4,3,256,1,0,0.000253,220,1038,468,1,0
0694,4,1,4,3,256,2,0,0.000253,220,1038,468,1,0
0695,4,1,4,3,256,4,0,0.000255,171,890,387,1,0
0696,4,1,4,3,128,1,0,0.000286,315,1448,482,1,0
0697,4,1,4,3,128,2,0,0.000277,284,1456,484,1,0
0698,4,1,4,3,128,4,0,0.000261,256,1302,404,1,0
0705,4,1,4,4,512,1,0,0.000039,91,536,213,1,0
0706,4,1,4,4,512,2,0,0.000039,91,536,213,1,0
