n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2,FF
197,16,1,3,2,4,4,0,6.80E-05,12627.02,1405
198,16,1,3,2,4,8,0,7.70E-05,15472.156,1809
199,16,1,3,2,4,16,0,0.000112,16345.966,1843
200,16,1,3,3,1,1,0,0.000124,9665.908,884
201,16,1,3,3,1,2,0,0.000133,13688.36,1374
202,16,1,3,3,1,4,0,0.000129,13887.86,1414
203,16,1,3,3,1,8,0,0.000131,15620.052,1561
204,16,1,3,3,1,16,0,0.000123,19057.836,1827
205,16,1,3,3,2,1,0,0.000127,9607.654,867
206,16,1,3,3,2,2,0,0.00013,12659.738,1373
207,16,1,3,3,2,4,0,0.000136,14002.772,1410
208,16,1,3,3,2,8,0,0.000129,15218.924,1559
209,16,1,3,3,2,16,0,0.000124,18551.904,1826
210,16,1,3,3,3,1,0,0.000115,9398.578,884
211,16,1,3,3,3,2,0,0.000129,14101.192,1310
212,16,1,3,3,3,4,0,0.000127,14358.68,1417
213,16,1,3,3,3,8,0,0.000133,15776.726,1561
214,16,1,3,3,3,16,0,0.000121,20620.055,1955
215,16,1,3,3,4,1,0,9.70E-05,9682.932,861
216,16,1,3,3,4,2,0,0.000108,12341.07,1371
217,16,1,3,3,4,4,0,0.000104,12750.444,1413
218,16,1,3,3,4,8,0,0.000108,14669.9,1561
219,16,1,3,3,4,16,0,0.000108,18523.441,1828
220,16,1,3,4,1,1,0,0.000165,11579.778,1017
221,16,1,3,4,1,2,0,0.000169,15607.816,1474
222,16,1,3,4,1,4,0,0.000163,18269.146,1900
223,16,1,3,4,1,8,0,0.000161,17955.799,1917
224,16,1,3,4,1,16,0,0.00012,19278.35,1912
225,16,1,3,4,2,1,0,0.000136,10994.312,1000
226,16,1,3,4,2,2,0,0.000141,14573.874,1473
227,16,1,3,4,2,4,0,0.000135,17776.248,1896
228,16,1,3,4,2,8,0,0.000137,17841.949,1915
229,16,1,3,4,2,16,0,9.00E-05,18990.805,1911
230,16,1,3,4,3,1,0,0.000171,11842.054,1017
231,16,1,3,4,3,2,0,0.000167,15477.742,1410
232,16,1,3,4,3,4,0,0.000158,18527.432,1903
233,16,1,3,4,3,8,0,0.000165,17949.68,1917
234,16,1,3,4,3,16,0,0.000121,20888.715,2072
235,16,1,3,4,4,1,0,0.00013,10968.776,994
236,16,1,3,4,4,2,0,0.00014,14605.262,1471
237,16,1,3,4,4,4,0,0.000134,14755.818,1515
238,16,1,3,4,4,8,0,0.00014,17437.631,1917
239,16,1,3,4,4,16,0,9.10E-05,18992.4,1913
240,16,1,4,1,1,1,0,3.40E-05,9198.546,869
241,16,1,4,1,1,2,0,4.20E-05,13036.66,1358
242,16,1,4,1,1,4,0,4.10E-05,13523.972,1403
243,16,1,4,1,1,8,0,6.70E-05,15111.992,1548
244,16,1,4,1,1,16,0,3.90E-05,12152.476,1255
245,16,1,4,1,2,1,0,4.20E-05,8899.828,850
246,16,1,4,1,2,2,0,5.20E-05,11927.972,1354
247,16,1,4,1,2,4,0,5.20E-05,13300.266,1394
248,16,1,4,1,2,8,0,4.40E-05,14882.434,1544
249,16,1,4,1,2,16,0,4.00E-05,11477.9,1251
250,16,1,4,1,3,1,0,4.30E-05,9049.32,869
251,16,1,4,1,3,2,0,7.80E-05,13475.56,1295
252,16,1,4,1,3,4,0,5.40E-05,13716.822,1406
253,16,1,4,1,3,8,0,7.30E-05,15442.364,1549
254,16,1,4,1,3,16,0,3.90E-05,13876.156,1479
255,16,1,4,1,4,1,0,3.40E-05,9056.502,842
256,16,1,4,1,4,2,0,5.20E-05,11868.654,1350
257,16,1,4,1,4,4,0,4.10E-05,12630.744,1397
258,16,1,4,1,4,8,0,4.90E-05,15108.8,1544
259,16,1,4,1,4,16,0,3.10E-05,12046.874,1249
260,16,1,4,2,1,1,0,9.90E-05,10092.838,971
261,16,1,4,2,1,2,0,0.000124,14738.262,1426
262,16,1,4,2,1,4,0,0.000102,17134.656,1852
263,16,1,4,2,1,8,0,0.00011,17397.465,1869
264,16,1,4,2,1,16,0,0.000134,18267.283,1900
265,16,1,4,2,2,1,0,0.000118,10341.282,955
266,16,1,4,2,2,2,0,0.000128,13389.376,1426
267,16,1,4,2,2,4,0,0.00011,17074.273,1849
268,16,1,4,2,2,8,0,0.000111,17193.707,1868
269,16,1,4,2,2,16,0,0.000135,17663.73,1900
270,16,1,4,2,3,1,0,0.000124,10443.426,971
271,16,1,4,2,3,2,0,0.000145,15198.176,1362
272,16,1,4,2,3,4,0,0.000127,17374.588,1854
273,16,1,4,2,3,8,0,0.000128,17452.525,1869
274,16,1,4,2,3,16,0,0.000141,19288.191,1996
275,16,1,4,2,4,1,0,0.000108,10201.632,947
276,16,1,4,2,4,2,0,0.000121,13796.356,1422
277,16,1,4,2,4,4,0,0.000109,14141.092,1468
278,16,1,4,2,4,8,0,0.000108,16885.148,1868
279,16,1,4,2,4,16,0,0.000127,17578.078,1900
280,16,1,4,3,1,1,0,0.000137,10869.558,942
281,16,1,4,3,1,2,0,0.000153,14759.542,1432
282,16,1,4,3,1,4,0,0.000161,14975.534,1473
283,16,1,4,3,1,8,0,0.000162,16354.744,1620
284,16,1,4,3,1,16,0,0.000141,19911.43,1890
285,16,1,4,3,2,1,0,0.000131,10395.812,925
286,16,1,4,3,2,2,0,0.000157,13919.78,1432
287,16,1,4,3,2,4,0,0.000166,14973.672,1470
288,16,1,4,3,2,8,0,0.000156,16336.922,1618
289,16,1,4,3,2,16,0,0.000138,19387.676,1890
290,16,1,4,3,3,1,0,0.000167,10703.042,942
291,16,1,4,3,3,2,0,0.000184,15226.638,1368
292,16,1,4,3,3,4,0,0.000166,15135.932,1475
293,16,1,4,3,3,8,0,0.000175,16426.031,1620
294,16,1,4,3,3,16,0,0.000152,21437.738,2018
295,16,1,4,3,4,1,0,0.000128,10464.972,917
296,16,1,4,3,4,2,0,0.000157,14036.82,1428
297,16,1,4,3,4,4,0,0.000158,14195.09,1473
298,16,1,4,3,4,8,0,0.000157,16351.02,1618
299,16,1,4,3,4,16,0,0.00014,20100.023,1888
300,16,1,4,4,1,1,0,0.000244,14423.584,1144
301,16,1,4,4,1,2,0,0.000216,16488.01,1534
302,16,1,4,4,1,4,0,0.000197,19571.748,1958
303,16,1,4,4,1,8,0,0.000215,19562.703,1984
304,16,1,4,4,1,16,0,0.000156,21195.146,1966
305,16,1,4,4,2,1,0,0.000187,14288.988,1128
306,16,1,4,4,2,2,0,0.000234,16297.82,1534
307,16,1,4,4,2,4,0,0.000221,19712.729,1955
308,16,1,4,4,2,8,0,0.000195,19273.562,1983
309,16,1,4,4,2,16,0,0.000159,20668.199,1966
310,16,1,4,4,3,1,0,0.000258,13851.95,1144
311,16,1,4,4,3,2,0,0.000234,17341.072,1471
312,16,1,4,4,3,4,0,0.000233,19611.383,1960
313,16,1,4,4,3,8,0,0.000216,19714.855,1984
314,16,1,4,4,3,16,0,0.000159,22798.328,2126
315,16,1,4,4,4,1,0,0.000187,13855.408,1120
316,16,1,4,4,4,2,0,0.000191,15805.454,1530
317,16,1,4,4,4,4,0,0.000195,16489.074,1574
318,16,1,4,4,4,8,0,0.000184,18960.48,1983
319,16,1,4,4,4,16,0,0.000159,21248.611,1966
320,16,2,1,1,1,1,0,1.10E-05,8200.248,813
321,16,2,1,1,1,2,0,1.40E-05,11872.91,1298
322,16,2,1,1,1,4,0,1.30E-05,12558.392,1345
323,16,2,1,1,1,8,0,1.30E-05,14063.686,1492
324,16,2,1,1,1,16,0,1.00E-05,11350.752,1198
325,16,2,1,1,2,1,0,1.10E-05,7871.206,796
326,16,2,1,1,2,2,0,1.40E-05,11120.662,1297
327,16,2,1,1,2,4,0,1.40E-05,12541.368,1341
328,16,2,1,1,2,8,0,1.30E-05,13975.906,1490
329,16,2,1,1,2,16,0,9.00E-06,10749.592,1197
330,16,2,1,1,3,1,0,1.10E-05,8125.502,814
331,16,2,1,1,3,2,0,1.20E-05,12487.37,1235
332,16,2,1,1,3,4,0,1.40E-05,12791.408,1349
333,16,2,1,1,3,8,0,1.30E-05,14183.12,1493
334,16,2,1,1,3,16,0,1.00E-05,13967.394,1422
335,16,2,1,1,4,1,0,1.10E-05,7800.982,788
336,16,2,1,1,4,2,0,1.30E-05,10923.024,1293
337,16,2,1,1,4,4,0,1.30E-05,11573.926,1344
338,16,2,1,1,4,8,0,1.30E-05,13970.32,1490
339,16,2,1,1,4,16,0,1.00E-05,11100.18,1197
340,16,2,1,2,1,1,0,3.20E-05,8751.932,910
341,16,2,1,2,1,2,0,3.50E-05,12913.502,1366
342,16,2,1,2,1,4,0,3.30E-05,15838.97,1793
343,16,2,1,2,1,8,0,3.20E-05,16062.144,1813
344,16,2,1,2,1,16,0,3.70E-05,16664.635,1848
345,16,2,1,2,2,1,0,3.80E-05,8632.232,892
346,16,2,1,2,2,2,0,4.10E-05,11916.002,1364
347,16,2,1,2,2,4,0,3.80E-05,15712.886,1788
348,16,2,1,2,2,8,0,3.80E-05,15896.16,1810
349,16,2,1,2,2,16,0,3.60E-05,16347.828,1846
350,16,2,1,2,3,1,0,3.60E-05,8792.098,910
351,16,2,1,2,3,2,0,4.10E-05,13303.99,1302
352,16,2,1,2,3,4,0,3.80E-05,15951.754,1797
353,16,2,1,2,3,8,0,3.80E-05,16028.894,1813
354,16,2,1,2,3,16,0,3.40E-05,18921.645,1943
355,16,2,1,2,4,1,0,3.50E-05,8612.282,884
356,16,2,1,2,4,2,0,3.80E-05,11915.204,1360
357,16,2,1,2,4,4,0,3.20E-05,12741.4,1407
358,16,2,1,2,4,8,0,3.20E-05,15501.15,1810
359,16,2,1,2,4,16,0,3.20E-05,16154.978,1846
360,16,2,1,3,1,1,0,4.30E-05,9159.178,887
361,16,2,1,3,1,2,0,3.50E-05,13022.828,1376
362,16,2,1,3,1,4,0,4.60E-05,13390.174,1419
363,16,2,1,3,1,8,0,4.00E-05,14971.278,1567
364,16,2,1,3,1,16,0,3.40E-05,19220.096,1834
365,16,2,1,3,2,1,0,3.50E-05,9060.492,869
366,16,2,1,3,2,2,0,3.60E-05,12050.066,1374
367,16,2,1,3,2,4,0,3.50E-05,13320.748,1414
368,16,2,1,3,2,8,0,3.50E-05,14809.018,1564
369,16,2,1,3,2,16,0,3.40E-05,18737.838,1832
370,16,2,1,3,3,1,0,3.90E-05,9084.166,887
371,16,2,1,3,3,2,0,3.60E-05,14016.072,1313
372,16,2,1,3,3,4,0,4.00E-05,13991.334,1424
373,16,2,1,3,3,8,0,4.00E-05,15239.672,1568
374,16,2,1,3,3,16,0,3.10E-05,21617.82,1961
375,16,2,1,3,4,1,0,4.50E-05,9033.892,861
376,16,2,1,3,4,2,0,3.50E-05,12001.388,1370
377,16,2,1,3,4,4,0,4.50E-05,12416.348,1417
378,16,2,1,3,4,8,0,3.90E-05,14868.868,1564
379,16,2,1,3,4,16,0,3.40E-05,19205.467,1832
380,16,2,1,4,1,1,0,5.30E-05,11364.85,1086
381,16,2,1,4,1,2,0,5.40E-05,15137.794,1476
382,16,2,1,4,1,4,0,5.20E-05,18387.516,1901
383,16,2,1,4,1,8,0,5.10E-05,17896.746,1921
384,16,2,1,4,1,16,0,3.90E-05,19598.082,1915
385,16,2,1,4,2,1,0,5.30E-05,11240.096,1068
386,16,2,1,4,2,2,0,5.40E-05,14213.71,1474
387,16,2,1,4,2,4,0,5.10E-05,18134.816,1896
388,16,2,1,4,2,8,0,5.20E-05,17765.607,1918
389,16,2,1,4,2,16,0,3.90E-05,19087.096,1913
390,16,2,1,4,3,1,0,4.90E-05,11754.54,1086
391,16,2,1,4,3,2,0,4.80E-05,15869.028,1412
392,16,2,1,4,3,4,0,4.60E-05,18610.424,1905
393,16,2,1,4,3,8,0,4.30E-05,18101.033,1921
394,16,2,1,4,3,16,0,3.90E-05,21197.807,2075
395,16,2,1,4,4,1,0,5.20E-05,11339.314,1060
396,16,2,1,4,4,2,0,5.50E-05,14053.578,1470
397,16,2,1,4,4,4,0,5.20E-05,15498.49,1515
398,16,2,1,4,4,8,0,5.20E-05,17405.178,1918
399,16,2,1,4,4,16,0,3.90E-05,19053.049,1913
400,16,2,2,1,1,1,0,2.00E-05,9128.322,834
401,16,2,2,1,1,2,0,3.70E-05,13057.408,1322
402,16,2,2,1,1,4,0,3.70E-05,13479.018,1370
403,16,2,2,1,1,8,0,2.60E-05,14868.602,1513
404,16,2,2,1,1,16,0,2.30E-05,11898.978,1215
405,16,2,2,1,2,1,0,2.00E-05,8871.366,814
406,16,2,2,1,2,2,0,2.50E-05,12054.322,1318
407,16,2,2,1,2,4,0,2.40E-05,13574.246,1363
408,16,2,2,1,2,8,0,2.50E-05,14918.344,1508
409,16,2,2,1,2,16,0,2.30E-05,11402.888,1212
410,16,2,2,1,3,1,0,2.20E-05,9187.108,834
411,16,2,2,1,3,2,0,3.70E-05,13666.016,1259
412,16,2,2,1,3,4,0,3.80E-05,14097.734,1372
413,16,2,2,1,3,8,0,2.80E-05,15160.936,1514
414,16,2,2,1,3,16,0,2.30E-05,14604.464,1436
415,16,2,2,1,4,1,0,2.00E-05,8875.09,806
416,16,2,2,1,4,2,0,2.50E-05,11976.916,1314
417,16,2,2,1,4,4,0,2.40E-05,12491.626,1366
418,16,2,2,1,4,8,0,3.60E-05,14944.678,1508
419,16,2,2,1,4,16,0,2.30E-05,11369.638,1212
420,16,2,2,2,1,1,0,5.50E-05,10336.228,932
421,16,2,2,2,1,2,0,5.90E-05,14386.078,1392
422,16,2,2,2,1,4,0,5.30E-05,17148.223,1819
423,16,2,2,2,1,8,0,7.70E-05,17305.693,1837
424,16,2,2,2,1,16,0,4.40E-05,18194.932,1872
425,16,2,2,2,2,1,0,5.30E-05,10012.772,912
426,16,2,2,2,2,2,0,5.90E-05,13415.71,1388
427,16,2,2,2,2,4,0,5.60E-05,17092.895,1812
428,16,2,2,2,2,8,0,7.50E-05,17128.537,1832
429,16,2,2,2,2,16,0,4.30E-05,17695.65,1868
430,16,2,2,2,3,1,0,8.30E-05,10140.186,932
431,16,2,2,2,3,2,0,9.10E-05,15308.832,1328
432,16,2,2,2,3,4,0,8.10E-05,17041.822,1820
433,16,2,2,2,3,8,0,6.40E-05,17193.441,1837
434,16,2,2,2,3,16,0,4.90E-05,19970.217,1965
435,16,2,2,2,4,1,0,5.50E-05,9962.232,904
436,16,2,2,2,4,2,0,6.20E-05,13277.922,1384
437,16,2,2,2,4,4,0,5.40E-05,14106.778,1431
438,16,2,2,2,4,8,0,5.30E-05,16829.82,1832
439,16,2,2,2,4,16,0,4.20E-05,17791.676,1868
440,16,2,2,3,1,1,0,8.40E-05,11539.612,918
441,16,2,2,3,1,2,0,8.80E-05,15108.534,1411
442,16,2,2,3,1,4,0,8.70E-05,15053.206,1455
443,16,2,2,3,1,8,0,8.30E-05,16506.098,1598
444,16,2,2,3,1,16,0,7.60E-05,20184.346,1867
445,16,2,2,3,2,1,0,6.80E-05,11810.932,898
446,16,2,2,3,2,2,0,7.10E-05,14582.12,1407
447,16,2,2,3,2,4,0,7.20E-05,15004.528,1448
448,16,2,2,3,2,8,0,8.50E-05,16450.238,1593
449,16,2,2,3,2,16,0,7.60E-05,19791.73,1864
450,16,2,2,3,3,1,0,8.50E-05,12555.466,918
451,16,2,2,3,3,2,0,9.20E-05,15212.806,1347
452,16,2,2,3,3,4,0,8.80E-05,15328.516,1456
453,16,2,2,3,3,8,0,9.30E-05,17255.42,1598
454,16,2,2,3,3,16,0,6.50E-05,22895.684,1993
