n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2,FF
37,16,1,1,2,4,4,0,1.40E-05,12059.376,1330
38,16,1,1,2,4,8,0,1.30E-05,14480.242,1735
39,16,1,1,2,4,16,0,1.60E-05,12717.992,1285
40,16,1,1,3,1,1,0,2.20E-05,8463.056,868
41,16,1,1,3,1,2,0,2.60E-05,12182.534,1363
42,16,1,1,3,1,4,0,2.60E-05,12721.184,1406
43,16,1,1,3,1,8,0,2.50E-05,14122.472,1552
44,16,1,1,3,1,16,0,2.20E-05,19255.475,1862
45,16,1,1,3,2,1,0,2.00E-05,8288.294,849
46,16,1,1,3,2,2,0,2.60E-05,11134.494,1358
47,16,1,1,3,2,4,0,2.50E-05,12787.418,1398
48,16,1,1,3,2,8,0,2.60E-05,14018.732,1546
49,16,1,1,3,2,16,0,2.00E-05,18739.168,1857
50,16,1,1,3,3,1,0,2.30E-05,8514.394,868
51,16,1,1,3,3,2,0,2.70E-05,12722.248,1300
52,16,1,1,3,3,4,0,2.60E-05,12803.112,1411
53,16,1,1,3,3,8,0,2.50E-05,14185.78,1553
54,16,1,1,3,3,16,0,2.10E-05,20716.611,2022
55,16,1,1,3,4,1,0,2.20E-05,8204.238,843
56,16,1,1,3,4,2,0,2.50E-05,11112.682,1356
57,16,1,1,3,4,4,0,2.50E-05,11653.992,1399
58,16,1,1,3,4,8,0,2.60E-05,13587.28,1548
59,16,1,1,3,4,16,0,2.70E-05,18731.721,1859
60,16,1,1,4,1,1,0,2.90E-05,8945.048,942
61,16,1,1,4,1,2,0,3.40E-05,13202.644,1465
62,16,1,1,4,1,4,0,2.80E-05,16089.276,1825
63,16,1,1,4,1,8,0,2.70E-05,16165.086,1842
64,16,1,1,4,1,16,0,2.50E-05,19390.602,1937
65,16,1,1,4,2,1,0,2.80E-05,8688.624,921
66,16,1,1,4,2,2,0,3.20E-05,12583.13,1460
67,16,1,1,4,2,4,0,2.60E-05,15902.012,1817
68,16,1,1,4,2,8,0,2.70E-05,15983.408,1836
69,16,1,1,4,2,16,0,2.50E-05,18819.234,1932
70,16,1,1,4,3,1,0,2.80E-05,8905.148,942
71,16,1,1,4,3,2,0,3.40E-05,13560.68,1401
72,16,1,1,4,3,4,0,2.90E-05,16369.374,1830
73,16,1,1,4,3,8,0,2.90E-05,16287.712,1843
74,16,1,1,4,3,16,0,2.60E-05,20893.768,2097
75,16,1,1,4,4,1,0,2.90E-05,8802.738,915
76,16,1,1,4,4,2,0,3.40E-05,12292.126,1458
77,16,1,1,4,4,4,0,2.90E-05,13037.99,1434
78,16,1,1,4,4,8,0,2.80E-05,15697.458,1838
79,16,1,1,4,4,16,0,3.20E-05,18695.012,1934
80,16,1,2,1,1,1,0,2.80E-05,8089.06,848
81,16,1,2,1,1,2,0,3.50E-05,11996.068,1338
82,16,1,2,1,1,4,0,3.40E-05,12739.272,1384
83,16,1,2,1,1,8,0,3.50E-05,14161.574,1530
84,16,1,2,1,1,16,0,2.40E-05,11181.842,1207
85,16,1,2,1,2,1,0,3.10E-05,8336.44,827
86,16,1,2,1,2,2,0,3.60E-05,11412.464,1333
87,16,1,2,1,2,4,0,3.60E-05,13051.556,1376
88,16,1,2,1,2,8,0,3.60E-05,14401.24,1524
89,16,1,2,1,2,16,0,2.30E-05,10756.242,1202
90,16,1,2,1,3,1,0,2.80E-05,8166.466,849
91,16,1,2,1,3,2,0,3.50E-05,12443.214,1274
92,16,1,2,1,3,4,0,3.50E-05,12719.056,1387
93,16,1,2,1,3,8,0,3.40E-05,14261.058,1532
94,16,1,2,1,3,16,0,2.20E-05,13976.172,1594
95,16,1,2,1,4,1,0,2.70E-05,8327.396,819
96,16,1,2,1,4,2,0,3.40E-05,11390.12,1329
97,16,1,2,1,4,4,0,3.40E-05,11787.258,1379
98,16,1,2,1,4,8,0,3.40E-05,14278.348,1524
99,16,1,2,1,4,16,0,2.30E-05,11064.27,1200
100,16,1,2,2,1,1,0,2.90E-05,8273.664,848
101,16,1,2,2,1,2,0,4.00E-05,12543.23,1370
102,16,1,2,2,1,4,0,2.90E-05,15286.488,1735
103,16,1,2,2,1,8,0,2.80E-05,15428.798,1751
104,16,1,2,2,1,16,0,4.40E-05,14564.298,1315
105,16,1,2,2,2,1,0,2.90E-05,7858.438,827
106,16,1,2,2,2,2,0,3.50E-05,11650.002,1365
107,16,1,2,2,2,4,0,2.90E-05,15314.418,1727
108,16,1,2,2,2,8,0,2.90E-05,15406.986,1745
109,16,1,2,2,2,16,0,4.40E-05,14040.278,1310
110,16,1,2,2,3,1,0,2.90E-05,8020.964,848
111,16,1,2,2,3,2,0,3.40E-05,13135.08,1307
112,16,1,2,2,3,4,0,2.80E-05,15481.466,1739
113,16,1,2,2,3,8,0,2.90E-05,15656.228,1751
114,16,1,2,2,3,16,0,4.50E-05,16082.094,1439
115,16,1,2,2,4,1,0,3.10E-05,7860.566,819
116,16,1,2,2,4,2,0,3.40E-05,11665.696,1361
117,16,1,2,2,4,4,0,2.80E-05,12205.676,1346
118,16,1,2,2,4,8,0,2.80E-05,14934.304,1745
119,16,1,2,2,4,16,0,4.40E-05,14068.208,1310
120,16,1,2,3,1,1,0,4.20E-05,9223.55,882
121,16,1,2,3,1,2,0,5.30E-05,13109.81,1416
122,16,1,2,3,1,4,0,5.20E-05,13494.978,1457
123,16,1,2,3,1,8,0,5.20E-05,15065.974,1603
124,16,1,2,3,1,16,0,5.10E-05,20312.025,1911
125,16,1,2,3,2,1,0,4.80E-05,9157.582,865
126,16,1,2,3,2,2,0,4.70E-05,12480.986,1411
127,16,1,2,3,2,4,0,4.80E-05,13671.602,1449
128,16,1,2,3,2,8,0,4.70E-05,15173.438,1597
129,16,1,2,3,2,16,0,5.00E-05,19808.223,1906
130,16,1,2,3,3,1,0,4.70E-05,9423.05,885
131,16,1,2,3,3,2,0,5.00E-05,13905.948,1352
132,16,1,2,3,3,4,0,5.00E-05,13843.704,1460
133,16,1,2,3,3,8,0,4.90E-05,15410.444,1603
134,16,1,2,3,3,16,0,5.00E-05,21880.361,2071
135,16,1,2,3,4,1,0,4.10E-05,9204.132,856
136,16,1,2,3,4,2,0,5.10E-05,12028.786,1407
137,16,1,2,3,4,4,0,5.30E-05,12578.874,1452
138,16,1,2,3,4,8,0,5.20E-05,14990.43,1597
139,16,1,2,3,4,16,0,5.20E-05,20246.59,1906
140,16,1,2,4,1,1,0,5.60E-05,10164.392,1020
141,16,1,2,4,1,2,0,6.90E-05,14555.786,1479
142,16,1,2,4,1,4,0,7.10E-05,18370.227,1904
143,16,1,2,4,1,8,0,5.60E-05,16926.645,1859
144,16,1,2,4,1,16,0,6.70E-05,20338.893,1957
145,16,1,2,4,2,1,0,5.70E-05,10028.732,1000
146,16,1,2,4,2,2,0,6.90E-05,13465.452,1474
147,16,1,2,4,2,4,0,6.40E-05,17888.5,1896
148,16,1,2,4,2,8,0,5.70E-05,16846.844,1854
149,16,1,2,4,2,16,0,6.40E-05,20177.43,1952
150,16,1,2,4,3,1,0,5.70E-05,10188.332,1020
151,16,1,2,4,3,2,0,7.00E-05,14806.092,1415
152,16,1,2,4,3,4,0,6.50E-05,17954.734,1907
153,16,1,2,4,3,8,0,5.60E-05,17093.426,1860
154,16,1,2,4,3,16,0,6.60E-05,22237.068,2117
155,16,1,2,4,4,1,0,5.60E-05,10078.208,991
156,16,1,2,4,4,2,0,7.50E-05,13322.078,1470
157,16,1,2,4,4,4,0,7.00E-05,15288.084,1515
158,16,1,2,4,4,8,0,5.40E-05,16851.898,1853
159,16,1,2,4,4,16,0,6.40E-05,20005.328,1952
160,16,1,3,1,1,1,0,4.10E-05,8177.638,823
161,16,1,3,1,1,2,0,5.20E-05,12091.562,1317
162,16,1,3,1,1,4,0,5.40E-05,12734.75,1363
163,16,1,3,1,1,8,0,5.10E-05,14280.21,1509
164,16,1,3,1,1,16,0,4.00E-05,10978.352,1185
165,16,1,3,1,2,1,0,4.30E-05,7754.432,810
166,16,1,3,1,2,2,0,5.20E-05,10701.18,1316
167,16,1,3,1,2,4,0,5.20E-05,12404.112,1359
168,16,1,3,1,2,8,0,5.30E-05,13784.12,1507
169,16,1,3,1,2,16,0,3.30E-05,10476.41,1184
170,16,1,3,1,3,1,0,4.10E-05,8265.418,827
171,16,1,3,1,3,2,0,5.10E-05,12571.16,1253
172,16,1,3,1,3,4,0,5.40E-05,12820.668,1366
173,16,1,3,1,3,8,0,5.20E-05,14331.282,1509
174,16,1,3,1,3,16,0,3.90E-05,13642.342,1572
175,16,1,3,1,4,1,0,4.30E-05,7661.332,804
176,16,1,3,1,4,2,0,5.30E-05,10697.19,1314
177,16,1,3,1,4,4,0,5.30E-05,11341.708,1362
178,16,1,3,1,4,8,0,5.40E-05,13401.346,1509
179,16,1,3,1,4,16,0,3.30E-05,10464.174,1186
180,16,1,3,2,1,1,0,5.00E-05,8026.284,832
181,16,1,3,2,1,2,0,6.00E-05,12506.788,1354
182,16,1,3,2,1,4,0,5.00E-05,14635.586,1717
183,16,1,3,2,1,8,0,5.00E-05,15285.69,1735
184,16,1,3,2,1,16,0,6.60E-05,14169.022,1289
185,16,1,3,2,2,1,0,4.60E-05,8099.7,815
186,16,1,3,2,2,2,0,5.60E-05,11463.536,1353
187,16,1,3,2,2,4,0,4.70E-05,14837.48,1713
188,16,1,3,2,2,8,0,4.70E-05,15321.6,1733
189,16,1,3,2,2,16,0,6.40E-05,13701.926,1288
190,16,1,3,2,3,1,0,5.00E-05,8057.14,832
191,16,1,3,2,3,2,0,5.90E-05,13363.308,1290
192,16,1,3,2,3,4,0,4.80E-05,14750.764,1720
193,16,1,3,2,3,8,0,4.80E-05,15343.412,1735
194,16,1,3,2,3,16,0,6.40E-05,15609.944,1413
195,16,1,3,2,4,1,0,4.60E-05,7866.152,809
196,16,1,3,2,4,2,0,5.50E-05,11510.884,1351
197,16,1,3,2,4,4,0,4.70E-05,11801.888,1332
198,16,1,3,2,4,8,0,4.60E-05,14968.352,1735
199,16,1,3,2,4,16,0,6.50E-05,13703.522,1290
200,16,1,3,3,1,1,0,6.90E-05,8896.902,869
201,16,1,3,3,1,2,0,8.70E-05,13249.726,1397
202,16,1,3,3,1,4,0,9.30E-05,13619.466,1438
203,16,1,3,3,1,8,0,8.40E-05,15376.13,1580
204,16,1,3,3,1,16,0,7.80E-05,19861.156,1890
205,16,1,3,3,2,1,0,6.80E-05,8778.798,852
206,16,1,3,3,2,2,0,9.10E-05,12392.674,1396
207,16,1,3,3,2,4,0,9.30E-05,13592.068,1434
208,16,1,3,3,2,8,0,9.30E-05,15247.12,1582
209,16,1,3,3,2,16,0,7.80E-05,19365.598,1889
210,16,1,3,3,3,1,0,7.20E-05,9601.004,870
211,16,1,3,3,3,2,0,8.30E-05,13865.516,1333
212,16,1,3,3,3,4,0,8.60E-05,13713.098,1441
213,16,1,3,3,3,8,0,8.90E-05,15349.796,1584
214,16,1,3,3,3,16,0,7.70E-05,21353.947,2050
215,16,1,3,3,4,1,0,6.80E-05,8731.982,846
216,16,1,3,3,4,2,0,9.70E-05,12321.918,1394
217,16,1,3,3,4,4,0,9.00E-05,12787.418,1437
218,16,1,3,3,4,8,0,9.10E-05,14810.88,1584
219,16,1,3,3,4,16,0,7.60E-05,19446.463,1891
220,16,1,3,4,1,1,0,9.50E-05,10246.054,940
221,16,1,3,4,1,2,0,0.000112,14548.072,1465
222,16,1,3,4,1,4,0,9.60E-05,17255.42,1824
223,16,1,3,4,1,8,0,9.10E-05,17332.561,1841
224,16,1,3,4,1,16,0,7.80E-05,20151.096,1940
225,16,1,3,4,2,1,0,9.20E-05,10428.53,923
226,16,1,3,4,2,2,0,0.000107,13404.538,1464
227,16,1,3,4,2,4,0,8.90E-05,17325.111,1820
228,16,1,3,4,2,8,0,9.00E-05,17074.008,1839
229,16,1,3,4,2,16,0,0.000101,19751.564,1939
230,16,1,3,4,3,1,0,9.10E-05,10433.85,940
231,16,1,3,4,3,2,0,0.000121,15144.976,1401
232,16,1,3,4,3,4,0,9.30E-05,17117.365,1827
233,16,1,3,4,3,8,0,9.60E-05,17311.547,1841
234,16,1,3,4,3,16,0,7.60E-05,21623.938,2100
235,16,1,3,4,4,1,0,9.20E-05,10319.47,917
236,16,1,3,4,4,2,0,0.000106,13321.546,1462
237,16,1,3,4,4,4,0,9.30E-05,13994.526,1439
238,16,1,3,4,4,8,0,9.30E-05,16820.51,1841
239,16,1,3,4,4,16,0,0.000102,19758.746,1941
240,16,1,4,1,1,1,0,5.70E-05,9161.04,882
241,16,1,4,1,1,2,0,7.80E-05,12924.408,1370
242,16,1,4,1,1,4,0,7.60E-05,13467.314,1417
243,16,1,4,1,1,8,0,7.70E-05,15058.26,1564
244,16,1,4,1,1,16,0,5.30E-05,11829.02,1238
245,16,1,4,1,2,1,0,6.20E-05,9228.87,866
246,16,1,4,1,2,2,0,9.80E-05,12086.774,1370
247,16,1,4,1,2,4,0,7.60E-05,13585.684,1414
248,16,1,4,1,2,8,0,7.60E-05,15100.288,1563
249,16,1,4,1,2,16,0,4.50E-05,11540.676,1238
250,16,1,4,1,3,1,0,6.80E-05,9320.64,882
251,16,1,4,1,3,2,0,8.40E-05,13464.122,1307
252,16,1,4,1,3,4,0,8.10E-05,13835.458,1421
253,16,1,4,1,3,8,0,8.00E-05,15219.722,1565
254,16,1,4,1,3,16,0,5.10E-05,14552.328,1625
255,16,1,4,1,4,1,0,5.60E-05,9034.956,858
256,16,1,4,1,4,2,0,7.80E-05,11913.342,1366
257,16,1,4,1,4,4,0,7.60E-05,12535.782,1417
258,16,1,4,1,4,8,0,7.90E-05,15000.538,1561
259,16,1,4,1,4,16,0,4.90E-05,11886.476,1236
260,16,1,4,2,1,1,0,6.40E-05,8841.308,887
261,16,1,4,2,1,2,0,8.10E-05,13876.954,1405
262,16,1,4,2,1,4,0,6.20E-05,16064.538,1770
263,16,1,4,2,1,8,0,6.60E-05,15914.514,1788
264,16,1,4,2,1,16,0,8.90E-05,15458.058,1345
265,16,1,4,2,2,1,0,7.10E-05,8707.244,871
266,16,1,4,2,2,2,0,7.40E-05,12887.434,1405
267,16,1,4,2,2,4,0,6.40E-05,16062.41,1767
268,16,1,4,2,2,8,0,6.70E-05,15808.114,1787
269,16,1,4,2,2,16,0,9.60E-05,14815.402,1345
270,16,1,4,2,3,1,0,6.00E-05,9217.964,887
271,16,1,4,2,3,2,0,8.00E-05,14598.08,1341
272,16,1,4,2,3,4,0,6.30E-05,15851.206,1773
273,16,1,4,2,3,8,0,6.90E-05,16291.436,1788
274,16,1,4,2,3,16,0,9.10E-05,16900.045,1473
275,16,1,4,2,4,1,0,6.70E-05,8955.954,863
276,16,1,4,2,4,2,0,7.70E-05,13117.258,1401
277,16,1,4,2,4,4,0,6.20E-05,12616.646,1386
278,16,1,4,2,4,8,0,6.60E-05,15364.692,1787
279,16,1,4,2,4,16,0,8.90E-05,14854.238,1345
280,16,1,4,3,1,1,0,0.000102,11336.388,921
281,16,1,4,3,1,2,0,0.000108,14935.102,1448
282,16,1,4,3,1,4,0,0.000109,15013.572,1494
283,16,1,4,3,1,8,0,0.000104,16848.973,1640
284,16,1,4,3,1,16,0,0.000103,21300.748,1983
285,16,1,4,3,2,1,0,9.10E-05,11290.37,905
286,16,1,4,3,2,2,0,0.000127,14287.392,1448
287,16,1,4,3,2,4,0,0.000112,15073.156,1491
288,16,1,4,3,2,8,0,0.000112,16702.141,1639
289,16,1,4,3,2,16,0,0.000103,20906.004,1983
290,16,1,4,3,3,1,0,9.90E-05,11084.486,921
291,16,1,4,3,3,2,0,0.00013,15427.734,1384
292,16,1,4,3,3,4,0,0.000125,15057.462,1497
293,16,1,4,3,3,8,0,0.000111,16428.691,1640
294,16,1,4,3,3,16,0,0.000101,23094.918,2143
295,16,1,4,3,4,1,0,9.50E-05,11131.302,897
296,16,1,4,3,4,2,0,0.00013,13821.094,1444
297,16,1,4,3,4,4,0,0.000131,14220.094,1494
298,16,1,4,3,4,8,0,0.000125,16664.102,1637
299,16,1,4,3,4,16,0,0.000104,21389.857,1981
300,16,1,4,4,1,1,0,0.000134,12521.95,1056
301,16,1,4,4,1,2,0,0.000142,15959.468,1516
302,16,1,4,4,1,4,0,0.000146,19822.32,1939
303,16,1,4,4,1,8,0,0.000125,19318.516,1903
304,16,1,4,4,1,16,0,0.000145,21510.09,2034
305,16,1,4,4,2,1,0,0.000137,12603.08,1040
306,16,1,4,4,2,2,0,0.000149,14804.496,1516
307,16,1,4,4,2,4,0,0.00017,19804.232,1936
308,16,1,4,4,2,8,0,0.000129,18995.326,1902
309,16,1,4,4,2,16,0,0.000128,20904.939,2034
310,16,1,4,4,3,1,0,0.000142,12626.488,1056
311,16,1,4,4,3,2,0,0.000151,16925.049,1452
312,16,1,4,4,3,4,0,0.000172,19567.492,1942
313,16,1,4,4,3,8,0,0.000132,18687.031,1903
314,16,1,4,4,3,16,0,0.000131,22807.904,2194
315,16,1,4,4,4,1,0,0.000138,12339.74,1032
316,16,1,4,4,4,2,0,0.000147,15118.908,1512
317,16,1,4,4,4,4,0,0.000163,16352.616,1555
318,16,1,4,4,4,8,0,0.000139,18560.947,1902
319,16,1,4,4,4,16,0,0.000143,21599.467,2034
320,16,2,1,1,1,1,0,1.40E-05,8445.5,842
321,16,2,1,1,1,2,0,1.80E-05,12368.734,1329
322,16,2,1,1,1,4,0,1.70E-05,12986.918,1377
323,16,2,1,1,1,8,0,1.80E-05,14598.346,1524
324,16,2,1,1,1,16,0,1.40E-05,11126.248,1198
325,16,2,1,1,2,1,0,1.40E-05,8180.564,825
326,16,2,1,1,2,2,0,1.70E-05,11147.794,1328
327,16,2,1,1,2,4,0,1.80E-05,12727.834,1373
328,16,2,1,1,2,8,0,1.80E-05,14292.18,1522
329,16,2,1,1,2,16,0,1.30E-05,10703.574,1197
330,16,2,1,1,3,1,0,1.40E-05,8540.994,842
331,16,2,1,1,3,2,0,1.80E-05,12861.898,1266
332,16,2,1,1,3,4,0,1.80E-05,13144.39,1381
333,16,2,1,1,3,8,0,1.80E-05,14700.756,1525
334,16,2,1,1,3,16,0,1.30E-05,13794.76,1585
335,16,2,1,1,4,1,0,1.40E-05,8352.4,817
336,16,2,1,1,4,2,0,1.70E-05,11357.934,1324
337,16,2,1,1,4,4,0,1.70E-05,12020.54,1376
338,16,2,1,1,4,8,0,1.70E-05,14567.49,1522
339,16,2,1,1,4,16,0,1.30E-05,11111.618,1197
340,16,2,1,2,1,1,0,1.80E-05,8081.612,874
341,16,2,1,2,1,2,0,2.30E-05,12850.726,1364
342,16,2,1,2,1,4,0,1.90E-05,15501.15,1759
343,16,2,1,2,1,8,0,1.80E-05,15649.046,1779
344,16,2,1,2,1,16,0,2.30E-05,14452.844,1303
345,16,2,1,2,2,1,0,1.60E-05,7965.902,856
346,16,2,1,2,2,2,0,2.00E-05,11565.414,1362
347,16,2,1,2,2,4,0,1.50E-05,15282.764,1754
348,16,2,1,2,2,8,0,1.70E-05,15534.666,1776
349,16,2,1,2,2,16,0,2.20E-05,13988.142,1301
350,16,2,1,2,3,1,0,1.80E-05,8110.872,874
351,16,2,1,2,3,2,0,2.40E-05,13371.554,1300
352,16,2,1,2,3,4,0,1.90E-05,15609.146,1763
353,16,2,1,2,3,8,0,1.90E-05,15749.062,1779
354,16,2,1,2,3,16,0,2.30E-05,16771.033,1430
355,16,2,1,2,4,1,0,1.80E-05,8134.28,848
356,16,2,1,2,4,2,0,2.30E-05,11806.41,1358
357,16,2,1,2,4,4,0,1.80E-05,12364.478,1373
358,16,2,1,2,4,8,0,1.80E-05,15129.282,1776
359,16,2,1,2,4,16,0,2.40E-05,13976.704,1301
360,16,2,1,3,1,1,0,2.40E-05,9234.19,883
361,16,2,1,3,1,2,0,3.10E-05,13492.85,1407
362,16,2,1,3,1,4,0,3.10E-05,13838.384,1451
363,16,2,1,3,1,8,0,3.00E-05,15607.816,1599
364,16,2,1,3,1,16,0,2.50E-05,20425.607,1912
365,16,2,1,3,2,1,0,2.50E-05,9174.074,865
366,16,2,1,3,2,2,0,2.80E-05,11954.572,1405
367,16,2,1,3,2,4,0,2.90E-05,13407.464,1446
368,16,2,1,3,2,8,0,2.90E-05,14918.078,1596
369,16,2,1,3,2,16,0,2.50E-05,19793.857,1910
370,16,2,1,3,3,1,0,2.40E-05,9326.758,883
371,16,2,1,3,3,2,0,3.00E-05,13915.79,1343
372,16,2,1,3,3,4,0,2.90E-05,14004.634,1455
373,16,2,1,3,3,8,0,3.00E-05,15603.294,1599
374,16,2,1,3,3,16,0,2.50E-05,21846.049,2072
375,16,2,1,3,4,1,0,2.30E-05,9149.868,857
376,16,2,1,3,4,2,0,3.00E-05,12519.556,1401
377,16,2,1,3,4,4,0,2.90E-05,12865.09,1449
378,16,2,1,3,4,8,0,2.90E-05,15421.882,1596
379,16,2,1,3,4,16,0,2.40E-05,20270.797,1910
380,16,2,1,4,1,1,0,3.40E-05,10321.598,1015
381,16,2,1,4,1,2,0,3.80E-05,14346.976,1473
382,16,2,1,4,1,4,0,3.60E-05,18221,1898
383,16,2,1,4,1,8,0,3.30E-05,17097.947,1855
384,16,2,1,4,1,16,0,3.20E-05,20216.531,1951
385,16,2,1,4,2,1,0,3.20E-05,10231.158,997
386,16,2,1,4,2,2,0,3.70E-05,13470.506,1471
387,16,2,1,4,2,4,0,3.20E-05,18183.494,1893
388,16,2,1,4,2,8,0,3.40E-05,16927.707,1852
389,16,2,1,4,2,16,0,3.20E-05,19601.807,1949
390,16,2,1,4,3,1,0,3.40E-05,10323.46,1015
391,16,2,1,4,3,2,0,4.00E-05,15168.65,1410
392,16,2,1,4,3,4,0,3.70E-05,18554.031,1903
393,16,2,1,4,3,8,0,3.20E-05,17218.713,1855
394,16,2,1,4,3,16,0,3.20E-05,21768.377,2111
395,16,2,1,4,4,1,0,3.30E-05,10147.368,989
396,16,2,1,4,4,2,0,3.70E-05,13384.322,1467
397,16,2,1,4,4,4,0,3.60E-05,15079.008,1512
398,16,2,1,4,4,8,0,3.30E-05,16588.824,1852
399,16,2,1,4,4,16,0,3.20E-05,19694.373,1949
400,16,2,2,1,1,1,0,3.00E-05,8811.516,863
401,16,2,2,1,1,2,0,4.00E-05,12944.624,1351
402,16,2,2,1,1,4,0,4.00E-05,13411.986,1399
403,16,2,2,1,1,8,0,4.10E-05,15153.488,1542
404,16,2,2,1,1,16,0,2.90E-05,11648.406,1215
405,16,2,2,1,2,1,0,2.90E-05,8691.018,844
406,16,2,2,1,2,2,0,4.10E-05,11971.064,1348
407,16,2,2,1,2,4,0,3.90E-05,13346.55,1393
408,16,2,2,1,2,8,0,3.70E-05,14829.234,1537
409,16,2,2,1,2,16,0,2.90E-05,11156.572,1212
410,16,2,2,1,3,1,0,3.00E-05,8825.88,863
411,16,2,2,1,3,2,0,3.90E-05,13594.728,1288
412,16,2,2,1,3,4,0,3.70E-05,13616.008,1403
413,16,2,2,1,3,8,0,4.20E-05,15272.656,1543
414,16,2,2,1,3,16,0,2.80E-05,14366.394,1602
415,16,2,2,1,4,1,0,3.00E-05,8614.144,836
416,16,2,2,1,4,2,0,3.80E-05,11833.276,1344
417,16,2,2,1,4,4,0,3.70E-05,12629.946,1396
418,16,2,2,1,4,8,0,3.90E-05,15020.488,1537
419,16,2,2,1,4,16,0,2.60E-05,11110.554,1212
420,16,2,2,2,1,1,0,3.30E-05,9744.91,896
421,16,2,2,2,1,2,0,4.20E-05,14168.756,1386
422,16,2,2,2,1,4,0,3.20E-05,16383.472,1784
423,16,2,2,2,1,8,0,3.20E-05,16532.166,1803
424,16,2,2,2,1,16,0,4.60E-05,15260.686,1335
425,16,2,2,2,2,1,0,3.60E-05,9576,879
426,16,2,2,2,2,2,0,4.80E-05,13102.894,1383
427,16,2,2,2,2,4,0,3.10E-05,16263.24,1777
428,16,2,2,2,2,8,0,3.20E-05,16439.332,1798
429,16,2,2,2,2,16,0,5.20E-05,14826.308,1331
430,16,2,2,2,3,1,0,3.30E-05,9710.862,896
431,16,2,2,2,3,2,0,4.40E-05,14651.28,1322
432,16,2,2,2,3,4,0,3.30E-05,16540.678,1787
433,16,2,2,2,3,8,0,3.40E-05,16771.033,1803
434,16,2,2,2,3,16,0,4.70E-05,17506.789,1460
435,16,2,2,2,4,1,0,3.30E-05,9921.8,871
436,16,2,2,2,4,2,0,4.70E-05,12930.26,1379
437,16,2,2,2,4,4,0,3.40E-05,13234.298,1396
438,16,2,2,2,4,8,0,3.40E-05,16044.056,1798
439,16,2,2,2,4,16,0,4.60E-05,14757.414,1331
440,16,2,2,3,1,1,0,5.20E-05,11226.796,906
441,16,2,2,3,1,2,0,6.50E-05,14652.078,1432
442,16,2,2,3,1,4,0,6.70E-05,14749.434,1476
443,16,2,2,3,1,8,0,5.80E-05,16505.301,1619
444,16,2,2,3,1,16,0,5.70E-05,21360.863,1928
445,16,2,2,3,2,1,0,5.00E-05,11069.058,887
446,16,2,2,3,2,2,0,6.00E-05,13520.78,1429
447,16,2,2,3,2,4,0,5.70E-05,14654.206,1469
448,16,2,2,3,2,8,0,6.10E-05,16473.912,1615
449,16,2,2,3,2,16,0,5.20E-05,20859.188,1925
450,16,2,2,3,3,1,0,5.40E-05,11371.5,906
451,16,2,2,3,3,2,0,6.10E-05,15410.178,1368
