n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,obj1,obj2
100,1,3,1,5,8,0.698894,4230
101,1,3,1,5,16,0.72002,4703
102,1,3,1,5,32,0.693849,5404
103,1,3,1,5,64,0.726247,6603
104,1,3,1,5,128,0.710152,9539
105,2,1,1,1,2,0.500729,1343
106,2,1,1,1,4,0.511561,1410
107,2,1,1,1,8,0.523369,1408
108,2,1,1,1,16,0.509164,1482
109,2,1,1,1,32,0.588535,1586
110,2,1,1,1,64,0.528074,1812
111,2,1,1,1,128,0.521593,2190
112,2,1,1,2,2,0.625271,1873
113,2,1,1,2,4,0.615851,1942
114,2,1,1,2,8,0.612235,1997
115,2,1,1,2,16,0.611854,2189
116,2,1,1,2,32,0.600436,2462
117,2,1,1,2,64,0.599674,2833
118,2,1,1,2,128,0.637451,3700
119,2,1,1,3,2,0.664582,2172
120,2,1,1,3,4,0.675713,2354
121,2,1,1,3,8,0.650408,2460
122,2,1,1,3,16,0.623105,2662
123,2,1,1,3,32,0.679803,3056
124,2,1,1,3,64,0.656782,3761
125,2,1,1,3,128,0.618254,5169
126,2,1,1,4,2,0.683136,2583
127,2,1,1,4,4,0.7189,2784
128,2,1,1,4,8,0.696072,2807
129,2,1,1,4,16,0.655266,3098
130,2,1,1,4,32,0.707106,3757
131,2,1,1,4,64,0.715666,4604
132,2,1,1,4,128,0.692458,6264
133,2,1,1,5,2,0.698203,2839
134,2,1,1,5,4,0.657877,3176
135,2,1,1,5,8,0.666817,3420
136,2,1,1,5,16,0.66539,3714
137,2,1,1,5,32,0.648841,4498
138,2,1,1,5,64,0.689548,5413
139,2,1,1,5,128,0.740622,7794
140,2,1,2,1,2,0.43781,1440
141,2,1,2,1,4,0.453293,1569
142,2,1,2,1,8,0.474677,1618
143,2,1,2,1,16,0.431908,1790
144,2,1,2,1,32,0.431985,1988
145,2,1,2,1,64,0.482342,2391
146,2,1,2,1,128,0.496828,3309
147,2,1,2,2,2,0.540057,1918
148,2,1,2,2,4,0.601825,2206
149,2,1,2,2,8,0.564299,2355
150,2,1,2,2,16,0.539725,2658
151,2,1,2,2,32,0.560148,3273
152,2,1,2,2,64,0.558986,4064
153,2,1,2,2,128,0.583228,5780
154,2,1,2,3,2,0.574002,2488
155,2,1,2,3,4,0.549269,2979
156,2,1,2,3,8,0.5579,3148
157,2,1,2,3,16,0.556821,3512
158,2,1,2,3,32,0.585538,4333
159,2,1,2,3,64,0.626953,5504
160,2,1,2,3,128,0.704223,8315
161,2,1,2,4,2,0.583539,2995
162,2,1,2,4,4,0.603455,3495
163,2,1,2,4,8,0.633163,3684
164,2,1,2,4,16,0.609098,4219
165,2,1,2,4,32,0.623039,5304
166,2,1,2,4,64,0.627106,7114
167,2,1,2,4,128,0.686771,10638
168,2,1,2,5,2,0.573528,3556
169,2,1,2,5,4,0.615431,4050
170,2,1,2,5,8,0.579751,4504
171,2,1,2,5,16,0.613025,4941
172,2,1,2,5,32,0.625222,6445
173,2,1,2,5,64,0.63883,8848
174,2,2,1,1,2,0.646157,1600
175,2,2,1,1,4,0.617725,1610
176,2,2,1,1,8,0.620758,1636
177,2,2,1,1,16,0.630519,1718
178,2,2,1,1,32,0.625591,1861
179,2,2,1,1,64,0.626065,2056
180,2,2,1,1,128,0.649,2448
181,2,2,1,2,2,0.720348,2237
182,2,2,1,2,4,0.675178,2291
183,2,2,1,2,8,0.759362,2358
184,2,2,1,2,16,0.67622,2510
185,2,2,1,2,32,0.679345,2864
186,2,2,1,2,64,0.640046,3313
187,2,2,1,2,128,0.692318,3946
188,2,2,1,3,2,0.708982,2932
189,2,2,1,3,4,0.693172,3062
190,2,2,1,3,8,0.671872,2926
191,2,2,1,3,16,0.659943,2994
192,2,2,1,3,32,0.630122,3558
193,2,2,1,3,64,0.711254,4190
194,2,2,1,3,128,0.685504,5458
195,2,2,1,4,2,0.847472,3163
196,2,2,1,4,4,0.744984,3496
197,2,2,1,4,8,0.769145,3879
198,2,2,1,4,16,0.746543,3971
199,2,2,1,4,32,0.75346,4483
200,2,2,1,4,64,0.786584,5243
201,2,2,1,4,128,0.708062,7029
202,2,2,1,5,2,0.864842,3445
203,2,2,1,5,4,0.825779,3827
204,2,2,1,5,8,0.836982,3894
205,2,2,1,5,16,0.862797,4228
206,2,2,1,5,32,0.860751,5057
207,2,2,1,5,64,0.865135,6267
208,2,2,1,5,128,0.840489,8556
209,2,2,2,1,2,0.552847,1761
210,2,2,2,1,4,0.523015,1811
211,2,2,2,1,8,0.558714,1835
212,2,2,2,1,16,0.549211,2038
213,2,2,2,1,32,0.538385,2300
214,2,2,2,1,64,0.545823,2718
215,2,2,2,1,128,0.543013,3606
216,2,2,2,2,2,0.609548,2418
217,2,2,2,2,4,0.582303,2649
218,2,2,2,2,8,0.601127,2865
219,2,2,2,2,16,0.58222,3039
220,2,2,2,2,32,0.564965,3680
221,2,2,2,2,64,0.578918,4436
222,2,2,2,2,128,0.66635,6302
223,2,2,2,3,2,0.674397,2989
224,2,2,2,3,4,0.614393,3422
225,2,2,2,3,8,0.613651,3600
226,2,2,2,3,16,0.570815,3866
227,2,2,2,3,32,0.617777,4881
228,2,2,2,3,64,0.594585,6029
229,2,2,2,3,128,0.679431,8707
230,2,2,2,4,2,0.672576,3600
231,2,2,2,4,4,0.640167,4212
232,2,2,2,4,8,0.659954,4431
233,2,2,2,4,16,0.673259,4873
234,2,2,2,4,32,0.638461,6013
235,2,2,2,4,64,0.698674,7985
236,2,2,2,5,2,0.765641,3971
237,2,2,2,5,4,0.741934,4597
238,2,2,2,5,8,0.746197,4926
239,2,2,2,5,16,0.730762,5773
240,2,2,2,5,32,0.727692,7351
241,2,2,2,5,64,0.753702,9113
242,2,3,1,1,2,0.685701,1879
243,2,3,1,1,4,0.6277,1918
244,2,3,1,1,8,0.650787,1926
245,2,3,1,1,16,0.634607,1980
246,2,3,1,1,32,0.632241,2196
247,2,3,1,1,64,0.666872,2403
248,2,3,1,1,128,0.626848,2723
249,2,3,1,2,2,0.729863,2464
250,2,3,1,2,4,0.675596,2615
251,2,3,1,2,8,0.668978,2858
252,2,3,1,2,16,0.687224,2824
253,2,3,1,2,32,0.698853,3106
254,2,3,1,2,64,0.690344,3441
255,2,3,1,2,128,0.67777,4391
256,2,3,1,3,2,0.829612,3040
257,2,3,1,3,4,0.847901,3242
258,2,3,1,3,8,0.824651,3557
259,2,3,1,3,16,0.827861,3559
260,2,3,1,3,32,0.86405,3952
261,2,3,1,3,64,0.857532,4781
262,2,3,1,3,128,0.807627,6045
263,2,3,1,4,2,0.865492,3547
264,2,3,1,4,4,0.873468,4025
265,2,3,1,4,8,0.911598,3961
266,2,3,1,4,16,0.849443,4098
267,2,3,1,4,32,0.827461,5162
268,2,3,1,4,64,0.864033,5598
269,2,3,1,4,128,0.912181,7412
270,2,3,1,5,2,0.815724,4365
271,2,3,1,5,4,0.859297,4770
272,2,3,1,5,8,0.864549,4710
273,2,3,1,5,16,0.869412,5100
274,2,3,1,5,32,0.885654,5833
275,2,3,1,5,64,0.882639,7431
276,2,3,1,5,128,0.855309,9124
277,2,3,2,1,2,0.560728,1963
278,2,3,2,1,4,0.547695,2134
279,2,3,2,1,8,0.570131,2182
280,2,3,2,1,16,0.563779,2260
281,2,3,2,1,32,0.565924,2669
282,2,3,2,1,64,0.590752,3035
283,2,3,2,1,128,0.556191,3757
284,2,3,2,2,2,0.619704,2859
285,2,3,2,2,4,0.59391,3256
286,2,3,2,2,8,0.632065,3241
287,2,3,2,2,16,0.604541,3347
288,2,3,2,2,32,0.587647,3903
289,2,3,2,2,64,0.676482,4815
290,2,3,2,2,128,0.613523,6565
291,2,3,2,3,2,0.717786,3255
292,2,3,2,3,4,0.728089,3773
293,2,3,2,3,8,0.733708,4208
294,2,3,2,3,16,0.759848,4261
295,2,3,2,3,32,0.736433,5299
296,2,3,2,3,64,0.725023,6522
297,2,3,2,3,128,0.727492,9147
298,2,3,2,4,2,0.760926,3984
299,2,3,2,4,4,0.759649,4658
300,2,3,2,4,8,0.7605,4681
301,2,3,2,4,16,0.766885,5100
302,2,3,2,4,32,0.775909,6481
303,2,3,2,4,64,0.765864,8353
304,2,3,2,5,2,0.7795,4939
305,2,3,2,5,4,0.761794,5566
306,2,3,2,5,8,0.768859,6165
307,2,3,2,5,16,0.73234,6506
308,2,3,2,5,32,0.772434,8044
309,2,3,2,5,64,0.780096,10495
310,2,4,1,1,2,0.907685,2150
311,2,4,1,1,4,0.922204,2113
312,2,4,1,1,8,0.954148,2212
313,2,4,1,1,16,0.870817,2225
314,2,4,1,1,32,0.874983,2371
315,2,4,1,1,64,0.909073,2542
316,2,4,1,1,128,0.908063,2885
317,2,4,1,2,2,0.990091,2906
318,2,4,1,2,4,0.993491,3426
319,2,4,1,2,8,1.01141,3036
320,2,4,1,2,16,0.975442,3176
321,2,4,1,2,32,1.012325,3656
322,2,4,1,2,64,0.961971,3917
323,2,4,1,2,128,1.015464,4727
324,2,4,1,3,2,1.169569,3603
325,2,4,1,3,4,1.154923,3653
326,2,4,1,3,8,1.149954,3776
327,2,4,1,3,16,1.126417,4103
328,2,4,1,3,32,1.167608,4601
329,2,4,1,3,64,1.145247,5147
330,2,4,1,3,128,1.160546,6357
331,2,4,1,4,2,1.12696,4288
332,2,4,1,4,4,1.15991,4741
333,2,4,1,4,8,1.174554,4661
334,2,4,1,4,16,1.147358,5079
335,2,4,1,4,32,1.12696,5687
336,2,4,1,4,64,1.143827,6317
337,2,4,1,4,128,1.141081,8449
338,2,4,1,5,2,1.160626,5244
339,2,4,1,5,4,1.161541,5376
340,2,4,1,5,8,1.111727,5674
341,2,4,1,5,16,1.156181,5768
342,2,4,1,5,32,1.170171,6729
343,2,4,1,5,64,1.148205,7991
344,2,4,2,1,2,0.86884,2112
345,2,4,2,1,4,0.821934,2208
346,2,4,2,1,8,0.793631,2240
347,2,4,2,1,16,0.765213,2441
348,2,4,2,1,32,0.803331,2789
349,2,4,2,1,64,0.808809,3159
350,2,4,2,1,128,0.785071,3952
351,2,4,2,2,2,0.869518,3141
352,2,4,2,2,4,0.897996,3356
353,2,4,2,2,8,0.85172,3575
354,2,4,2,2,16,0.888266,3735
355,2,4,2,2,32,0.876994,4551
356,2,4,2,2,64,0.875333,5253
357,2,4,2,2,128,0.952222,6895
358,2,4,2,3,2,1.0627,4106
359,2,4,2,3,4,1.043482,4141
360,2,4,2,3,8,1.062107,4322
361,2,4,2,3,16,1.071716,4483
362,2,4,2,3,32,1.081918,5633
363,2,4,2,3,64,1.000774,7219
364,2,4,2,3,128,1.014654,9544
365,2,4,2,4,2,1.033524,4660
366,2,4,2,4,4,1.074803,5908
367,2,4,2,4,8,1.051435,6037
368,2,4,2,4,16,1.047639,5943
369,2,4,2,4,32,1.051198,7204
370,2,4,2,4,64,1.07077,9529
371,2,4,2,5,2,1.049232,5901
372,2,4,2,5,4,1.066905,6185
373,2,4,2,5,8,1.048283,7015
374,2,4,2,5,16,1.036541,7410
375,2,4,2,5,32,1.055163,9157
376,2,5,1,1,2,1.019566,2286
377,2,5,1,1,4,1.139927,2310
378,2,5,1,1,8,1.077286,2318
379,2,5,1,1,16,1.026129,2394
380,2,5,1,1,32,1.060283,2662
381,2,5,1,1,64,1.091156,2780
382,2,5,1,1,128,1.001818,3194
383,2,5,1,2,2,1.288907,3171
384,2,5,1,2,4,1.374608,3230
385,2,5,1,2,8,1.312182,3261
386,2,5,1,2,16,1.414838,3318
387,2,5,1,2,32,1.316498,3613
388,2,5,1,2,64,1.304783,4059
389,2,5,1,2,128,1.346401,4879
390,2,5,1,3,2,1.348026,4294
391,2,5,1,3,4,1.327683,4375
392,2,5,1,3,8,1.341091,4361
393,2,5,1,3,16,1.376537,4741
394,2,5,1,3,32,1.428627,5048
395,2,5,1,3,64,1.369294,6145
396,2,5,1,3,128,1.389483,6955
397,2,5,1,4,2,1.396764,5117
398,2,5,1,4,4,1.411558,5316
399,2,5,1,4,8,1.36918,5543
400,2,5,1,4,16,1.381354,5682
401,2,5,1,4,32,1.445768,6326
402,2,5,1,4,64,1.474277,7851
403,2,5,1,5,2,1.392996,6026
404,2,5,1,5,4,1.389914,6962
405,2,5,1,5,8,1.441381,6673
406,2,5,1,5,16,1.41195,7061
407,2,5,1,5,32,1.414569,7907
408,2,5,2,1,2,0.977993,2293
409,2,5,2,1,4,0.959907,2464
410,2,5,2,1,8,0.997723,2638
411,2,5,2,1,16,1.090754,2633
412,2,5,2,1,32,0.90661,2822
413,2,5,2,1,64,1.003614,3476
414,2,5,2,1,128,1.029236,4209
415,2,5,2,2,2,1.251199,3294
416,2,5,2,2,4,1.279742,3680
417,2,5,2,2,8,1.198657,3651
418,2,5,2,2,16,1.245803,3975
419,2,5,2,2,32,1.2201,4525
420,2,5,2,2,64,1.29167,5377
421,2,5,2,2,128,1.238845,7089
422,2,5,2,3,2,1.2859,4385
423,2,5,2,3,4,1.292289,5445
424,2,5,2,3,8,1.257078,5054
425,2,5,2,3,16,1.301802,5687
426,2,5,2,3,32,1.293425,6408
427,2,5,2,3,64,1.201991,7485
428,2,5,2,3,128,1.281783,10385
429,2,5,2,4,2,1.265625,5493
430,2,5,2,4,4,1.214091,5951
431,2,5,2,4,8,1.250009,6365
432,2,5,2,4,16,1.317726,6728
433,2,5,2,4,32,1.29629,7754
434,2,5,2,4,64,1.292031,9666
435,2,5,2,5,2,1.267686,6750
436,2,5,2,5,4,1.274642,7468
437,2,5,2,5,8,1.292245,8083
438,2,5,2,5,16,1.300194,8462
439,2,5,2,5,32,1.262575,9552
440,4,1,1,1,2,0.522066,1347
441,4,1,1,1,4,0.497777,1374
442,4,1,1,1,8,0.508906,1407
443,4,1,1,1,16,0.497866,1473
444,4,1,1,1,32,0.512615,1591
445,4,1,1,1,64,0.504666,1868
446,4,1,1,1,128,0.537433,2240
447,4,1,1,2,2,0.625717,1712
448,4,1,1,2,4,0.621738,2004
449,4,1,1,2,8,0.665221,2067
450,4,1,1,2,16,0.631875,2179
451,4,1,1,2,32,0.612454,2361
452,4,1,1,2,64,0.622022,2925
453,4,1,1,2,128,0.639832,3699
454,4,1,1,3,2,0.644766,2238
455,4,1,1,3,4,0.730773,2411
456,4,1,1,3,8,0.656511,2595
457,4,1,1,3,16,0.643724,2817
458,4,1,1,3,32,0.659164,3089
459,4,1,1,3,64,0.625538,3712
460,4,1,1,3,128,0.657837,5106
461,4,1,1,4,2,0.673019,2561
462,4,1,1,4,4,0.753497,2833
463,4,1,1,4,8,0.722595,2886
464,4,1,1,4,16,0.668279,3114
465,4,1,1,4,32,0.674062,3780
466,4,1,1,4,64,0.65662,4580
467,4,1,1,4,128,0.741648,6320
468,4,1,1,5,2,0.724253,2946
469,4,1,1,5,4,0.736945,3251
470,4,1,1,5,8,0.660418,3460
471,4,1,1,5,16,0.736092,3816
472,4,1,1,5,32,0.624618,4457
473,4,1,1,5,64,0.700954,5497
474,4,1,1,5,128,0.721507,7895
475,4,1,2,1,2,0.540134,1522
476,4,1,2,1,4,0.482395,1576
477,4,1,2,1,8,0.501748,1645
478,4,1,2,1,16,0.483282,1850
479,4,1,2,1,32,0.46038,2047
480,4,1,2,1,64,0.444171,2564
481,4,1,2,1,128,0.487314,3364
482,4,1,2,2,2,0.583522,2047
483,4,1,2,2,4,0.56141,2345
484,4,1,2,2,8,0.568984,2477
485,4,1,2,2,16,0.552879,2670
486,4,1,2,2,32,0.599453,3311
487,4,1,2,2,64,0.583696,4106
488,4,1,2,2,128,0.622,5877
489,4,1,2,3,2,0.634355,2637
490,4,1,2,3,4,0.659423,3096
491,4,1,2,3,8,0.575689,3244
492,4,1,2,3,16,0.613465,3544
493,4,1,2,3,32,0.562372,4423
494,4,1,2,3,64,0.576212,5675
495,4,1,2,3,128,0.666473,8460
496,4,1,2,4,2,0.650871,3100
497,4,1,2,4,4,0.671507,3451
498,4,1,2,4,8,0.646169,3793
499,4,1,2,4,16,0.596798,4329
500,4,1,2,4,32,0.625794,5575
501,4,1,2,4,64,0.60925,7235
502,4,1,2,4,128,0.668808,10657
503,4,1,2,5,2,0.626622,3519
504,4,1,2,5,4,0.624185,4378
505,4,1,2,5,8,0.6214,4631
506,4,1,2,5,16,0.596596,5223
507,4,1,2,5,32,0.636195,6560
508,4,1,2,5,64,0.644985,8794
509,4,1,3,1,2,0.661538,1751
510,4,1,3,1,4,0.482024,1809
511,4,1,3,1,8,0.501181,1885
512,4,1,3,1,16,0.512439,2086
513,4,1,3,1,32,0.536973,2533
514,4,1,3,1,64,0.491602,3324
515,4,1,3,1,128,0.554365,4580
516,4,1,3,2,2,0.791817,2722
517,4,1,3,2,4,0.610513,2772
518,4,1,3,2,8,0.655187,3033
519,4,1,3,2,16,0.598576,3388
520,4,1,3,2,32,0.589352,4179
521,4,1,3,2,64,0.673997,5468
522,4,1,3,2,128,0.749418,8184
523,4,1,3,3,2,0.804027,3634
524,4,1,3,3,4,0.635292,3756
525,4,1,3,3,8,0.713687,4090
526,4,1,3,3,16,0.684119,4488
527,4,1,3,3,32,0.645239,5834
528,4,1,3,3,64,0.678785,7725
529,4,1,3,3,128,0.750669,11825
530,4,1,3,4,2,0.859308,4453
531,4,1,3,4,4,0.731774,4418
532,4,1,3,4,8,0.698549,4617
533,4,1,3,4,16,0.680294,5505
534,4,1,3,4,32,0.748204,7350
535,4,1,3,4,64,0.704482,10010
536,4,1,3,5,2,0.82651,5443
537,4,1,3,5,4,0.693354,5335
538,4,1,3,5,8,0.763422,5809
539,4,1,3,5,16,0.697875,6855
540,4,1,3,5,32,0.7542,8978
541,4,1,3,5,64,0.717584,12320
542,4,1,4,1,2,0.446945,1691
543,4,1,4,1,4,0.475117,1901
544,4,1,4,1,8,0.504784,2143
545,4,1,4,1,16,0.481768,2277
546,4,1,4,1,32,0.4456,2820
547,4,1,4,1,64,0.539756,3800
548,4,1,4,1,128,0.491034,5507
549,4,1,4,2,2,0.533091,2433
550,4,1,4,2,4,0.537797,2987
551,4,1,4,2,8,0.556135,3408
552,4,1,4,2,16,0.542666,3796
553,4,1,4,2,32,0.615611,4925
554,4,1,4,2,64,0.617883,6735
555,4,1,4,2,128,0.689854,10093
556,4,1,4,3,2,0.526436,3102
557,4,1,4,3,4,0.633118,4033
558,4,1,4,3,8,0.592798,4508
559,4,1,4,3,16,0.615838,5163
560,4,1,4,3,32,0.611538,6783
561,4,1,4,3,64,0.617461,9600
562,4,1,4,4,2,0.559086,4132
563,4,1,4,4,4,0.632501,5086
564,4,1,4,4,8,0.64475,5391
565,4,1,4,4,16,0.611571,6256
566,4,1,4,4,32,0.668843,8773
567,4,1,4,4,64,0.706645,12409
568,4,1,4,5,2,0.566036,4971
569,4,1,4,5,4,0.674814,6030
570,4,1,4,5,8,0.665404,6658
571,4,1,4,5,16,0.622655,7717
572,4,1,4,5,32,0.678221,10951
573,4,2,1,1,2,0.630566,1628
574,4,2,1,1,4,0.593879,1653
575,4,2,1,1,8,0.61708,1685
576,4,2,1,1,16,0.617457,1746
577,4,2,1,1,32,0.616325,1867
578,4,2,1,1,64,0.616985,2112
579,4,2,1,1,128,0.654333,2472
580,4,2,1,2,2,0.642659,2249
581,4,2,1,2,4,0.711007,2359
582,4,2,1,2,8,0.672355,2324
583,4,2,1,2,16,0.657931,2471
584,4,2,1,2,32,0.671412,2714
585,4,2,1,2,64,0.656046,3316
586,4,2,1,2,128,0.653972,4008
587,4,2,1,3,2,0.759549,2773
588,4,2,1,3,4,0.75116,2986
589,4,2,1,3,8,0.659162,2922
590,4,2,1,3,16,0.65115,3049
591,4,2,1,3,32,0.652846,3584
592,4,2,1,3,64,0.67151,4134
593,4,2,1,3,128,0.709308,5607
594,4,2,1,4,2,0.746178,3278
595,4,2,1,4,4,0.733847,3469
596,4,2,1,4,8,0.769772,3672
597,4,2,1,4,16,0.724235,3939
598,4,2,1,4,32,0.727633,4553
599,4,2,1,4,64,0.846187,5284
600,4,2,1,4,128,0.796474,6931
601,4,2,1,5,2,0.824626,3715
602,4,2,1,5,4,0.858193,3742
603,4,2,1,5,8,0.874685,3979
604,4,2,1,5,16,0.808909,4211
605,4,2,1,5,32,0.87129,5013
606,4,2,1,5,64,0.820454,6075
607,4,2,1,5,128,0.841409,8284
608,4,2,2,1,2,0.553055,1790
609,4,2,2,1,4,0.566829,1893
610,4,2,2,1,8,0.593425,1880
611,4,2,2,1,16,0.578005,2041
612,4,2,2,1,32,0.558253,2342
613,4,2,2,1,64,0.608153,2836
614,4,2,2,1,128,0.545605,3690
615,4,2,2,2,2,0.630397,2474
616,4,2,2,2,4,0.612472,2699
617,4,2,2,2,8,0.664948,2829
618,4,2,2,2,16,0.652392,3089
619,4,2,2,2,32,0.608749,3664
620,4,2,2,2,64,0.584763,4456
621,4,2,2,2,128,0.594634,6277
622,4,2,2,3,2,0.663204,3189
623,4,2,2,3,4,0.617577,3448
624,4,2,2,3,8,0.615152,3635
625,4,2,2,3,16,0.792642,3973
626,4,2,2,3,32,0.625975,5005
627,4,2,2,3,64,0.714373,6020
628,4,2,2,3,128,0.682252,8868
629,4,2,2,4,2,0.671936,3742
630,4,2,2,4,4,0.677925,4313
631,4,2,2,4,8,0.680338,4592
632,4,2,2,4,16,0.677388,5058
633,4,2,2,4,32,0.655223,6255
634,4,2,2,4,64,0.757381,7797
635,4,2,2,5,2,0.763098,4105
636,4,2,2,5,4,0.798921,4774
637,4,2,2,5,8,0.771495,5107
638,4,2,2,5,16,0.814554,5663
639,4,2,2,5,32,0.819021,7610
640,4,2,2,5,64,0.788737,9552
641,4,2,3,1,2,0.783216,2056
642,4,2,3,1,4,0.59632,2079
643,4,2,3,1,8,0.622603,2206
644,4,2,3,1,16,0.583719,2344
645,4,2,3,1,32,0.579578,2829
646,4,2,3,1,64,0.583809,3449
647,4,2,3,1,128,0.59317,4778
648,4,2,3,2,2,0.867286,3153
649,4,2,3,2,4,0.618919,3221
650,4,2,3,2,8,0.634574,3342
651,4,2,3,2,16,0.731294,3704
652,4,2,3,2,32,0.64726,4623
653,4,2,3,2,64,0.627916,5874
654,4,2,3,2,128,0.748389,8562
655,4,2,3,3,2,0.843758,4003
656,4,2,3,3,4,0.688369,4246
657,4,2,3,3,8,0.698085,4395
658,4,2,3,3,16,0.741356,4851
659,4,2,3,3,32,0.68702,6370
660,4,2,3,3,64,0.679823,8253
661,4,2,3,4,2,0.869789,5321
662,4,2,3,4,4,0.722639,5192
663,4,2,3,4,8,0.71169,5474
664,4,2,3,4,16,0.704952,6067
665,4,2,3,4,32,0.813787,8063
666,4,2,3,4,64,0.754363,10568
667,4,2,3,5,2,1.049419,5930
668,4,2,3,5,4,0.812082,5743
669,4,2,3,5,8,0.784175,6097
670,4,2,3,5,16,0.868452,7407
671,4,2,3,5,32,0.782321,9727
672,4,2,4,1,2,0.490764,1948
673,4,2,4,1,4,0.626855,2217
674,4,2,4,1,8,0.551868,2305
675,4,2,4,1,16,0.517643,2581
676,4,2,4,1,32,0.533303,3210
677,4,2,4,1,64,0.552836,3920
678,4,2,4,1,128,0.591419,5813
679,4,2,4,2,2,0.555881,2838
680,4,2,4,2,4,0.593801,3387
681,4,2,4,2,8,0.592429,3617
682,4,2,4,2,16,0.602917,4110
683,4,2,4,2,32,0.602191,5456
684,4,2,4,2,64,0.60082,6993
685,4,2,4,2,128,0.643741,10970
686,4,2,4,3,2,0.579267,3890
687,4,2,4,3,4,0.609356,4480
688,4,2,4,3,8,0.632265,4900
689,4,2,4,3,16,0.628393,5416
690,4,2,4,3,32,0.636218,7519
691,4,2,4,3,64,0.674131,10000
