n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,obj1,obj2,lut,ff,dsp,bram
0044,1,2,1,2,8,0.801619,2351,12298,9316,96,2
0045,1,2,1,2,16,0.794430,2442,13096,9316,96,2
0046,1,2,1,2,32,0.818355,2828,14841,9344,96,2
0047,1,2,1,2,64,0.766700,3244,17958,9388,96,2
0048,1,2,1,2,128,0.809441,4059,24444,9535,96,2
0049,1,2,1,3,2,0.845104,2631,13879,12147,120,2
0050,1,2,1,3,4,0.799857,2856,14932,12124,138,2
0051,1,2,1,3,8,0.821739,2955,15466,12130,138,2
0052,1,2,1,3,16,0.863681,3090,16710,12126,138,2
0053,1,2,1,3,32,0.772864,3466,19497,12170,138,2
0054,1,2,1,3,64,0.866832,4239,24192,12245,138,2
0055,1,2,1,3,128,0.865233,5483,33948,12412,138,2
0056,1,2,1,4,2,0.882402,3326,16784,15134,156,2
0057,1,2,1,4,4,0.968373,3431,18190,15162,180,2
0058,1,2,1,4,8,0.928955,3578,18919,15145,180,2
0059,1,2,1,4,16,0.932113,4012,20525,15144,180,2
0060,1,2,1,4,32,0.852497,4504,24312,15180,180,2
0061,1,2,1,4,64,0.967350,5301,30396,15262,180,2
0062,1,2,1,4,128,0.920940,6911,43510,15447,180,2
0063,1,2,1,5,2,1.041769,3578,18477,17185,30,2
0064,1,2,1,5,4,1.056384,3814,20332,17159,60,2
0065,1,2,1,5,8,1.005757,3895,21343,17157,60,2
0066,1,2,1,5,16,1.023880,4164,23150,17149,60,2
0067,1,2,1,5,32,1.030016,5071,27882,17194,60,2
0068,1,2,1,5,64,0.990882,6098,35648,17270,60,2
0069,1,2,1,5,128,1.040678,8234,51943,17485,60,2
0070,1,3,1,1,2,0.566429,1914,9545,7537,66,4
0071,1,3,1,1,4,0.512085,1919,9865,7547,72,4
0072,1,3,1,1,8,0.547731,2000,9941,7546,72,4
0073,1,3,1,1,16,0.517894,2007,10285,7546,72,4
0074,1,3,1,1,32,0.530306,2216,11488,7556,72,4
0075,1,3,1,1,64,0.518610,2383,12978,7578,72,4
0076,1,3,1,1,128,0.530942,2775,16256,7639,72,4
0077,1,3,1,2,2,0.566545,2442,13097,10765,120,4
0078,1,3,1,2,4,0.569528,2781,13658,10760,132,4
0079,1,3,1,2,8,0.563405,2681,14124,10765,132,4
0080,1,3,1,2,16,0.608930,2758,14716,10760,132,4
0081,1,3,1,2,32,0.596214,3145,16829,10771,132,4
0082,1,3,1,2,64,0.535541,3512,19642,10801,132,4
0083,1,3,1,2,128,0.648585,4282,26396,10894,132,4
0084,1,3,1,3,2,0.667524,2828,15443,13355,30,4
0085,1,3,1,3,4,0.692537,3330,16437,13355,48,4
0086,1,3,1,3,8,0.678210,3050,17040,13343,48,4
0087,1,3,1,3,16,0.671878,3261,18146,13336,48,4
0088,1,3,1,3,32,0.651851,4144,21141,13351,48,4
0089,1,3,1,3,64,0.678289,4718,25559,13412,48,4
0090,1,3,1,3,128,0.675991,6157,35671,13516,48,4
0091,1,3,1,4,2,0.689325,3472,18581,16357,30,4
0092,1,3,1,4,4,0.684272,3662,20067,16335,54,4
0093,1,3,1,4,8,0.704957,3666,20543,16336,54,4
0094,1,3,1,4,16,0.713721,3966,22092,16327,54,4
0095,1,3,1,4,32,0.688851,4940,26188,16337,54,4
0096,1,3,1,4,64,0.694062,6006,32199,16402,54,4
0097,1,3,1,4,128,0.703115,7323,45554,16560,54,4
0098,1,3,1,5,2,0.697632,4282,21462,19320,30,4
0099,1,3,1,5,4,0.726641,4201,23200,19303,60,4
0100,1,3,1,5,8,0.698894,4230,23842,19304,60,4
0101,1,3,1,5,16,0.720020,4703,26006,19267,60,4
0102,1,3,1,5,32,0.693849,5404,30504,19262,60,4
0103,1,3,1,5,64,0.726247,6603,38162,19348,60,4
0104,1,3,1,5,128,0.710152,9539,55105,19631,60,4
0105,2,1,1,1,2,0.500729,1343,6759,4460,30,4
0106,2,1,1,1,4,0.511561,1410,7045,4460,36,4
0107,2,1,1,1,8,0.523369,1408,7256,4460,36,4
0108,2,1,1,1,16,0.509164,1482,7714,4460,36,4
0109,2,1,1,1,32,0.588535,1586,8586,4450,36,4
0110,2,1,1,1,64,0.528074,1812,10204,4492,36,4
0111,2,1,1,1,128,0.521593,2190,13429,4530,36,4
0112,2,1,1,2,2,0.625271,1873,9050,7305,48,4
0113,2,1,1,2,4,0.615851,1942,9841,7306,60,4
0114,2,1,1,2,8,0.612235,1997,10268,7300,60,4
0115,2,1,1,2,16,0.611854,2189,10940,7304,60,4
0116,2,1,1,2,32,0.600436,2462,12783,7323,60,4
0117,2,1,1,2,64,0.599674,2833,16101,7372,60,4
0118,2,1,1,2,128,0.637451,3700,22575,7500,60,4
0119,2,1,1,3,2,0.664582,2172,10923,9083,66,4
0120,2,1,1,3,4,0.675713,2354,12212,9088,84,4
0121,2,1,1,3,8,0.650408,2460,12800,9087,84,4
0122,2,1,1,3,16,0.623105,2662,14058,9077,84,4
0123,2,1,1,3,32,0.679803,3056,16804,9120,84,4
0124,2,1,1,3,64,0.656782,3761,21566,9188,84,4
0125,2,1,1,3,128,0.618254,5169,31284,9391,84,4
0126,2,1,1,4,2,0.683136,2583,12871,10842,84,4
0127,2,1,1,4,4,0.718900,2784,14214,10837,110,4
0128,2,1,1,4,8,0.696072,2807,14985,10827,110,4
0129,2,1,1,4,16,0.655266,3098,16428,10839,110,4
0130,2,1,1,4,32,0.707106,3757,20127,10876,110,4
0131,2,1,1,4,64,0.715666,4604,26916,10955,110,4
0132,2,1,1,4,128,0.692458,6264,39409,11226,110,4
0133,2,1,1,5,2,0.698203,2839,14369,12632,102,4
0134,2,1,1,5,4,0.657877,3176,16680,12628,132,4
0135,2,1,1,5,8,0.666817,3420,17730,12627,132,4
0136,2,1,1,5,16,0.665390,3714,19530,12628,132,4
0137,2,1,1,5,32,0.648841,4498,24440,12703,132,4
0138,2,1,1,5,64,0.689548,5413,32026,12845,132,4
0139,2,1,1,5,128,0.740622,7794,48235,13181,132,4
0140,2,1,2,1,2,0.437810,1440,7225,4994,30,4
0141,2,1,2,1,4,0.453293,1569,8017,4996,42,4
0142,2,1,2,1,8,0.474677,1618,8430,4994,42,4
0143,2,1,2,1,16,0.431908,1790,9107,5014,42,4
0144,2,1,2,1,32,0.431985,1988,10928,5034,42,4
0145,2,1,2,1,64,0.482342,2391,14077,5091,42,4
0146,2,1,2,1,128,0.496828,3309,20682,5231,42,4
0147,2,1,2,2,2,0.540057,1918,9518,8382,48,4
0148,2,1,2,2,4,0.601825,2206,11491,8386,72,4
0149,2,1,2,2,8,0.564299,2355,12277,8382,72,4
0150,2,1,2,2,16,0.539725,2658,13933,8384,72,4
0151,2,1,2,2,32,0.560148,3273,17560,8427,72,4
0152,2,1,2,2,64,0.558986,4064,23799,8549,72,4
0153,2,1,2,2,128,0.583228,5780,36850,8796,72,4
0154,2,1,2,3,2,0.574002,2488,12410,10706,66,4
0155,2,1,2,3,4,0.549269,2979,15085,10694,102,4
0156,2,1,2,3,8,0.557900,3148,16120,10692,102,4
0157,2,1,2,3,16,0.556821,3512,18469,10699,102,4
0158,2,1,2,3,32,0.585538,4333,24021,10764,102,4
0159,2,1,2,3,64,0.626953,5504,33313,10928,102,4
0160,2,1,2,3,128,0.704223,8315,52943,11303,102,4
0161,2,1,2,4,2,0.583539,2995,14992,13036,84,4
0162,2,1,2,4,4,0.603455,3495,18052,13031,132,4
0163,2,1,2,4,8,0.633163,3684,19342,13030,132,4
0164,2,1,2,4,16,0.609098,4219,22455,13033,132,4
0165,2,1,2,4,32,0.623039,5304,29823,13114,132,4
0166,2,1,2,4,64,0.627106,7114,42352,13319,132,4
0167,2,1,2,4,128,0.686771,10638,68416,13808,132,4
0168,2,1,2,5,2,0.573528,3556,17303,15392,102,4
0169,2,1,2,5,4,0.615431,4050,21375,15372,162,4
0170,2,1,2,5,8,0.579751,4504,23241,15360,162,4
0171,2,1,2,5,16,0.613025,4941,27219,15354,162,4
0172,2,1,2,5,32,0.625222,6445,36223,15481,162,4
0173,2,1,2,5,64,0.638830,8848,52826,15742,162,4
0175,2,2,1,1,2,0.646157,1600,7938,6287,48,4
0176,2,2,1,1,4,0.617725,1610,8246,6290,54,4
0177,2,2,1,1,8,0.620758,1636,8453,6287,54,4
0178,2,2,1,1,16,0.630519,1718,8849,6290,54,4
0179,2,2,1,1,32,0.625591,1861,9649,6302,54,4
0180,2,2,1,1,64,0.626065,2056,11372,6322,54,4
0181,2,2,1,1,128,0.649000,2448,14582,6359,54,4
0182,2,2,1,2,2,0.720348,2237,10986,8845,84,4
0183,2,2,1,2,4,0.675178,2291,11804,8856,96,4
0184,2,2,1,2,8,0.759362,2358,12237,8856,96,4
0185,2,2,1,2,16,0.676220,2510,13086,8853,96,4
0186,2,2,1,2,32,0.679345,2864,15002,8895,96,4
0187,2,2,1,2,64,0.640046,3313,18298,8926,96,4
0188,2,2,1,2,128,0.692318,3946,24512,9076,96,4
0189,2,2,1,3,2,0.708982,2932,14017,11433,120,4
0190,2,2,1,3,4,0.693172,3062,15068,11413,138,4
0191,2,2,1,3,8,0.671872,2926,15716,11417,138,4
0192,2,2,1,3,16,0.659943,2994,16863,11412,138,4
0193,2,2,1,3,32,0.630122,3558,19674,11461,138,4
0194,2,2,1,3,64,0.711254,4190,24200,11550,138,4
0195,2,2,1,3,128,0.685504,5458,33998,11760,138,4
0196,2,2,1,4,2,0.847472,3163,16585,14249,156,4
0197,2,2,1,4,4,0.744984,3496,18540,14215,182,4
0198,2,2,1,4,8,0.769145,3879,19300,14226,182,4
0199,2,2,1,4,16,0.746543,3971,20619,14242,182,4
0200,2,2,1,4,32,0.753460,4483,24514,14276,182,4
0201,2,2,1,4,64,0.786584,5243,30313,14375,182,4
0202,2,2,1,4,128,0.708062,7029,43799,14623,182,4
0203,2,2,1,5,2,0.864842,3445,18171,16021,30,4
0204,2,2,1,5,4,0.825779,3827,20583,16038,60,4
0205,2,2,1,5,8,0.836982,3894,21505,16023,60,4
0206,2,2,1,5,16,0.862797,4228,23352,16020,60,4
0207,2,2,1,5,32,0.860751,5057,28156,16102,60,4
0208,2,2,1,5,64,0.865135,6267,35715,16237,60,4
0209,2,2,1,5,128,0.840489,8556,51943,16572,60,4
0210,2,2,2,1,2,0.552847,1761,8503,6820,48,4
0211,2,2,2,1,4,0.523015,1811,9218,6824,60,4
0212,2,2,2,1,8,0.558714,1835,9483,6825,60,4
0213,2,2,2,1,16,0.549211,2038,10466,6844,60,4
0214,2,2,2,1,32,0.538385,2300,12245,6867,60,4
0215,2,2,2,1,64,0.545823,2718,15198,6884,60,4
0216,2,2,2,1,128,0.543013,3606,21942,7041,60,4
0217,2,2,2,2,2,0.609548,2418,12267,9953,84,4
0218,2,2,2,2,4,0.582303,2649,13699,9946,108,4
0219,2,2,2,2,8,0.601127,2865,14549,9951,108,4
0220,2,2,2,2,16,0.582220,3039,15980,9949,108,4
0221,2,2,2,2,32,0.564965,3680,19726,10025,108,4
0222,2,2,2,2,64,0.578918,4436,25842,10131,108,4
0223,2,2,2,2,128,0.666350,6302,39074,10389,108,4
0224,2,2,2,3,2,0.674397,2989,14887,13086,120,4
0225,2,2,2,3,4,0.614393,3422,17801,13068,156,4
0226,2,2,2,3,8,0.613651,3600,18969,13085,156,4
0227,2,2,2,3,16,0.570815,3866,21105,13074,156,4
0228,2,2,2,3,32,0.617777,4881,26646,13158,156,4
0229,2,2,2,3,64,0.594585,6029,35995,13314,156,4
0230,2,2,2,3,128,0.679431,8707,55660,13683,156,4
0231,2,2,2,4,2,0.672576,3600,18114,16465,156,4
0232,2,2,2,4,4,0.640167,4212,22050,16453,204,4
0233,2,2,2,4,8,0.659954,4431,23548,16474,204,4
0234,2,2,2,4,16,0.673259,4873,26595,16449,204,4
0235,2,2,2,4,32,0.638461,6013,33888,16556,204,4
0236,2,2,2,4,64,0.698674,7985,46601,16759,204,4
0238,2,2,2,5,2,0.765641,3971,20234,18819,30,4
0239,2,2,2,5,4,0.741934,4597,25071,18820,90,4
0240,2,2,2,5,8,0.746197,4926,26953,18814,90,4
0241,2,2,2,5,16,0.730762,5773,30722,18809,90,4
0242,2,2,2,5,32,0.727692,7351,40185,18942,90,4
0243,2,2,2,5,64,0.753702,9113,55819,19181,90,4
0245,2,3,1,1,2,0.685701,1879,9169,7119,66,4
0246,2,3,1,1,4,0.627700,1918,9509,7122,72,4
0247,2,3,1,1,8,0.650787,1926,9727,7116,72,4
0248,2,3,1,1,16,0.634607,1980,10148,7119,72,4
0249,2,3,1,1,32,0.632241,2196,11015,7129,72,4
0250,2,3,1,1,64,0.666872,2403,12618,7152,72,4
0251,2,3,1,1,128,0.626848,2723,15850,7213,72,4
0252,2,3,1,2,2,0.729863,2464,13106,10509,120,4
0253,2,3,1,2,4,0.675596,2615,13782,10508,132,4
0254,2,3,1,2,8,0.668978,2858,14376,10498,132,4
0255,2,3,1,2,16,0.687224,2824,15057,10512,132,4
0256,2,3,1,2,32,0.698853,3106,16887,10529,132,4
0257,2,3,1,2,64,0.690344,3441,19834,10586,132,4
0258,2,3,1,2,128,0.677770,4391,26496,10716,132,4
0259,2,3,1,3,2,0.829612,3040,16207,13459,30,4
0260,2,3,1,3,4,0.847901,3242,17492,13455,48,4
0261,2,3,1,3,8,0.824651,3557,17877,13435,48,4
0262,2,3,1,3,16,0.827861,3559,18996,13459,48,4
0263,2,3,1,3,32,0.864050,3952,22054,13479,48,4
0264,2,3,1,3,64,0.857532,4781,26745,13578,48,4
0265,2,3,1,3,128,0.807627,6045,36646,13783,48,4
0266,2,3,1,4,2,0.865492,3547,19666,16608,30,4
0267,2,3,1,4,4,0.873468,4025,21116,16621,56,4
0268,2,3,1,4,8,0.911598,3961,21756,16619,56,4
0269,2,3,1,4,16,0.849443,4098,23081,16612,56,4
0270,2,3,1,4,32,0.827461,5162,27118,16659,56,4
0271,2,3,1,4,64,0.864033,5598,33253,16774,56,4
0272,2,3,1,4,128,0.912181,7412,46286,17083,56,4
0273,2,3,1,5,2,0.815724,4365,23076,19822,30,4
0274,2,3,1,5,4,0.859297,4770,25272,19791,60,4
0275,2,3,1,5,8,0.864549,4710,26525,19840,60,4
0276,2,3,1,5,16,0.869412,5100,28240,19775,60,4
0277,2,3,1,5,32,0.885654,5833,32565,19887,60,4
0278,2,3,1,5,64,0.882639,7431,41821,19997,60,4
0279,2,3,1,5,128,0.855309,9124,56779,20383,60,4
0280,2,3,2,1,2,0.560728,1963,9648,7670,66,4
0281,2,3,2,1,4,0.547695,2134,10466,7689,78,4
0282,2,3,2,1,8,0.570131,2182,10861,7669,78,4
0283,2,3,2,1,16,0.563779,2260,11556,7699,78,4
0284,2,3,2,1,32,0.565924,2669,13485,7704,78,4
0285,2,3,2,1,64,0.590752,3035,16564,7743,78,4
0286,2,3,2,1,128,0.556191,3757,23100,7893,78,4
0287,2,3,2,2,2,0.619704,2859,14183,11633,120,4
0288,2,3,2,2,4,0.593910,3256,15576,11604,144,4
0289,2,3,2,2,8,0.632065,3241,16466,11618,144,4
0290,2,3,2,2,16,0.604541,3347,17839,11620,144,4
0291,2,3,2,2,32,0.587647,3903,21778,11681,144,4
0292,2,3,2,2,64,0.676482,4815,27791,11783,144,4
0293,2,3,2,2,128,0.613523,6565,40854,12053,144,4
0294,2,3,2,3,2,0.717786,3255,17204,15106,30,4
0295,2,3,2,3,4,0.728089,3773,20096,15107,66,4
0296,2,3,2,3,8,0.733708,4208,21336,15106,66,4
0297,2,3,2,3,16,0.759848,4261,23472,15102,66,4
0298,2,3,2,3,32,0.736433,5299,29109,15177,66,4
0299,2,3,2,3,64,0.725023,6522,38451,15388,66,4
0300,2,3,2,3,128,0.727492,9147,57938,15728,66,4
0301,2,3,2,4,2,0.760926,3984,20556,18867,30,4
0302,2,3,2,4,4,0.759649,4658,24583,18852,78,4
0303,2,3,2,4,8,0.760500,4681,26090,18839,78,4
0304,2,3,2,4,16,0.766885,5100,29324,18845,78,4
0305,2,3,2,4,32,0.775909,6481,36473,18938,78,4
0306,2,3,2,4,64,0.765864,8353,49302,19175,78,4
0308,2,3,2,5,2,0.779500,4939,26619,22632,30,4
0309,2,3,2,5,4,0.761794,5566,29887,22603,90,4
0310,2,3,2,5,8,0.768859,6165,32028,22587,90,4
0311,2,3,2,5,16,0.732340,6506,35740,22590,90,4
0312,2,3,2,5,32,0.772434,8044,44998,22737,90,4
0313,2,3,2,5,64,0.780096,10495,60900,23040,90,4
0315,2,4,1,1,2,0.907685,2150,10322,8033,84,4
0316,2,4,1,1,4,0.922204,2113,10686,8033,90,4
0317,2,4,1,1,8,0.954148,2212,10967,8034,90,4
0318,2,4,1,1,16,0.870817,2225,11361,8020,90,4
0319,2,4,1,1,32,0.874983,2371,12167,8050,90,4
0320,2,4,1,1,64,0.909073,2542,13733,8070,90,4
0321,2,4,1,1,128,0.908063,2885,16941,8083,90,4
0322,2,4,1,2,2,0.990091,2906,15542,12603,156,4
0323,2,4,1,2,4,0.993491,3426,16319,12573,168,4
0324,2,4,1,2,8,1.011410,3036,16656,12597,168,4
0325,2,4,1,2,16,0.975442,3176,17372,12606,168,4
0326,2,4,1,2,32,1.012325,3656,19199,12630,168,4
0327,2,4,1,2,64,0.961971,3917,22366,12637,168,4
0328,2,4,1,2,128,1.015464,4727,28975,12795,168,4
0329,2,4,1,3,2,1.169569,3603,19174,15965,30,4
0330,2,4,1,3,4,1.154923,3653,20417,15984,48,4
0331,2,4,1,3,8,1.149954,3776,20865,15990,48,4
0332,2,4,1,3,16,1.126417,4103,22160,15970,48,4
0333,2,4,1,3,32,1.167608,4601,24767,16015,48,4
0334,2,4,1,3,64,1.145247,5147,29641,16097,48,4
0335,2,4,1,3,128,1.160546,6357,39559,16305,48,4
0336,2,4,1,4,2,1.126960,4288,23200,19944,30,4
0337,2,4,1,4,4,1.159910,4741,25081,19930,56,4
0338,2,4,1,4,8,1.174554,4661,26043,19941,56,4
0339,2,4,1,4,16,1.147358,5079,27213,19969,56,4
0340,2,4,1,4,32,1.126960,5687,31230,20005,56,4
0341,2,4,1,4,64,1.143827,6317,37105,20073,56,4
0342,2,4,1,4,128,1.141081,8449,49991,20311,56,4
0343,2,4,1,5,2,1.160626,5244,27765,24039,30,4
0344,2,4,1,5,4,1.161541,5376,29957,24056,60,4
0345,2,4,1,5,8,1.111727,5674,30443,24060,60,4
0346,2,4,1,5,16,1.156181,5768,33524,24034,60,4
0347,2,4,1,5,32,1.170171,6729,37585,24114,60,4
0348,2,4,1,5,64,1.148205,7991,45244,24254,60,4
0350,2,4,2,1,2,0.868840,2112,10891,8567,84,4
0351,2,4,2,1,4,0.821934,2208,11543,8586,96,4
0352,2,4,2,1,8,0.793631,2240,11920,8586,96,4
0353,2,4,2,1,16,0.765213,2441,12882,8576,96,4
0354,2,4,2,1,32,0.803331,2789,14646,8609,96,4
0355,2,4,2,1,64,0.808809,3159,17597,8629,96,4
0356,2,4,2,1,128,0.785071,3952,24171,8783,96,4
0357,2,4,2,2,2,0.869518,3141,16012,13668,156,4
0358,2,4,2,2,4,0.897996,3356,18256,13671,180,4
0359,2,4,2,2,8,0.851720,3575,19042,13687,180,4
0360,2,4,2,2,16,0.888266,3735,20401,13675,180,4
0361,2,4,2,2,32,0.876994,4551,24047,13721,180,4
0362,2,4,2,2,64,0.875333,5253,30270,13840,180,4
0363,2,4,2,2,128,0.952222,6895,43356,14078,180,4
0364,2,4,2,3,2,1.062700,4106,20065,17655,30,4
0365,2,4,2,3,4,1.043482,4141,22956,17657,66,4
0366,2,4,2,3,8,1.062107,4322,24086,17651,66,4
0367,2,4,2,3,16,1.071716,4483,26318,17620,66,4
0368,2,4,2,3,32,1.081918,5633,31679,17706,66,4
0369,2,4,2,3,64,1.000774,7219,41039,17884,66,4
0370,2,4,2,3,128,1.014654,9544,60800,18245,66,4
0371,2,4,2,4,2,1.033524,4660,25221,22244,30,4
0372,2,4,2,4,4,1.074803,5908,28717,22206,78,4
0373,2,4,2,4,8,1.051435,6037,30565,22259,78,4
0374,2,4,2,4,16,1.047639,5943,33476,22203,78,4
0375,2,4,2,4,32,1.051198,7204,40905,22321,78,4
0376,2,4,2,4,64,1.070770,9529,53769,22496,78,4
0378,2,4,2,5,2,1.049232,5901,30712,26872,30,4
0379,2,4,2,5,4,1.066905,6185,34788,26848,90,4
0380,2,4,2,5,8,1.048283,7015,36821,26883,90,4
0381,2,4,2,5,16,1.036541,7410,41128,26866,90,4
0382,2,4,2,5,32,1.055163,9157,49592,26939,90,4
0385,2,5,1,1,2,1.019566,2286,11613,8861,102,4
0386,2,5,1,1,4,1.139927,2310,11883,8853,108,4
0387,2,5,1,1,8,1.077286,2318,12122,8856,108,4
0388,2,5,1,1,16,1.026129,2394,12609,8864,108,4
0389,2,5,1,1,32,1.060283,2662,13449,8872,108,4
0390,2,5,1,1,64,1.091156,2780,15059,8873,108,4
0391,2,5,1,1,128,1.001818,3194,18332,8929,108,4
0392,2,5,1,2,2,1.288907,3171,16800,13455,30,4
0393,2,5,1,2,4,1.374608,3230,17378,13463,42,4
0394,2,5,1,2,8,1.312182,3261,17938,13456,42,4
0395,2,5,1,2,16,1.414838,3318,18623,13455,42,4
0396,2,5,1,2,32,1.316498,3613,20471,13479,42,4
0397,2,5,1,2,64,1.304783,4059,23383,13549,42,4
0398,2,5,1,2,128,1.346401,4879,29985,13658,42,4
0399,2,5,1,3,2,1.348026,4294,22499,18258,30,4
0400,2,5,1,3,4,1.327683,4375,23630,18259,48,4
0401,2,5,1,3,8,1.341091,4361,24212,18262,48,4
0402,2,5,1,3,16,1.376537,4741,25542,18272,48,4
0403,2,5,1,3,32,1.428627,5048,28369,18311,48,4
0404,2,5,1,3,64,1.369294,6145,33146,18367,48,4
0405,2,5,1,3,128,1.389483,6955,42887,18621,48,4
0406,2,5,1,4,2,1.396764,5117,27388,23041,30,4
0407,2,5,1,4,4,1.411558,5316,29338,23000,56,4
0408,2,5,1,4,8,1.369180,5543,30249,22998,56,4
0409,2,5,1,4,16,1.381354,5682,30967,23001,56,4
0410,2,5,1,4,32,1.445768,6326,35046,23038,56,4
0411,2,5,1,4,64,1.474277,7851,41405,23236,56,4
0413,2,5,1,5,2,1.392996,6026,31890,27809,30,4
0414,2,5,1,5,4,1.389914,6962,35264,27856,60,4
0415,2,5,1,5,8,1.441381,6673,36240,27870,60,4
0416,2,5,1,5,16,1.411950,7061,38398,27914,60,4
0417,2,5,1,5,32,1.414569,7907,43194,27898,60,4
0420,2,5,2,1,2,0.977993,2293,12118,9398,102,4
0421,2,5,2,1,4,0.959907,2464,12817,9407,114,4
0422,2,5,2,1,8,0.997723,2638,13396,9422,114,4
0423,2,5,2,1,16,1.090754,2633,14200,9401,114,4
0424,2,5,2,1,32,0.906610,2822,15832,9429,114,4
0425,2,5,2,1,64,1.003614,3476,19067,9475,114,4
0426,2,5,2,1,128,1.029236,4209,25621,9608,114,4
0427,2,5,2,2,2,1.251199,3294,17231,14526,30,4
0428,2,5,2,2,4,1.279742,3680,19232,14543,54,4
0429,2,5,2,2,8,1.198657,3651,20223,14541,54,4
0430,2,5,2,2,16,1.245803,3975,21483,14536,54,4
0431,2,5,2,2,32,1.220100,4525,25154,14593,54,4
0432,2,5,2,2,64,1.291670,5377,31299,14699,54,4
0433,2,5,2,2,128,1.238845,7089,44386,14965,54,4
0434,2,5,2,3,2,1.285900,4385,23411,19917,30,4
0435,2,5,2,3,4,1.292289,5445,26484,19956,66,4
0436,2,5,2,3,8,1.257078,5054,27456,19942,66,4
0437,2,5,2,3,16,1.301802,5687,29523,19913,66,4
0438,2,5,2,3,32,1.293425,6408,35384,20030,66,4
0439,2,5,2,3,64,1.201991,7485,44757,20192,66,4
0440,2,5,2,3,128,1.281783,10385,64713,20544,66,4
0441,2,5,2,4,2,1.265625,5493,27883,25214,30,4
0442,2,5,2,4,4,1.214091,5951,32067,25316,78,4
0443,2,5,2,4,8,1.250009,6365,34462,25282,78,4
0444,2,5,2,4,16,1.317726,6728,37224,25290,78,4
0445,2,5,2,4,32,1.296290,7754,44625,25366,78,4
0446,2,5,2,4,64,1.292031,9666,57443,25598,78,4
0448,2,5,2,5,2,1.267686,6750,34653,30675,30,4
0449,2,5,2,5,4,1.274642,7468,38998,30626,90,4
0450,2,5,2,5,8,1.292245,8083,41536,30656,90,4
0451,2,5,2,5,16,1.300194,8462,45232,30630,90,4
0452,2,5,2,5,32,1.262575,9552,54219,30760,90,4
0455,4,1,1,1,2,0.522066,1347,6748,4471,30,4
0456,4,1,1,1,4,0.497777,1374,7065,4471,36,4
0457,4,1,1,1,8,0.508906,1407,7255,4471,36,4
0458,4,1,1,1,16,0.497866,1473,7721,4471,36,4
0459,4,1,1,1,32,0.512615,1591,8608,4462,36,4
0460,4,1,1,1,64,0.504666,1868,10181,4484,36,4
