n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,knob_tmpsize,knob_size,knob_I_B,obj1,obj2,FF
0068,5,100,1,2,1,2,1,25,10000,0,0.022558,7558.124,770
0069,5,100,1,2,1,2,2,25,10000,0,0.016701,7944.090,771
0070,5,100,1,2,1,2,3,25,10000,0,0.022025,8068.844,771
0071,5,100,1,2,1,2,4,25,10000,0,0.016393,7503.328,731
0072,5,100,1,2,1,3,1,25,10000,0,0.018358,7524.342,771
0073,5,100,1,2,1,3,2,25,10000,0,0.020576,7881.048,771
0074,5,100,1,2,1,3,3,25,10000,0,0.027471,7816.144,771
0075,5,100,1,2,1,3,4,25,10000,0,0.015886,7657.076,731
0076,5,100,1,2,1,4,1,25,10000,0,0.018706,7628.614,769
0077,5,100,1,2,1,4,2,25,10000,0,0.020207,7925.204,769
0078,5,100,1,2,1,4,3,25,10000,0,0.032156,7737.142,769
0079,5,100,1,2,1,4,4,25,10000,0,0.020272,7479.122,729
0080,5,100,1,2,2,1,1,25,10000,0,0.020988,8591.800,772
0081,5,100,1,2,2,1,2,25,10000,0,0.021870,7785.820,774
0082,5,100,1,2,2,1,3,25,10000,0,0.026830,8787.310,775
0083,5,100,1,2,2,1,4,25,10000,0,0.020660,7663.992,733
0084,5,100,1,2,2,2,1,25,10000,0,0.020611,7834.498,769
0085,5,100,1,2,2,2,2,25,10000,0,0.019145,8093.316,772
0086,5,100,1,2,2,2,3,25,10000,0,0.026852,8492.848,772
0087,5,100,1,2,2,2,4,25,10000,0,0.016133,8051.022,730
0088,5,100,1,2,2,3,1,25,10000,0,0.020953,7750.442,773
0089,5,100,1,2,2,3,2,25,10000,0,0.016844,8127.364,774
0090,5,100,1,2,2,3,3,25,10000,0,0.029901,8518.650,774
0091,5,100,1,2,2,3,4,25,10000,0,0.017762,7927.066,733
0092,5,100,1,2,2,4,1,25,10000,0,0.019677,7841.414,772
0093,5,100,1,2,2,4,2,25,10000,0,0.020658,7949.942,772
0094,5,100,1,2,2,4,3,25,10000,0,0.030618,8538.068,772
0095,5,100,1,2,2,4,4,25,10000,0,0.021063,7797.524,732
0096,5,100,1,2,3,1,1,25,10000,0,0.023673,7802.578,770
0097,5,100,1,2,3,1,2,25,10000,0,0.019766,8036.924,772
0098,5,100,1,2,3,1,3,25,10000,0,0.027575,8847.958,773
0099,5,100,1,2,3,1,4,25,10000,0,0.020468,7777.042,733
0100,5,100,1,2,3,2,1,25,10000,0,0.022348,7875.728,770
0101,5,100,1,2,3,2,2,25,10000,0,0.020340,8403.472,772
0102,5,100,1,2,3,2,3,25,10000,0,0.028231,8831.998,772
0103,5,100,1,2,3,2,4,25,10000,0,0.021128,8064.056,732
0104,5,100,1,2,3,3,1,25,10000,0,0.022685,7905.254,771
0105,5,100,1,2,3,3,2,25,10000,0,0.019612,8323.406,772
0106,5,100,1,2,3,3,3,25,10000,0,0.029221,8774.542,772
0107,5,100,1,2,3,3,4,25,10000,0,0.023156,8081.346,732
0108,5,100,1,2,3,4,1,25,10000,0,0.017266,7997.024,770
0109,5,100,1,2,3,4,2,25,10000,0,0.020971,8308.510,770
0110,5,100,1,2,3,4,3,25,10000,0,0.029406,8881.740,770
0111,5,100,1,2,3,4,4,25,10000,0,0.023784,8079.484,730
0112,5,100,1,2,4,1,1,25,10000,0,0.022985,7911.106,770
0113,5,100,1,2,4,1,2,25,10000,0,0.022848,8414.644,772
0114,5,100,1,2,4,1,3,25,10000,0,0.031640,8803.004,773
0115,5,100,1,2,4,1,4,25,10000,0,0.020088,8027.880,733
0116,5,100,1,2,4,2,1,25,10000,0,0.023576,8070.972,770
0117,5,100,1,2,4,2,2,25,10000,0,0.019608,8356.124,772
0118,5,100,1,2,4,2,3,25,10000,0,0.031791,8880.410,772
0119,5,100,1,2,4,2,4,25,10000,0,0.018196,7990.108,732
0120,5,100,1,2,4,3,1,25,10000,0,0.020653,8244.670,771
0121,5,100,1,2,4,3,2,25,10000,0,0.022255,8352.932,772
0122,5,100,1,2,4,3,3,25,10000,0,0.031630,8963.402,772
0123,5,100,1,2,4,3,4,25,10000,0,0.017986,8156.624,732
0124,5,100,1,2,4,4,1,25,10000,0,0.022321,8101.828,769
0125,5,100,1,2,4,4,2,25,10000,0,0.023782,8334.844,770
0126,5,100,1,2,4,4,3,25,10000,0,0.031282,8929.088,770
0127,5,100,1,2,4,4,4,25,10000,0,0.019132,8154.496,730
0128,5,100,1,3,1,1,1,25,10000,0,0.021484,7870.142,842
0129,5,100,1,3,1,1,2,25,10000,0,0.020486,8342.824,844
0130,5,100,1,3,1,1,3,25,10000,0,0.030722,8344.952,844
0131,5,100,1,3,1,1,4,25,10000,0,0.023644,7846.468,803
0132,5,100,1,3,1,2,1,25,10000,0,0.020893,8068.046,843
0133,5,100,1,3,1,2,2,25,10000,0,0.022239,8289.624,843
0134,5,100,1,3,1,2,3,25,10000,0,0.024153,8278.718,843
0135,5,100,1,3,1,2,4,25,10000,0,0.017960,8173.648,803
0136,5,100,1,3,1,3,1,25,10000,0,0.022452,7928.130,843
0137,5,100,1,3,1,3,2,25,10000,0,0.024007,8303.456,843
0138,5,100,1,3,1,3,3,25,10000,0,0.030389,8185.352,843
0139,5,100,1,3,1,3,4,25,10000,0,0.021436,7847.266,803
0140,5,100,1,3,1,4,1,25,10000,0,0.024905,7959.518,841
0141,5,100,1,3,1,4,2,25,10000,0,0.019750,8360.114,841
0142,5,100,1,3,1,4,3,25,10000,0,0.030236,8109.542,841
0143,5,100,1,3,1,4,4,25,10000,0,0.020779,7981.862,801
0144,5,100,1,3,2,1,1,25,10000,0,0.022676,8056.874,836
0145,5,100,1,3,2,1,2,25,10000,0,0.025721,8310.372,839
0146,5,100,1,3,2,1,3,25,10000,0,0.034858,8919.778,839
0147,5,100,1,3,2,1,4,25,10000,0,0.017503,8311.436,797
0148,5,100,1,3,2,2,1,25,10000,0,0.019902,8674.260,834
0149,5,100,1,3,2,2,2,25,10000,0,0.018704,8519.714,836
0150,5,100,1,3,2,2,3,25,10000,0,0.034259,8905.946,836
0151,5,100,1,3,2,2,4,25,10000,0,0.020405,8030.274,794
0152,5,100,1,3,2,3,1,25,10000,0,0.021489,8106.350,837
0153,5,100,1,3,2,3,2,25,10000,0,0.019563,8440.978,838
0154,5,100,1,3,2,3,3,25,10000,0,0.034209,9106.776,838
0155,5,100,1,3,2,3,4,25,10000,0,0.019985,8399.482,797
0156,5,100,1,3,2,4,1,25,10000,0,0.023976,8793.428,836
0157,5,100,1,3,2,4,2,25,10000,0,0.025161,8604.036,836
0158,5,100,1,3,2,4,3,25,10000,0,0.035058,9115.820,836
0159,5,100,1,3,2,4,4,25,10000,0,0.021196,8281.112,796
0160,5,100,1,3,3,1,1,25,10000,0,0.023170,8078.686,834
0161,5,100,1,3,3,1,2,25,10000,0,0.024793,8483.272,837
0162,5,100,1,3,3,1,3,25,10000,0,0.037024,8737.834,837
0163,5,100,1,3,3,1,4,25,10000,0,0.021804,8210.622,797
0164,5,100,1,3,3,2,1,25,10000,0,0.023978,8381.128,835
0165,5,100,1,3,3,2,2,25,10000,0,0.018338,8661.492,836
0166,5,100,1,3,3,2,3,25,10000,0,0.033213,9214.506,836
0167,5,100,1,3,3,2,4,25,10000,0,0.020018,8527.162,796
0168,5,100,1,3,3,3,1,25,10000,0,0.023577,8349.208,835
0169,5,100,1,3,3,3,2,25,10000,0,0.021769,8668.142,836
0170,5,100,1,3,3,3,3,25,10000,0,0.031812,9067.940,836
0171,5,100,1,3,3,3,4,25,10000,0,0.019665,8501.892,796
0172,5,100,1,3,3,4,1,25,10000,0,0.020162,8445.766,834
0173,5,100,1,3,3,4,2,25,10000,0,0.022834,8573.446,834
0174,5,100,1,3,3,4,3,25,10000,0,0.030743,9046.394,834
0175,5,100,1,3,3,4,4,25,10000,0,0.021859,8232.700,794
0176,5,100,1,3,4,1,1,25,10000,0,0.024577,8198.386,818
0177,5,100,1,3,4,1,2,25,10000,0,0.025709,8709.106,821
0178,5,100,1,3,4,1,3,25,10000,0,0.034585,8895.306,821
0179,5,100,1,3,4,1,4,25,10000,0,0.022782,8162.742,781
0180,5,100,1,3,4,2,1,25,10000,0,0.022548,8294.678,819
0181,5,100,1,3,4,2,2,25,10000,0,0.022803,8588.076,820
0182,5,100,1,3,4,2,3,25,10000,0,0.034417,8990.268,820
0183,5,100,1,3,4,2,4,25,10000,0,0.020573,8292.816,780
0184,5,100,1,3,4,3,1,25,10000,0,0.023098,8226.848,819
0185,5,100,1,3,4,3,2,25,10000,0,0.024218,8648.458,820
0186,5,100,1,3,4,3,3,25,10000,0,0.030442,9012.878,820
0187,5,100,1,3,4,3,4,25,10000,0,0.020962,8387.246,780
0188,5,100,1,3,4,4,1,25,10000,0,0.025180,8306.914,817
0189,5,100,1,3,4,4,2,25,10000,0,0.025339,8671.866,818
0190,5,100,1,3,4,4,3,25,10000,0,0.036047,8979.894,818
0191,5,100,1,3,4,4,4,25,10000,0,0.020640,8596.322,778
0192,5,100,1,4,1,1,1,25,10000,0,0.019155,7179.606,738
0193,5,100,1,4,1,1,2,25,10000,0,0.018209,7238.392,739
0194,5,100,1,4,1,1,3,25,10000,0,0.027813,7212.058,739
0195,5,100,1,4,1,1,4,25,10000,0,0.018030,7163.114,698
0196,5,100,1,4,1,2,1,25,10000,0,0.016395,7183.330,740
0197,5,100,1,4,1,2,2,25,10000,0,0.015322,7461.832,741
0198,5,100,1,4,1,2,3,25,10000,0,0.027615,7480.718,741
0199,5,100,1,4,1,2,4,25,10000,0,0.015726,7208.866,700
0200,5,100,1,4,1,3,1,25,10000,0,0.017457,7223.496,738
0201,5,100,1,4,1,3,2,25,10000,0,0.016107,7428.848,739
0202,5,100,1,4,1,3,3,25,10000,0,0.023418,7718.788,739
0203,5,100,1,4,1,3,4,25,10000,0,0.016842,7168.434,698
0204,5,100,1,4,1,4,1,25,10000,0,0.017128,7199.024,738
0205,5,100,1,4,1,4,2,25,10000,0,0.016425,7506.520,739
0206,5,100,1,4,1,4,3,25,10000,0,0.029054,7454.118,739
0207,5,100,1,4,1,4,4,25,10000,0,0.019900,7221.634,698
0208,5,100,1,4,2,1,1,25,10000,0,0.018143,8009.526,762
0209,5,100,1,4,2,1,2,25,10000,0,0.020073,7861.098,764
0210,5,100,1,4,2,1,3,25,10000,0,0.031691,8221.262,764
0211,5,100,1,4,2,1,4,25,10000,0,0.016681,7588.714,722
0212,5,100,1,4,2,2,1,25,10000,0,0.018162,7654.150,760
0213,5,100,1,4,2,2,2,25,10000,0,0.016427,7899.402,762
0214,5,100,1,4,2,2,3,25,10000,0,0.029607,8463.588,762
0215,5,100,1,4,2,2,4,25,10000,0,0.016799,7614.782,720
0216,5,100,1,4,2,3,1,25,10000,0,0.016603,8023.358,762
0217,5,100,1,4,2,3,2,25,10000,0,0.017648,7943.824,764
0218,5,100,1,4,2,3,3,25,10000,0,0.027326,8464.386,765
0219,5,100,1,4,2,3,4,25,10000,0,0.017764,7718.522,723
0220,5,100,1,4,2,4,1,25,10000,0,0.018614,7619.038,762
0221,5,100,1,4,2,4,2,25,10000,0,0.018550,7926.268,764
0222,5,100,1,4,2,4,3,25,10000,0,0.027887,8499.498,765
0223,5,100,1,4,2,4,4,25,10000,0,0.016955,7713.734,723
0224,5,100,1,4,3,1,1,25,10000,0,0.020928,7856.310,760
0225,5,100,1,4,3,1,2,25,10000,0,0.020577,7945.154,762
0226,5,100,1,4,3,1,3,25,10000,0,0.029199,8320.480,762
0227,5,100,1,4,3,1,4,25,10000,0,0.018041,7530.992,722
0228,5,100,1,4,3,2,1,25,10000,0,0.020760,7871.206,762
0229,5,100,1,4,3,2,2,25,10000,0,0.019597,8066.982,764
0230,5,100,1,4,3,2,3,25,10000,0,0.021996,8681.974,764
0231,5,100,1,4,3,2,4,25,10000,0,0.015211,7758.156,724
0232,5,100,1,4,3,3,1,25,10000,0,0.022301,7869.078,760
0233,5,100,1,4,3,3,2,25,10000,0,0.017827,8163.008,762
0234,5,100,1,4,3,3,3,25,10000,0,0.027658,8642.074,763
0235,5,100,1,4,3,3,4,25,10000,0,0.016037,7717.724,723
0236,5,100,1,4,3,4,1,25,10000,0,0.020803,7817.740,760
0237,5,100,1,4,3,4,2,25,10000,0,0.020643,8138.536,762
0238,5,100,1,4,3,4,3,25,10000,0,0.021412,8657.768,763
0239,5,100,1,4,3,4,4,25,10000,0,0.019984,7783.692,723
0240,5,100,1,4,4,1,1,25,10000,0,0.020296,7733.684,744
0241,5,100,1,4,4,1,2,25,10000,0,0.019036,8187.214,746
0242,5,100,1,4,4,1,3,25,10000,0,0.029102,8336.972,746
0243,5,100,1,4,4,1,4,25,10000,0,0.019020,7603.610,706
0244,5,100,1,4,4,2,1,25,10000,0,0.019466,7761.082,746
0245,5,100,1,4,4,2,2,25,10000,0,0.019205,8095.710,748
0246,5,100,1,4,4,2,3,25,10000,0,0.027720,8495.774,748
0247,5,100,1,4,4,2,4,25,10000,0,0.013422,7807.100,708
0248,5,100,1,4,4,3,1,25,10000,0,0.016642,7884.772,744
0249,5,100,1,4,4,3,2,25,10000,0,0.021583,8121.778,746
0250,5,100,1,4,4,3,3,25,10000,0,0.033005,8501.094,747
0251,5,100,1,4,4,3,4,25,10000,0,0.015532,7762.944,707
0252,5,100,1,4,4,4,1,25,10000,0,0.020261,7761.348,744
0253,5,100,1,4,4,4,2,25,10000,0,0.015814,8217.006,746
0254,5,100,1,4,4,4,3,25,10000,0,0.029979,8444.702,747
0255,5,100,1,4,4,4,4,25,10000,0,0.016592,7741.930,707
0256,5,100,2,1,1,1,1,25,10000,0,0.012601,7569.562,742
0257,5,100,2,1,1,1,2,25,10000,0,0.012050,7348.782,743
0258,5,100,2,1,1,1,3,25,10000,0,0.015372,7490.028,743
0259,5,100,2,1,1,1,4,25,10000,0,0.012020,7070.812,703
0260,5,100,2,1,1,2,1,25,10000,0,0.010799,7009.366,741
0261,5,100,2,1,1,2,2,25,10000,0,0.010604,7188.118,742
0262,5,100,2,1,1,2,3,25,10000,0,0.014913,7478.856,742
0263,5,100,2,1,1,2,4,25,10000,0,0.009335,6963.880,702
0264,5,100,2,1,1,3,1,25,10000,0,0.012078,7199.556,742
0265,5,100,2,1,1,3,2,25,10000,0,0.011857,7606.536,743
0266,5,100,2,1,1,3,3,25,10000,0,0.012847,7564.242,743
0267,5,100,2,1,1,3,4,25,10000,0,0.010810,7124.810,703
0268,5,100,2,1,1,4,1,25,10000,0,0.012995,7667.450,741
0269,5,100,2,1,1,4,2,25,10000,0,0.013240,7371.392,742
0270,5,100,2,1,1,4,3,25,10000,0,0.017435,7557.326,742
0271,5,100,2,1,1,4,4,25,10000,0,0.011816,7131.726,702
0272,5,100,2,1,2,1,1,25,10000,0,0.011143,7653.352,742
0273,5,100,2,1,2,1,2,25,10000,0,0.012293,7342.132,744
0274,5,100,2,1,2,1,3,25,10000,0,0.013864,7428.316,744
0275,5,100,2,1,2,1,4,25,10000,0,0.011715,7146.090,704
0276,5,100,2,1,2,2,1,25,10000,0,0.009590,7969.094,741
0277,5,100,2,1,2,2,2,25,10000,0,0.011122,7478.590,743
0278,5,100,2,1,2,2,3,25,10000,0,0.013428,7480.452,743
0279,5,100,2,1,2,2,4,25,10000,0,0.011789,7408.632,703
0280,5,100,2,1,2,3,1,25,10000,0,0.009675,7250.096,743
0281,5,100,2,1,2,3,2,25,10000,0,0.009710,7795.662,744
0282,5,100,2,1,2,3,3,25,10000,0,0.014435,7419.006,744
0283,5,100,2,1,2,3,4,25,10000,0,0.009398,7713.468,704
0284,5,100,2,1,2,4,1,25,10000,0,0.010265,8011.388,742
0285,5,100,2,1,2,4,2,25,10000,0,0.012603,7524.342,743
0286,5,100,2,1,2,4,3,25,10000,0,0.016509,7478.058,743
0287,5,100,2,1,2,4,4,25,10000,0,0.010790,7503.328,703
0288,5,100,2,1,3,1,1,25,10000,0,0.011420,8226.582,742
0289,5,100,2,1,3,1,2,25,10000,0,0.011355,7748.846,744
0290,5,100,2,1,3,1,3,25,10000,0,0.016244,8408.260,744
0291,5,100,2,1,3,1,4,25,10000,0,0.011073,7643.510,704
0292,5,100,2,1,3,2,1,25,10000,0,0.010879,7852.586,741
0293,5,100,2,1,3,2,2,25,10000,0,0.010877,8022.560,743
0294,5,100,2,1,3,2,3,25,10000,0,0.014569,8439.648,743
0295,5,100,2,1,3,2,4,25,10000,0,0.011692,7614.782,703
0296,5,100,2,1,3,3,1,25,10000,0,0.012205,8007.132,742
0297,5,100,2,1,3,3,2,25,10000,0,0.010295,7832.370,744
0298,5,100,2,1,3,3,3,25,10000,0,0.014808,8330.854,744
0299,5,100,2,1,3,3,4,25,10000,0,0.011409,7545.090,704
0300,5,100,2,1,3,4,1,25,10000,0,0.012095,7590.310,742
0301,5,100,2,1,3,4,2,25,10000,0,0.012370,7953.666,743
0302,5,100,2,1,3,4,3,25,10000,0,0.016009,8344.420,743
0303,5,100,2,1,3,4,4,25,10000,0,0.010621,7582.596,703
0304,5,100,2,1,4,1,1,25,10000,0,0.012887,7464.758,742
0305,5,100,2,1,4,1,2,25,10000,0,0.012191,7376.978,744
0306,5,100,2,1,4,1,3,25,10000,0,0.017697,7401.450,744
0307,5,100,2,1,4,1,4,25,10000,0,0.010870,7727.566,704
0308,5,100,2,1,4,2,1,25,10000,0,0.012178,7428.316,741
0309,5,100,2,1,4,2,2,25,10000,0,0.012466,7685.804,743
0310,5,100,2,1,4,2,3,25,10000,0,0.012643,7751.240,743
0311,5,100,2,1,4,2,4,25,10000,0,0.011127,7628.880,703
0312,5,100,2,1,4,3,1,25,10000,0,0.010703,7495.082,742
0313,5,100,2,1,4,3,2,25,10000,0,0.012479,7616.112,744
0314,5,100,2,1,4,3,3,25,10000,0,0.017603,7700.966,744
0315,5,100,2,1,4,3,4,25,10000,0,0.011817,7718.522,704
0316,5,100,2,1,4,4,1,25,10000,0,0.013513,7472.206,741
0317,5,100,2,1,4,4,2,25,10000,0,0.010252,8029.476,743
0318,5,100,2,1,4,4,3,25,10000,0,0.019140,7602.546,743
0319,5,100,2,1,4,4,4,25,10000,0,0.011893,7663.194,703
0320,5,100,2,2,1,1,1,25,10000,0,0.012432,8409.856,783
0321,5,100,2,2,1,1,2,25,10000,0,0.010902,8057.672,784
0322,5,100,2,2,1,1,3,25,10000,0,0.015143,7861.896,784
0323,5,100,2,2,1,1,4,25,10000,0,0.010793,7512.638,744
0324,5,100,2,2,1,2,1,25,10000,0,0.011650,7972.552,782
0325,5,100,2,2,1,2,2,25,10000,0,0.009199,7918.022,783
0326,5,100,2,2,1,2,3,25,10000,0,0.014234,7868.014,783
0327,5,100,2,2,1,2,4,25,10000,0,0.011304,7663.194,743
0328,5,100,2,2,1,3,1,25,10000,0,0.010191,7500.136,782
0329,5,100,2,2,1,3,2,25,10000,0,0.010751,7889.560,783
0330,5,100,2,2,1,3,3,25,10000,0,0.014409,7885.836,783
0331,5,100,2,2,1,3,4,25,10000,0,0.010419,7591.906,743
0332,5,100,2,2,1,4,1,25,10000,0,0.011260,7634.998,781
0333,5,100,2,2,1,4,2,25,10000,0,0.012326,7946.218,781
0334,5,100,2,2,1,4,3,25,10000,0,0.015826,7977.340,781
0335,5,100,2,2,1,4,4,25,10000,0,0.012081,7548.016,741
0336,5,100,2,2,2,1,1,25,10000,0,0.009451,7552.272,783
0337,5,100,2,2,2,1,2,25,10000,0,0.011190,8161.678,785
0338,5,100,2,2,2,1,3,25,10000,0,0.016070,8115.394,785
0339,5,100,2,2,2,1,4,25,10000,0,0.010927,7663.460,745
0340,5,100,2,2,2,2,1,25,10000,0,0.010242,7591.374,782
0341,5,100,2,2,2,2,2,25,10000,0,0.011810,7897.008,784
0342,5,100,2,2,2,2,3,25,10000,0,0.015091,7864.290,784
0343,5,100,2,2,2,2,4,25,10000,0,0.012283,7748.846,744
0344,5,100,2,2,2,3,1,25,10000,0,0.009038,7625.156,784
0345,5,100,2,2,2,3,2,25,10000,0,0.009945,7806.568,785
0346,5,100,2,2,2,3,3,25,10000,0,0.016513,7946.484,785
0347,5,100,2,2,2,3,4,25,10000,0,0.010019,7662.928,745
0348,5,100,2,2,2,4,1,25,10000,0,0.009589,8232.168,783
0349,5,100,2,2,2,4,2,25,10000,0,0.011985,7993.300,782
0350,5,100,2,2,2,4,3,25,10000,0,0.018623,7900.732,782
0351,5,100,2,2,2,4,4,25,10000,0,0.011809,7729.428,742
0352,5,100,2,2,3,1,1,25,10000,0,0.012762,7889.028,783
0353,5,100,2,2,3,1,2,25,10000,0,0.011568,8359.050,785
0354,5,100,2,2,3,1,3,25,10000,0,0.015889,8829.072,785
0355,5,100,2,2,3,1,4,25,10000,0,0.011155,7919.884,745
0356,5,100,2,2,3,2,1,25,10000,0,0.010322,8321.544,782
0357,5,100,2,2,3,2,2,25,10000,0,0.010392,8647.660,784
0358,5,100,2,2,3,2,3,25,10000,0,0.013697,9243.500,784
0359,5,100,2,2,3,2,4,25,10000,0,0.011452,7990.374,744
0360,5,100,2,2,3,3,1,25,10000,0,0.010353,8384.852,782
0361,5,100,2,2,3,3,2,25,10000,0,0.010998,8274.994,784
0362,5,100,2,2,3,3,3,25,10000,0,0.014694,8908.872,784
0363,5,100,2,2,3,3,4,25,10000,0,0.011836,8118.852,744
0364,5,100,2,2,3,4,1,25,10000,0,0.011610,8438.850,782
0365,5,100,2,2,3,4,2,25,10000,0,0.011881,8116.990,782
0366,5,100,2,2,3,4,3,25,10000,0,0.014965,9033.892,782
0367,5,100,2,2,3,4,4,25,10000,0,0.011345,7927.066,742
0368,5,100,2,2,4,1,1,25,10000,0,0.012534,7834.498,783
0369,5,100,2,2,4,1,2,25,10000,0,0.011844,7976.276,785
0370,5,100,2,2,4,1,3,25,10000,0,0.017050,8113.266,785
0371,5,100,2,2,4,1,4,25,10000,0,0.010972,8054.480,745
0372,5,100,2,2,4,2,1,25,10000,0,0.012248,7873.600,782
0373,5,100,2,2,4,2,2,25,10000,0,0.012931,8138.004,784
0374,5,100,2,2,4,2,3,25,10000,0,0.017135,8059.800,784
0375,5,100,2,2,4,2,4,25,10000,0,0.011285,8069.642,744
0376,5,100,2,2,4,3,1,25,10000,0,0.010489,7950.474,782
0377,5,100,2,2,4,3,2,25,10000,0,0.012806,8147.314,784
0378,5,100,2,2,4,3,3,25,10000,0,0.017019,8172.850,784
0379,5,100,2,2,4,3,4,25,10000,0,0.011919,8190.672,744
0380,5,100,2,2,4,4,1,25,10000,0,0.012537,7889.294,781
0381,5,100,2,2,4,4,2,25,10000,0,0.013404,8147.048,782
