n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,knob_tmpsize,knob_size,knob_I_B,obj1,obj2
79,5,100,1,2,1,4,4,25,10000,0,0.020272,7479.122
80,5,100,1,2,2,1,1,25,10000,0,0.020988,8591.8
81,5,100,1,2,2,1,2,25,10000,0,0.02187,7785.82
82,5,100,1,2,2,1,3,25,10000,0,0.02683,8787.31
83,5,100,1,2,2,1,4,25,10000,0,0.02066,7663.992
84,5,100,1,2,2,2,1,25,10000,0,0.020611,7834.498
85,5,100,1,2,2,2,2,25,10000,0,0.019145,8093.316
86,5,100,1,2,2,2,3,25,10000,0,0.026852,8492.848
87,5,100,1,2,2,2,4,25,10000,0,0.016133,8051.022
88,5,100,1,2,2,3,1,25,10000,0,0.020953,7750.442
89,5,100,1,2,2,3,2,25,10000,0,0.016844,8127.364
90,5,100,1,2,2,3,3,25,10000,0,0.029901,8518.65
91,5,100,1,2,2,3,4,25,10000,0,0.017762,7927.066
92,5,100,1,2,2,4,1,25,10000,0,0.019677,7841.414
93,5,100,1,2,2,4,2,25,10000,0,0.020658,7949.942
94,5,100,1,2,2,4,3,25,10000,0,0.030618,8538.068
95,5,100,1,2,2,4,4,25,10000,0,0.021063,7797.524
96,5,100,1,2,3,1,1,25,10000,0,0.023673,7802.578
97,5,100,1,2,3,1,2,25,10000,0,0.019766,8036.924
98,5,100,1,2,3,1,3,25,10000,0,0.027575,8847.958
99,5,100,1,2,3,1,4,25,10000,0,0.020468,7777.042
100,5,100,1,2,3,2,1,25,10000,0,0.022348,7875.728
101,5,100,1,2,3,2,2,25,10000,0,0.02034,8403.472
102,5,100,1,2,3,2,3,25,10000,0,0.028231,8831.998
103,5,100,1,2,3,2,4,25,10000,0,0.021128,8064.056
104,5,100,1,2,3,3,1,25,10000,0,0.022685,7905.254
105,5,100,1,2,3,3,2,25,10000,0,0.019612,8323.406
106,5,100,1,2,3,3,3,25,10000,0,0.029221,8774.542
107,5,100,1,2,3,3,4,25,10000,0,0.023156,8081.346
108,5,100,1,2,3,4,1,25,10000,0,0.017266,7997.024
109,5,100,1,2,3,4,2,25,10000,0,0.020971,8308.51
110,5,100,1,2,3,4,3,25,10000,0,0.029406,8881.74
111,5,100,1,2,3,4,4,25,10000,0,0.023784,8079.484
112,5,100,1,2,4,1,1,25,10000,0,0.022985,7911.106
113,5,100,1,2,4,1,2,25,10000,0,0.022848,8414.644
114,5,100,1,2,4,1,3,25,10000,0,0.03164,8803.004
115,5,100,1,2,4,1,4,25,10000,0,0.020088,8027.88
116,5,100,1,2,4,2,1,25,10000,0,0.023576,8070.972
117,5,100,1,2,4,2,2,25,10000,0,0.019608,8356.124
118,5,100,1,2,4,2,3,25,10000,0,0.031791,8880.41
119,5,100,1,2,4,2,4,25,10000,0,0.018196,7990.108
120,5,100,1,2,4,3,1,25,10000,0,0.020653,8244.67
121,5,100,1,2,4,3,2,25,10000,0,0.022255,8352.932
122,5,100,1,2,4,3,3,25,10000,0,0.03163,8963.402
123,5,100,1,2,4,3,4,25,10000,0,0.017986,8156.624
124,5,100,1,2,4,4,1,25,10000,0,0.022321,8101.828
125,5,100,1,2,4,4,2,25,10000,0,0.023782,8334.844
126,5,100,1,2,4,4,3,25,10000,0,0.031282,8929.088
127,5,100,1,2,4,4,4,25,10000,0,0.019132,8154.496
128,5,100,1,3,1,1,1,25,10000,0,0.021484,7870.142
129,5,100,1,3,1,1,2,25,10000,0,0.020486,8342.824
130,5,100,1,3,1,1,3,25,10000,0,0.030722,8344.952
131,5,100,1,3,1,1,4,25,10000,0,0.023644,7846.468
132,5,100,1,3,1,2,1,25,10000,0,0.020893,8068.046
133,5,100,1,3,1,2,2,25,10000,0,0.022239,8289.624
134,5,100,1,3,1,2,3,25,10000,0,0.024153,8278.718
135,5,100,1,3,1,2,4,25,10000,0,0.01796,8173.648
136,5,100,1,3,1,3,1,25,10000,0,0.022452,7928.13
137,5,100,1,3,1,3,2,25,10000,0,0.024007,8303.456
138,5,100,1,3,1,3,3,25,10000,0,0.030389,8185.352
139,5,100,1,3,1,3,4,25,10000,0,0.021436,7847.266
140,5,100,1,3,1,4,1,25,10000,0,0.024905,7959.518
141,5,100,1,3,1,4,2,25,10000,0,0.01975,8360.114
142,5,100,1,3,1,4,3,25,10000,0,0.030236,8109.542
143,5,100,1,3,1,4,4,25,10000,0,0.020779,7981.862
144,5,100,1,3,2,1,1,25,10000,0,0.022676,8056.874
145,5,100,1,3,2,1,2,25,10000,0,0.025721,8310.372
146,5,100,1,3,2,1,3,25,10000,0,0.034858,8919.778
147,5,100,1,3,2,1,4,25,10000,0,0.017503,8311.436
148,5,100,1,3,2,2,1,25,10000,0,0.019902,8674.26
149,5,100,1,3,2,2,2,25,10000,0,0.018704,8519.714
150,5,100,1,3,2,2,3,25,10000,0,0.034259,8905.946
151,5,100,1,3,2,2,4,25,10000,0,0.020405,8030.274
152,5,100,1,3,2,3,1,25,10000,0,0.021489,8106.35
153,5,100,1,3,2,3,2,25,10000,0,0.019563,8440.978
154,5,100,1,3,2,3,3,25,10000,0,0.034209,9106.776
155,5,100,1,3,2,3,4,25,10000,0,0.019985,8399.482
156,5,100,1,3,2,4,1,25,10000,0,0.023976,8793.428
157,5,100,1,3,2,4,2,25,10000,0,0.025161,8604.036
158,5,100,1,3,2,4,3,25,10000,0,0.035058,9115.82
159,5,100,1,3,2,4,4,25,10000,0,0.021196,8281.112
160,5,100,1,3,3,1,1,25,10000,0,0.02317,8078.686
161,5,100,1,3,3,1,2,25,10000,0,0.024793,8483.272
162,5,100,1,3,3,1,3,25,10000,0,0.037024,8737.834
163,5,100,1,3,3,1,4,25,10000,0,0.021804,8210.622
164,5,100,1,3,3,2,1,25,10000,0,0.023978,8381.128
165,5,100,1,3,3,2,2,25,10000,0,0.018338,8661.492
166,5,100,1,3,3,2,3,25,10000,0,0.033213,9214.506
167,5,100,1,3,3,2,4,25,10000,0,0.020018,8527.162
168,5,100,1,3,3,3,1,25,10000,0,0.023577,8349.208
169,5,100,1,3,3,3,2,25,10000,0,0.021769,8668.142
170,5,100,1,3,3,3,3,25,10000,0,0.031812,9067.94
171,5,100,1,3,3,3,4,25,10000,0,0.019665,8501.892
172,5,100,1,3,3,4,1,25,10000,0,0.020162,8445.766
173,5,100,1,3,3,4,2,25,10000,0,0.022834,8573.446
174,5,100,1,3,3,4,3,25,10000,0,0.030743,9046.394
175,5,100,1,3,3,4,4,25,10000,0,0.021859,8232.7
176,5,100,1,3,4,1,1,25,10000,0,0.024577,8198.386
177,5,100,1,3,4,1,2,25,10000,0,0.025709,8709.106
178,5,100,1,3,4,1,3,25,10000,0,0.034585,8895.306
179,5,100,1,3,4,1,4,25,10000,0,0.022782,8162.742
180,5,100,1,3,4,2,1,25,10000,0,0.022548,8294.678
181,5,100,1,3,4,2,2,25,10000,0,0.022803,8588.076
182,5,100,1,3,4,2,3,25,10000,0,0.034417,8990.268
183,5,100,1,3,4,2,4,25,10000,0,0.020573,8292.816
184,5,100,1,3,4,3,1,25,10000,0,0.023098,8226.848
185,5,100,1,3,4,3,2,25,10000,0,0.024218,8648.458
186,5,100,1,3,4,3,3,25,10000,0,0.030442,9012.878
187,5,100,1,3,4,3,4,25,10000,0,0.020962,8387.246
188,5,100,1,3,4,4,1,25,10000,0,0.02518,8306.914
189,5,100,1,3,4,4,2,25,10000,0,0.025339,8671.866
190,5,100,1,3,4,4,3,25,10000,0,0.036047,8979.894
191,5,100,1,3,4,4,4,25,10000,0,0.02064,8596.322
192,5,100,1,4,1,1,1,25,10000,0,0.019155,7179.606
193,5,100,1,4,1,1,2,25,10000,0,0.018209,7238.392
194,5,100,1,4,1,1,3,25,10000,0,0.027813,7212.058
195,5,100,1,4,1,1,4,25,10000,0,0.01803,7163.114
196,5,100,1,4,1,2,1,25,10000,0,0.016395,7183.33
197,5,100,1,4,1,2,2,25,10000,0,0.015322,7461.832
198,5,100,1,4,1,2,3,25,10000,0,0.027615,7480.718
199,5,100,1,4,1,2,4,25,10000,0,0.015726,7208.866
200,5,100,1,4,1,3,1,25,10000,0,0.017457,7223.496
201,5,100,1,4,1,3,2,25,10000,0,0.016107,7428.848
202,5,100,1,4,1,3,3,25,10000,0,0.023418,7718.788
203,5,100,1,4,1,3,4,25,10000,0,0.016842,7168.434
204,5,100,1,4,1,4,1,25,10000,0,0.017128,7199.024
205,5,100,1,4,1,4,2,25,10000,0,0.016425,7506.52
206,5,100,1,4,1,4,3,25,10000,0,0.029054,7454.118
207,5,100,1,4,1,4,4,25,10000,0,0.0199,7221.634
208,5,100,1,4,2,1,1,25,10000,0,0.018143,8009.526
209,5,100,1,4,2,1,2,25,10000,0,0.020073,7861.098
210,5,100,1,4,2,1,3,25,10000,0,0.031691,8221.262
211,5,100,1,4,2,1,4,25,10000,0,0.016681,7588.714
212,5,100,1,4,2,2,1,25,10000,0,0.018162,7654.15
213,5,100,1,4,2,2,2,25,10000,0,0.016427,7899.402
214,5,100,1,4,2,2,3,25,10000,0,0.029607,8463.588
215,5,100,1,4,2,2,4,25,10000,0,0.016799,7614.782
216,5,100,1,4,2,3,1,25,10000,0,0.016603,8023.358
217,5,100,1,4,2,3,2,25,10000,0,0.017648,7943.824
218,5,100,1,4,2,3,3,25,10000,0,0.027326,8464.386
219,5,100,1,4,2,3,4,25,10000,0,0.017764,7718.522
220,5,100,1,4,2,4,1,25,10000,0,0.018614,7619.038
221,5,100,1,4,2,4,2,25,10000,0,0.01855,7926.268
222,5,100,1,4,2,4,3,25,10000,0,0.027887,8499.498
223,5,100,1,4,2,4,4,25,10000,0,0.016955,7713.734
224,5,100,1,4,3,1,1,25,10000,0,0.020928,7856.31
225,5,100,1,4,3,1,2,25,10000,0,0.020577,7945.154
226,5,100,1,4,3,1,3,25,10000,0,0.029199,8320.48
227,5,100,1,4,3,1,4,25,10000,0,0.018041,7530.992
228,5,100,1,4,3,2,1,25,10000,0,0.02076,7871.206
229,5,100,1,4,3,2,2,25,10000,0,0.019597,8066.982
230,5,100,1,4,3,2,3,25,10000,0,0.021996,8681.974
231,5,100,1,4,3,2,4,25,10000,0,0.015211,7758.156
232,5,100,1,4,3,3,1,25,10000,0,0.022301,7869.078
233,5,100,1,4,3,3,2,25,10000,0,0.017827,8163.008
234,5,100,1,4,3,3,3,25,10000,0,0.027658,8642.074
235,5,100,1,4,3,3,4,25,10000,0,0.016037,7717.724
236,5,100,1,4,3,4,1,25,10000,0,0.020803,7817.74
237,5,100,1,4,3,4,2,25,10000,0,0.020643,8138.536
238,5,100,1,4,3,4,3,25,10000,0,0.021412,8657.768
239,5,100,1,4,3,4,4,25,10000,0,0.019984,7783.692
240,5,100,1,4,4,1,1,25,10000,0,0.020296,7733.684
241,5,100,1,4,4,1,2,25,10000,0,0.019036,8187.214
242,5,100,1,4,4,1,3,25,10000,0,0.029102,8336.972
243,5,100,1,4,4,1,4,25,10000,0,0.01902,7603.61
244,5,100,1,4,4,2,1,25,10000,0,0.019466,7761.082
245,5,100,1,4,4,2,2,25,10000,0,0.019205,8095.71
246,5,100,1,4,4,2,3,25,10000,0,0.02772,8495.774
247,5,100,1,4,4,2,4,25,10000,0,0.013422,7807.1
248,5,100,1,4,4,3,1,25,10000,0,0.016642,7884.772
249,5,100,1,4,4,3,2,25,10000,0,0.021583,8121.778
250,5,100,1,4,4,3,3,25,10000,0,0.033005,8501.094
251,5,100,1,4,4,3,4,25,10000,0,0.015532,7762.944
252,5,100,1,4,4,4,1,25,10000,0,0.020261,7761.348
253,5,100,1,4,4,4,2,25,10000,0,0.015814,8217.006
254,5,100,1,4,4,4,3,25,10000,0,0.029979,8444.702
255,5,100,1,4,4,4,4,25,10000,0,0.016592,7741.93
256,5,100,2,1,1,1,1,25,10000,0,0.012601,7569.562
257,5,100,2,1,1,1,2,25,10000,0,0.01205,7348.782
258,5,100,2,1,1,1,3,25,10000,0,0.015372,7490.028
259,5,100,2,1,1,1,4,25,10000,0,0.01202,7070.812
260,5,100,2,1,1,2,1,25,10000,0,0.010799,7009.366
261,5,100,2,1,1,2,2,25,10000,0,0.010604,7188.118
262,5,100,2,1,1,2,3,25,10000,0,0.014913,7478.856
263,5,100,2,1,1,2,4,25,10000,0,0.009335,6963.88
264,5,100,2,1,1,3,1,25,10000,0,0.012078,7199.556
265,5,100,2,1,1,3,2,25,10000,0,0.011857,7606.536
266,5,100,2,1,1,3,3,25,10000,0,0.012847,7564.242
267,5,100,2,1,1,3,4,25,10000,0,0.01081,7124.81
268,5,100,2,1,1,4,1,25,10000,0,0.012995,7667.45
269,5,100,2,1,1,4,2,25,10000,0,0.01324,7371.392
270,5,100,2,1,1,4,3,25,10000,0,0.017435,7557.326
271,5,100,2,1,1,4,4,25,10000,0,0.011816,7131.726
272,5,100,2,1,2,1,1,25,10000,0,0.011143,7653.352
273,5,100,2,1,2,1,2,25,10000,0,0.012293,7342.132
274,5,100,2,1,2,1,3,25,10000,0,0.013864,7428.316
275,5,100,2,1,2,1,4,25,10000,0,0.011715,7146.09
276,5,100,2,1,2,2,1,25,10000,0,0.00959,7969.094
277,5,100,2,1,2,2,2,25,10000,0,0.011122,7478.59
278,5,100,2,1,2,2,3,25,10000,0,0.013428,7480.452
279,5,100,2,1,2,2,4,25,10000,0,0.011789,7408.632
280,5,100,2,1,2,3,1,25,10000,0,0.009675,7250.096
281,5,100,2,1,2,3,2,25,10000,0,0.00971,7795.662
282,5,100,2,1,2,3,3,25,10000,0,0.014435,7419.006
283,5,100,2,1,2,3,4,25,10000,0,0.009398,7713.468
284,5,100,2,1,2,4,1,25,10000,0,0.010265,8011.388
285,5,100,2,1,2,4,2,25,10000,0,0.012603,7524.342
286,5,100,2,1,2,4,3,25,10000,0,0.016509,7478.058
287,5,100,2,1,2,4,4,25,10000,0,0.01079,7503.328
288,5,100,2,1,3,1,1,25,10000,0,0.01142,8226.582
289,5,100,2,1,3,1,2,25,10000,0,0.011355,7748.846
290,5,100,2,1,3,1,3,25,10000,0,0.016244,8408.26
291,5,100,2,1,3,1,4,25,10000,0,0.011073,7643.51
292,5,100,2,1,3,2,1,25,10000,0,0.010879,7852.586
293,5,100,2,1,3,2,2,25,10000,0,0.010877,8022.56
294,5,100,2,1,3,2,3,25,10000,0,0.014569,8439.648
295,5,100,2,1,3,2,4,25,10000,0,0.011692,7614.782
296,5,100,2,1,3,3,1,25,10000,0,0.012205,8007.132
297,5,100,2,1,3,3,2,25,10000,0,0.010295,7832.37
298,5,100,2,1,3,3,3,25,10000,0,0.014808,8330.854
299,5,100,2,1,3,3,4,25,10000,0,0.011409,7545.09
300,5,100,2,1,3,4,1,25,10000,0,0.012095,7590.31
301,5,100,2,1,3,4,2,25,10000,0,0.01237,7953.666
302,5,100,2,1,3,4,3,25,10000,0,0.016009,8344.42
303,5,100,2,1,3,4,4,25,10000,0,0.010621,7582.596
304,5,100,2,1,4,1,1,25,10000,0,0.012887,7464.758
305,5,100,2,1,4,1,2,25,10000,0,0.012191,7376.978
306,5,100,2,1,4,1,3,25,10000,0,0.017697,7401.45
307,5,100,2,1,4,1,4,25,10000,0,0.01087,7727.566
308,5,100,2,1,4,2,1,25,10000,0,0.012178,7428.316
309,5,100,2,1,4,2,2,25,10000,0,0.012466,7685.804
310,5,100,2,1,4,2,3,25,10000,0,0.012643,7751.24
311,5,100,2,1,4,2,4,25,10000,0,0.011127,7628.88
312,5,100,2,1,4,3,1,25,10000,0,0.010703,7495.082
313,5,100,2,1,4,3,2,25,10000,0,0.012479,7616.112
314,5,100,2,1,4,3,3,25,10000,0,0.017603,7700.966
315,5,100,2,1,4,3,4,25,10000,0,0.011817,7718.522
316,5,100,2,1,4,4,1,25,10000,0,0.013513,7472.206
317,5,100,2,1,4,4,2,25,10000,0,0.010252,8029.476
318,5,100,2,1,4,4,3,25,10000,0,0.01914,7602.546
319,5,100,2,1,4,4,4,25,10000,0,0.011893,7663.194
320,5,100,2,2,1,1,1,25,10000,0,0.012432,8409.856
321,5,100,2,2,1,1,2,25,10000,0,0.010902,8057.672
322,5,100,2,2,1,1,3,25,10000,0,0.015143,7861.896
323,5,100,2,2,1,1,4,25,10000,0,0.010793,7512.638
324,5,100,2,2,1,2,1,25,10000,0,0.01165,7972.552
325,5,100,2,2,1,2,2,25,10000,0,0.009199,7918.022
326,5,100,2,2,1,2,3,25,10000,0,0.014234,7868.014
327,5,100,2,2,1,2,4,25,10000,0,0.011304,7663.194
328,5,100,2,2,1,3,1,25,10000,0,0.010191,7500.136
329,5,100,2,2,1,3,2,25,10000,0,0.010751,7889.56
330,5,100,2,2,1,3,3,25,10000,0,0.014409,7885.836
331,5,100,2,2,1,3,4,25,10000,0,0.010419,7591.906
332,5,100,2,2,1,4,1,25,10000,0,0.01126,7634.998
333,5,100,2,2,1,4,2,25,10000,0,0.012326,7946.218
334,5,100,2,2,1,4,3,25,10000,0,0.015826,7977.34
335,5,100,2,2,1,4,4,25,10000,0,0.012081,7548.016
336,5,100,2,2,2,1,1,25,10000,0,0.009451,7552.272
337,5,100,2,2,2,1,2,25,10000,0,0.01119,8161.678
338,5,100,2,2,2,1,3,25,10000,0,0.01607,8115.394
339,5,100,2,2,2,1,4,25,10000,0,0.010927,7663.46
340,5,100,2,2,2,2,1,25,10000,0,0.010242,7591.374
341,5,100,2,2,2,2,2,25,10000,0,0.01181,7897.008
342,5,100,2,2,2,2,3,25,10000,0,0.015091,7864.29
343,5,100,2,2,2,2,4,25,10000,0,0.012283,7748.846
344,5,100,2,2,2,3,1,25,10000,0,0.009038,7625.156
345,5,100,2,2,2,3,2,25,10000,0,0.009945,7806.568
346,5,100,2,2,2,3,3,25,10000,0,0.016513,7946.484
347,5,100,2,2,2,3,4,25,10000,0,0.010019,7662.928
348,5,100,2,2,2,4,1,25,10000,0,0.009589,8232.168
349,5,100,2,2,2,4,2,25,10000,0,0.011985,7993.3
350,5,100,2,2,2,4,3,25,10000,0,0.018623,7900.732
351,5,100,2,2,2,4,4,25,10000,0,0.011809,7729.428
352,5,100,2,2,3,1,1,25,10000,0,0.012762,7889.028
353,5,100,2,2,3,1,2,25,10000,0,0.011568,8359.05
354,5,100,2,2,3,1,3,25,10000,0,0.015889,8829.072
355,5,100,2,2,3,1,4,25,10000,0,0.011155,7919.884
356,5,100,2,2,3,2,1,25,10000,0,0.010322,8321.544
357,5,100,2,2,3,2,2,25,10000,0,0.010392,8647.66
358,5,100,2,2,3,2,3,25,10000,0,0.013697,9243.5
359,5,100,2,2,3,2,4,25,10000,0,0.011452,7990.374
360,5,100,2,2,3,3,1,25,10000,0,0.010353,8384.852
361,5,100,2,2,3,3,2,25,10000,0,0.010998,8274.994
362,5,100,2,2,3,3,3,25,10000,0,0.014694,8908.872
363,5,100,2,2,3,3,4,25,10000,0,0.011836,8118.852
364,5,100,2,2,3,4,1,25,10000,0,0.01161,8438.85
365,5,100,2,2,3,4,2,25,10000,0,0.011881,8116.99
366,5,100,2,2,3,4,3,25,10000,0,0.014965,9033.892
367,5,100,2,2,3,4,4,25,10000,0,0.011345,7927.066
368,5,100,2,2,4,1,1,25,10000,0,0.012534,7834.498
369,5,100,2,2,4,1,2,25,10000,0,0.011844,7976.276
370,5,100,2,2,4,1,3,25,10000,0,0.01705,8113.266
371,5,100,2,2,4,1,4,25,10000,0,0.010972,8054.48
372,5,100,2,2,4,2,1,25,10000,0,0.012248,7873.6
373,5,100,2,2,4,2,2,25,10000,0,0.012931,8138.004
374,5,100,2,2,4,2,3,25,10000,0,0.017135,8059.8
375,5,100,2,2,4,2,4,25,10000,0,0.011285,8069.642
376,5,100,2,2,4,3,1,25,10000,0,0.010489,7950.474
377,5,100,2,2,4,3,2,25,10000,0,0.012806,8147.314
378,5,100,2,2,4,3,3,25,10000,0,0.017019,8172.85
379,5,100,2,2,4,3,4,25,10000,0,0.011919,8190.672
380,5,100,2,2,4,4,1,25,10000,0,0.012537,7889.294
381,5,100,2,2,4,4,2,25,10000,0,0.013404,8147.048
382,5,100,2,2,4,4,3,25,10000,0,0.01792,8229.242
383,5,100,2,2,4,4,4,25,10000,0,0.012177,8116.192
384,5,100,2,3,1,1,1,25,10000,0,0.012524,8381.926
385,5,100,2,3,1,1,2,25,10000,0,0.012446,8743.686
386,5,100,2,3,1,1,3,25,10000,0,0.018943,8642.872
387,5,100,2,3,1,1,4,25,10000,0,0.012048,8643.67
388,5,100,2,3,1,2,1,25,10000,0,0.011304,9017.134
389,5,100,2,3,1,2,2,25,10000,0,0.012429,8684.634
390,5,100,2,3,1,2,3,25,10000,0,0.018894,8677.984
391,5,100,2,3,1,2,4,25,10000,0,0.011826,8523.97
392,5,100,2,3,1,3,1,25,10000,0,0.011913,8450.022
393,5,100,2,3,1,3,2,25,10000,0,0.014033,8966.594
394,5,100,2,3,1,3,3,25,10000,0,0.019769,8663.886
395,5,100,2,3,1,3,4,25,10000,0,0.011987,8465.45
396,5,100,2,3,1,4,1,25,10000,0,0.013718,8881.208
397,5,100,2,3,1,4,2,25,10000,0,0.013557,8685.698
398,5,100,2,3,1,4,3,25,10000,0,0.018972,8854.076
399,5,100,2,3,1,4,4,25,10000,0,0.013026,8535.94
400,5,100,2,3,2,1,1,25,10000,0,0.012697,8425.55
401,5,100,2,3,2,1,2,25,10000,0,0.011025,8980.426
402,5,100,2,3,2,1,3,25,10000,0,0.018619,8806.196
403,5,100,2,3,2,1,4,25,10000,0,0.010501,8850.884
404,5,100,2,3,2,2,1,25,10000,0,0.013385,8452.948
405,5,100,2,3,2,2,2,25,10000,0,0.011677,8892.646
406,5,100,2,3,2,2,3,25,10000,0,0.018629,8685.964
407,5,100,2,3,2,2,4,25,10000,0,0.012261,8699.264
408,5,100,2,3,2,3,1,25,10000,0,0.011527,8729.056
409,5,100,2,3,2,3,2,25,10000,0,0.011924,8713.628
410,5,100,2,3,2,3,3,25,10000,0,0.019452,8837.052
411,5,100,2,3,2,3,4,25,10000,0,0.014934,8568.924
412,5,100,2,3,2,4,1,25,10000,0,0.012917,8509.074
413,5,100,2,3,2,4,2,25,10000,0,0.014503,8853.278
414,5,100,2,3,2,4,3,25,10000,0,0.020812,8798.216
415,5,100,2,3,2,4,4,25,10000,0,0.014014,8647.926
