n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,knob_tmpsize,knob_size,knob_I_B,obj1,obj2,FF
0064,5,100,1,2,1,1,1,25,10000,0,0.019321,7554.400,770
0065,5,100,1,2,1,1,2,25,10000,0,0.019483,7774.116,771
0066,5,100,1,2,1,1,3,25,10000,0,0.028164,7783.426,772
0067,5,100,1,2,1,1,4,25,10000,0,0.019468,7560.252,731
0068,5,100,1,2,1,2,1,25,10000,0,0.018762,7543.494,770
0069,5,100,1,2,1,2,2,25,10000,0,0.016701,7944.090,771
0070,5,100,1,2,1,2,3,25,10000,0,0.023150,7755.230,771
0071,5,100,1,2,1,2,4,25,10000,0,0.016393,7503.328,731
0072,5,100,1,2,1,3,1,25,10000,0,0.018213,7548.282,771
0073,5,100,1,2,1,3,2,25,10000,0,0.022827,7818.538,771
0074,5,100,1,2,1,3,3,25,10000,0,0.026480,7731.822,771
0075,5,100,1,2,1,3,4,25,10000,0,0.018835,7516.362,731
0076,5,100,1,2,1,4,1,25,10000,0,0.019822,7586.852,769
0077,5,100,1,2,1,4,2,25,10000,0,0.020207,7925.204,769
0078,5,100,1,2,1,4,3,25,10000,0,0.031483,7826.518,769
0079,5,100,1,2,1,4,4,25,10000,0,0.020272,7479.122,729
0080,5,100,1,2,2,1,1,25,10000,0,0.019622,7797.258,772
0081,5,100,1,2,2,1,2,25,10000,0,0.021870,7785.820,774
0082,5,100,1,2,2,1,3,25,10000,0,0.024854,8788.906,775
0083,5,100,1,2,2,1,4,25,10000,0,0.020660,7663.992,733
0084,5,100,1,2,2,2,1,25,10000,0,0.017098,7722.512,769
0085,5,100,1,2,2,2,2,25,10000,0,0.019145,8093.316,772
0086,5,100,1,2,2,2,3,25,10000,0,0.021713,8663.886,772
0087,5,100,1,2,2,2,4,25,10000,0,0.016133,8051.022,730
0088,5,100,1,2,2,3,1,25,10000,0,0.021809,8402.674,773
0089,5,100,1,2,2,3,2,25,10000,0,0.017710,8044.372,774
0090,5,100,1,2,2,3,3,25,10000,0,0.026381,8457.470,774
0091,5,100,1,2,2,3,4,25,10000,0,0.019417,7756.826,733
0092,5,100,1,2,2,4,1,25,10000,0,0.018764,7843.276,772
0093,5,100,1,2,2,4,2,25,10000,0,0.020658,7949.942,772
0094,5,100,1,2,2,4,3,25,10000,0,0.031658,8534.078,772
0095,5,100,1,2,2,4,4,25,10000,0,0.021063,7797.524,732
0096,5,100,1,2,3,1,1,25,10000,0,0.020799,7883.974,770
0097,5,100,1,2,3,1,2,25,10000,0,0.018984,8068.312,772
0098,5,100,1,2,3,1,3,25,10000,0,0.023608,8747.942,773
0099,5,100,1,2,3,1,4,25,10000,0,0.020633,7906.584,733
0100,5,100,1,2,3,2,1,25,10000,0,0.022153,7893.284,770
0101,5,100,1,2,3,2,2,25,10000,0,0.021071,8270.206,772
0102,5,100,1,2,3,2,3,25,10000,0,0.026586,8848.756,772
0103,5,100,1,2,3,2,4,25,10000,0,0.021658,8089.592,732
0104,5,100,1,2,3,3,1,25,10000,0,0.022059,8021.762,771
0105,5,100,1,2,3,3,2,25,10000,0,0.018180,8214.878,772
0106,5,100,1,2,3,3,3,25,10000,0,0.028671,8701.392,772
0107,5,100,1,2,3,3,4,25,10000,0,0.023768,8105.552,732
0108,5,100,1,2,3,4,1,25,10000,0,0.015298,8007.930,770
0109,5,100,1,2,3,4,2,25,10000,0,0.020064,8282.442,770
0110,5,100,1,2,3,4,3,25,10000,0,0.031390,8903.818,770
0111,5,100,1,2,3,4,4,25,10000,0,0.021285,8056.608,730
0112,5,100,1,2,4,1,1,25,10000,0,0.022162,7921.214,770
0113,5,100,1,2,4,1,2,25,10000,0,0.022848,8414.644,772
0114,5,100,1,2,4,1,3,25,10000,0,0.030499,9027.774,773
0115,5,100,1,2,4,1,4,25,10000,0,0.020088,8027.880,733
0116,5,100,1,2,4,2,1,25,10000,0,0.018744,8180.830,770
0117,5,100,1,2,4,2,2,25,10000,0,0.016927,8421.028,772
0118,5,100,1,2,4,2,3,25,10000,0,0.030239,8727.194,772
0119,5,100,1,2,4,2,4,25,10000,0,0.017689,8127.364,732
0120,5,100,1,2,4,3,1,25,10000,0,0.020448,8251.852,771
0121,5,100,1,2,4,3,2,25,10000,0,0.020970,8344.420,772
0122,5,100,1,2,4,3,3,25,10000,0,0.031491,8867.642,772
0123,5,100,1,2,4,3,4,25,10000,0,0.018096,8157.954,732
0124,5,100,1,2,4,4,1,25,10000,0,0.023019,8128.162,769
0125,5,100,1,2,4,4,2,25,10000,0,0.023782,8334.844,770
0126,5,100,1,2,4,4,3,25,10000,0,0.039074,8904.350,770
0127,5,100,1,2,4,4,4,25,10000,0,0.019132,8154.496,730
0128,5,100,1,3,1,1,1,25,10000,0,0.020373,7910.042,842
0129,5,100,1,3,1,1,2,25,10000,0,0.021701,8302.126,844
0130,5,100,1,3,1,1,3,25,10000,0,0.031375,8168.328,844
0131,5,100,1,3,1,1,4,25,10000,0,0.020008,7868.014,803
0132,5,100,1,3,1,2,1,25,10000,0,0.018025,8021.230,843
0133,5,100,1,3,1,2,2,25,10000,0,0.019497,8154.230,843
0134,5,100,1,3,1,2,3,25,10000,0,0.026979,8203.972,843
0135,5,100,1,3,1,2,4,25,10000,0,0.017875,8180.032,803
0136,5,100,1,3,1,3,1,25,10000,0,0.024093,7927.332,843
0137,5,100,1,3,1,3,2,25,10000,0,0.023660,8408.260,843
0138,5,100,1,3,1,3,3,25,10000,0,0.031550,8153.166,843
0139,5,100,1,3,1,3,4,25,10000,0,0.022387,7806.302,803
0140,5,100,1,3,1,4,1,25,10000,0,0.024808,7938.504,841
0141,5,100,1,3,1,4,2,25,10000,0,0.020020,8301.062,841
0142,5,100,1,3,1,4,3,25,10000,0,0.029007,8149.442,841
0143,5,100,1,3,1,4,4,25,10000,0,0.021746,8052.086,801
0144,5,100,1,3,2,1,1,25,10000,0,0.021030,8063.524,836
0145,5,100,1,3,2,1,2,25,10000,0,0.025872,8345.218,839
0146,5,100,1,3,2,1,3,25,10000,0,0.029289,9012.612,839
0147,5,100,1,3,2,1,4,25,10000,0,0.022043,7985.320,797
0148,5,100,1,3,2,2,1,25,10000,0,0.018197,8666.280,834
0149,5,100,1,3,2,2,2,25,10000,0,0.024179,8526.098,836
0150,5,100,1,3,2,2,3,25,10000,0,0.038694,8917.118,836
0151,5,100,1,3,2,2,4,25,10000,0,0.020225,8083.740,794
0152,5,100,1,3,2,3,1,25,10000,0,0.023114,8141.728,837
0153,5,100,1,3,2,3,2,25,10000,0,0.022212,8451.618,838
0154,5,100,1,3,2,3,3,25,10000,0,0.037486,9041.606,838
0155,5,100,1,3,2,3,4,25,10000,0,0.021082,8276.856,797
0156,5,100,1,3,2,4,1,25,10000,0,0.025440,8142.260,836
0157,5,100,1,3,2,4,2,25,10000,0,0.023882,8416.240,836
0158,5,100,1,3,2,4,3,25,10000,0,0.036039,8828.806,836
0159,5,100,1,3,2,4,4,25,10000,0,0.025301,8194.928,796
0160,5,100,1,3,3,1,1,25,10000,0,0.022118,8039.584,834
0161,5,100,1,3,3,1,2,25,10000,0,0.021888,8512.532,837
0162,5,100,1,3,3,1,3,25,10000,0,0.033594,8802.206,837
0163,5,100,1,3,3,1,4,25,10000,0,0.022286,8228.444,797
0164,5,100,1,3,3,2,1,25,10000,0,0.022881,8183.224,835
0165,5,100,1,3,3,2,2,25,10000,0,0.017477,8711.234,836
0166,5,100,1,3,3,2,3,25,10000,0,0.034882,9053.842,836
0167,5,100,1,3,3,2,4,25,10000,0,0.017686,8361.710,796
0168,5,100,1,3,3,3,1,25,10000,0,0.024534,8199.716,835
0169,5,100,1,3,3,3,2,25,10000,0,0.022713,8682.506,836
0170,5,100,1,3,3,3,3,25,10000,0,0.031436,8939.994,836
0171,5,100,1,3,3,3,4,25,10000,0,0.019120,8393.896,796
0172,5,100,1,3,3,4,1,25,10000,0,0.018441,8242.808,834
0173,5,100,1,3,3,4,2,25,10000,0,0.024898,8622.390,834
0174,5,100,1,3,3,4,3,25,10000,0,0.032633,9011.016,834
0175,5,100,1,3,3,4,4,25,10000,0,0.020678,8307.712,794
0176,5,100,1,3,4,1,1,25,10000,0,0.023921,8197.588,818
0177,5,100,1,3,4,1,2,25,10000,0,0.024464,8610.154,821
0178,5,100,1,3,4,1,3,25,10000,0,0.032803,9257.066,821
0179,5,100,1,3,4,1,4,25,10000,0,0.022572,8187.746,781
0180,5,100,1,3,4,2,1,25,10000,0,0.024268,8254.246,819
0181,5,100,1,3,4,2,2,25,10000,0,0.024605,8569.722,820
0182,5,100,1,3,4,2,3,25,10000,0,0.029949,9102.786,820
0183,5,100,1,3,4,2,4,25,10000,0,0.023272,8412.250,780
0184,5,100,1,3,4,3,1,25,10000,0,0.024250,8278.718,819
0185,5,100,1,3,4,3,2,25,10000,0,0.023326,8550.038,820
0186,5,100,1,3,4,3,3,25,10000,0,0.035784,9073.260,820
0187,5,100,1,3,4,3,4,25,10000,0,0.019909,8350.804,780
0188,5,100,1,3,4,4,1,25,10000,0,0.026534,8286.964,817
0189,5,100,1,3,4,4,2,25,10000,0,0.019714,8669.206,818
0190,5,100,1,3,4,4,3,25,10000,0,0.031028,9203.334,818
0191,5,100,1,3,4,4,4,25,10000,0,0.023274,8427.412,778
0192,5,100,1,4,1,1,1,25,10000,0,0.017361,7185.192,738
0193,5,100,1,4,1,1,2,25,10000,0,0.018209,7238.392,739
0194,5,100,1,4,1,1,3,25,10000,0,0.029210,7207.802,739
0195,5,100,1,4,1,1,4,25,10000,0,0.018030,7163.114,698
0196,5,100,1,4,1,2,1,25,10000,0,0.013340,7274.036,740
0197,5,100,1,4,1,2,2,25,10000,0,0.015322,7461.832,741
0198,5,100,1,4,1,2,3,25,10000,0,0.022366,7551.474,741
0199,5,100,1,4,1,2,4,25,10000,0,0.015726,7208.866,700
0200,5,100,1,4,1,3,1,25,10000,0,0.017818,7218.708,738
0201,5,100,1,4,1,3,2,25,10000,0,0.015908,7388.416,739
0202,5,100,1,4,1,3,3,25,10000,0,0.022846,7694.316,739
0203,5,100,1,4,1,3,4,25,10000,0,0.017878,7178.010,698
0204,5,100,1,4,1,4,1,25,10000,0,0.017821,7176.148,738
0205,5,100,1,4,1,4,2,25,10000,0,0.016425,7506.520,739
0206,5,100,1,4,1,4,3,25,10000,0,0.025174,7384.160,739
0207,5,100,1,4,1,4,4,25,10000,0,0.019900,7221.634,698
0208,5,100,1,4,2,1,1,25,10000,0,0.017604,8008.196,762
0209,5,100,1,4,2,1,2,25,10000,0,0.020073,7861.098,764
0210,5,100,1,4,2,1,3,25,10000,0,0.030551,8218.868,764
0211,5,100,1,4,2,1,4,25,10000,0,0.016681,7588.714,722
0212,5,100,1,4,2,2,1,25,10000,0,0.015450,8010.590,760
0213,5,100,1,4,2,2,2,25,10000,0,0.016427,7899.402,762
0214,5,100,1,4,2,2,3,25,10000,0,0.022076,8551.900,762
0215,5,100,1,4,2,2,4,25,10000,0,0.016799,7614.782,720
0216,5,100,1,4,2,3,1,25,10000,0,0.016433,7983.990,762
0217,5,100,1,4,2,3,2,25,10000,0,0.016172,7960.050,764
0218,5,100,1,4,2,3,3,25,10000,0,0.027545,8532.482,765
0219,5,100,1,4,2,3,4,25,10000,0,0.015607,7707.616,723
0220,5,100,1,4,2,4,1,25,10000,0,0.017396,8036.392,762
0221,5,100,1,4,2,4,2,25,10000,0,0.018550,7926.268,764
0222,5,100,1,4,2,4,3,25,10000,0,0.024538,8442.042,765
0223,5,100,1,4,2,4,4,25,10000,0,0.016955,7713.734,723
0224,5,100,1,4,3,1,1,25,10000,0,0.019398,7848.064,760
0225,5,100,1,4,3,1,2,25,10000,0,0.019682,7957.124,762
0226,5,100,1,4,3,1,3,25,10000,0,0.027823,8384.054,762
0227,5,100,1,4,3,1,4,25,10000,0,0.017446,7642.446,722
0228,5,100,1,4,3,2,1,25,10000,0,0.020644,7878.388,762
0229,5,100,1,4,3,2,2,25,10000,0,0.016127,8116.990,764
0230,5,100,1,4,3,2,3,25,10000,0,0.019903,8831.466,764
0231,5,100,1,4,3,2,4,25,10000,0,0.013973,7714.798,724
0232,5,100,1,4,3,3,1,25,10000,0,0.022399,7852.054,760
0233,5,100,1,4,3,3,2,25,10000,0,0.016630,8181.362,762
0234,5,100,1,4,3,3,3,25,10000,0,0.026716,8656.172,763
0235,5,100,1,4,3,3,4,25,10000,0,0.015638,7710.542,723
0236,5,100,1,4,3,4,1,25,10000,0,0.019888,7814.016,760
0237,5,100,1,4,3,4,2,25,10000,0,0.021087,8148.910,762
0238,5,100,1,4,3,4,3,25,10000,0,0.023769,8845.564,763
0239,5,100,1,4,3,4,4,25,10000,0,0.017305,7724.640,723
0240,5,100,1,4,4,1,1,25,10000,0,0.018824,7926.268,744
0241,5,100,1,4,4,1,2,25,10000,0,0.019036,8187.214,746
0242,5,100,1,4,4,1,3,25,10000,0,0.026922,8431.402,746
0243,5,100,1,4,4,1,4,25,10000,0,0.019020,7603.610,706
0244,5,100,1,4,4,2,1,25,10000,0,0.019179,7744.590,746
0245,5,100,1,4,4,2,2,25,10000,0,0.014419,8157.422,748
0246,5,100,1,4,4,2,3,25,10000,0,0.020504,8591.800,748
0247,5,100,1,4,4,2,4,25,10000,0,0.014270,7799.120,708
0248,5,100,1,4,4,3,1,25,10000,0,0.017156,7870.408,744
0249,5,100,1,4,4,3,2,25,10000,0,0.021409,8076.026,746
0250,5,100,1,4,4,3,3,25,10000,0,0.029670,8830.934,747
0251,5,100,1,4,4,3,4,25,10000,0,0.017264,7590.310,707
0252,5,100,1,4,4,4,1,25,10000,0,0.019906,7748.846,744
0253,5,100,1,4,4,4,2,25,10000,0,0.015814,8217.006,746
0254,5,100,1,4,4,4,3,25,10000,0,0.026891,8549.772,747
0255,5,100,1,4,4,4,4,25,10000,0,0.016592,7741.930,707
0256,5,100,2,1,1,1,1,25,10000,0,0.011030,7558.656,742
0257,5,100,2,1,1,1,2,25,10000,0,0.012569,7372.190,743
0258,5,100,2,1,1,1,3,25,10000,0,0.014682,7462.896,743
0259,5,100,2,1,1,1,4,25,10000,0,0.010532,7079.590,703
0260,5,100,2,1,1,2,1,25,10000,0,0.009847,7020.538,741
0261,5,100,2,1,1,2,2,25,10000,0,0.009642,7215.782,742
0262,5,100,2,1,1,2,3,25,10000,0,0.014143,7442.414,742
0263,5,100,2,1,1,2,4,25,10000,0,0.009322,6987.554,702
0264,5,100,2,1,1,3,1,25,10000,0,0.011326,7094.220,742
0265,5,100,2,1,1,3,2,25,10000,0,0.010801,7555.730,743
0266,5,100,2,1,1,3,3,25,10000,0,0.012347,7467.950,743
0267,5,100,2,1,1,3,4,25,10000,0,0.009787,7080.920,703
0268,5,100,2,1,1,4,1,25,10000,0,0.010541,7166.838,741
0269,5,100,2,1,1,4,2,25,10000,0,0.012729,7445.872,742
0270,5,100,2,1,1,4,3,25,10000,0,0.016475,7448.266,742
0271,5,100,2,1,1,4,4,25,10000,0,0.011818,7140.504,702
0272,5,100,2,1,2,1,1,25,10000,0,0.011513,7650.160,742
0273,5,100,2,1,2,1,2,25,10000,0,0.011354,7332.024,744
0274,5,100,2,1,2,1,3,25,10000,0,0.014319,7396.662,744
0275,5,100,2,1,2,1,4,25,10000,0,0.009782,7455.182,704
0276,5,100,2,1,2,2,1,25,10000,0,0.008557,7307.552,741
0277,5,100,2,1,2,2,2,25,10000,0,0.011802,7474.600,743
0278,5,100,2,1,2,2,3,25,10000,0,0.011766,7501.998,743
0279,5,100,2,1,2,2,4,25,10000,0,0.008743,7233.338,703
0280,5,100,2,1,2,3,1,25,10000,0,0.008699,7194.502,743
0281,5,100,2,1,2,3,2,25,10000,0,0.008877,7453.586,744
0282,5,100,2,1,2,3,3,25,10000,0,0.013330,7413.686,744
0283,5,100,2,1,2,3,4,25,10000,0,0.008623,7566.902,704
0284,5,100,2,1,2,4,1,25,10000,0,0.009644,8021.230,742
0285,5,100,2,1,2,4,2,25,10000,0,0.012207,7501.466,743
0286,5,100,2,1,2,4,3,25,10000,0,0.016509,7471.408,743
0287,5,100,2,1,2,4,4,25,10000,0,0.010439,7535.248,703
0288,5,100,2,1,3,1,1,25,10000,0,0.010740,8428.210,742
0289,5,100,2,1,3,1,2,25,10000,0,0.010329,7768.530,744
0290,5,100,2,1,3,1,3,25,10000,0,0.014489,8365.434,744
0291,5,100,2,1,3,1,4,25,10000,0,0.010422,7646.170,704
0292,5,100,2,1,3,2,1,25,10000,0,0.010027,7856.576,741
0293,5,100,2,1,3,2,2,25,10000,0,0.010964,7744.058,743
0294,5,100,2,1,3,2,3,25,10000,0,0.014762,8362.508,743
0295,5,100,2,1,3,2,4,25,10000,0,0.011731,7607.068,703
0296,5,100,2,1,3,3,1,25,10000,0,0.013578,7512.106,742
0297,5,100,2,1,3,3,2,25,10000,0,0.010542,7842.478,744
0298,5,100,2,1,3,3,3,25,10000,0,0.016856,8326.598,744
0299,5,100,2,1,3,3,4,25,10000,0,0.010857,7658.406,704
0300,5,100,2,1,3,4,1,25,10000,0,0.011341,7596.694,742
0301,5,100,2,1,3,4,2,25,10000,0,0.010961,7790.608,743
0302,5,100,2,1,3,4,3,25,10000,0,0.015316,8467.844,743
0303,5,100,2,1,3,4,4,25,10000,0,0.010597,7678.356,703
0304,5,100,2,1,4,1,1,25,10000,0,0.011791,7425.124,742
0305,5,100,2,1,4,1,2,25,10000,0,0.012626,7502.264,744
0306,5,100,2,1,4,1,3,25,10000,0,0.016767,7425.922,744
0307,5,100,2,1,4,1,4,25,10000,0,0.010608,7703.360,704
0308,5,100,2,1,4,2,1,25,10000,0,0.011569,7437.892,741
0309,5,100,2,1,4,2,2,25,10000,0,0.011515,7874.132,743
0310,5,100,2,1,4,2,3,25,10000,0,0.016910,7565.838,743
0311,5,100,2,1,4,2,4,25,10000,0,0.011211,7655.214,703
0312,5,100,2,1,4,3,1,25,10000,0,0.010543,7477.260,742
0313,5,100,2,1,4,3,2,25,10000,0,0.011469,7859.768,744
0314,5,100,2,1,4,3,3,25,10000,0,0.018643,7692.188,744
0315,5,100,2,1,4,3,4,25,10000,0,0.011786,7724.906,704
0316,5,100,2,1,4,4,1,25,10000,0,0.013743,7476.728,741
0317,5,100,2,1,4,4,2,25,10000,0,0.010238,7717.724,743
0318,5,100,2,1,4,4,3,25,10000,0,0.017547,7731.556,743
0319,5,100,2,1,4,4,4,25,10000,0,0.013629,7697.508,703
0320,5,100,2,2,1,1,1,25,10000,0,0.011332,7594.832,783
0321,5,100,2,2,1,1,2,25,10000,0,0.010902,8057.672,784
0322,5,100,2,2,1,1,3,25,10000,0,0.014991,7903.924,784
0323,5,100,2,2,1,1,4,25,10000,0,0.010793,7512.638,744
0324,5,100,2,2,1,2,1,25,10000,0,0.010705,7751.240,782
0325,5,100,2,2,1,2,2,25,10000,0,0.009199,7918.022,783
0326,5,100,2,2,1,2,3,25,10000,0,0.016002,7991.172,783
0327,5,100,2,2,1,2,4,25,10000,0,0.011304,7663.194,743
0328,5,100,2,2,1,3,1,25,10000,0,0.010445,7961.114,782
0329,5,100,2,2,1,3,2,25,10000,0,0.010746,7885.304,783
0330,5,100,2,2,1,3,3,25,10000,0,0.013882,7921.214,783
0331,5,100,2,2,1,3,4,25,10000,0,0.010280,7519.554,743
0332,5,100,2,2,1,4,1,25,10000,0,0.012372,7674.898,781
0333,5,100,2,2,1,4,2,25,10000,0,0.012326,7946.218,781
0334,5,100,2,2,1,4,3,25,10000,0,0.018151,7900.466,781
0335,5,100,2,2,1,4,4,25,10000,0,0.012081,7548.016,741
0336,5,100,2,2,2,1,1,25,10000,0,0.009289,7547.218,783
0337,5,100,2,2,2,1,2,25,10000,0,0.011190,8161.678,785
0338,5,100,2,2,2,1,3,25,10000,0,0.015178,7883.708,785
0339,5,100,2,2,2,1,4,25,10000,0,0.010927,7663.460,745
0340,5,100,2,2,2,2,1,25,10000,0,0.009681,7640.052,782
0341,5,100,2,2,2,2,2,25,10000,0,0.011810,7897.008,784
0342,5,100,2,2,2,2,3,25,10000,0,0.013224,7932.120,784
0343,5,100,2,2,2,2,4,25,10000,0,0.012283,7748.846,744
0344,5,100,2,2,2,3,1,25,10000,0,0.008880,7667.450,784
0345,5,100,2,2,2,3,2,25,10000,0,0.009961,7869.078,785
0346,5,100,2,2,2,3,3,25,10000,0,0.016727,7988.512,785
0347,5,100,2,2,2,3,4,25,10000,0,0.010568,7658.406,745
0348,5,100,2,2,2,4,1,25,10000,0,0.010027,7789.810,783
0349,5,100,2,2,2,4,2,25,10000,0,0.011985,7993.300,782
0350,5,100,2,2,2,4,3,25,10000,0,0.015951,7803.376,782
0351,5,100,2,2,2,4,4,25,10000,0,0.011809,7729.428,742
0352,5,100,2,2,3,1,1,25,10000,0,0.011470,8885.464,783
0353,5,100,2,2,3,1,2,25,10000,0,0.011056,8297.870,785
0354,5,100,2,2,3,1,3,25,10000,0,0.015179,8551.102,785
0355,5,100,2,2,3,1,4,25,10000,0,0.010812,7807.632,745
0356,5,100,2,2,3,2,1,25,10000,0,0.010461,8022.826,782
0357,5,100,2,2,3,2,2,25,10000,0,0.009406,8534.876,784
0358,5,100,2,2,3,2,3,25,10000,0,0.014890,8959.944,784
0359,5,100,2,2,3,2,4,25,10000,0,0.010610,7895.678,744
0360,5,100,2,2,3,3,1,25,10000,0,0.010172,8400.546,782
0361,5,100,2,2,3,3,2,25,10000,0,0.010996,8393.364,784
0362,5,100,2,2,3,3,3,25,10000,0,0.015346,8771.350,784
0363,5,100,2,2,3,3,4,25,10000,0,0.011670,8112.734,744
0364,5,100,2,2,3,4,1,25,10000,0,0.011564,8400.280,782
0365,5,100,2,2,3,4,2,25,10000,0,0.012942,8087.464,782
0366,5,100,2,2,3,4,3,25,10000,0,0.015145,8941.590,782
0367,5,100,2,2,3,4,4,25,10000,0,0.011428,7896.742,742
0368,5,100,2,2,4,1,1,25,10000,0,0.011195,7849.394,783
0369,5,100,2,2,4,1,2,25,10000,0,0.011844,7976.276,785
0370,5,100,2,2,4,1,3,25,10000,0,0.016545,8203.440,785
0371,5,100,2,2,4,1,4,25,10000,0,0.010972,8054.480,745
0372,5,100,2,2,4,2,1,25,10000,0,0.011721,8410.388,782
0373,5,100,2,2,4,2,2,25,10000,0,0.010421,8452.682,784
0374,5,100,2,2,4,2,3,25,10000,0,0.018057,8241.478,784
0375,5,100,2,2,4,2,4,25,10000,0,0.009909,8271.536,744
0376,5,100,2,2,4,3,1,25,10000,0,0.010230,7995.162,782
0377,5,100,2,2,4,3,2,25,10000,0,0.011389,8088.528,784
0378,5,100,2,2,4,3,3,25,10000,0,0.018126,8225.518,784
0379,5,100,2,2,4,3,4,25,10000,0,0.010979,8011.654,744
0380,5,100,2,2,4,4,1,25,10000,0,0.013254,7868.014,781
0381,5,100,2,2,4,4,2,25,10000,0,0.013404,8147.048,782
