n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,tmpsize,size,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0023,5,100,1,1,2,2,4,25,10000,0,2.6055,187,839,211,0,10
0024,5,100,1,1,2,3,1,25,10000,0,1.7459,228,1010,212,0,10
0025,5,100,1,1,2,3,2,25,10000,0,1.9883,180,987,214,0,10
0026,5,100,1,1,2,3,3,25,10000,0,1.8270,192,1051,219,0,10
0027,5,100,1,1,2,3,4,25,10000,0,2.3857,209,945,215,0,10
0028,5,100,1,1,2,4,1,25,10000,0,1.8603,201,1109,212,0,10
0029,5,100,1,1,2,4,2,25,10000,0,1.8778,188,1045,214,0,10
0030,5,100,1,1,2,4,3,25,10000,0,1.7337,209,1035,217,0,10
0031,5,100,1,1,2,4,4,25,10000,0,2.4481,207,1053,215,0,10
0032,5,100,1,1,3,1,1,25,10000,0,1.8412,179,915,192,0,10
0033,5,100,1,1,3,1,2,25,10000,0,1.6850,182,940,213,0,10
0034,5,100,1,1,3,1,3,25,10000,0,2.1189,191,942,218,0,10
0035,5,100,1,1,3,1,4,25,10000,0,2.4793,169,878,223,0,10
0036,5,100,1,1,3,2,1,25,10000,0,1.9080,187,945,212,0,10
0037,5,100,1,1,3,2,2,25,10000,0,1.7773,176,949,215,0,10
0038,5,100,1,1,3,2,3,25,10000,0,2.0556,179,975,220,0,10
0039,5,100,1,1,3,2,4,25,10000,0,2.3364,190,873,218,0,10
0040,5,100,1,1,3,3,1,25,10000,0,1.8831,195,1028,216,0,10
0041,5,100,1,1,3,3,2,25,10000,0,2.0392,193,993,219,0,10
0042,5,100,1,1,3,3,3,25,10000,0,1.9872,204,1079,224,0,10
0043,5,100,1,1,3,3,4,25,10000,0,2.0896,196,959,222,0,10
0044,5,100,1,1,3,4,1,25,10000,0,2.1281,194,1063,216,0,10
0045,5,100,1,1,3,4,2,25,10000,0,2.1664,188,1041,215,0,10
0046,5,100,1,1,3,4,3,25,10000,0,1.9041,197,1163,224,0,10
0047,5,100,1,1,3,4,4,25,10000,0,2.6363,206,1105,219,0,10
0048,5,100,1,1,4,1,1,25,10000,0,1.7209,157,783,206,0,10
0049,5,100,1,1,4,1,2,25,10000,0,1.9424,181,886,208,0,10
0050,5,100,1,1,4,1,3,25,10000,0,1.6845,193,903,213,0,10
0051,5,100,1,1,4,1,4,25,10000,0,2.2793,166,790,219,0,10
0052,5,100,1,1,4,2,1,25,10000,0,1.6321,176,862,208,0,10
0053,5,100,1,1,4,2,2,25,10000,0,2.2978,194,962,211,0,10
0054,5,100,1,1,4,2,3,25,10000,0,1.7514,194,936,215,0,10
0055,5,100,1,1,4,2,4,25,10000,0,2.3617,179,866,223,0,10
0056,5,100,1,1,4,3,1,25,10000,0,1.6866,214,1039,212,0,10
0057,5,100,1,1,4,3,2,25,10000,0,1.9890,221,981,214,0,10
0058,5,100,1,1,4,3,3,25,10000,0,1.8431,212,1060,221,0,10
0059,5,100,1,1,4,3,4,25,10000,0,2.7265,186,963,225,0,10
0060,5,100,1,1,4,4,1,25,10000,0,1.8789,207,1069,213,0,10
0061,5,100,1,1,4,4,2,25,10000,0,1.9564,199,1038,216,0,10
0062,5,100,1,1,4,4,3,25,10000,0,1.7229,203,1099,221,0,10
0063,5,100,1,1,4,4,4,25,10000,0,2.4902,205,1030,225,0,10
0064,5,100,1,2,1,1,1,25,10000,0,1.7172,163,836,206,0,10
0065,5,100,1,2,1,1,2,25,10000,0,1.7308,174,846,209,0,10
0066,5,100,1,2,1,1,3,25,10000,0,1.8586,190,905,214,0,10
0067,5,100,1,2,1,1,4,25,10000,0,2.1311,169,843,216,0,10
0068,5,100,1,2,1,2,1,25,10000,0,1.6691,190,962,208,0,10
0069,5,100,1,2,1,2,2,25,10000,0,1.8335,182,1003,212,0,10
0070,5,100,1,2,1,2,3,25,10000,0,1.9692,195,1024,216,0,10
0071,5,100,1,2,1,2,4,25,10000,0,2.1037,173,827,221,0,10
0072,5,100,1,2,1,3,1,25,10000,0,1.7046,203,1002,212,0,10
0073,5,100,1,2,1,3,2,25,10000,0,1.9918,196,1019,218,0,10
0074,5,100,1,2,1,3,3,25,10000,0,1.7852,196,1016,220,0,10
0075,5,100,1,2,1,3,4,25,10000,0,2.2820,213,1014,222,0,10
0076,5,100,1,2,1,4,1,25,10000,0,1.8854,203,1068,214,0,10
0077,5,100,1,2,1,4,2,25,10000,0,2.0305,217,1019,218,0,10
0078,5,100,1,2,1,4,3,25,10000,0,1.7186,193,1054,222,0,10
0079,5,100,1,2,1,4,4,25,10000,0,2.2389,194,996,224,0,10
0080,5,100,1,2,2,1,1,25,10000,0,1.6286,179,875,205,0,10
0081,5,100,1,2,2,1,2,25,10000,0,1.9311,191,879,207,0,10
0082,5,100,1,2,2,1,3,25,10000,0,1.7295,214,971,212,0,10
0083,5,100,1,2,2,1,4,25,10000,0,2.1754,194,910,212,0,10
0084,5,100,1,2,2,2,1,25,10000,0,1.6865,206,888,207,0,10
0085,5,100,1,2,2,2,2,25,10000,0,1.8278,192,896,209,0,10
0086,5,100,1,2,2,2,3,25,10000,0,1.8320,198,915,213,0,10
0087,5,100,1,2,2,2,4,25,10000,0,2.5663,186,920,214,0,10
0088,5,100,1,2,2,3,1,25,10000,0,1.8403,218,1056,211,0,10
0089,5,100,1,2,2,3,2,25,10000,0,1.8196,217,1042,214,0,10
0090,5,100,1,2,2,3,3,25,10000,0,1.8369,204,1042,220,0,10
0091,5,100,1,2,2,3,4,25,10000,0,2.7609,205,1074,219,0,10
0092,5,100,1,2,2,4,1,25,10000,0,1.7954,218,1109,211,0,10
0093,5,100,1,2,2,4,2,25,10000,0,1.9984,206,1051,213,0,10
0094,5,100,1,2,2,4,3,25,10000,0,1.9380,229,1143,217,0,10
0095,5,100,1,2,2,4,4,25,10000,0,2.6796,223,1090,214,0,10
0096,5,100,1,2,3,1,1,25,10000,0,1.8926,182,869,212,0,10
0097,5,100,1,2,3,1,2,25,10000,0,1.9374,188,961,214,0,10
0098,5,100,1,2,3,1,3,25,10000,0,1.7217,197,1010,219,0,10
0099,5,100,1,2,3,1,4,25,10000,0,2.4146,203,993,223,0,10
0100,5,100,1,2,3,2,1,25,10000,0,1.6292,186,939,215,0,10
0101,5,100,1,2,3,2,2,25,10000,0,1.9560,192,983,220,0,10
0102,5,100,1,2,3,2,3,25,10000,0,1.7141,202,985,225,0,10
0103,5,100,1,2,3,2,4,25,10000,0,2.1555,184,876,224,0,10
0104,5,100,1,2,3,3,1,25,10000,0,1.9232,210,1102,218,0,10
0105,5,100,1,2,3,3,2,25,10000,0,2.0362,209,1051,220,0,10
0106,5,100,1,2,3,3,3,25,10000,0,1.8604,223,1116,225,0,10
0107,5,100,1,2,3,3,4,25,10000,0,2.2878,204,1023,226,0,10
0108,5,100,1,2,3,4,1,25,10000,0,1.8485,202,1110,218,0,10
0109,5,100,1,2,3,4,2,25,10000,0,1.9648,223,1128,219,0,10
0110,5,100,1,2,3,4,3,25,10000,0,1.7894,228,1170,224,0,10
0111,5,100,1,2,3,4,4,25,10000,0,2.3054,214,1103,227,0,10
0112,5,100,1,2,4,1,1,25,10000,0,1.8127,206,929,210,0,10
0113,5,100,1,2,4,1,2,25,10000,0,1.9224,181,917,212,0,10
0114,5,100,1,2,4,1,3,25,10000,0,1.8110,199,927,217,0,10
0115,5,100,1,2,4,1,4,25,10000,0,2.1207,207,913,219,0,10
0116,5,100,1,2,4,2,1,25,10000,0,1.8782,210,928,210,0,10
0117,5,100,1,2,4,2,2,25,10000,0,2.1929,197,975,213,0,10
0118,5,100,1,2,4,2,3,25,10000,0,1.6500,200,1015,218,0,10
0119,5,100,1,2,4,2,4,25,10000,0,2.4430,207,1005,219,0,10
0120,5,100,1,2,4,3,1,25,10000,0,2.0481,213,1077,215,0,10
0121,5,100,1,2,4,3,2,25,10000,0,1.9221,221,1104,218,0,10
0122,5,100,1,2,4,3,3,25,10000,0,1.8435,218,1088,223,0,10
0123,5,100,1,2,4,3,4,25,10000,0,2.6438,226,997,224,0,10
0124,5,100,1,2,4,4,1,25,10000,0,2.0527,213,1129,213,0,10
0125,5,100,1,2,4,4,2,25,10000,0,1.8994,213,1145,217,0,10
0126,5,100,1,2,4,4,3,25,10000,0,1.7287,208,1149,222,0,10
0127,5,100,1,2,4,4,4,25,10000,0,2.7054,213,1104,224,0,10
0128,5,100,1,3,1,1,1,25,10000,0,1.5801,176,821,213,0,10
0129,5,100,1,3,1,1,2,25,10000,0,1.6163,178,855,216,0,10
0130,5,100,1,3,1,1,3,25,10000,0,1.5217,183,886,221,0,10
0131,5,100,1,3,1,1,4,25,10000,0,2.0034,170,803,221,0,10
0132,5,100,1,3,1,2,1,25,10000,0,1.4818,175,918,219,0,10
0133,5,100,1,3,1,2,2,25,10000,0,1.8307,175,889,221,0,10
0134,5,100,1,3,1,2,3,25,10000,0,1.5159,185,901,225,0,10
0135,5,100,1,3,1,2,4,25,10000,0,2.1785,188,852,226,0,10
0136,5,100,1,3,1,3,1,25,10000,0,1.6984,191,999,219,0,10
0137,5,100,1,3,1,3,2,25,10000,0,1.8062,215,1001,222,0,10
0138,5,100,1,3,1,3,3,25,10000,0,2.0923,222,1055,227,0,10
0139,5,100,1,3,1,3,4,25,10000,0,2.1992,195,961,227,0,10
0140,5,100,1,3,1,4,1,25,10000,0,2.0114,191,1020,220,0,10
0141,5,100,1,3,1,4,2,25,10000,0,1.8991,193,1107,223,0,10
0142,5,100,1,3,1,4,3,25,10000,0,1.6345,212,1092,228,0,10
0143,5,100,1,3,1,4,4,25,10000,0,2.4804,193,1044,229,0,10
0144,5,100,1,3,2,1,1,25,10000,0,1.4410,181,854,207,0,10
0145,5,100,1,3,2,1,2,25,10000,0,1.7727,178,904,210,0,10
0146,5,100,1,3,2,1,3,25,10000,0,1.6253,197,843,215,0,10
0147,5,100,1,3,2,1,4,25,10000,0,2.4108,199,893,218,0,10
0148,5,100,1,3,2,2,1,25,10000,0,1.6282,202,911,216,0,10
0149,5,100,1,3,2,2,2,25,10000,0,2.2586,190,926,218,0,10
0150,5,100,1,3,2,2,3,25,10000,0,1.9322,196,935,219,0,10
0151,5,100,1,3,2,2,4,25,10000,0,2.4654,187,899,219,0,10
0152,5,100,1,3,2,3,1,25,10000,0,1.7227,209,1021,216,0,10
0153,5,100,1,3,2,3,2,25,10000,0,2.1177,195,1117,219,0,10
0154,5,100,1,3,2,3,3,25,10000,0,1.9287,226,1163,224,0,10
0155,5,100,1,3,2,3,4,25,10000,0,2.6592,193,972,227,0,10
0156,5,100,1,3,2,4,1,25,10000,0,1.9606,248,1225,215,0,10
0157,5,100,1,3,2,4,2,25,10000,0,2.0828,205,1130,218,0,10
0158,5,100,1,3,2,4,3,25,10000,0,1.8564,225,1145,223,0,10
0159,5,100,1,3,2,4,4,25,10000,0,2.1591,227,1157,226,0,10
0160,5,100,1,3,3,1,1,25,10000,0,1.6838,190,908,216,0,10
0161,5,100,1,3,3,1,2,25,10000,0,1.7549,180,982,219,0,10
0162,5,100,1,3,3,1,3,25,10000,0,1.6052,186,951,224,0,10
0163,5,100,1,3,3,1,4,25,10000,0,2.2530,198,933,226,0,10
0164,5,100,1,3,3,2,1,25,10000,0,1.6360,182,983,223,0,10
0165,5,100,1,3,3,2,2,25,10000,0,1.7898,187,991,226,0,10
0166,5,100,1,3,3,2,3,25,10000,0,1.8503,199,968,231,0,10
0167,5,100,1,3,3,2,4,25,10000,0,2.1445,205,906,229,0,10
0168,5,100,1,3,3,3,1,25,10000,0,1.6364,195,1056,222,0,10
0169,5,100,1,3,3,3,2,25,10000,0,1.9513,199,1040,225,0,10
0170,5,100,1,3,3,3,3,25,10000,0,1.6690,196,1112,230,0,10
0171,5,100,1,3,3,3,4,25,10000,0,1.9301,218,976,230,0,10
0172,5,100,1,3,3,4,1,25,10000,0,1.7816,207,1119,219,0,10
0173,5,100,1,3,3,4,2,25,10000,0,1.8417,200,1112,222,0,10
0174,5,100,1,3,3,4,3,25,10000,0,1.7058,211,1137,227,0,10
0175,5,100,1,3,3,4,4,25,10000,0,2.1898,216,1133,229,0,10
0176,5,100,1,3,4,1,1,25,10000,0,1.7027,205,950,214,0,10
0177,5,100,1,3,4,1,2,25,10000,0,1.9265,215,961,219,0,10
0178,5,100,1,3,4,1,3,25,10000,0,2.0933,189,1007,222,0,10
0179,5,100,1,3,4,1,4,25,10000,0,2.3086,212,902,222,0,10
0180,5,100,1,3,4,2,1,25,10000,0,1.9202,204,1008,221,0,10
0181,5,100,1,3,4,2,2,25,10000,0,1.9753,190,1014,222,0,10
0182,5,100,1,3,4,2,3,25,10000,0,1.7829,196,1008,227,0,10
0183,5,100,1,3,4,2,4,25,10000,0,2.2532,211,950,229,0,10
0184,5,100,1,3,4,3,1,25,10000,0,1.9619,218,1097,220,0,10
0185,5,100,1,3,4,3,2,25,10000,0,1.9265,224,1099,225,0,10
0186,5,100,1,3,4,3,3,25,10000,0,2.0385,225,1160,228,0,10
0187,5,100,1,3,4,3,4,25,10000,0,2.2753,235,1118,228,0,10
0188,5,100,1,3,4,4,1,25,10000,0,1.9018,227,1181,222,0,10
0189,5,100,1,3,4,4,2,25,10000,0,2.0594,218,1204,226,0,10
0190,5,100,1,3,4,4,3,25,10000,0,1.8541,225,1153,230,0,10
0191,5,100,1,3,4,4,4,25,10000,0,2.4437,238,1190,228,0,10
0192,5,100,1,4,1,1,1,25,10000,0,1.5372,192,904,211,0,10
0193,5,100,1,4,1,1,2,25,10000,0,1.6114,185,931,214,0,10
0194,5,100,1,4,1,1,3,25,10000,0,1.5986,185,938,219,0,10
0195,5,100,1,4,1,1,4,25,10000,0,2.2483,194,957,221,0,10
0196,5,100,1,4,1,2,1,25,10000,0,1.8106,180,907,217,0,10
0197,5,100,1,4,1,2,2,25,10000,0,1.6409,187,948,221,0,10
0198,5,100,1,4,1,2,3,25,10000,0,2.0641,212,974,225,0,10
0199,5,100,1,4,1,2,4,25,10000,0,2.2734,176,909,226,0,10
0200,5,100,1,4,1,3,1,25,10000,0,1.7179,221,1026,217,0,10
0201,5,100,1,4,1,3,2,25,10000,0,2.2377,183,983,221,0,10
0202,5,100,1,4,1,3,3,25,10000,0,1.8725,216,1006,225,0,10
0203,5,100,1,4,1,3,4,25,10000,0,2.5067,198,1028,227,0,10
0204,5,100,1,4,1,4,1,25,10000,0,1.8063,228,1071,220,0,10
0205,5,100,1,4,1,4,2,25,10000,0,1.8822,228,1062,223,0,10
0206,5,100,1,4,1,4,3,25,10000,0,2.0348,236,1125,228,0,10
0207,5,100,1,4,1,4,4,25,10000,0,2.4360,206,1106,227,0,10
0208,5,100,1,4,2,1,1,25,10000,0,1.9798,198,969,213,0,10
0209,5,100,1,4,2,1,2,25,10000,0,2.0665,180,910,218,0,10
0210,5,100,1,4,2,1,3,25,10000,0,1.8322,208,1012,223,0,10
0211,5,100,1,4,2,1,4,25,10000,0,2.0379,195,952,221,0,10
0212,5,100,1,4,2,2,1,25,10000,0,1.6998,186,924,215,0,10
0213,5,100,1,4,2,2,2,25,10000,0,2.0174,201,975,219,0,10
0214,5,100,1,4,2,2,3,25,10000,0,1.6640,193,1018,224,0,10
0215,5,100,1,4,2,2,4,25,10000,0,2.3341,213,987,224,0,10
0216,5,100,1,4,2,3,1,25,10000,0,1.6441,196,1006,219,0,10
0217,5,100,1,4,2,3,2,25,10000,0,1.8114,200,1023,224,0,10
0218,5,100,1,4,2,3,3,25,10000,0,1.8588,204,1049,229,0,10
0219,5,100,1,4,2,3,4,25,10000,0,2.2729,209,1060,227,0,10
0220,5,100,1,4,2,4,1,25,10000,0,1.8261,207,1118,219,0,10
0221,5,100,1,4,2,4,2,25,10000,0,2.0253,230,1121,223,0,10
0222,5,100,1,4,2,4,3,25,10000,0,1.8005,232,1162,228,0,10
0223,5,100,1,4,2,4,4,25,10000,0,2.4643,240,1256,227,0,10
0224,5,100,1,4,3,1,1,25,10000,0,1.8435,194,1008,218,0,10
0225,5,100,1,4,3,1,2,25,10000,0,1.9064,188,999,219,0,10
0226,5,100,1,4,3,1,3,25,10000,0,1.8819,190,1120,227,0,10
0227,5,100,1,4,3,1,4,25,10000,0,2.6396,218,1062,228,0,10
0228,5,100,1,4,3,2,1,25,10000,0,1.8602,188,952,223,0,10
0229,5,100,1,4,3,2,2,25,10000,0,1.9095,204,983,228,0,10
0230,5,100,1,4,3,2,3,25,10000,0,1.7586,208,1053,233,0,10
0231,5,100,1,4,3,2,4,25,10000,0,2.5668,212,1039,229,0,10
0232,5,100,1,4,3,3,1,25,10000,0,1.7143,211,1084,224,0,10
0233,5,100,1,4,3,3,2,25,10000,0,1.9223,201,1063,225,0,10
0234,5,100,1,4,3,3,3,25,10000,0,1.8745,213,1077,233,0,10
0235,5,100,1,4,3,3,4,25,10000,0,2.3043,220,1078,231,0,10
0236,5,100,1,4,3,4,1,25,10000,0,1.9017,209,1122,224,0,10
0237,5,100,1,4,3,4,2,25,10000,0,2.1082,211,1161,227,0,10
0238,5,100,1,4,3,4,3,25,10000,0,1.8159,234,1186,232,0,10
0239,5,100,1,4,3,4,4,25,10000,0,2.4705,221,1137,232,0,10
0240,5,100,1,4,4,1,1,25,10000,0,1.7972,196,1028,215,0,10
0241,5,100,1,4,4,1,2,25,10000,0,1.8636,202,1010,217,0,10
0242,5,100,1,4,4,1,3,25,10000,0,1.7050,224,1081,222,0,10
0243,5,100,1,4,4,1,4,25,10000,0,2.3310,188,1034,224,0,10
0244,5,100,1,4,4,2,1,25,10000,0,1.6736,206,1051,215,0,10
0245,5,100,1,4,4,2,2,25,10000,0,2.2221,192,1066,218,0,10
0246,5,100,1,4,4,2,3,25,10000,0,1.8068,200,1071,223,0,10
0247,5,100,1,4,4,2,4,25,10000,0,2.2955,202,1059,224,0,10
0248,5,100,1,4,4,3,1,25,10000,0,1.7455,213,1111,220,0,10
0249,5,100,1,4,4,3,2,25,10000,0,1.9018,221,1132,223,0,10
0250,5,100,1,4,4,3,3,25,10000,0,1.8272,221,1154,228,0,10
0251,5,100,1,4,4,3,4,25,10000,0,2.2880,212,1122,229,0,10
0252,5,100,1,4,4,4,1,25,10000,0,1.8914,220,1127,218,0,10
0253,5,100,1,4,4,4,2,25,10000,0,1.9876,223,1160,221,0,10
0254,5,100,1,4,4,4,3,25,10000,0,1.6242,220,1190,226,0,10
0255,5,100,1,4,4,4,4,25,10000,0,2.4759,220,1159,229,0,10
0256,5,100,2,1,1,1,1,25,10000,0,0.8038,177,834,228,0,10
0257,5,100,2,1,1,1,2,25,10000,0,0.9592,181,878,231,0,10
0258,5,100,2,1,1,1,3,25,10000,0,0.7406,184,894,236,0,10
0259,5,100,2,1,1,1,4,25,10000,0,0.9336,195,901,236,0,10
0260,5,100,2,1,1,2,1,25,10000,0,0.8421,189,895,232,0,10
0261,5,100,2,1,1,2,2,25,10000,0,0.9143,181,914,235,0,10
0262,5,100,2,1,1,2,3,25,10000,0,0.8310,195,940,240,0,10
0263,5,100,2,1,1,2,4,25,10000,0,1.0564,187,893,240,0,10
0264,5,100,2,1,1,3,1,25,10000,0,0.8248,204,1001,240,0,10
0265,5,100,2,1,1,3,2,25,10000,0,0.8859,202,986,243,0,10
0266,5,100,2,1,1,3,3,25,10000,0,0.8736,208,1048,248,0,10
0267,5,100,2,1,1,3,4,25,10000,0,1.1231,202,1045,248,0,10
0268,5,100,2,1,1,4,1,25,10000,0,0.9086,216,1085,240,0,10
0269,5,100,2,1,1,4,2,25,10000,0,0.9807,203,1075,243,0,10
0270,5,100,2,1,1,4,3,25,10000,0,0.9221,216,1176,248,0,10
0271,5,100,2,1,1,4,4,25,10000,0,1.1777,217,1119,248,0,10
0272,5,100,2,1,2,1,1,25,10000,0,0.9431,195,943,236,0,10
0273,5,100,2,1,2,1,2,25,10000,0,0.9831,207,987,239,0,10
0274,5,100,2,1,2,1,3,25,10000,0,0.9735,210,890,241,0,10
0275,5,100,2,1,2,1,4,25,10000,0,1.3296,210,979,238,0,10
0276,5,100,2,1,2,2,1,25,10000,0,0.9241,190,941,240,0,10
0277,5,100,2,1,2,2,2,25,10000,0,1.0067,204,941,243,0,10
0278,5,100,2,1,2,2,3,25,10000,0,0.9439,194,898,245,0,10
0279,5,100,2,1,2,2,4,25,10000,0,1.1347,195,905,244,0,10
0280,5,100,2,1,2,3,1,25,10000,0,0.9916,204,1044,248,0,10
0281,5,100,2,1,2,3,2,25,10000,0,0.9235,232,1125,251,0,10
0282,5,100,2,1,2,3,3,25,10000,0,0.9896,212,1009,253,0,10
0283,5,100,2,1,2,3,4,25,10000,0,1.4839,215,1082,250,0,10
0284,5,100,2,1,2,4,1,25,10000,0,1.0057,225,1119,248,0,10
0285,5,100,2,1,2,4,2,25,10000,0,1.0579,221,1168,251,0,10
0286,5,100,2,1,2,4,3,25,10000,0,1.1121,217,1190,256,0,10
0287,5,100,2,1,2,4,4,25,10000,0,1.3001,235,1151,252,0,10
0288,5,100,2,1,3,1,1,25,10000,0,1.0170,190,954,242,0,10
0289,5,100,2,1,3,1,2,25,10000,0,1.0638,191,997,245,0,10
0290,5,100,2,1,3,1,3,25,10000,0,1.1759,206,1059,250,0,10
0291,5,100,2,1,3,1,4,25,10000,0,1.2312,198,960,246,0,10
0292,5,100,2,1,3,2,1,25,10000,0,0.8838,205,983,246,0,10
0293,5,100,2,1,3,2,2,25,10000,0,1.0297,198,976,249,0,10
0294,5,100,2,1,3,2,3,25,10000,0,1.0204,215,1040,254,0,10
0295,5,100,2,1,3,2,4,25,10000,0,1.1909,213,1004,250,0,10
0296,5,100,2,1,3,3,1,25,10000,0,0.9416,221,1069,254,0,10
0297,5,100,2,1,3,3,2,25,10000,0,1.0435,205,1096,257,0,10
0298,5,100,2,1,3,3,3,25,10000,0,1.0710,258,1152,262,0,10
0299,5,100,2,1,3,3,4,25,10000,0,1.1818,217,1063,258,0,10
0300,5,100,2,1,3,4,1,25,10000,0,1.0215,261,1213,254,0,10
0301,5,100,2,1,3,4,2,25,10000,0,1.0572,231,1188,257,0,10
0302,5,100,2,1,3,4,3,25,10000,0,1.0563,241,1205,262,0,10
0303,5,100,2,1,3,4,4,25,10000,0,1.1732,221,1192,258,0,10
0304,5,100,2,1,4,1,1,25,10000,0,0.9716,209,953,240,0,10
0305,5,100,2,1,4,1,2,25,10000,0,1.0021,203,1002,241,0,10
0306,5,100,2,1,4,1,3,25,10000,0,1.0285,204,993,246,0,10
0307,5,100,2,1,4,1,4,25,10000,0,1.2135,228,995,247,0,10
0308,5,100,2,1,4,2,1,25,10000,0,1.0214,218,1054,241,0,10
0309,5,100,2,1,4,2,2,25,10000,0,1.0927,207,1009,244,0,10
0310,5,100,2,1,4,2,3,25,10000,0,1.0449,208,1082,249,0,10
0311,5,100,2,1,4,2,4,25,10000,0,1.1453,197,966,250,0,10
0312,5,100,2,1,4,3,1,25,10000,0,1.1174,232,1115,252,0,10
0313,5,100,2,1,4,3,2,25,10000,0,1.0870,227,1106,253,0,10
0314,5,100,2,1,4,3,3,25,10000,0,1.1799,232,1171,258,0,10
0315,5,100,2,1,4,3,4,25,10000,0,1.2048,218,1091,259,0,10
0316,5,100,2,1,4,4,1,25,10000,0,0.9579,229,1184,249,0,10
0317,5,100,2,1,4,4,2,25,10000,0,1.1315,238,1237,252,0,10
0318,5,100,2,1,4,4,3,25,10000,0,1.0299,228,1223,257,0,10
0319,5,100,2,1,4,4,4,25,10000,0,1.2526,230,1207,258,0,10
0320,5,100,2,2,1,1,1,25,10000,0,0.9155,187,880,233,0,10
0321,5,100,2,2,1,1,2,25,10000,0,0.9802,190,927,237,0,10
0322,5,100,2,2,1,1,3,25,10000,0,0.8522,204,980,242,0,10
0323,5,100,2,2,1,1,4,25,10000,0,1.1777,220,890,242,0,10
0324,5,100,2,2,1,2,1,25,10000,0,0.9835,190,920,237,0,10
0325,5,100,2,2,1,2,2,25,10000,0,1.0381,202,1019,241,0,10
0326,5,100,2,2,1,2,3,25,10000,0,0.8733,200,1016,246,0,10
0327,5,100,2,2,1,2,4,25,10000,0,1.3174,217,1020,246,0,10
0328,5,100,2,2,1,3,1,25,10000,0,0.9947,218,999,245,0,10
0329,5,100,2,2,1,3,2,25,10000,0,0.9441,205,1009,249,0,10
0330,5,100,2,2,1,3,3,25,10000,0,0.9010,213,1067,254,0,10
0331,5,100,2,2,1,3,4,25,10000,0,1.1953,218,1060,254,0,10
0332,5,100,2,2,1,4,1,25,10000,0,0.9465,212,1082,245,0,10
0333,5,100,2,2,1,4,2,25,10000,0,1.1182,209,1121,248,0,10
0334,5,100,2,2,1,4,3,25,10000,0,0.9452,220,1145,253,0,10
0335,5,100,2,2,1,4,4,25,10000,0,1.3539,222,1159,254,0,10
0336,5,100,2,2,2,1,1,25,10000,0,1.0710,186,946,238,0,10
0337,5,100,2,2,2,1,2,25,10000,0,1.0173,195,923,241,0,10
0338,5,100,2,2,2,1,3,25,10000,0,1.0338,227,987,246,0,10
0339,5,100,2,2,2,1,4,25,10000,0,1.3995,210,1004,244,0,10
0340,5,100,2,2,2,2,1,25,10000,0,0.9336,187,999,242,0,10
0341,5,100,2,2,2,2,2,25,10000,0,1.0185,202,1005,245,0,10
0342,5,100,2,2,2,2,3,25,10000,0,0.9713,196,1057,250,0,10
0343,5,100,2,2,2,2,4,25,10000,0,1.3143,214,1030,247,0,10
0344,5,100,2,2,2,3,1,25,10000,0,0.9554,204,1109,250,0,10
0345,5,100,2,2,2,3,2,25,10000,0,0.9951,213,1101,253,0,10
0346,5,100,2,2,2,3,3,25,10000,0,0.9861,235,1055,258,0,10
