n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,obj1,obj2
0089,5,100,1,2,2,3,2,0.044,269
0090,5,100,1,2,2,3,3,0.065,315
0091,5,100,1,2,2,3,4,0.045,257
0092,5,100,1,2,2,4,1,0.042,278
0093,5,100,1,2,2,4,2,0.044,274
0094,5,100,1,2,2,4,3,0.064,312
0095,5,100,1,2,2,4,4,0.045,272
0097,5,100,1,2,3,1,2,0.046,216
0098,5,100,1,2,3,1,3,0.065,266
0099,5,100,1,2,3,1,4,0.046,219
0100,5,100,1,2,3,2,1,0.045,235
0101,5,100,1,2,3,2,2,0.044,245
0102,5,100,1,2,3,2,3,0.062,283
0103,5,100,1,2,3,2,4,0.045,252
0104,5,100,1,2,3,3,1,0.046,264
0105,5,100,1,2,3,3,2,0.046,267
0106,5,100,1,2,3,3,3,0.063,327
0107,5,100,1,2,3,3,4,0.046,272
0108,5,100,1,2,3,4,1,0.046,278
0109,5,100,1,2,3,4,2,0.045,286
0110,5,100,1,2,3,4,3,0.064,356
0111,5,100,1,2,3,4,4,0.047,292
0112,5,100,1,2,4,1,1,0.041,191
0114,5,100,1,2,4,1,3,0.061,246
0115,5,100,1,2,4,1,4,0.043,211
0116,5,100,1,2,4,2,1,0.042,219
0117,5,100,1,2,4,2,2,0.041,239
0118,5,100,1,2,4,2,3,0.063,271
0119,5,100,1,2,4,2,4,0.042,232
0120,5,100,1,2,4,3,1,0.043,255
0121,5,100,1,2,4,3,2,0.042,251
0122,5,100,1,2,4,3,3,0.061,308
0123,5,100,1,2,4,3,4,0.044,273
0124,5,100,1,2,4,4,1,0.044,260
0125,5,100,1,2,4,4,2,0.043,273
0127,5,100,1,2,4,4,4,0.045,272
0128,5,100,1,3,1,1,1,0.038,346
0129,5,100,1,3,1,1,2,0.037,350
0130,5,100,1,3,1,1,3,0.053,408
0131,5,100,1,3,1,1,4,0.036,368
0132,5,100,1,3,1,2,1,0.037,385
0133,5,100,1,3,1,2,2,0.037,405
0134,5,100,1,3,1,2,3,0.052,432
0135,5,100,1,3,1,2,4,0.037,402
0136,5,100,1,3,1,3,1,0.039,447
0137,5,100,1,3,1,3,2,0.037,449
0138,5,100,1,3,1,3,3,0.054,482
0139,5,100,1,3,1,3,4,0.039,448
0141,5,100,1,3,1,4,2,0.041,429
0142,5,100,1,3,1,4,3,0.052,460
0143,5,100,1,3,1,4,4,0.040,430
0144,5,100,1,3,2,1,1,0.045,368
0145,5,100,1,3,2,1,2,0.046,367
0146,5,100,1,3,2,1,3,0.067,416
0147,5,100,1,3,2,1,4,0.048,355
0148,5,100,1,3,2,2,1,0.048,407
0149,5,100,1,3,2,2,2,0.048,389
0150,5,100,1,3,2,2,3,0.065,443
0151,5,100,1,3,2,2,4,0.047,398
0152,5,100,1,3,2,3,1,0.047,436
0153,5,100,1,3,2,3,2,0.050,460
0154,5,100,1,3,2,3,3,0.066,492
0155,5,100,1,3,2,3,4,0.049,461
0156,5,100,1,3,2,4,1,0.048,417
0157,5,100,1,3,2,4,2,0.052,430
0158,5,100,1,3,2,4,3,0.070,469
0159,5,100,1,3,2,4,4,0.050,435
0160,5,100,1,3,3,1,1,0.050,373
0161,5,100,1,3,3,1,2,0.050,378
0162,5,100,1,3,3,1,3,0.070,425
0163,5,100,1,3,3,1,4,0.050,392
0164,5,100,1,3,3,2,1,0.049,406
0165,5,100,1,3,3,2,2,0.052,414
0166,5,100,1,3,3,2,3,0.071,447
0167,5,100,1,3,3,2,4,0.051,419
0168,5,100,1,3,3,3,1,0.047,448
0169,5,100,1,3,3,3,2,0.051,469
0170,5,100,1,3,3,3,3,0.070,518
0171,5,100,1,3,3,3,4,0.049,456
0172,5,100,1,3,3,4,1,0.049,425
0173,5,100,1,3,3,4,2,0.052,443
0174,5,100,1,3,3,4,3,0.070,483
0176,5,100,1,3,4,1,1,0.046,355
0177,5,100,1,3,4,1,2,0.045,357
0178,5,100,1,3,4,1,3,0.068,421
0179,5,100,1,3,4,1,4,0.048,375
0180,5,100,1,3,4,2,1,0.045,409
0181,5,100,1,3,4,2,2,0.047,391
0182,5,100,1,3,4,2,3,0.066,447
0183,5,100,1,3,4,2,4,0.048,421
0184,5,100,1,3,4,3,1,0.045,433
0185,5,100,1,3,4,3,2,0.048,457
0186,5,100,1,3,4,3,3,0.067,479
0187,5,100,1,3,4,3,4,0.049,456
0188,5,100,1,3,4,4,1,0.046,421
0189,5,100,1,3,4,4,2,0.050,415
0190,5,100,1,3,4,4,3,0.067,469
0192,5,100,1,4,1,1,1,0.034,200
0193,5,100,1,4,1,1,2,0.034,216
0195,5,100,1,4,1,1,4,0.034,221
0196,5,100,1,4,1,2,1,0.034,234
0200,5,100,1,4,1,3,1,0.034,295
0201,5,100,1,4,1,3,2,0.035,290
0202,5,100,1,4,1,3,3,0.052,318
0203,5,100,1,4,1,3,4,0.032,286
0204,5,100,1,4,1,4,1,0.034,262
0205,5,100,1,4,1,4,2,0.033,271
0206,5,100,1,4,1,4,3,0.049,314
0207,5,100,1,4,1,4,4,0.036,275
0208,5,100,1,4,2,1,1,0.041,212
0212,5,100,1,4,2,2,1,0.042,245
0213,5,100,1,4,2,2,2,0.043,252
0214,5,100,1,4,2,2,3,0.064,295
0215,5,100,1,4,2,2,4,0.045,239
0216,5,100,1,4,2,3,1,0.043,282
0217,5,100,1,4,2,3,2,0.041,290
0218,5,100,1,4,2,3,3,0.063,333
0219,5,100,1,4,2,3,4,0.046,291
0220,5,100,1,4,2,4,1,0.044,263
0221,5,100,1,4,2,4,2,0.047,270
0222,5,100,1,4,2,4,3,0.067,327
0223,5,100,1,4,2,4,4,0.046,279
0224,5,100,1,4,3,1,1,0.043,224
0225,5,100,1,4,3,1,2,0.043,223
0226,5,100,1,4,3,1,3,0.066,281
0227,5,100,1,4,3,1,4,0.043,231
0228,5,100,1,4,3,2,1,0.045,253
0229,5,100,1,4,3,2,2,0.044,257
0230,5,100,1,4,3,2,3,0.067,316
0231,5,100,1,4,3,2,4,0.047,256
0232,5,100,1,4,3,3,1,0.043,291
0233,5,100,1,4,3,3,2,0.044,299
0234,5,100,1,4,3,3,3,0.067,356
0235,5,100,1,4,3,3,4,0.046,300
0236,5,100,1,4,3,4,1,0.045,279
0237,5,100,1,4,3,4,2,0.046,291
0238,5,100,1,4,3,4,3,0.067,341
0239,5,100,1,4,3,4,4,0.049,310
0240,5,100,1,4,4,1,1,0.041,207
0241,5,100,1,4,4,1,2,0.042,230
0242,5,100,1,4,4,1,3,0.062,312
0243,5,100,1,4,4,1,4,0.043,219
0244,5,100,1,4,4,2,1,0.041,238
0245,5,100,1,4,4,2,2,0.044,242
0246,5,100,1,4,4,2,3,0.064,289
0247,5,100,1,4,4,2,4,0.043,273
0248,5,100,1,4,4,3,1,0.042,285
0249,5,100,1,4,4,3,2,0.043,293
0250,5,100,1,4,4,3,3,0.063,336
0251,5,100,1,4,4,3,4,0.045,306
0252,5,100,1,4,4,4,1,0.043,256
0253,5,100,1,4,4,4,2,0.045,276
0254,5,100,1,4,4,4,3,0.065,333
0255,5,100,1,4,4,4,4,0.045,289
0256,5,100,2,1,1,1,1,0.034,281
0257,5,100,2,1,1,1,2,0.035,318
0258,5,100,2,1,1,1,3,0.054,380
0259,5,100,2,1,1,1,4,0.035,306
0260,5,100,2,1,1,2,1,0.035,357
0261,5,100,2,1,1,2,2,0.035,380
0262,5,100,2,1,1,2,3,0.053,447
0263,5,100,2,1,1,2,4,0.035,375
0264,5,100,2,1,1,3,1,0.037,418
0265,5,100,2,1,1,3,2,0.037,449
0266,5,100,2,1,1,3,3,0.057,494
0267,5,100,2,1,1,3,4,0.038,421
0268,5,100,2,1,1,4,1,0.039,454
0269,5,100,2,1,1,4,2,0.036,466
0270,5,100,2,1,1,4,3,0.055,538
0271,5,100,2,1,1,4,4,0.039,487
0272,5,100,2,1,2,1,1,0.045,301
0274,5,100,2,1,2,1,3,0.064,410
0276,5,100,2,1,2,2,1,0.045,369
0277,5,100,2,1,2,2,2,0.046,379
0278,5,100,2,1,2,2,3,0.063,475
0279,5,100,2,1,2,2,4,0.045,391
0280,5,100,2,1,2,3,1,0.046,436
0281,5,100,2,1,2,3,2,0.045,450
0282,5,100,2,1,2,3,3,0.063,523
0283,5,100,2,1,2,3,4,0.047,449
0284,5,100,2,1,2,4,1,0.046,471
0285,5,100,2,1,2,4,2,0.046,476
0286,5,100,2,1,2,4,3,0.065,587
0287,5,100,2,1,2,4,4,0.046,495
0288,5,100,2,1,3,1,1,0.045,350
0289,5,100,2,1,3,1,2,0.047,346
0290,5,100,2,1,3,1,3,0.066,449
0291,5,100,2,1,3,1,4,0.046,352
0292,5,100,2,1,3,2,1,0.046,404
0293,5,100,2,1,3,2,2,0.046,431
0294,5,100,2,1,3,2,3,0.066,503
0295,5,100,2,1,3,2,4,0.047,433
0296,5,100,2,1,3,3,1,0.047,473
0297,5,100,2,1,3,3,2,0.047,466
0298,5,100,2,1,3,3,3,0.069,554
0299,5,100,2,1,3,3,4,0.048,497
0300,5,100,2,1,3,4,1,0.046,528
0301,5,100,2,1,3,4,2,0.049,528
0302,5,100,2,1,3,4,3,0.067,643
0303,5,100,2,1,3,4,4,0.048,524
0304,5,100,2,1,4,1,1,0.046,311
0305,5,100,2,1,4,1,2,0.044,329
0306,5,100,2,1,4,1,3,0.063,408
0307,5,100,2,1,4,1,4,0.045,339
0308,5,100,2,1,4,2,1,0.047,391
0309,5,100,2,1,4,2,2,0.045,402
0310,5,100,2,1,4,2,3,0.064,477
0311,5,100,2,1,4,2,4,0.045,426
0312,5,100,2,1,4,3,1,0.046,438
0313,5,100,2,1,4,3,2,0.045,457
0314,5,100,2,1,4,3,3,0.064,526
0315,5,100,2,1,4,3,4,0.046,456
0316,5,100,2,1,4,4,1,0.044,481
0317,5,100,2,1,4,4,2,0.047,507
0318,5,100,2,1,4,4,3,0.067,593
0319,5,100,2,1,4,4,4,0.047,508
0320,5,100,2,2,1,1,1,0.033,290
0321,5,100,2,2,1,1,2,0.035,304
0323,5,100,2,2,1,1,4,0.037,310
0324,5,100,2,2,1,2,1,0.037,365
0325,5,100,2,2,1,2,2,0.036,380
0326,5,100,2,2,1,2,3,0.052,463
0327,5,100,2,2,1,2,4,0.035,374
0328,5,100,2,2,1,3,1,0.038,427
0329,5,100,2,2,1,3,2,0.036,438
0330,5,100,2,2,1,3,3,0.054,518
0331,5,100,2,2,1,3,4,0.038,442
0332,5,100,2,2,1,4,1,0.037,487
0333,5,100,2,2,1,4,2,0.039,481
0334,5,100,2,2,1,4,3,0.057,552
0335,5,100,2,2,1,4,4,0.038,501
0336,5,100,2,2,2,1,1,0.044,321
0337,5,100,2,2,2,1,2,0.046,321
0338,5,100,2,2,2,1,3,0.063,418
0339,5,100,2,2,2,1,4,0.046,320
0340,5,100,2,2,2,2,1,0.045,402
0341,5,100,2,2,2,2,2,0.045,400
0342,5,100,2,2,2,2,3,0.064,474
0344,5,100,2,2,2,3,1,0.045,432
0345,5,100,2,2,2,3,2,0.046,458
0346,5,100,2,2,2,3,3,0.063,538
0347,5,100,2,2,2,3,4,0.046,466
0348,5,100,2,2,2,4,1,0.045,488
0349,5,100,2,2,2,4,2,0.047,506
0350,5,100,2,2,2,4,3,0.064,569
0351,5,100,2,2,2,4,4,0.046,499
0353,5,100,2,2,3,1,2,0.048,360
0354,5,100,2,2,3,1,3,0.067,432
0355,5,100,2,2,3,1,4,0.047,356
0356,5,100,2,2,3,2,1,0.045,426
0357,5,100,2,2,3,2,2,0.046,453
0358,5,100,2,2,3,2,3,0.066,550
0359,5,100,2,2,3,2,4,0.045,434
0360,5,100,2,2,3,3,1,0.047,489
0361,5,100,2,2,3,3,2,0.048,506
0362,5,100,2,2,3,3,3,0.067,567
0363,5,100,2,2,3,3,4,0.047,482
0364,5,100,2,2,3,4,1,0.047,510
0365,5,100,2,2,3,4,2,0.049,548
0366,5,100,2,2,3,4,3,0.067,619
0367,5,100,2,2,3,4,4,0.047,523
0368,5,100,2,2,4,1,1,0.045,324
0369,5,100,2,2,4,1,2,0.046,337
0370,5,100,2,2,4,1,3,0.065,408
0371,5,100,2,2,4,1,4,0.046,354
0372,5,100,2,2,4,2,1,0.044,396
0373,5,100,2,2,4,2,2,0.044,410
0374,5,100,2,2,4,2,3,0.061,480
0375,5,100,2,2,4,2,4,0.045,429
0376,5,100,2,2,4,3,1,0.045,446
0377,5,100,2,2,4,3,2,0.046,464
0378,5,100,2,2,4,3,3,0.066,547
0379,5,100,2,2,4,3,4,0.047,476
0380,5,100,2,2,4,4,1,0.046,507
0381,5,100,2,2,4,4,2,0.045,499
0382,5,100,2,2,4,4,3,0.066,592
0383,5,100,2,2,4,4,4,0.047,519
0384,5,100,2,3,1,1,1,0.039,698
0385,5,100,2,3,1,1,2,0.038,699
0386,5,100,2,3,1,1,3,0.056,789
0387,5,100,2,3,1,1,4,0.040,713
0388,5,100,2,3,1,2,1,0.041,753
0389,5,100,2,3,1,2,2,0.040,780
0390,5,100,2,3,1,2,3,0.058,865
0391,5,100,2,3,1,2,4,0.040,782
0392,5,100,2,3,1,3,1,0.041,879
0393,5,100,2,3,1,3,2,0.041,900
0394,5,100,2,3,1,3,3,0.056,1009
0395,5,100,2,3,1,3,4,0.040,906
0396,5,100,2,3,1,4,1,0.043,833
0397,5,100,2,3,1,4,2,0.041,836
0398,5,100,2,3,1,4,3,0.056,926
0399,5,100,2,3,1,4,4,0.043,858
0400,5,100,2,3,2,1,1,0.048,712
0402,5,100,2,3,2,1,3,0.070,803
0403,5,100,2,3,2,1,4,0.050,721
0404,5,100,2,3,2,2,1,0.049,803
0405,5,100,2,3,2,2,2,0.050,804
0406,5,100,2,3,2,2,3,0.070,866
0407,5,100,2,3,2,2,4,0.051,801
0408,5,100,2,3,2,3,1,0.049,955
0409,5,100,2,3,2,3,2,0.051,918
0410,5,100,2,3,2,3,3,0.067,1033
0411,5,100,2,3,2,3,4,0.050,997
0412,5,100,2,3,2,4,1,0.052,839
0413,5,100,2,3,2,4,2,0.053,874
0414,5,100,2,3,2,4,3,0.072,984
0415,5,100,2,3,2,4,4,0.053,884
0416,5,100,2,3,3,1,1,0.051,746
0417,5,100,2,3,3,1,2,0.052,787
0418,5,100,2,3,3,1,3,0.070,828
0419,5,100,2,3,3,1,4,0.051,736
0420,5,100,2,3,3,2,1,0.052,797
0421,5,100,2,3,3,2,2,0.052,860
0422,5,100,2,3,3,2,3,0.071,897
0423,5,100,2,3,3,2,4,0.053,825
0424,5,100,2,3,3,3,1,0.051,973
0425,5,100,2,3,3,3,2,0.052,990
0426,5,100,2,3,3,3,3,0.071,1026
0428,5,100,2,3,3,4,1,0.053,875
0429,5,100,2,3,3,4,2,0.055,880
0430,5,100,2,3,3,4,3,0.073,954
0431,5,100,2,3,3,4,4,0.052,876
0432,5,100,2,3,4,1,1,0.049,711
0433,5,100,2,3,4,1,2,0.049,725
0434,5,100,2,3,4,1,3,0.069,800
0435,5,100,2,3,4,1,4,0.049,739
0436,5,100,2,3,4,2,1,0.051,799
0437,5,100,2,3,4,2,2,0.051,820
0438,5,100,2,3,4,2,3,0.069,900
0439,5,100,2,3,4,2,4,0.050,823
0440,5,100,2,3,4,3,1,0.050,928
0441,5,100,2,3,4,3,2,0.050,928
0442,5,100,2,3,4,3,3,0.072,1027
0443,5,100,2,3,4,3,4,0.050,954
0444,5,100,2,3,4,4,1,0.051,861
0445,5,100,2,3,4,4,2,0.052,873
0446,5,100,2,3,4,4,3,0.072,930
0447,5,100,2,3,4,4,4,0.053,891
0448,5,100,2,4,1,1,1,0.033,327
0450,5,100,2,4,1,1,3,0.053,443
0451,5,100,2,4,1,1,4,0.035,346
0452,5,100,2,4,1,2,1,0.036,402
0453,5,100,2,4,1,2,2,0.036,416
0454,5,100,2,4,1,2,3,0.049,489
0455,5,100,2,4,1,2,4,0.036,416
0456,5,100,2,4,1,3,1,0.035,500
0457,5,100,2,4,1,3,2,0.034,518
0458,5,100,2,4,1,3,3,0.055,619
0459,5,100,2,4,1,3,4,0.035,541
0461,5,100,2,4,1,4,2,0.035,486
0462,5,100,2,4,1,4,3,0.057,545
0464,5,100,2,4,2,1,1,0.044,359
0465,5,100,2,4,2,1,2,0.046,369
0466,5,100,2,4,2,1,3,0.063,434
0467,5,100,2,4,2,1,4,0.045,355
0468,5,100,2,4,2,2,1,0.046,425
0469,5,100,2,4,2,2,2,0.045,427
0470,5,100,2,4,2,2,3,0.066,524
0471,5,100,2,4,2,2,4,0.047,437
0472,5,100,2,4,2,3,1,0.047,517
0473,5,100,2,4,2,3,2,0.045,557
0474,5,100,2,4,2,3,3,0.062,623
0475,5,100,2,4,2,3,4,0.046,560
0476,5,100,2,4,2,4,1,0.045,490
0477,5,100,2,4,2,4,2,0.047,505
0478,5,100,2,4,2,4,3,0.065,590
0479,5,100,2,4,2,4,4,0.050,508
0481,5,100,2,4,3,1,2,0.046,409
0482,5,100,2,4,3,1,3,0.067,485
0483,5,100,2,4,3,1,4,0.046,400
0484,5,100,2,4,3,2,1,0.047,442
0485,5,100,2,4,3,2,2,0.047,479
0486,5,100,2,4,3,2,3,0.067,543
0487,5,100,2,4,3,2,4,0.048,471
0488,5,100,2,4,3,3,1,0.046,558
0489,5,100,2,4,3,3,2,0.047,574
0490,5,100,2,4,3,3,3,0.067,677
0491,5,100,2,4,3,3,4,0.047,581
0492,5,100,2,4,3,4,1,0.049,529
0493,5,100,2,4,3,4,2,0.049,526
0494,5,100,2,4,3,4,3,0.068,634
0495,5,100,2,4,3,4,4,0.049,518
0496,5,100,2,4,4,1,1,0.043,370
0497,5,100,2,4,4,1,2,0.045,384
0499,5,100,2,4,4,1,4,0.045,396
0500,5,100,2,4,4,2,1,0.046,432
0501,5,100,2,4,4,2,2,0.046,449
0502,5,100,2,4,4,2,3,0.065,543
0503,5,100,2,4,4,2,4,0.046,451
0504,5,100,2,4,4,3,1,0.044,519
0505,5,100,2,4,4,3,2,0.045,544
0506,5,100,2,4,4,3,3,0.065,653
0507,5,100,2,4,4,3,4,0.046,581
0508,5,100,2,4,4,4,1,0.047,479
0509,5,100,2,4,4,4,2,0.047,505
0510,5,100,2,4,4,4,3,0.067,595
0511,5,100,2,4,4,4,4,0.048,519
0512,5,100,3,1,1,1,1,0.037,447
0513,5,100,3,1,1,1,2,0.036,486
0514,5,100,3,1,1,1,3,0.057,586
0515,5,100,3,1,1,1,4,0.037,483
0516,5,100,3,1,1,2,1,0.037,590
0517,5,100,3,1,1,2,2,0.036,591
0518,5,100,3,1,1,2,3,0.054,731
0519,5,100,3,1,1,2,4,0.038,623
0520,5,100,3,1,1,3,1,0.038,665
0521,5,100,3,1,1,3,2,0.037,684
0522,5,100,3,1,1,3,3,0.054,787
0523,5,100,3,1,1,3,4,0.039,690
0524,5,100,3,1,1,4,1,0.039,721
0525,5,100,3,1,1,4,2,0.041,734
0526,5,100,3,1,1,4,3,0.057,864
0527,5,100,3,1,1,4,4,0.038,770
0528,5,100,3,1,2,1,1,0.047,480
0529,5,100,3,1,2,1,2,0.045,502
0530,5,100,3,1,2,1,3,0.064,618
0531,5,100,3,1,2,1,4,0.046,527
0532,5,100,3,1,2,2,1,0.044,587
0533,5,100,3,1,2,2,2,0.046,593
0534,5,100,3,1,2,2,3,0.065,732
0535,5,100,3,1,2,2,4,0.046,611
0536,5,100,3,1,2,3,1,0.046,652
0537,5,100,3,1,2,3,2,0.047,687
0538,5,100,3,1,2,3,3,0.066,831
0539,5,100,3,1,2,3,4,0.048,700
0540,5,100,3,1,2,4,1,0.047,730
0541,5,100,3,1,2,4,2,0.047,757
0542,5,100,3,1,2,4,3,0.064,899
0543,5,100,3,1,2,4,4,0.047,792
0544,5,100,3,1,3,1,1,0.047,522
0545,5,100,3,1,3,1,2,0.047,549
0546,5,100,3,1,3,1,3,0.066,699
0547,5,100,3,1,3,1,4,0.047,538
0548,5,100,3,1,3,2,1,0.046,635
0549,5,100,3,1,3,2,2,0.047,652
0552,5,100,3,1,3,3,1,0.049,717
0553,5,100,3,1,3,3,2,0.049,719
0554,5,100,3,1,3,3,3,0.067,869
0555,5,100,3,1,3,3,4,0.049,740
0556,5,100,3,1,3,4,1,0.048,800
0558,5,100,3,1,3,4,3,0.066,939
0559,5,100,3,1,3,4,4,0.049,822
0561,5,100,3,1,4,1,2,0.046,516
0562,5,100,3,1,4,1,3,0.065,637
0563,5,100,3,1,4,1,4,0.046,513
0564,5,100,3,1,4,2,1,0.046,581
0565,5,100,3,1,4,2,2,0.046,633
0566,5,100,3,1,4,2,3,0.065,763
0567,5,100,3,1,4,2,4,0.045,640
0568,5,100,3,1,4,3,1,0.046,667
0569,5,100,3,1,4,3,2,0.047,702
0570,5,100,3,1,4,3,3,0.067,852
0571,5,100,3,1,4,3,4,0.046,718
0572,5,100,3,1,4,4,1,0.048,759
0573,5,100,3,1,4,4,2,0.047,785
0574,5,100,3,1,4,4,3,0.067,909
0575,5,100,3,1,4,4,4,0.047,791
0576,5,100,3,2,1,1,1,0.035,443
0577,5,100,3,2,1,1,2,0.037,490
0578,5,100,3,2,1,1,3,0.059,626
0579,5,100,3,2,1,1,4,0.036,499
0580,5,100,3,2,1,2,1,0.036,578
0581,5,100,3,2,1,2,2,0.037,600
0582,5,100,3,2,1,2,3,0.055,704
0583,5,100,3,2,1,2,4,0.036,611
0584,5,100,3,2,1,3,1,0.039,654
0585,5,100,3,2,1,3,2,0.038,694
0586,5,100,3,2,1,3,3,0.057,797
0587,5,100,3,2,1,3,4,0.039,706
0588,5,100,3,2,1,4,1,0.038,736
0589,5,100,3,2,1,4,2,0.040,768
0590,5,100,3,2,1,4,3,0.056,875
0591,5,100,3,2,1,4,4,0.039,767
0592,5,100,3,2,2,1,1,0.045,488
0593,5,100,3,2,2,1,2,0.046,513
0594,5,100,3,2,2,1,3,0.064,633
0595,5,100,3,2,2,1,4,0.046,504
0596,5,100,3,2,2,2,1,0.045,597
0597,5,100,3,2,2,2,2,0.046,614
0598,5,100,3,2,2,2,3,0.063,733
0599,5,100,3,2,2,2,4,0.046,651
0600,5,100,3,2,2,3,1,0.045,675
0601,5,100,3,2,2,3,2,0.046,703
0602,5,100,3,2,2,3,3,0.065,836
0603,5,100,3,2,2,3,4,0.045,718
0604,5,100,3,2,2,4,1,0.046,759
0605,5,100,3,2,2,4,2,0.047,777
0606,5,100,3,2,2,4,3,0.065,883
0607,5,100,3,2,2,4,4,0.048,788
0608,5,100,3,2,3,1,1,0.047,536
0609,5,100,3,2,3,1,2,0.047,565
0610,5,100,3,2,3,1,3,0.065,682
0611,5,100,3,2,3,1,4,0.047,562
0612,5,100,3,2,3,2,1,0.046,643
0613,5,100,3,2,3,2,2,0.047,670
0614,5,100,3,2,3,2,3,0.065,779
0615,5,100,3,2,3,2,4,0.046,671
0616,5,100,3,2,3,3,1,0.047,717
0617,5,100,3,2,3,3,2,0.049,742
0618,5,100,3,2,3,3,3,0.066,865
0619,5,100,3,2,3,3,4,0.046,757
0620,5,100,3,2,3,4,1,0.047,778
0621,5,100,3,2,3,4,2,0.049,825
0622,5,100,3,2,3,4,3,0.068,930
0623,5,100,3,2,3,4,4,0.048,840
0624,5,100,3,2,4,1,1,0.046,499
0625,5,100,3,2,4,1,2,0.047,535
0626,5,100,3,2,4,1,3,0.065,659
0627,5,100,3,2,4,1,4,0.047,558
0628,5,100,3,2,4,2,1,0.045,608
0629,5,100,3,2,4,2,2,0.046,631
0630,5,100,3,2,4,2,3,0.064,761
0631,5,100,3,2,4,2,4,0.046,658
0632,5,100,3,2,4,3,1,0.046,662
0633,5,100,3,2,4,3,2,0.047,706
0634,5,100,3,2,4,3,3,0.065,848
0635,5,100,3,2,4,3,4,0.047,707
0636,5,100,3,2,4,4,1,0.047,746
0637,5,100,3,2,4,4,2,0.047,778
0638,5,100,3,2,4,4,3,0.066,901
